log_time,breath_rate
2026-05-02 08:13:04,28.0
2026-05-02 08:13:05,28.0
2026-05-02 08:13:06,27.0
2026-05-02 08:13:07,26.0
2026-05-02 08:13:08,26.0
2026-05-02 08:13:09,24.5
2026-05-02 08:13:10,22.0
2026-05-02 08:13:11,24.0
2026-05-02 08:13:12,24.5
2026-05-02 08:13:13,27.0
2026-05-02 08:13:14,28.0
2026-05-02 08:13:15,27.5
2026-05-02 08:13:16,22.0
2026-05-02 08:13:17,21.0
2026-05-02 08:13:18,22.0
2026-05-02 08:13:19,20.5
2026-05-02 08:13:20,20.0
2026-05-02 08:13:21,21.0
2026-05-02 08:13:22,24.0
2026-05-02 08:13:23,27.0
2026-05-02 08:13:24,28.5
2026-05-02 08:13:25,27.0
2026-05-02 08:13:26,20.0
2026-05-02 08:13:27,21.0
2026-05-02 08:13:28,22.0
2026-05-02 08:13:29,22.0
2026-05-02 08:13:30,20.5
2026-05-02 08:13:31,18.0
2026-05-02 08:13:32,20.5
2026-05-02 08:13:33,25.0
2026-05-02 08:13:34,19.0
2026-05-02 08:13:35,13.0
2026-05-02 08:13:36,9.0
2026-05-02 08:13:37,8.921052631578949
2026-05-02 08:13:38,8.81578947368421
2026-05-02 08:13:39,8.736842105263158
2026-05-02 08:13:40,8.657894736842106
2026-05-02 08:13:41,8.55263157894737
2026-05-02 08:13:42,8.473684210526315
2026-05-02 08:13:43,8.394736842105264
2026-05-02 08:13:44,8.31578947368421
2026-05-02 08:13:45,8.236842105263158
2026-05-02 08:13:46,8.131578947368421
2026-05-02 08:13:47,8.052631578947368
2026-05-02 08:13:48,9.0
2026-05-02 08:13:49,9.0
2026-05-02 08:13:50,8.5
2026-05-02 08:13:51,10.0
2026-05-02 08:13:52,10.0
2026-05-02 08:13:53,9.0
2026-05-02 08:13:54,9.0
2026-05-02 08:13:55,9.0
2026-05-02 08:13:56,9.0
2026-05-02 08:13:57,9.0
2026-05-02 08:13:58,9.0
2026-05-02 08:13:59,9.0
2026-05-02 08:14:00,9.0
2026-05-02 08:14:01,9.0
2026-05-02 08:14:02,9.0
2026-05-02 08:14:03,11.0
2026-05-02 08:14:04,14.0
2026-05-02 08:14:05,16.0
2026-05-02 08:14:06,19.0
2026-05-02 08:14:07,20.0
2026-05-02 08:14:08,22.0
2026-05-02 08:14:09,25.0
2026-05-02 08:14:10,20.0
2026-05-02 08:14:11,20.5
2026-05-02 08:14:12,18.0
2026-05-02 08:14:13,14.5
2026-05-02 08:14:14,19.0
2026-05-02 08:14:15,18.0
2026-05-02 08:14:16,21.0
2026-05-02 08:14:17,23.0
2026-05-02 08:14:18,25.0
2026-05-02 08:14:19,27.5
2026-05-02 08:14:20,29.0
2026-05-02 08:14:21,28.5
2026-05-02 08:14:22,25.0
2026-05-02 08:14:23,20.0
2026-05-02 08:14:24,20.0
2026-05-02 08:14:25,19.0
2026-05-02 08:14:26,19.0
2026-05-02 08:14:27,19.0
2026-05-02 08:14:28,17.5
2026-05-02 08:14:29,16.0
2026-05-02 08:14:30,15.0
2026-05-02 08:14:31,16.5
2026-05-02 08:14:32,15.0
2026-05-02 08:14:33,17.0
2026-05-02 08:14:34,20.0
2026-05-02 08:14:35,21.0
2026-05-02 08:14:36,23.0
2026-05-02 08:14:37,24.0
2026-05-02 08:14:38,25.5
2026-05-02 08:14:39,25.5
2026-05-02 08:14:40,20.0
2026-05-02 08:14:41,13.5
2026-05-02 08:14:42,9.0
2026-05-02 08:14:43,9.0
2026-05-02 08:14:44,9.0
2026-05-02 08:14:45,9.0
2026-05-02 08:14:46,9.0
2026-05-02 08:14:47,9.0
2026-05-02 08:14:48,9.0
2026-05-02 08:14:49,11.0
2026-05-02 08:14:50,15.0
2026-05-02 08:14:51,18.0
2026-05-02 08:14:52,20.5
2026-05-02 08:14:53,21.0
2026-05-02 08:14:54,21.0
2026-05-02 08:14:55,15.5
2026-05-02 08:14:56,17.0
2026-05-02 08:14:57,15.0
2026-05-02 08:14:58,12.0
2026-05-02 08:14:59,15.0
2026-05-02 08:15:00,18.5
