log_time,heart_rate
2026-04-22 21:34:45,75.0
2026-04-22 21:34:46,74.0
2026-04-22 21:34:47,72.5
2026-04-22 21:34:48,78.0
2026-04-22 21:34:49,85.0
2026-04-22 21:34:50,90.5
2026-04-22 21:34:51,96.0
2026-04-22 21:34:52,99.5
2026-04-22 21:34:53,100.5
2026-04-22 21:34:54,101.0
2026-04-22 21:34:55,102.5
2026-04-22 21:34:56,104.0
2026-04-22 21:34:57,104.21428571428571
2026-04-22 21:34:58,104.5
2026-04-22 21:34:59,104.71428571428572
2026-04-22 21:35:00,104.92857142857143
2026-04-22 21:35:01,105.5
2026-04-22 21:35:02,102.0
2026-04-22 21:35:03,97.5
2026-04-22 21:35:04,92.0
2026-04-22 21:35:05,88.5
2026-04-22 21:35:06,83.0
2026-04-22 21:35:07,80.0
2026-04-22 21:35:08,78.0
2026-04-22 21:35:09,75.0
2026-04-22 21:35:10,72.0
2026-04-22 21:35:11,71.0
2026-04-22 21:35:12,75.0
2026-04-22 21:35:13,81.0
2026-04-22 21:35:14,87.0
2026-04-22 21:35:15,91.0
2026-04-22 21:35:16,93.0
2026-04-22 21:35:17,95.0
2026-04-22 21:35:18,96.5
2026-04-22 21:35:19,97.5
2026-04-22 21:35:20,97.0
2026-04-22 21:35:21,97.0
2026-04-22 21:35:22,99.5
2026-04-22 21:35:23,102.0
2026-04-22 21:35:24,105.0
2026-04-22 21:35:25,108.0
2026-04-22 21:35:26,110.0
2026-04-22 21:35:27,112.5
2026-04-22 21:35:28,113.0
2026-04-22 21:35:29,113.5
2026-04-22 21:35:30,110.5
2026-04-22 21:35:31,108.0
2026-04-22 21:35:32,106.0
2026-04-22 21:35:33,100.5
2026-04-22 21:35:34,96.0
2026-04-22 21:35:35,92.5
2026-04-22 21:35:36,87.5
2026-04-22 21:35:37,84.0
2026-04-22 21:35:38,84.0
2026-04-22 21:35:39,87.0
2026-04-22 21:35:40,91.5
2026-04-22 21:35:41,96.0
2026-04-22 21:35:42,98.5
2026-04-22 21:35:43,102.0
2026-04-22 21:35:44,105.0
2026-04-22 21:35:45,106.5
2026-04-22 21:35:46,108.0
2026-04-22 21:35:47,109.0
2026-04-22 21:35:48,111.0
2026-04-22 21:35:49,109.0
2026-04-22 21:35:50,105.5
2026-04-22 21:35:51,101.0
2026-04-22 21:35:52,97.0
2026-04-22 21:35:53,92.5
2026-04-22 21:35:54,86.5
2026-04-22 21:35:55,83.0
2026-04-22 21:35:56,80.5
2026-04-22 21:35:57,77.0
2026-04-22 21:35:58,75.0
2026-04-22 21:35:59,74.0
2026-04-22 21:36:00,73.0
2026-04-22 21:36:01,71.0
2026-04-22 21:36:02,70.5
2026-04-22 21:36:03,72.0
2026-04-22 21:36:04,73.0
2026-04-22 21:36:05,75.5
2026-04-22 21:36:06,74.0
2026-04-22 21:36:07,73.0
2026-04-22 21:36:08,71.5
2026-04-22 21:36:09,69.5
2026-04-22 21:36:10,69.0
2026-04-22 21:36:11,68.5
2026-04-22 21:36:12,69.5
2026-04-22 21:36:13,71.0
2026-04-22 21:36:14,72.5
2026-04-22 21:36:15,74.0
2026-04-22 21:36:16,75.5
2026-04-22 21:36:17,76.0
2026-04-22 21:36:18,78.0
2026-04-22 21:36:19,78.0
2026-04-22 21:36:20,79.0
2026-04-22 21:36:21,80.5
2026-04-22 21:36:22,81.5
2026-04-22 21:36:23,81.0
2026-04-22 21:36:24,79.5
2026-04-22 21:36:25,79.0
2026-04-22 21:36:26,79.0
2026-04-22 21:36:27,77.5
2026-04-22 21:36:28,78.5
2026-04-22 21:36:29,79.0
2026-04-22 21:36:30,80.0
