log_time,heart_rate
2026-04-28 09:39:32,88.5
2026-04-28 09:39:33,92.5
2026-04-28 09:39:34,96.0
2026-04-28 09:39:35,99.5
2026-04-28 09:39:36,103.0
2026-04-28 09:39:37,106.0
2026-04-28 09:39:38,109.0
2026-04-28 09:39:39,112.0
2026-04-28 09:39:40,114.5
2026-04-28 09:39:41,113.5
2026-04-28 09:39:42,113.0
2026-04-28 09:39:43,113.0
2026-04-28 09:39:44,113.0
2026-04-28 09:39:45,112.0
2026-04-28 09:39:46,112.0
2026-04-28 09:39:47,112.0
2026-04-28 09:39:48,109.0
2026-04-28 09:39:49,108.0
2026-04-28 09:39:50,108.0
2026-04-28 09:39:51,108.5
2026-04-28 09:39:52,111.0
2026-04-28 09:39:53,112.5
2026-04-28 09:39:54,114.0
2026-04-28 09:39:55,116.0
2026-04-28 09:39:56,117.5
2026-04-28 09:39:57,117.0
2026-04-28 09:39:58,115.5
2026-04-28 09:39:59,113.0
2026-04-28 09:40:00,111.0
2026-04-28 09:40:01,109.5
2026-04-28 09:40:02,107.5
2026-04-28 09:40:03,107.33333333333331
2026-04-28 09:40:04,107.83333333333334
2026-04-28 09:40:05,108.33333333333331
2026-04-28 09:40:06,108.83333333333334
2026-04-28 09:40:07,109.5
2026-04-28 09:40:08,105.0
2026-04-28 09:40:09,102.0
2026-04-28 09:40:10,101.0
2026-04-28 09:40:11,102.0
2026-04-28 09:40:12,104.0
2026-04-28 09:40:13,106.0
2026-04-28 09:40:14,108.0
2026-04-28 09:40:15,110.0
2026-04-28 09:40:16,111.0
2026-04-28 09:40:17,112.5
2026-04-28 09:40:18,112.0
2026-04-28 09:40:19,109.0
2026-04-28 09:40:20,104.0
2026-04-28 09:40:21,106.0
2026-04-28 09:40:22,108.5
2026-04-28 09:40:23,111.0
2026-04-28 09:40:24,109.0
2026-04-28 09:40:25,103.5
2026-04-28 09:40:26,103.0
2026-04-28 09:40:27,98.5
2026-04-28 09:40:28,92.0
2026-04-28 09:40:29,86.0
2026-04-28 09:40:30,84.5
2026-04-28 09:40:31,83.0
2026-04-28 09:40:32,83.5
2026-04-28 09:40:33,86.0
2026-04-28 09:40:34,87.0
2026-04-28 09:40:35,88.5
2026-04-28 09:40:36,90.0
2026-04-28 09:40:37,93.0
2026-04-28 09:40:38,94.0
2026-04-28 09:40:39,94.0
2026-04-28 09:40:40,93.5
2026-04-28 09:40:41,96.5
2026-04-28 09:40:42,97.0
2026-04-28 09:40:43,95.5
2026-04-28 09:40:44,93.0
2026-04-28 09:40:45,92.0
2026-04-28 09:40:46,90.0
2026-04-28 09:40:47,91.0
2026-04-28 09:40:48,90.0
2026-04-28 09:40:49,89.0
2026-04-28 09:40:50,86.5
2026-04-28 09:40:51,85.0
2026-04-28 09:40:52,83.0
2026-04-28 09:40:53,81.0
2026-04-28 09:40:54,81.0
2026-04-28 09:40:55,83.0
2026-04-28 09:40:56,84.0
