log_time,breath_rate
2026-04-27 06:58:09,13.0
2026-04-27 06:58:10,15.0
2026-04-27 06:58:11,13.0
2026-04-27 06:58:12,12.5
2026-04-27 06:58:13,11.0
2026-04-27 06:58:14,14.0
2026-04-27 06:58:15,14.0
2026-04-27 06:58:16,19.0
2026-04-27 06:58:17,23.0
2026-04-27 06:58:18,25.0
2026-04-27 06:58:19,26.0
2026-04-27 06:58:20,25.5
2026-04-27 06:58:21,25.0
2026-04-27 06:58:22,24.5
2026-04-27 06:58:23,23.818181818181817
2026-04-27 06:58:24,23.545454545454547
2026-04-27 06:58:25,23.181818181818183
2026-04-27 06:58:26,22.90909090909091
2026-04-27 06:58:27,22.636363636363637
2026-04-27 06:58:28,22.181818181818183
2026-04-27 06:58:29,17.0
2026-04-27 06:58:30,11.5
2026-04-27 06:58:31,8.0
2026-04-27 06:58:32,8.375
2026-04-27 06:58:33,8.875
2026-04-27 06:58:34,14.0
2026-04-27 06:58:35,11.5
2026-04-27 06:58:36,15.5
2026-04-27 06:58:37,15.0
2026-04-27 06:58:38,15.0
2026-04-27 06:58:39,17.0
2026-04-27 06:58:40,18.0
2026-04-27 06:58:41,11.5
2026-04-27 06:58:42,8.0
2026-04-27 06:58:43,8.0
2026-04-27 06:58:44,8.0
2026-04-27 06:58:45,8.0
2026-04-27 06:58:46,8.0
2026-04-27 06:58:47,8.0
2026-04-27 06:58:48,8.0
2026-04-27 06:58:49,8.0
2026-04-27 06:58:50,8.0
2026-04-27 06:58:51,
2026-04-27 06:58:52,
2026-04-27 06:58:53,
2026-04-27 06:58:54,
2026-04-27 06:58:55,
2026-04-27 06:58:56,
2026-04-27 06:58:57,
2026-04-27 06:58:58,
2026-04-27 06:58:59,
2026-04-27 06:59:00,
2026-04-27 06:59:01,
2026-04-27 06:59:02,
2026-04-27 06:59:03,
2026-04-27 06:59:04,
2026-04-27 06:59:05,
2026-04-27 06:59:06,
2026-04-27 06:59:07,
2026-04-27 06:59:08,
2026-04-27 06:59:09,
2026-04-27 06:59:10,
2026-04-27 06:59:11,
2026-04-27 06:59:12,
2026-04-27 06:59:13,
2026-04-27 06:59:14,
2026-04-27 06:59:15,
2026-04-27 06:59:16,
2026-04-27 06:59:17,
2026-04-27 06:59:18,8.0
2026-04-27 06:59:19,8.0
2026-04-27 06:59:20,8.0
2026-04-27 06:59:21,8.0
2026-04-27 06:59:22,8.0
2026-04-27 06:59:23,8.0
2026-04-27 06:59:24,9.0
2026-04-27 06:59:25,13.0
2026-04-27 06:59:26,15.0
2026-04-27 06:59:27,16.5
2026-04-27 06:59:28,18.0
2026-04-27 06:59:29,19.666666666666668
2026-04-27 06:59:30,19.0
2026-04-27 06:59:31,18.5
2026-04-27 06:59:32,21.0
2026-04-27 06:59:33,20.0
2026-04-27 06:59:34,17.5
2026-04-27 06:59:35,20.0
2026-04-27 06:59:36,22.5
2026-04-27 06:59:37,22.55555555555556
2026-04-27 06:59:38,21.88888888888889
2026-04-27 06:59:39,21.0
2026-04-27 06:59:40,20.33333333333333
2026-04-27 06:59:41,19.666666666666664
2026-04-27 06:59:42,17.0
2026-04-27 06:59:43,11.0
2026-04-27 06:59:44,8.998507462686568
2026-04-27 06:59:45,8.991044776119402
2026-04-27 06:59:46,8.977611940298507
2026-04-27 06:59:47,8.95183541750706
2026-04-27 06:59:48,8.926058894715611
2026-04-27 06:59:49,
2026-04-27 06:59:50,
2026-04-27 06:59:51,
2026-04-27 06:59:52,
2026-04-27 06:59:53,
2026-04-27 06:59:54,
2026-04-27 06:59:55,
2026-04-27 06:59:56,
2026-04-27 06:59:57,
2026-04-27 06:59:58,
2026-04-27 06:59:59,
2026-04-27 07:00:00,
2026-04-27 07:00:01,
2026-04-27 07:00:02,
2026-04-27 07:00:03,
2026-04-27 07:00:04,
2026-04-27 07:00:05,
2026-04-27 07:00:06,
2026-04-27 07:00:07,
2026-04-27 07:00:08,
2026-04-27 07:00:09,
2026-04-27 07:00:10,
2026-04-27 07:00:11,
2026-04-27 07:00:12,
2026-04-27 07:00:13,
2026-04-27 07:00:14,
2026-04-27 07:00:15,
