log_time,heart_rate
2026-04-25 06:27:08,90.0
2026-04-25 06:27:09,91.0
2026-04-25 06:27:10,93.0
2026-04-25 06:27:11,93.0
2026-04-25 06:27:12,94.5
2026-04-25 06:27:13,98.0
2026-04-25 06:27:14,101.0
2026-04-25 06:27:15,103.5
2026-04-25 06:27:16,105.0
2026-04-25 06:27:17,103.0
2026-04-25 06:27:18,101.0
2026-04-25 06:27:19,100.0
2026-04-25 06:27:20,99.5
2026-04-25 06:27:21,98.0
2026-04-25 06:27:22,96.5
2026-04-25 06:27:23,94.5
2026-04-25 06:27:24,92.0
2026-04-25 06:27:25,87.0
2026-04-25 06:27:26,83.0
2026-04-25 06:27:27,80.5
2026-04-25 06:27:28,85.5
2026-04-25 06:27:29,90.0
2026-04-25 06:27:30,93.5
2026-04-25 06:27:31,95.0
2026-04-25 06:27:32,95.0
2026-04-25 06:27:33,93.0
2026-04-25 06:27:34,91.0
2026-04-25 06:27:35,90.5
2026-04-25 06:27:36,89.5
2026-04-25 06:27:37,92.0
2026-04-25 06:27:38,94.5
2026-04-25 06:27:39,98.0
2026-04-25 06:27:40,102.5
2026-04-25 06:27:41,108.5
2026-04-25 06:27:42,111.0
2026-04-25 06:27:43,112.5
2026-04-25 06:27:44,113.0
2026-04-25 06:27:45,113.5
2026-04-25 06:27:46,110.0
2026-04-25 06:27:47,105.0
2026-04-25 06:27:48,100.0
2026-04-25 06:27:49,98.0
2026-04-25 06:27:50,95.0
2026-04-25 06:27:51,92.0
2026-04-25 06:27:52,90.5
2026-04-25 06:27:53,89.0
2026-04-25 06:27:54,87.0
2026-04-25 06:27:55,85.5
2026-04-25 06:27:56,84.0
2026-04-25 06:27:57,85.5
2026-04-25 06:27:58,87.5
2026-04-25 06:27:59,87.0
2026-04-25 06:28:00,87.0
2026-04-25 06:28:01,89.0
2026-04-25 06:28:02,90.0
2026-04-25 06:28:03,93.5
2026-04-25 06:28:04,95.0
2026-04-25 06:28:05,97.0
2026-04-25 06:28:06,100.0
2026-04-25 06:28:07,101.0
2026-04-25 06:28:08,101.0
2026-04-25 06:28:09,104.5
2026-04-25 06:28:10,109.0
2026-04-25 06:28:11,110.0
2026-04-25 06:28:12,110.0
2026-04-25 06:28:13,110.5
2026-04-25 06:28:14,111.0
2026-04-25 06:28:15,109.5
2026-04-25 06:28:16,105.0
2026-04-25 06:28:17,100.5
2026-04-25 06:28:18,95.0
2026-04-25 06:28:19,90.5
2026-04-25 06:28:20,85.5
2026-04-25 06:28:21,82.0
2026-04-25 06:28:22,78.0
2026-04-25 06:28:23,74.0
2026-04-25 06:28:24,72.0
2026-04-25 06:28:25,69.5
2026-04-25 06:28:26,68.0
2026-04-25 06:28:27,72.5
2026-04-25 06:28:28,75.0
2026-04-25 06:28:29,78.0
2026-04-25 06:28:30,82.0
2026-04-25 06:28:31,86.0
2026-04-25 06:28:32,90.5
2026-04-25 06:28:33,95.0
2026-04-25 06:28:34,99.0
2026-04-25 06:28:35,104.5
2026-04-25 06:28:36,109.0
2026-04-25 06:28:37,107.5
2026-04-25 06:28:38,106.0
2026-04-25 06:28:39,104.5
2026-04-25 06:28:40,103.0
2026-04-25 06:28:41,103.0
2026-04-25 06:28:42,102.0
2026-04-25 06:28:43,98.0
2026-04-25 06:28:44,93.0
2026-04-25 06:28:45,88.0
2026-04-25 06:28:46,84.0
2026-04-25 06:28:47,79.0
2026-04-25 06:28:48,77.0
2026-04-25 06:28:49,74.0
2026-04-25 06:28:50,72.0
2026-04-25 06:28:51,77.0
2026-04-25 06:28:52,84.5
2026-04-25 06:28:53,88.0
2026-04-25 06:28:54,91.5
2026-04-25 06:28:55,96.0
2026-04-25 06:28:56,98.5
2026-04-25 06:28:57,102.0
2026-04-25 06:28:58,103.0
2026-04-25 06:28:59,105.5
2026-04-25 06:29:00,107.0
2026-04-25 06:29:01,108.0
2026-04-25 06:29:02,108.92857142857143
2026-04-25 06:29:03,108.71428571428572
2026-04-25 06:29:04,108.5
2026-04-25 06:29:05,108.21428571428571
2026-04-25 06:29:06,108.0
2026-04-25 06:29:07,109.5
2026-04-25 06:29:08,110.0
2026-04-25 06:29:09,109.0
2026-04-25 06:29:10,108.5
2026-04-25 06:29:11,109.0
2026-04-25 06:29:12,104.5
2026-04-25 06:29:13,99.0
2026-04-25 06:29:14,93.0
2026-04-25 06:29:15,88.0
2026-04-25 06:29:16,88.0
2026-04-25 06:29:17,85.5
2026-04-25 06:29:18,86.0
2026-04-25 06:29:19,91.0
2026-04-25 06:29:20,97.5
2026-04-25 06:29:21,101.0
2026-04-25 06:29:22,104.5
2026-04-25 06:29:23,106.0
2026-04-25 06:29:24,107.0
2026-04-25 06:29:25,108.5
2026-04-25 06:29:26,109.16666666666669
2026-04-25 06:29:27,109.41666666666666
2026-04-25 06:29:28,109.75
2026-04-25 06:29:29,110.0
2026-04-25 06:29:30,111.5
2026-04-25 06:29:31,112.0
2026-04-25 06:29:32,111.0
2026-04-25 06:29:33,109.0
2026-04-25 06:29:34,107.0
2026-04-25 06:29:35,105.0
2026-04-25 06:29:36,106.0
2026-04-25 06:29:37,107.5
2026-04-25 06:29:38,111.5
2026-04-25 06:29:39,114.0
2026-04-25 06:29:40,115.5
2026-04-25 06:29:41,116.5
2026-04-25 06:29:42,114.0
2026-04-25 06:29:43,109.0
2026-04-25 06:29:44,104.0
2026-04-25 06:29:45,100.5
2026-04-25 06:29:46,94.5
2026-04-25 06:29:47,92.0
2026-04-25 06:29:48,89.0
2026-04-25 06:29:49,87.0
2026-04-25 06:29:50,88.0
2026-04-25 06:29:51,89.5
2026-04-25 06:29:52,88.0
2026-04-25 06:29:53,87.5
2026-04-25 06:29:54,88.0
2026-04-25 06:29:55,85.0
2026-04-25 06:29:56,81.0
2026-04-25 06:29:57,79.0
2026-04-25 06:29:58,76.0
2026-04-25 06:29:59,74.0
2026-04-25 06:30:00,71.5
2026-04-25 06:30:01,75.0
2026-04-25 06:30:02,75.0
2026-04-25 06:30:03,74.5
2026-04-25 06:30:04,77.0
2026-04-25 06:30:05,80.5
2026-04-25 06:30:06,81.0
2026-04-25 06:30:07,83.0
2026-04-25 06:30:08,82.5
2026-04-25 06:30:09,81.5
2026-04-25 06:30:10,81.0
2026-04-25 06:30:11,80.5
2026-04-25 06:30:12,80.0
