log_time,breath_rate
2026-04-25 07:18:31,13.5
2026-04-25 07:18:32,15.0
2026-04-25 07:18:33,16.0
2026-04-25 07:18:34,15.0
2026-04-25 07:18:35,10.0
2026-04-25 07:18:36,8.041666666666668
2026-04-25 07:18:37,8.208333333333332
2026-04-25 07:18:38,8.333333333333334
2026-04-25 07:18:39,8.458333333333332
2026-04-25 07:18:40,8.583333333333334
2026-04-25 07:18:41,8.708333333333332
2026-04-25 07:18:42,8.875
2026-04-25 07:18:43,9.0
2026-04-25 07:18:44,11.0
2026-04-25 07:18:45,12.5
2026-04-25 07:18:46,16.0
2026-04-25 07:18:47,19.0
2026-04-25 07:18:48,22.0
2026-04-25 07:18:49,22.916666666666664
2026-04-25 07:18:50,22.583333333333336
2026-04-25 07:18:51,22.33333333333333
2026-04-25 07:18:52,22.083333333333336
2026-04-25 07:18:53,21.75
2026-04-25 07:18:54,21.5
2026-04-25 07:18:55,21.25
2026-04-25 07:18:56,21.0
2026-04-25 07:18:57,14.5
2026-04-25 07:18:58,10.5
2026-04-25 07:18:59,12.0
2026-04-25 07:19:00,11.5
2026-04-25 07:19:01,8.0
2026-04-25 07:19:02,8.0
2026-04-25 07:19:03,8.0
2026-04-25 07:19:04,8.0
2026-04-25 07:19:05,8.0
2026-04-25 07:19:06,8.0
2026-04-25 07:19:07,8.0
2026-04-25 07:19:08,11.0
2026-04-25 07:19:09,15.0
2026-04-25 07:19:10,17.5
2026-04-25 07:19:11,19.0
2026-04-25 07:19:12,20.5
2026-04-25 07:19:13,22.0
2026-04-25 07:19:14,21.0
2026-04-25 07:19:15,20.0
2026-04-25 07:19:16,19.5
2026-04-25 07:19:17,19.0
2026-04-25 07:19:18,18.0
2026-04-25 07:19:19,18.0
2026-04-25 07:19:20,18.5
2026-04-25 07:19:21,22.0
2026-04-25 07:19:22,24.0
2026-04-25 07:19:23,25.5
2026-04-25 07:19:24,26.5
2026-04-25 07:19:25,26.0
2026-04-25 07:19:26,25.0
2026-04-25 07:19:27,24.0
2026-04-25 07:19:28,24.0
2026-04-25 07:19:29,24.0
2026-04-25 07:19:30,23.0
2026-04-25 07:19:31,21.5
2026-04-25 07:19:32,21.0
2026-04-25 07:19:33,19.5
2026-04-25 07:19:34,17.5
2026-04-25 07:19:35,17.0
2026-04-25 07:19:36,17.5
2026-04-25 07:19:37,18.5
2026-04-25 07:19:38,17.0
2026-04-25 07:19:39,11.5
2026-04-25 07:19:40,8.0
2026-04-25 07:19:41,8.136363636363637
2026-04-25 07:19:42,8.318181818181818
2026-04-25 07:19:43,8.454545454545455
2026-04-25 07:19:44,8.59090909090909
2026-04-25 07:19:45,8.772727272727273
2026-04-25 07:19:46,8.90909090909091
2026-04-25 07:19:47,10.5
2026-04-25 07:19:48,13.0
2026-04-25 07:19:49,15.5
2026-04-25 07:19:50,16.5
2026-04-25 07:19:51,16.0
2026-04-25 07:19:52,12.0
2026-04-25 07:19:53,13.0
2026-04-25 07:19:54,12.0
2026-04-25 07:19:55,8.0
2026-04-25 07:19:56,8.0
2026-04-25 07:19:57,8.0
2026-04-25 07:19:58,8.0
2026-04-25 07:19:59,8.0
2026-04-25 07:20:00,8.0
2026-04-25 07:20:01,8.0
2026-04-25 07:20:02,9.5
2026-04-25 07:20:03,13.0
2026-04-25 07:20:04,15.0
2026-04-25 07:20:05,16.0
2026-04-25 07:20:06,17.0
2026-04-25 07:20:07,18.5
2026-04-25 07:20:08,20.5
2026-04-25 07:20:09,16.0
2026-04-25 07:20:10,17.5
2026-04-25 07:20:11,21.0
2026-04-25 07:20:12,24.0
2026-04-25 07:20:13,25.0
2026-04-25 07:20:14,26.0
2026-04-25 07:20:15,28.5
2026-04-25 07:20:16,29.5
2026-04-25 07:20:17,31.0
2026-04-25 07:20:18,30.5
2026-04-25 07:20:19,29.0
2026-04-25 07:20:20,26.0
2026-04-25 07:20:21,24.5
2026-04-25 07:20:22,24.0
2026-04-25 07:20:23,21.0
2026-04-25 07:20:24,18.5
2026-04-25 07:20:25,17.0
2026-04-25 07:20:26,15.5
2026-04-25 07:20:27,15.0
2026-04-25 07:20:28,15.0
2026-04-25 07:20:29,15.5
2026-04-25 07:20:30,18.0
2026-04-25 07:20:31,17.5
2026-04-25 07:20:32,12.0
2026-04-25 07:20:33,9.166666666666668
2026-04-25 07:20:34,9.833333333333332
2026-04-25 07:20:35,10.333333333333334
2026-04-25 07:20:36,10.833333333333332
2026-04-25 07:20:37,13.0
2026-04-25 07:20:38,16.0
2026-04-25 07:20:39,17.92857142857143
2026-04-25 07:20:40,17.714285714285715
2026-04-25 07:20:41,17.5
2026-04-25 07:20:42,17.214285714285715
2026-04-25 07:20:43,17.0
2026-04-25 07:20:44,15.5
2026-04-25 07:20:45,12.0
2026-04-25 07:20:46,8.875
2026-04-25 07:20:47,8.375
2026-04-25 07:20:48,8.0
2026-04-25 07:20:49,13.0
2026-04-25 07:20:50,16.5
2026-04-25 07:20:51,19.0
2026-04-25 07:20:52,20.0
2026-04-25 07:20:53,20.0
2026-04-25 07:20:54,20.5
2026-04-25 07:20:55,20.0
2026-04-25 07:20:56,17.0
2026-04-25 07:20:57,16.5
2026-04-25 07:20:58,17.5
2026-04-25 07:20:59,19.0
2026-04-25 07:21:00,19.0
2026-04-25 07:21:01,20.0
2026-04-25 07:21:02,20.5
2026-04-25 07:21:03,21.5
2026-04-25 07:21:04,21.0
2026-04-25 07:21:05,20.5
2026-04-25 07:21:06,20.0
2026-04-25 07:21:07,19.0
2026-04-25 07:21:08,16.5
2026-04-25 07:21:09,12.0
2026-04-25 07:21:10,9.857142857142858
2026-04-25 07:21:11,9.428571428571429
2026-04-25 07:21:12,9.0
2026-04-25 07:21:13,8.428571428571429
2026-04-25 07:21:14,8.0
2026-04-25 07:21:15,10.0
2026-04-25 07:21:16,13.0
2026-04-25 07:21:17,14.5
2026-04-25 07:21:18,15.5
2026-04-25 07:21:19,16.0
2026-04-25 07:21:20,17.0
2026-04-25 07:21:21,19.5
2026-04-25 07:21:22,19.0
2026-04-25 07:21:23,12.5
2026-04-25 07:21:24,12.0
2026-04-25 07:21:25,14.5
2026-04-25 07:21:26,15.5
2026-04-25 07:21:27,16.0
