log_time,heart_rate
2026-04-24 08:41:14,95.0
2026-04-24 08:41:15,96.0
2026-04-24 08:41:16,97.5
2026-04-24 08:41:17,95.0
2026-04-24 08:41:18,92.0
2026-04-24 08:41:19,87.0
2026-04-24 08:41:20,81.5
2026-04-24 08:41:21,77.0
2026-04-24 08:41:22,74.5
2026-04-24 08:41:23,72.0
2026-04-24 08:41:24,69.0
2026-04-24 08:41:25,66.0
2026-04-24 08:41:26,65.0
2026-04-24 08:41:27,64.5
2026-04-24 08:41:28,66.5
2026-04-24 08:41:29,70.0
2026-04-24 08:41:30,73.5
2026-04-24 08:41:31,78.0
2026-04-24 08:41:32,80.5
2026-04-24 08:41:33,83.5
2026-04-24 08:41:34,85.0
2026-04-24 08:41:35,83.5
2026-04-24 08:41:36,80.0
2026-04-24 08:41:37,78.0
2026-04-24 08:41:38,75.0
2026-04-24 08:41:39,75.0
2026-04-24 08:41:40,74.0
2026-04-24 08:41:41,72.5
2026-04-24 08:41:42,72.0
2026-04-24 08:41:43,72.0
2026-04-24 08:41:44,72.0
2026-04-24 08:41:45,72.0
2026-04-24 08:41:46,72.0
2026-04-24 08:41:47,71.0
2026-04-24 08:41:48,70.0
2026-04-24 08:41:49,70.0
2026-04-24 08:41:50,71.0
2026-04-24 08:41:51,75.0
2026-04-24 08:41:52,78.0
2026-04-24 08:41:53,82.0
2026-04-24 08:41:54,85.0
2026-04-24 08:41:55,86.0
2026-04-24 08:41:56,84.0
2026-04-24 08:41:57,81.0
2026-04-24 08:41:58,78.0
2026-04-24 08:41:59,75.0
2026-04-24 08:42:00,72.0
2026-04-24 08:42:01,69.0
2026-04-24 08:42:02,66.0
2026-04-24 08:42:03,70.0
2026-04-24 08:42:04,78.0
2026-04-24 08:42:05,82.0
2026-04-24 08:42:06,86.0
2026-04-24 08:42:07,89.0
2026-04-24 08:42:08,93.0
2026-04-24 08:42:09,94.5
2026-04-24 08:42:10,94.0
2026-04-24 08:42:11,94.5
2026-04-24 08:42:12,95.0
2026-04-24 08:42:13,94.0
2026-04-24 08:42:14,93.5
2026-04-24 08:42:15,95.0
2026-04-24 08:42:16,95.0
2026-04-24 08:42:17,94.5
2026-04-24 08:42:18,96.0
2026-04-24 08:42:19,98.5
2026-04-24 08:42:20,102.0
2026-04-24 08:42:21,104.5
2026-04-24 08:42:22,106.0
2026-04-24 08:42:23,106.0
2026-04-24 08:42:24,107.5
2026-04-24 08:42:25,110.5
2026-04-24 08:42:26,111.0
2026-04-24 08:42:27,110.5
2026-04-24 08:42:28,109.0
2026-04-24 08:42:29,107.5
2026-04-24 08:42:30,107.0
2026-04-24 08:42:31,107.0
2026-04-24 08:42:32,104.5
2026-04-24 08:42:33,104.0
2026-04-24 08:42:34,102.5
2026-04-24 08:42:35,100.5
2026-04-24 08:42:36,99.0
2026-04-24 08:42:37,98.0
2026-04-24 08:42:38,98.0
2026-04-24 08:42:39,99.0
2026-04-24 08:42:40,98.0
2026-04-24 08:42:41,97.0
2026-04-24 08:42:42,98.5
2026-04-24 08:42:43,100.0
2026-04-24 08:42:44,97.0
2026-04-24 08:42:45,94.0
2026-04-24 08:42:46,91.0
2026-04-24 08:42:47,91.0
2026-04-24 08:42:48,90.5
2026-04-24 08:42:49,89.0
2026-04-24 08:42:50,86.0
2026-04-24 08:42:51,82.5
2026-04-24 08:42:52,84.0
2026-04-24 08:42:53,87.5
2026-04-24 08:42:54,92.0
2026-04-24 08:42:55,94.0
2026-04-24 08:42:56,96.0
2026-04-24 08:42:57,97.0
2026-04-24 08:42:58,99.5
2026-04-24 08:42:59,103.5
2026-04-24 08:43:00,104.0
2026-04-24 08:43:01,102.5
2026-04-24 08:43:02,99.0
2026-04-24 08:43:03,95.0
2026-04-24 08:43:04,92.0
2026-04-24 08:43:05,90.0
2026-04-24 08:43:06,86.0
2026-04-24 08:43:07,82.0
2026-04-24 08:43:08,79.0
2026-04-24 08:43:09,77.5
2026-04-24 08:43:10,78.0
2026-04-24 08:43:11,76.0
2026-04-24 08:43:12,73.0
