log_time,breath_rate
2026-04-30 22:13:20,
2026-04-30 22:13:21,
2026-04-30 22:13:22,
2026-04-30 22:13:23,
2026-04-30 22:13:24,
2026-04-30 22:13:25,
2026-04-30 22:13:26,
2026-04-30 22:13:27,
2026-04-30 22:13:28,
2026-04-30 22:13:29,
2026-04-30 22:13:30,
2026-04-30 22:13:31,
2026-04-30 22:13:32,
2026-04-30 22:13:33,
2026-04-30 22:13:34,
2026-04-30 22:13:35,
2026-04-30 22:13:36,
2026-04-30 22:13:37,
2026-04-30 22:13:38,8.0
2026-04-30 22:13:39,8.0
2026-04-30 22:13:40,8.0
2026-04-30 22:13:41,8.0
2026-04-30 22:13:42,8.0
2026-04-30 22:13:43,8.0
2026-04-30 22:13:44,8.0
2026-04-30 22:13:45,12.5
2026-04-30 22:13:46,16.0
2026-04-30 22:13:47,20.0
2026-04-30 22:13:48,21.5
2026-04-30 22:13:49,23.0
2026-04-30 22:13:50,24.5
2026-04-30 22:13:51,26.5
2026-04-30 22:13:52,28.0
2026-04-30 22:13:53,22.5
2026-04-30 22:13:54,25.0
2026-04-30 22:13:55,24.5
2026-04-30 22:13:56,18.0
2026-04-30 22:13:57,14.0
2026-04-30 22:13:58,18.5
2026-04-30 22:13:59,22.0
2026-04-30 22:14:00,22.0
2026-04-30 22:14:01,22.0
2026-04-30 22:14:02,18.0
2026-04-30 22:14:03,18.0
2026-04-30 22:14:04,19.0
2026-04-30 22:14:05,19.0
2026-04-30 22:14:06,19.5
2026-04-30 22:14:07,21.0
2026-04-30 22:14:08,21.5
2026-04-30 22:14:09,22.0
2026-04-30 22:14:10,22.0
2026-04-30 22:14:11,21.5
2026-04-30 22:14:12,21.0
2026-04-30 22:14:13,20.0
2026-04-30 22:14:14,19.0
2026-04-30 22:14:15,18.0
2026-04-30 22:14:16,18.5
2026-04-30 22:14:17,15.0
2026-04-30 22:14:18,20.5
2026-04-30 22:14:19,23.0
2026-04-30 22:14:20,21.0
2026-04-30 22:14:21,21.0
2026-04-30 22:14:22,20.0
2026-04-30 22:14:23,19.5
2026-04-30 22:14:24,17.5
2026-04-30 22:14:25,17.0
2026-04-30 22:14:26,17.0
2026-04-30 22:14:27,14.5
2026-04-30 22:14:28,13.0
2026-04-30 22:14:29,13.0
2026-04-30 22:14:30,13.0
2026-04-30 22:14:31,14.5
2026-04-30 22:14:32,10.5
2026-04-30 22:14:33,8.9375
2026-04-30 22:14:34,8.84375
2026-04-30 22:14:35,8.75
2026-04-30 22:14:36,8.65625
2026-04-30 22:14:37,8.53125
2026-04-30 22:14:38,8.4375
2026-04-30 22:14:39,8.34375
2026-04-30 22:14:40,8.21875
2026-04-30 22:14:41,8.125
2026-04-30 22:14:42,8.03125
2026-04-30 22:14:43,8.5
2026-04-30 22:14:44,10.0
2026-04-30 22:14:45,14.0
2026-04-30 22:14:46,12.0
2026-04-30 22:14:47,10.5
2026-04-30 22:14:48,9.0
2026-04-30 22:14:49,8.0
2026-04-30 22:14:50,8.0
2026-04-30 22:14:51,8.0
2026-04-30 22:14:52,8.0
2026-04-30 22:14:53,8.0
2026-04-30 22:14:54,8.0
2026-04-30 22:14:55,8.0
2026-04-30 22:14:56,8.0
2026-04-30 22:14:57,8.0
2026-04-30 22:14:58,8.0
2026-04-30 22:14:59,8.0
2026-04-30 22:15:00,8.0
2026-04-30 22:15:01,8.0
2026-04-30 22:15:02,8.0
2026-04-30 22:15:03,8.0
2026-04-30 22:15:04,8.0
2026-04-30 22:15:05,8.5
2026-04-30 22:15:06,12.0
2026-04-30 22:15:07,15.5
2026-04-30 22:15:08,11.0
2026-04-30 22:15:09,9.75
2026-04-30 22:15:10,9.375
2026-04-30 22:15:11,9.0
2026-04-30 22:15:12,14.0
2026-04-30 22:15:13,16.0
2026-04-30 22:15:14,18.0
2026-04-30 22:15:15,19.5
2026-04-30 22:15:16,19.5
2026-04-30 22:15:17,21.0
2026-04-30 22:15:18,21.0
2026-04-30 22:15:19,20.0
2026-04-30 22:15:20,20.0
2026-04-30 22:15:21,19.0
2026-04-30 22:15:22,20.0
2026-04-30 22:15:23,21.5
2026-04-30 22:15:24,23.0
2026-04-30 22:15:25,24.5
2026-04-30 22:15:26,26.0
2026-04-30 22:15:27,27.0
2026-04-30 22:15:28,27.0
2026-04-30 22:15:29,27.0
2026-04-30 22:15:30,26.5
2026-04-30 22:15:31,24.5
2026-04-30 22:15:32,19.0
2026-04-30 22:15:33,13.0
2026-04-30 22:15:34,8.75
2026-04-30 22:15:35,8.0
2026-04-30 22:15:36,13.0
2026-04-30 22:15:37,14.0
2026-04-30 22:15:38,17.0
2026-04-30 22:15:39,18.0
2026-04-30 22:15:40,19.5
2026-04-30 22:15:41,21.0
2026-04-30 22:15:42,22.0
2026-04-30 22:15:43,22.0
2026-04-30 22:15:44,23.0
2026-04-30 22:15:45,23.0
2026-04-30 22:15:46,20.0
2026-04-30 22:15:47,18.0
2026-04-30 22:15:48,16.5
2026-04-30 22:15:49,11.5
2026-04-30 22:15:50,8.0
2026-04-30 22:15:51,8.375
2026-04-30 22:15:52,8.75
2026-04-30 22:15:53,10.5
2026-04-30 22:15:54,9.0
2026-04-30 22:15:55,8.0
2026-04-30 22:15:56,8.0
2026-04-30 22:15:57,8.0
2026-04-30 22:15:58,8.0
2026-04-30 22:15:59,8.0
2026-04-30 22:16:00,8.0
2026-04-30 22:16:01,8.0
2026-04-30 22:16:02,8.0
2026-04-30 22:16:03,8.0
2026-04-30 22:16:04,
2026-04-30 22:16:05,
2026-04-30 22:16:06,
2026-04-30 22:16:07,
2026-04-30 22:16:08,
2026-04-30 22:16:09,
2026-04-30 22:16:10,
2026-04-30 22:16:11,
2026-04-30 22:16:12,
2026-04-30 22:16:13,
2026-04-30 22:16:14,
2026-04-30 22:16:15,
2026-04-30 22:16:16,
2026-04-30 22:16:17,
2026-04-30 22:16:18,
2026-04-30 22:16:19,
2026-04-30 22:16:20,
2026-04-30 22:16:21,
2026-04-30 22:16:22,
2026-04-30 22:16:23,
2026-04-30 22:16:24,
2026-04-30 22:16:25,
2026-04-30 22:16:26,
2026-04-30 22:16:27,
2026-04-30 22:16:28,
2026-04-30 22:16:29,
2026-04-30 22:16:30,
2026-04-30 22:16:31,
2026-04-30 22:16:32,8.0
2026-04-30 22:16:33,8.0
2026-04-30 22:16:34,8.0
2026-04-30 22:16:35,8.0
2026-04-30 22:16:36,8.0
2026-04-30 22:16:37,8.0
2026-04-30 22:16:38,8.0
2026-04-30 22:16:39,12.5
2026-04-30 22:16:40,17.0
2026-04-30 22:16:41,19.0
2026-04-30 22:16:42,20.5
2026-04-30 22:16:43,21.5
2026-04-30 22:16:44,18.0
2026-04-30 22:16:45,15.5
2026-04-30 22:16:46,15.0
2026-04-30 22:16:47,13.5
2026-04-30 22:16:48,8.875
2026-04-30 22:16:49,8.5
2026-04-30 22:16:50,8.125
2026-04-30 22:16:51,10.0
2026-04-30 22:16:52,11.5
2026-04-30 22:16:53,15.0
2026-04-30 22:16:54,19.0
2026-04-30 22:16:55,17.0
2026-04-30 22:16:56,14.0
2026-04-30 22:16:57,14.0
2026-04-30 22:16:58,14.0
2026-04-30 22:16:59,14.5
2026-04-30 22:17:00,15.5
2026-04-30 22:17:01,15.0
2026-04-30 22:17:02,15.0
2026-04-30 22:17:03,14.0
2026-04-30 22:17:04,14.0
2026-04-30 22:17:05,13.5
2026-04-30 22:17:06,11.0
2026-04-30 22:17:07,8.5
2026-04-30 22:17:08,10.5
2026-04-30 22:17:09,14.0
2026-04-30 22:17:10,11.5
2026-04-30 22:17:11,8.0
2026-04-30 22:17:12,8.0
2026-04-30 22:17:13,8.0
2026-04-30 22:17:14,8.0
2026-04-30 22:17:15,8.0
2026-04-30 22:17:16,8.0
2026-04-30 22:17:17,8.0
2026-04-30 22:17:18,8.0
2026-04-30 22:17:19,8.0
2026-04-30 22:17:20,
2026-04-30 22:17:21,
2026-04-30 22:17:22,
2026-04-30 22:17:23,
2026-04-30 22:17:24,
2026-04-30 22:17:25,
2026-04-30 22:17:26,8.0
2026-04-30 22:17:27,8.0
2026-04-30 22:17:28,8.0
2026-04-30 22:17:29,8.0
