log_time,heart_rate
2026-04-30 22:13:20,103.5
2026-04-30 22:13:21,104.0
2026-04-30 22:13:22,106.5
2026-04-30 22:13:23,108.5
2026-04-30 22:13:24,108.0
2026-04-30 22:13:25,106.5
2026-04-30 22:13:26,108.0
2026-04-30 22:13:27,110.0
2026-04-30 22:13:28,114.0
2026-04-30 22:13:29,117.0
2026-04-30 22:13:30,115.5
2026-04-30 22:13:31,111.0
2026-04-30 22:13:32,105.0
2026-04-30 22:13:33,101.5
2026-04-30 22:13:34,98.0
2026-04-30 22:13:35,94.5
2026-04-30 22:13:36,91.0
2026-04-30 22:13:37,87.0
2026-04-30 22:13:38,86.5
2026-04-30 22:13:39,90.0
2026-04-30 22:13:40,89.5
2026-04-30 22:13:41,91.0
2026-04-30 22:13:42,95.0
2026-04-30 22:13:43,98.0
2026-04-30 22:13:44,98.0
2026-04-30 22:13:45,97.0
2026-04-30 22:13:46,94.5
2026-04-30 22:13:47,94.0
2026-04-30 22:13:48,92.5
2026-04-30 22:13:49,89.0
2026-04-30 22:13:50,86.5
2026-04-30 22:13:51,82.5
2026-04-30 22:13:52,79.0
2026-04-30 22:13:53,77.0
2026-04-30 22:13:54,76.0
2026-04-30 22:13:55,80.0
2026-04-30 22:13:56,86.5
2026-04-30 22:13:57,90.0
2026-04-30 22:13:58,91.0
2026-04-30 22:13:59,93.0
2026-04-30 22:14:00,95.0
2026-04-30 22:14:01,91.0
2026-04-30 22:14:02,88.0
2026-04-30 22:14:03,84.0
2026-04-30 22:14:04,80.5
2026-04-30 22:14:05,78.0
2026-04-30 22:14:06,80.5
2026-04-30 22:14:07,84.0
2026-04-30 22:14:08,87.5
2026-04-30 22:14:09,93.5
2026-04-30 22:14:10,98.0
2026-04-30 22:14:11,101.5
2026-04-30 22:14:12,104.0
2026-04-30 22:14:13,104.5
2026-04-30 22:14:14,106.5
2026-04-30 22:14:15,108.0
2026-04-30 22:14:16,111.0
2026-04-30 22:14:17,112.0
2026-04-30 22:14:18,110.5
2026-04-30 22:14:19,108.0
2026-04-30 22:14:20,105.0
2026-04-30 22:14:21,102.0
2026-04-30 22:14:22,101.0
2026-04-30 22:14:23,100.0
2026-04-30 22:14:24,99.5
2026-04-30 22:14:25,98.0
2026-04-30 22:14:26,98.92857142857143
2026-04-30 22:14:27,98.64285714285714
2026-04-30 22:14:28,98.42857142857144
2026-04-30 22:14:29,98.21428571428571
2026-04-30 22:14:30,98.0
2026-04-30 22:14:31,97.4375
2026-04-30 22:14:32,96.6875
2026-04-30 22:14:33,96.125
2026-04-30 22:14:34,95.5625
2026-04-30 22:14:35,95.0
2026-04-30 22:14:36,91.5
2026-04-30 22:14:37,86.5
2026-04-30 22:14:38,84.0
2026-04-30 22:14:39,83.0
2026-04-30 22:14:40,86.5
2026-04-30 22:14:41,90.0
2026-04-30 22:14:42,93.5
2026-04-30 22:14:43,98.0
2026-04-30 22:14:44,103.0
2026-04-30 22:14:45,107.5
2026-04-30 22:14:46,110.0
2026-04-30 22:14:47,107.0
2026-04-30 22:14:48,101.5
2026-04-30 22:14:49,98.0
2026-04-30 22:14:50,95.5
2026-04-30 22:14:51,95.0
2026-04-30 22:14:52,93.5
