log_time,heart_rate
2026-04-30 07:36:04,72.0
2026-04-30 07:36:05,69.0
2026-04-30 07:36:06,70.0
2026-04-30 07:36:07,70.0
2026-04-30 07:36:08,70.5
2026-04-30 07:36:09,70.0
2026-04-30 07:36:10,68.5
2026-04-30 07:36:11,67.0
2026-04-30 07:36:12,67.5
2026-04-30 07:36:13,72.0
2026-04-30 07:36:14,76.0
2026-04-30 07:36:15,79.5
2026-04-30 07:36:16,81.5
2026-04-30 07:36:17,84.0
2026-04-30 07:36:18,83.5
2026-04-30 07:36:19,81.5
2026-04-30 07:36:20,82.0
2026-04-30 07:36:21,81.5
2026-04-30 07:36:22,80.0
2026-04-30 07:36:23,81.0
2026-04-30 07:36:24,84.5
2026-04-30 07:36:25,86.0
2026-04-30 07:36:26,87.5
2026-04-30 07:36:27,90.5
2026-04-30 07:36:28,93.0
2026-04-30 07:36:29,96.0
2026-04-30 07:36:30,100.0
2026-04-30 07:36:31,101.0
2026-04-30 07:36:32,102.5
2026-04-30 07:36:33,104.0
2026-04-30 07:36:34,104.0
2026-04-30 07:36:35,104.0
2026-04-30 07:36:36,103.0
2026-04-30 07:36:37,106.5
2026-04-30 07:36:38,109.0
2026-04-30 07:36:39,106.0
2026-04-30 07:36:40,102.5
2026-04-30 07:36:41,96.5
2026-04-30 07:36:42,93.0
2026-04-30 07:36:43,90.0
2026-04-30 07:36:44,87.0
2026-04-30 07:36:45,84.0
2026-04-30 07:36:46,82.5
2026-04-30 07:36:47,81.0
2026-04-30 07:36:48,80.5
2026-04-30 07:36:49,80.0
2026-04-30 07:36:50,78.0
2026-04-30 07:36:51,81.0
2026-04-30 07:36:52,87.5
2026-04-30 07:36:53,93.0
2026-04-30 07:36:54,96.5
2026-04-30 07:36:55,100.5
2026-04-30 07:36:56,103.0
2026-04-30 07:36:57,105.0
2026-04-30 07:36:58,101.0
2026-04-30 07:36:59,97.0
2026-04-30 07:37:00,92.5
2026-04-30 07:37:01,90.0
2026-04-30 07:37:02,90.0
2026-04-30 07:37:03,93.5
2026-04-30 07:37:04,97.0
2026-04-30 07:37:05,100.5
2026-04-30 07:37:06,103.0
2026-04-30 07:37:07,104.0
2026-04-30 07:37:08,106.5
2026-04-30 07:37:09,108.0
2026-04-30 07:37:10,109.5
2026-04-30 07:37:11,111.5
2026-04-30 07:37:12,112.0
2026-04-30 07:37:13,107.5
2026-04-30 07:37:14,101.0
2026-04-30 07:37:15,95.5
2026-04-30 07:37:16,90.5
2026-04-30 07:37:17,88.0
2026-04-30 07:37:18,87.5
2026-04-30 07:37:19,90.0
2026-04-30 07:37:20,92.0
2026-04-30 07:37:21,92.5
2026-04-30 07:37:22,93.0
2026-04-30 07:37:23,89.5
2026-04-30 07:37:24,85.0
2026-04-30 07:37:25,82.0
2026-04-30 07:37:26,84.5
2026-04-30 07:37:27,81.5
2026-04-30 07:37:28,79.83333333333333
2026-04-30 07:37:29,78.0
2026-04-30 07:37:30,75.0
2026-04-30 07:37:31,74.0
2026-04-30 07:37:32,73.0
2026-04-30 07:37:33,77.5
2026-04-30 07:37:34,82.0
2026-04-30 07:37:35,88.0
2026-04-30 07:37:36,95.0
2026-04-30 07:37:37,99.0
2026-04-30 07:37:38,101.5
2026-04-30 07:37:39,101.0
2026-04-30 07:37:40,104.5
2026-04-30 07:37:41,108.5
2026-04-30 07:37:42,111.0
2026-04-30 07:37:43,108.5
2026-04-30 07:37:44,104.0
2026-04-30 07:37:45,101.5
2026-04-30 07:37:46,98.0
2026-04-30 07:37:47,97.0
2026-04-30 07:37:48,96.0
2026-04-30 07:37:49,98.0
2026-04-30 07:37:50,100.0
2026-04-30 07:37:51,103.0
2026-04-30 07:37:52,105.5
2026-04-30 07:37:53,107.0
2026-04-30 07:37:54,107.95833333333334
2026-04-30 07:37:55,107.80555555555556
2026-04-30 07:37:56,107.52083333333334
2026-04-30 07:37:57,107.23611111111111
2026-04-30 07:37:58,107.11111111111111
2026-04-30 07:37:59,107.02777777777776
2026-04-30 07:38:00,107.0
2026-04-30 07:38:01,103.5
2026-04-30 07:38:02,99.0
2026-04-30 07:38:03,95.5
2026-04-30 07:38:04,89.0
2026-04-30 07:38:05,86.0
2026-04-30 07:38:06,85.0
2026-04-30 07:38:07,85.0
2026-04-30 07:38:08,85.0
2026-04-30 07:38:09,86.0
2026-04-30 07:38:10,87.0
2026-04-30 07:38:11,87.0
2026-04-30 07:38:12,92.5
2026-04-30 07:38:13,97.0
2026-04-30 07:38:14,101.0
2026-04-30 07:38:15,104.5
2026-04-30 07:38:16,106.0
2026-04-30 07:38:17,107.5
2026-04-30 07:38:18,109.5
2026-04-30 07:38:19,111.0
2026-04-30 07:38:20,107.0
2026-04-30 07:38:21,105.0
2026-04-30 07:38:22,106.5
2026-04-30 07:38:23,108.0
2026-04-30 07:38:24,109.0
2026-04-30 07:38:25,110.5
2026-04-30 07:38:26,112.0
2026-04-30 07:38:27,113.5
2026-04-30 07:38:28,116.5
2026-04-30 07:38:29,118.0
2026-04-30 07:38:30,118.5
2026-04-30 07:38:31,119.0
2026-04-30 07:38:32,117.5
2026-04-30 07:38:33,116.0
2026-04-30 07:38:34,115.0
2026-04-30 07:38:35,113.5
2026-04-30 07:38:36,112.0
2026-04-30 07:38:37,108.0
2026-04-30 07:38:38,108.5
2026-04-30 07:38:39,110.0
2026-04-30 07:38:40,112.0
2026-04-30 07:38:41,113.5
2026-04-30 07:38:42,115.0
2026-04-30 07:38:43,114.0
2026-04-30 07:38:44,113.0
2026-04-30 07:38:45,112.5
2026-04-30 07:38:46,108.0
2026-04-30 07:38:47,106.0
2026-04-30 07:38:48,106.5
2026-04-30 07:38:49,106.0
2026-04-30 07:38:50,108.0
2026-04-30 07:38:51,109.5
