log_time,heart_rate
2026-04-27 06:32:56,86.0
2026-04-27 06:32:57,83.5
2026-04-27 06:32:58,80.0
2026-04-27 06:32:59,78.0
2026-04-27 06:33:00,77.5
2026-04-27 06:33:01,78.0
2026-04-27 06:33:02,78.0
2026-04-27 06:33:03,77.5
2026-04-27 06:33:04,76.0
2026-04-27 06:33:05,74.5
2026-04-27 06:33:06,71.5
2026-04-27 06:33:07,70.0
2026-04-27 06:33:08,69.5
2026-04-27 06:33:09,68.0
2026-04-27 06:33:10,68.0
2026-04-27 06:33:11,73.5
2026-04-27 06:33:12,79.0
2026-04-27 06:33:13,84.5
2026-04-27 06:33:14,89.5
2026-04-27 06:33:15,91.0
2026-04-27 06:33:16,93.0
2026-04-27 06:33:17,97.0
2026-04-27 06:33:18,98.0
2026-04-27 06:33:19,99.0
2026-04-27 06:33:20,98.0
2026-04-27 06:33:21,100.0
2026-04-27 06:33:22,102.0
2026-04-27 06:33:23,104.0
2026-04-27 06:33:24,104.5
2026-04-27 06:33:25,100.0
2026-04-27 06:33:26,95.0
2026-04-27 06:33:27,92.5
2026-04-27 06:33:28,95.5
2026-04-27 06:33:29,99.0
2026-04-27 06:33:30,101.5
2026-04-27 06:33:31,104.0
2026-04-27 06:33:32,105.0
2026-04-27 06:33:33,106.0
2026-04-27 06:33:34,107.5
2026-04-27 06:33:35,106.5
2026-04-27 06:33:36,103.0
2026-04-27 06:33:37,98.5
2026-04-27 06:33:38,91.0
2026-04-27 06:33:39,85.0
2026-04-27 06:33:40,82.5
2026-04-27 06:33:41,82.0
2026-04-27 06:33:42,80.5
2026-04-27 06:33:43,77.5
2026-04-27 06:33:44,76.0
2026-04-27 06:33:45,74.0
2026-04-27 06:33:46,75.0
2026-04-27 06:33:47,75.0
2026-04-27 06:33:48,73.5
2026-04-27 06:33:49,74.0
2026-04-27 06:33:50,75.0
2026-04-27 06:33:51,75.0
2026-04-27 06:33:52,76.0
2026-04-27 06:33:53,77.0
2026-04-27 06:33:54,75.5
2026-04-27 06:33:55,74.0
2026-04-27 06:33:56,74.5
2026-04-27 06:33:57,75.11111111111111
2026-04-27 06:33:58,75.27777777777777
2026-04-27 06:33:59,75.5
2026-04-27 06:34:00,75.66666666666667
2026-04-27 06:34:01,75.83333333333333
2026-04-27 06:34:02,76.0
2026-04-27 06:34:03,76.0
2026-04-27 06:34:04,75.0
2026-04-27 06:34:05,76.0
2026-04-27 06:34:06,78.0
2026-04-27 06:34:07,80.0
2026-04-27 06:34:08,83.0
2026-04-27 06:34:09,81.5
2026-04-27 06:34:10,80.0
2026-04-27 06:34:11,79.0
2026-04-27 06:34:12,76.0
2026-04-27 06:34:13,73.0
2026-04-27 06:34:14,70.5
2026-04-27 06:34:15,69.5
2026-04-27 06:34:16,68.0
2026-04-27 06:34:17,70.5
2026-04-27 06:34:18,79.5
2026-04-27 06:34:19,81.0
2026-04-27 06:34:20,84.0
2026-04-27 06:34:21,87.0
2026-04-27 06:34:22,90.0
2026-04-27 06:34:23,93.0
2026-04-27 06:34:24,93.0
2026-04-27 06:34:25,94.5
2026-04-27 06:34:26,97.0
2026-04-27 06:34:27,96.0
2026-04-27 06:34:28,92.5
2026-04-27 06:34:29,89.0
2026-04-27 06:34:30,87.0
2026-04-27 06:34:31,84.0
2026-04-27 06:34:32,81.0
2026-04-27 06:34:33,78.5
2026-04-27 06:34:34,81.0
2026-04-27 06:34:35,86.0
2026-04-27 06:34:36,91.0
2026-04-27 06:34:37,94.0
2026-04-27 06:34:38,94.5
2026-04-27 06:34:39,97.0
2026-04-27 06:34:40,97.5
2026-04-27 06:34:41,99.0
2026-04-27 06:34:42,99.0
2026-04-27 06:34:43,99.0
2026-04-27 06:34:44,100.5
2026-04-27 06:34:45,102.0
2026-04-27 06:34:46,100.5
2026-04-27 06:34:47,99.0
2026-04-27 06:34:48,98.0
2026-04-27 06:34:49,96.5
2026-04-27 06:34:50,96.0
2026-04-27 06:34:51,96.0
2026-04-27 06:34:52,94.5
2026-04-27 06:34:53,91.0
2026-04-27 06:34:54,87.0
2026-04-27 06:34:55,83.5
2026-04-27 06:34:56,83.0
2026-04-27 06:34:57,83.0
2026-04-27 06:34:58,86.0
2026-04-27 06:34:59,86.5
2026-04-27 06:35:00,88.0
2026-04-27 06:35:01,89.0
2026-04-27 06:35:02,90.5
2026-04-27 06:35:03,95.0
2026-04-27 06:35:04,98.0
2026-04-27 06:35:05,99.0
2026-04-27 06:35:06,100.0
2026-04-27 06:35:07,103.0
2026-04-27 06:35:08,106.0
2026-04-27 06:35:09,109.0
