log_time,breath_rate
2026-04-26 22:18:28,8.0
2026-04-26 22:18:29,8.0
2026-04-26 22:18:30,12.5
2026-04-26 22:18:31,18.0
2026-04-26 22:18:32,22.0
2026-04-26 22:18:33,23.833333333333336
2026-04-26 22:18:34,23.166666666666664
2026-04-26 22:18:35,22.666666666666668
2026-04-26 22:18:36,22.166666666666664
2026-04-26 22:18:37,21.0
2026-04-26 22:18:38,19.0
2026-04-26 22:18:39,17.0
2026-04-26 22:18:40,18.0
2026-04-26 22:18:41,18.0
2026-04-26 22:18:42,18.0
2026-04-26 22:18:43,17.0
2026-04-26 22:18:44,16.0
2026-04-26 22:18:45,14.0
2026-04-26 22:18:46,9.5
2026-04-26 22:18:47,8.005357142857143
2026-04-26 22:18:48,8.010714285714286
2026-04-26 22:18:49,8.01607142857143
2026-04-26 22:18:50,8.021428571428572
2026-04-26 22:18:51,8.026785714285715
2026-04-26 22:18:52,8.033928571428572
2026-04-26 22:18:53,8.061449579831933
2026-04-26 22:18:54,8.088970588235295
2026-04-26 22:18:55,
2026-04-26 22:18:56,
2026-04-26 22:18:57,
2026-04-26 22:18:58,
2026-04-26 22:18:59,
2026-04-26 22:19:00,
2026-04-26 22:19:01,
2026-04-26 22:19:02,
2026-04-26 22:19:03,
2026-04-26 22:19:04,
2026-04-26 22:19:05,
2026-04-26 22:19:06,
2026-04-26 22:19:07,
2026-04-26 22:19:08,
2026-04-26 22:19:09,
2026-04-26 22:19:10,
2026-04-26 22:19:11,
2026-04-26 22:19:12,
2026-04-26 22:19:13,
2026-04-26 22:19:14,
2026-04-26 22:19:15,
2026-04-26 22:19:16,
2026-04-26 22:19:17,
2026-04-26 22:19:18,
2026-04-26 22:19:19,
2026-04-26 22:19:20,
2026-04-26 22:19:21,
2026-04-26 22:19:22,
2026-04-26 22:19:23,
2026-04-26 22:19:24,
2026-04-26 22:19:25,
2026-04-26 22:19:26,8.969642857142857
2026-04-26 22:19:27,8.978571428571428
2026-04-26 22:19:28,8.98392857142857
2026-04-26 22:19:29,8.989285714285714
2026-04-26 22:19:30,8.994642857142857
2026-04-26 22:19:31,10.5
2026-04-26 22:19:32,16.0
2026-04-26 22:19:33,19.0
2026-04-26 22:19:34,21.0
2026-04-26 22:19:35,22.0
2026-04-26 22:19:36,22.0
2026-04-26 22:19:37,23.0
2026-04-26 22:19:38,24.5
2026-04-26 22:19:39,17.0
2026-04-26 22:19:40,12.0
2026-04-26 22:19:41,9.045454545454547
2026-04-26 22:19:42,9.181818181818182
2026-04-26 22:19:43,9.318181818181817
2026-04-26 22:19:44,9.5
2026-04-26 22:19:45,9.636363636363637
2026-04-26 22:19:46,9.772727272727273
2026-04-26 22:19:47,9.90909090909091
2026-04-26 22:19:48,11.5
2026-04-26 22:19:49,16.5
2026-04-26 22:19:50,13.0
2026-04-26 22:19:51,15.0
2026-04-26 22:19:52,19.0
2026-04-26 22:19:53,22.0
2026-04-26 22:19:54,22.0
2026-04-26 22:19:55,23.0
2026-04-26 22:19:56,22.5
2026-04-26 22:19:57,22.0
2026-04-26 22:19:58,21.0
2026-04-26 22:19:59,20.5
2026-04-26 22:20:00,20.0
2026-04-26 22:20:01,20.0
2026-04-26 22:20:02,21.0
2026-04-26 22:20:03,22.0
2026-04-26 22:20:04,22.5
2026-04-26 22:20:05,22.5
2026-04-26 22:20:06,19.0
2026-04-26 22:20:07,17.5
2026-04-26 22:20:08,16.0
2026-04-26 22:20:09,12.5
2026-04-26 22:20:10,8.001519756838906
2026-04-26 22:20:11,8.006079027355623
2026-04-26 22:20:12,8.01063829787234
2026-04-26 22:20:13,8.016717325227964
2026-04-26 22:20:14,8.02127659574468
2026-04-26 22:20:15,8.0258358662614
2026-04-26 22:20:16,8.030395136778116
2026-04-26 22:20:17,8.046313945700891
2026-04-26 22:20:18,8.062232754623668
2026-04-26 22:20:19,
2026-04-26 22:20:20,
2026-04-26 22:20:21,
2026-04-26 22:20:22,
2026-04-26 22:20:23,
2026-04-26 22:20:24,
2026-04-26 22:20:25,
2026-04-26 22:20:26,
2026-04-26 22:20:27,
2026-04-26 22:20:28,
2026-04-26 22:20:29,
2026-04-26 22:20:30,
2026-04-26 22:20:31,
2026-04-26 22:20:32,
2026-04-26 22:20:33,
2026-04-26 22:20:34,
2026-04-26 22:20:35,
2026-04-26 22:20:36,
2026-04-26 22:20:37,
2026-04-26 22:20:38,
2026-04-26 22:20:39,
2026-04-26 22:20:40,
2026-04-26 22:20:41,
2026-04-26 22:20:42,
2026-04-26 22:20:43,
2026-04-26 22:20:44,
2026-04-26 22:20:45,
2026-04-26 22:20:46,
2026-04-26 22:20:47,
2026-04-26 22:20:48,
2026-04-26 22:20:49,
2026-04-26 22:20:50,
2026-04-26 22:20:51,
2026-04-26 22:20:52,
2026-04-26 22:20:53,
2026-04-26 22:20:54,
2026-04-26 22:20:55,
2026-04-26 22:20:56,
2026-04-26 22:20:57,
2026-04-26 22:20:58,
2026-04-26 22:20:59,
2026-04-26 22:21:00,
2026-04-26 22:21:01,
2026-04-26 22:21:02,
2026-04-26 22:21:03,
2026-04-26 22:21:04,
2026-04-26 22:21:05,
2026-04-26 22:21:06,
2026-04-26 22:21:07,
2026-04-26 22:21:08,
2026-04-26 22:21:09,
2026-04-26 22:21:10,
2026-04-26 22:21:11,
2026-04-26 22:21:12,
2026-04-26 22:21:13,
2026-04-26 22:21:14,
2026-04-26 22:21:15,8.969604863221885
2026-04-26 22:21:16,8.977203647416413
2026-04-26 22:21:17,8.984802431610943
2026-04-26 22:21:18,8.987841945288753
2026-04-26 22:21:19,8.992401215805472
2026-04-26 22:21:20,8.998480243161094
2026-04-26 22:21:21,13.0
2026-04-26 22:21:22,16.0
2026-04-26 22:21:23,18.0
2026-04-26 22:21:24,19.0
2026-04-26 22:21:25,20.5
2026-04-26 22:21:26,21.0
2026-04-26 22:21:27,20.0
2026-04-26 22:21:28,20.0
2026-04-26 22:21:29,19.0
2026-04-26 22:21:30,17.5
2026-04-26 22:21:31,16.0
2026-04-26 22:21:32,16.5
2026-04-26 22:21:33,19.5
2026-04-26 22:21:34,13.5
2026-04-26 22:21:35,9.0
2026-04-26 22:21:36,8.7
2026-04-26 22:21:37,8.3
2026-04-26 22:21:38,8.0
2026-04-26 22:21:39,11.0
2026-04-26 22:21:40,18.0
2026-04-26 22:21:41,15.0
2026-04-26 22:21:42,9.0
2026-04-26 22:21:43,8.0
2026-04-26 22:21:44,13.5
2026-04-26 22:21:45,21.0
2026-04-26 22:21:46,23.0
2026-04-26 22:21:47,25.5
2026-04-26 22:21:48,25.0
2026-04-26 22:21:49,24.92760180995475
2026-04-26 22:21:50,24.828054298642535
2026-04-26 22:21:51,24.668306118433996
2026-04-26 22:21:52,24.508557938225458
2026-04-26 22:21:53,
2026-04-26 22:21:54,
2026-04-26 22:21:55,
2026-04-26 22:21:56,
2026-04-26 22:21:57,
2026-04-26 22:21:58,
2026-04-26 22:21:59,
2026-04-26 22:22:00,
2026-04-26 22:22:01,
2026-04-26 22:22:02,
2026-04-26 22:22:03,
2026-04-26 22:22:04,
2026-04-26 22:22:05,
2026-04-26 22:22:06,
2026-04-26 22:22:07,
2026-04-26 22:22:08,
2026-04-26 22:22:09,
2026-04-26 22:22:10,
2026-04-26 22:22:11,
2026-04-26 22:22:12,
2026-04-26 22:22:13,21.153846153846153
2026-04-26 22:22:14,21.063348416289593
2026-04-26 22:22:15,18.5
2026-04-26 22:22:16,12.0
2026-04-26 22:22:17,9.916666666666668
2026-04-26 22:22:18,9.583333333333332
2026-04-26 22:22:19,9.333333333333334
2026-04-26 22:22:20,9.083333333333332
2026-04-26 22:22:21,12.0
2026-04-26 22:22:22,16.0
2026-04-26 22:22:23,16.5
2026-04-26 22:22:24,17.5
2026-04-26 22:22:25,19.0
2026-04-26 22:22:26,18.5
2026-04-26 22:22:27,13.0
2026-04-26 22:22:28,9.0
2026-04-26 22:22:29,11.0
2026-04-26 22:22:30,12.5
2026-04-26 22:22:31,16.0
2026-04-26 22:22:32,17.0
2026-04-26 22:22:33,18.0
2026-04-26 22:22:34,18.5
2026-04-26 22:22:35,20.0
2026-04-26 22:22:36,20.5
2026-04-26 22:22:37,19.0
2026-04-26 22:22:38,13.0
2026-04-26 22:22:39,9.0
2026-04-26 22:22:40,11.0
2026-04-26 22:22:41,14.0
2026-04-26 22:22:42,17.0
2026-04-26 22:22:43,21.0
2026-04-26 22:22:44,22.0
2026-04-26 22:22:45,23.5
2026-04-26 22:22:46,25.5
2026-04-26 22:22:47,26.0
2026-04-26 22:22:48,26.5
2026-04-26 22:22:49,20.0
2026-04-26 22:22:50,13.5
2026-04-26 22:22:51,9.5
2026-04-26 22:22:52,11.0
2026-04-26 22:22:53,13.5
2026-04-26 22:22:54,16.5
2026-04-26 22:22:55,17.0
2026-04-26 22:22:56,18.5
2026-04-26 22:22:57,20.5
2026-04-26 22:22:58,20.0
2026-04-26 22:22:59,14.5
2026-04-26 22:23:00,11.0
2026-04-26 22:23:01,8.0
2026-04-26 22:23:02,8.0
2026-04-26 22:23:03,8.0
2026-04-26 22:23:04,8.0
2026-04-26 22:23:05,8.0
2026-04-26 22:23:06,8.0
2026-04-26 22:23:07,8.0
2026-04-26 22:23:08,8.0
2026-04-26 22:23:09,9.0
2026-04-26 22:23:10,12.0
2026-04-26 22:23:11,15.0
2026-04-26 22:23:12,19.5
2026-04-26 22:23:13,21.0
2026-04-26 22:23:14,21.5
2026-04-26 22:23:15,22.0
2026-04-26 22:23:16,22.0
2026-04-26 22:23:17,22.5
2026-04-26 22:23:18,23.0
2026-04-26 22:23:19,23.0
2026-04-26 22:23:20,24.5
2026-04-26 22:23:21,25.0
2026-04-26 22:23:22,26.0
2026-04-26 22:23:23,27.0
2026-04-26 22:23:24,27.0
2026-04-26 22:23:25,26.5
2026-04-26 22:23:26,25.0
2026-04-26 22:23:27,24.5
2026-04-26 22:23:28,22.5
2026-04-26 22:23:29,21.0
2026-04-26 22:23:30,19.5
2026-04-26 22:23:31,18.0
2026-04-26 22:23:32,16.5
2026-04-26 22:23:33,10.5
2026-04-26 22:23:34,8.0
2026-04-26 22:23:35,8.0
2026-04-26 22:23:36,8.5
2026-04-26 22:23:37,10.0
2026-04-26 22:23:38,11.5
2026-04-26 22:23:39,14.0
2026-04-26 22:23:40,17.0
2026-04-26 22:23:41,12.5
2026-04-26 22:23:42,8.0
2026-04-26 22:23:43,8.0
2026-04-26 22:23:44,8.5
2026-04-26 22:23:45,10.0
2026-04-26 22:23:46,11.0
2026-04-26 22:23:47,9.0
2026-04-26 22:23:48,8.996753246753247
2026-04-26 22:23:49,8.992424242424242
2026-04-26 22:23:50,8.98917748917749
2026-04-26 22:23:51,8.985930735930737
2026-04-26 22:23:52,8.982683982683982
2026-04-26 22:23:53,8.980519480519481
2026-04-26 22:23:54,8.97943722943723
2026-04-26 22:23:55,8.978354978354979
2026-04-26 22:23:56,8.959894272394273
2026-04-26 22:23:57,8.941433566433567
2026-04-26 22:23:58,
2026-04-26 22:23:59,
2026-04-26 22:24:00,
2026-04-26 22:24:01,
2026-04-26 22:24:02,
2026-04-26 22:24:03,
2026-04-26 22:24:04,
2026-04-26 22:24:05,
2026-04-26 22:24:06,
2026-04-26 22:24:07,
2026-04-26 22:24:08,
2026-04-26 22:24:09,
2026-04-26 22:24:10,
2026-04-26 22:24:11,
2026-04-26 22:24:12,
2026-04-26 22:24:13,
2026-04-26 22:24:14,
2026-04-26 22:24:15,
2026-04-26 22:24:16,
2026-04-26 22:24:17,
2026-04-26 22:24:18,
2026-04-26 22:24:19,
2026-04-26 22:24:20,
2026-04-26 22:24:21,
2026-04-26 22:24:22,
2026-04-26 22:24:23,
2026-04-26 22:24:24,
2026-04-26 22:24:25,
2026-04-26 22:24:26,
2026-04-26 22:24:27,
2026-04-26 22:24:28,
2026-04-26 22:24:29,
2026-04-26 22:24:30,
2026-04-26 22:24:31,
2026-04-26 22:24:32,
2026-04-26 22:24:33,
2026-04-26 22:24:34,
2026-04-26 22:24:35,
2026-04-26 22:24:36,
2026-04-26 22:24:37,
2026-04-26 22:24:38,
2026-04-26 22:24:39,
2026-04-26 22:24:40,
2026-04-26 22:24:41,
2026-04-26 22:24:42,
2026-04-26 22:24:43,
2026-04-26 22:24:44,
2026-04-26 22:24:45,
2026-04-26 22:24:46,
2026-04-26 22:24:47,8.018398268398268
2026-04-26 22:24:48,8.015151515151516
2026-04-26 22:24:49,8.011904761904763
2026-04-26 22:24:50,8.007575757575758
2026-04-26 22:24:51,8.003246753246753
2026-04-26 22:24:52,8.0
2026-04-26 22:24:53,11.0
2026-04-26 22:24:54,13.0
2026-04-26 22:24:55,10.5
2026-04-26 22:24:56,11.5
2026-04-26 22:24:57,12.0
2026-04-26 22:24:58,13.0
2026-04-26 22:24:59,16.0
2026-04-26 22:25:00,19.0
2026-04-26 22:25:01,20.5
2026-04-26 22:25:02,21.0
2026-04-26 22:25:03,22.0
2026-04-26 22:25:04,20.5
2026-04-26 22:25:05,20.0
2026-04-26 22:25:06,19.5
2026-04-26 22:25:07,19.0
2026-04-26 22:25:08,19.5
2026-04-26 22:25:09,20.5
2026-04-26 22:25:10,22.0
2026-04-26 22:25:11,22.0
2026-04-26 22:25:12,23.0
2026-04-26 22:25:13,23.0
2026-04-26 22:25:14,20.0
2026-04-26 22:25:15,18.0
2026-04-26 22:25:16,17.5
2026-04-26 22:25:17,15.0
2026-04-26 22:25:18,10.0
2026-04-26 22:25:19,8.1
2026-04-26 22:25:20,8.4
2026-04-26 22:25:21,8.7
2026-04-26 22:25:22,9.5
2026-04-26 22:25:23,8.0
2026-04-26 22:25:24,8.5
2026-04-26 22:25:25,10.5
2026-04-26 22:25:26,10.0
2026-04-26 22:25:27,8.001152073732719
2026-04-26 22:25:28,8.004608294930875
2026-04-26 22:25:29,8.006912442396313
2026-04-26 22:25:30,8.011520737327189
2026-04-26 22:25:31,8.016129032258064
2026-04-26 22:25:32,8.034628677773838
2026-04-26 22:25:33,8.053128323289613
2026-04-26 22:25:34,
2026-04-26 22:25:35,
2026-04-26 22:25:36,
2026-04-26 22:25:37,
2026-04-26 22:25:38,
2026-04-26 22:25:39,
2026-04-26 22:25:40,
2026-04-26 22:25:41,
2026-04-26 22:25:42,
2026-04-26 22:25:43,
2026-04-26 22:25:44,
2026-04-26 22:25:45,
2026-04-26 22:25:46,
2026-04-26 22:25:47,
2026-04-26 22:25:48,
2026-04-26 22:25:49,
2026-04-26 22:25:50,
2026-04-26 22:25:51,
2026-04-26 22:25:52,
2026-04-26 22:25:53,
2026-04-26 22:25:54,
2026-04-26 22:25:55,
2026-04-26 22:25:56,
2026-04-26 22:25:57,
2026-04-26 22:25:58,
2026-04-26 22:25:59,
2026-04-26 22:26:00,
2026-04-26 22:26:01,
2026-04-26 22:26:02,
2026-04-26 22:26:03,
2026-04-26 22:26:04,
2026-04-26 22:26:05,
2026-04-26 22:26:06,
2026-04-26 22:26:07,
2026-04-26 22:26:08,
