log_time,heart_rate
2026-04-26 22:18:28,79.0
2026-04-26 22:18:29,78.0
2026-04-26 22:18:30,76.5
2026-04-26 22:18:31,75.0
2026-04-26 22:18:32,75.0
2026-04-26 22:18:33,74.5
2026-04-26 22:18:34,72.5
2026-04-26 22:18:35,72.0
2026-04-26 22:18:36,74.0
2026-04-26 22:18:37,76.0
2026-04-26 22:18:38,80.5
2026-04-26 22:18:39,85.0
2026-04-26 22:18:40,90.0
2026-04-26 22:18:41,94.5
2026-04-26 22:18:42,97.0
2026-04-26 22:18:43,98.0
2026-04-26 22:18:44,98.5
2026-04-26 22:18:45,96.0
2026-04-26 22:18:46,93.5
2026-04-26 22:18:47,92.5
2026-04-26 22:18:48,92.0
2026-04-26 22:18:49,92.5
2026-04-26 22:18:50,94.0
2026-04-26 22:18:51,96.0
2026-04-26 22:18:52,100.0
2026-04-26 22:18:53,102.0
2026-04-26 22:18:54,101.5
2026-04-26 22:18:55,98.0
2026-04-26 22:18:56,94.98449612403101
2026-04-26 22:18:57,94.94186046511628
2026-04-26 22:18:58,94.87472314507198
2026-04-26 22:18:59,94.80758582502769
2026-04-26 22:19:00,
2026-04-26 22:19:01,
2026-04-26 22:19:02,
2026-04-26 22:19:03,
2026-04-26 22:19:04,
2026-04-26 22:19:05,
2026-04-26 22:19:06,
2026-04-26 22:19:07,
2026-04-26 22:19:08,
2026-04-26 22:19:09,
2026-04-26 22:19:10,
2026-04-26 22:19:11,
2026-04-26 22:19:12,
2026-04-26 22:19:13,
2026-04-26 22:19:14,
2026-04-26 22:19:15,
2026-04-26 22:19:16,
2026-04-26 22:19:17,
2026-04-26 22:19:18,
2026-04-26 22:19:19,
2026-04-26 22:19:20,
2026-04-26 22:19:21,
2026-04-26 22:19:22,
2026-04-26 22:19:23,
2026-04-26 22:19:24,
2026-04-26 22:19:25,93.06201550387597
2026-04-26 22:19:26,93.02325581395348
2026-04-26 22:19:27,93.0
2026-04-26 22:19:28,92.5
2026-04-26 22:19:29,92.0
2026-04-26 22:19:30,92.5
2026-04-26 22:19:31,95.0
2026-04-26 22:19:32,98.0
2026-04-26 22:19:33,100.0
2026-04-26 22:19:34,103.5
2026-04-26 22:19:35,104.0
2026-04-26 22:19:36,104.5
2026-04-26 22:19:37,103.83333333333331
2026-04-26 22:19:38,103.58333333333334
2026-04-26 22:19:39,103.25
2026-04-26 22:19:40,103.0
2026-04-26 22:19:41,102.0
2026-04-26 22:19:42,100.0
2026-04-26 22:19:43,98.5
