log_time,breath_rate
2026-04-22 07:48:35,17.0
2026-04-22 07:48:36,16.0
2026-04-22 07:48:37,15.0
2026-04-22 07:48:38,16.5
2026-04-22 07:48:39,12.0
2026-04-22 07:48:40,14.0
2026-04-22 07:48:41,16.0
2026-04-22 07:48:42,19.0
2026-04-22 07:48:43,20.0
2026-04-22 07:48:44,20.0
2026-04-22 07:48:45,19.5
2026-04-22 07:48:46,20.0
2026-04-22 07:48:47,20.0
2026-04-22 07:48:48,18.0
2026-04-22 07:48:49,13.0
2026-04-22 07:48:50,9.0
2026-04-22 07:48:51,8.0
2026-04-22 07:48:52,8.0
2026-04-22 07:48:53,8.0
2026-04-22 07:48:54,8.0
2026-04-22 07:48:55,8.0
2026-04-22 07:48:56,8.0
2026-04-22 07:48:57,8.0
2026-04-22 07:48:58,8.0
2026-04-22 07:48:59,
2026-04-22 07:49:00,
2026-04-22 07:49:01,
2026-04-22 07:49:02,
2026-04-22 07:49:03,
2026-04-22 07:49:04,
2026-04-22 07:49:05,
2026-04-22 07:49:06,
2026-04-22 07:49:07,
2026-04-22 07:49:08,
2026-04-22 07:49:09,
2026-04-22 07:49:10,8.0
2026-04-22 07:49:11,8.0
2026-04-22 07:49:12,8.0
2026-04-22 07:49:13,8.0
2026-04-22 07:49:14,8.0
2026-04-22 07:49:15,8.0
2026-04-22 07:49:16,8.0
2026-04-22 07:49:17,11.0
2026-04-22 07:49:18,14.0
2026-04-22 07:49:19,15.0
2026-04-22 07:49:20,11.5
2026-04-22 07:49:21,12.0
2026-04-22 07:49:22,13.0
2026-04-22 07:49:23,13.5
2026-04-22 07:49:24,16.0
2026-04-22 07:49:25,17.916666666666664
2026-04-22 07:49:26,17.666666666666668
2026-04-22 07:49:27,17.416666666666664
2026-04-22 07:49:28,17.083333333333336
2026-04-22 07:49:29,13.0
2026-04-22 07:49:30,13.0
2026-04-22 07:49:31,11.0
2026-04-22 07:49:32,8.03125
2026-04-22 07:49:33,8.15625
2026-04-22 07:49:34,8.25
2026-04-22 07:49:35,8.34375
2026-04-22 07:49:36,8.46875
2026-04-22 07:49:37,8.5625
2026-04-22 07:49:38,8.625
2026-04-22 07:49:39,8.732142857142858
2026-04-22 07:49:40,8.839285714285714
2026-04-22 07:49:41,
2026-04-22 07:49:42,
2026-04-22 07:49:43,
2026-04-22 07:49:44,
2026-04-22 07:49:45,9.375
2026-04-22 07:49:46,9.46875
2026-04-22 07:49:47,9.59375
2026-04-22 07:49:48,9.6875
2026-04-22 07:49:49,9.78125
2026-04-22 07:49:50,9.875
2026-04-22 07:49:51,9.96875
2026-04-22 07:49:52,15.5
2026-04-22 07:49:53,18.0
2026-04-22 07:49:54,19.0
2026-04-22 07:49:55,17.5
2026-04-22 07:49:56,16.0
2026-04-22 07:49:57,16.5
2026-04-22 07:49:58,11.0
2026-04-22 07:49:59,9.928571428571429
2026-04-22 07:50:00,9.821428571428573
2026-04-22 07:50:01,9.714285714285714
2026-04-22 07:50:02,9.607142857142858
2026-04-22 07:50:03,9.464285714285715
2026-04-22 07:50:04,9.357142857142858
2026-04-22 07:50:05,9.285714285714286
2026-04-22 07:50:06,9.142857142857144
2026-04-22 07:50:07,9.0
2026-04-22 07:50:08,
2026-04-22 07:50:09,8.714285714285715
2026-04-22 07:50:10,8.642857142857142
2026-04-22 07:50:11,8.535714285714285
2026-04-22 07:50:12,8.392857142857142
2026-04-22 07:50:13,8.285714285714286
2026-04-22 07:50:14,8.178571428571429
2026-04-22 07:50:15,8.071428571428571
2026-04-22 07:50:16,9.0
2026-04-22 07:50:17,14.0
2026-04-22 07:50:18,13.0
2026-04-22 07:50:19,9.0
2026-04-22 07:50:20,8.0
2026-04-22 07:50:21,8.0
2026-04-22 07:50:22,8.0
2026-04-22 07:50:23,8.0
2026-04-22 07:50:24,8.0
2026-04-22 07:50:25,8.0
2026-04-22 07:50:26,8.0
2026-04-22 07:50:27,8.0
2026-04-22 07:50:28,
2026-04-22 07:50:29,
2026-04-22 07:50:30,
2026-04-22 07:50:31,
2026-04-22 07:50:32,
2026-04-22 07:50:33,
2026-04-22 07:50:34,8.0
2026-04-22 07:50:35,8.0
2026-04-22 07:50:36,8.0
2026-04-22 07:50:37,8.0
2026-04-22 07:50:38,8.0
2026-04-22 07:50:39,8.0
2026-04-22 07:50:40,8.0
2026-04-22 07:50:41,10.0
2026-04-22 07:50:42,8.75
2026-04-22 07:50:43,9.0
2026-04-22 07:50:44,11.0
2026-04-22 07:50:45,12.5
2026-04-22 07:50:46,15.0
2026-04-22 07:50:47,11.0
2026-04-22 07:50:48,11.0
2026-04-22 07:50:49,14.0
2026-04-22 07:50:50,12.0
2026-04-22 07:50:51,11.0
2026-04-22 07:50:52,12.5
2026-04-22 07:50:53,14.0
2026-04-22 07:50:54,15.5
2026-04-22 07:50:55,16.0
2026-04-22 07:50:56,17.0
2026-04-22 07:50:57,18.0
2026-04-22 07:50:58,18.0
2026-04-22 07:50:59,16.0
2026-04-22 07:51:00,13.5
2026-04-22 07:51:01,15.0
2026-04-22 07:51:02,15.5
2026-04-22 07:51:03,15.0
2026-04-22 07:51:04,15.0
2026-04-22 07:51:05,14.5
2026-04-22 07:51:06,16.5
2026-04-22 07:51:07,13.0
2026-04-22 07:51:08,9.0
2026-04-22 07:51:09,13.0
2026-04-22 07:51:10,17.0
2026-04-22 07:51:11,19.0
2026-04-22 07:51:12,20.5
2026-04-22 07:51:13,20.0
2026-04-22 07:51:14,21.0
2026-04-22 07:51:15,22.0
2026-04-22 07:51:16,23.0
2026-04-22 07:51:17,23.0
2026-04-22 07:51:18,23.5
2026-04-22 07:51:19,20.0
2026-04-22 07:51:20,19.0
2026-04-22 07:51:21,21.0
2026-04-22 07:51:22,21.0
2026-04-22 07:51:23,18.0
2026-04-22 07:51:24,22.0
2026-04-22 07:51:25,23.5
2026-04-22 07:51:26,25.0
2026-04-22 07:51:27,24.0
2026-04-22 07:51:28,24.5
2026-04-22 07:51:29,22.0
2026-04-22 07:51:30,19.0
2026-04-22 07:51:31,17.5
2026-04-22 07:51:32,14.0
2026-04-22 07:51:33,11.0
2026-04-22 07:51:34,12.0
2026-04-22 07:51:35,13.0
2026-04-22 07:51:36,11.0
2026-04-22 07:51:37,9.006097560975611
2026-04-22 07:51:38,9.03048780487805
2026-04-22 07:51:39,9.048780487804878
2026-04-22 07:51:40,9.067073170731707
2026-04-22 07:51:41,9.103658536585366
2026-04-22 07:51:42,9.204268292682926
2026-04-22 07:51:43,9.304878048780488
2026-04-22 07:51:44,
2026-04-22 07:51:45,
2026-04-22 07:51:46,
2026-04-22 07:51:47,
2026-04-22 07:51:48,
2026-04-22 07:51:49,9.908536585365853
2026-04-22 07:51:50,9.963414634146341
2026-04-22 07:51:51,9.98780487804878
2026-04-22 07:51:52,10.0
2026-04-22 07:51:53,11.5
2026-04-22 07:51:54,14.0
2026-04-22 07:51:55,15.5
2026-04-22 07:51:56,17.0
2026-04-22 07:51:57,18.5
2026-04-22 07:51:58,18.0
