log_time,breath_rate
2026-05-02 22:03:37,17.0
2026-05-02 22:03:38,20.0
2026-05-02 22:03:39,21.5
2026-05-02 22:03:40,23.0
2026-05-02 22:03:41,24.0
2026-05-02 22:03:42,20.5
2026-05-02 22:03:43,18.0
2026-05-02 22:03:44,12.5
2026-05-02 22:03:45,14.5
2026-05-02 22:03:46,12.0
2026-05-02 22:03:47,17.0
2026-05-02 22:03:48,20.0
2026-05-02 22:03:49,22.0
2026-05-02 22:03:50,24.5
2026-05-02 22:03:51,25.0
2026-05-02 22:03:52,26.0
2026-05-02 22:03:53,26.0
2026-05-02 22:03:54,25.0
2026-05-02 22:03:55,23.5
2026-05-02 22:03:56,22.0
2026-05-02 22:03:57,21.0
2026-05-02 22:03:58,20.0
2026-05-02 22:03:59,20.0
2026-05-02 22:04:00,19.0
2026-05-02 22:04:01,19.0
2026-05-02 22:04:02,20.5
2026-05-02 22:04:03,20.5
2026-05-02 22:04:04,20.0
2026-05-02 22:04:05,19.5
2026-05-02 22:04:06,20.0
2026-05-02 22:04:07,21.0
2026-05-02 22:04:08,21.0
2026-05-02 22:04:09,20.0
2026-05-02 22:04:10,19.5
2026-05-02 22:04:11,18.0
2026-05-02 22:04:12,15.5
2026-05-02 22:04:13,9.0
2026-05-02 22:04:14,8.0
2026-05-02 22:04:15,8.0
2026-05-02 22:04:16,8.0
2026-05-02 22:04:17,8.0
2026-05-02 22:04:18,8.0
2026-05-02 22:04:19,8.0
2026-05-02 22:04:20,8.0
2026-05-02 22:04:21,8.0
2026-05-02 22:04:22,8.0
2026-05-02 22:04:23,
2026-05-02 22:04:24,8.0
2026-05-02 22:04:25,8.0
2026-05-02 22:04:26,8.0
2026-05-02 22:04:27,8.0
2026-05-02 22:04:28,8.0
2026-05-02 22:04:29,8.0
2026-05-02 22:04:30,8.0
2026-05-02 22:04:31,8.5
2026-05-02 22:04:32,11.0
2026-05-02 22:04:33,10.5
2026-05-02 22:04:34,13.0
2026-05-02 22:04:35,16.0
2026-05-02 22:04:36,18.5
2026-05-02 22:04:37,22.0
2026-05-02 22:04:38,21.5
2026-05-02 22:04:39,20.5
2026-05-02 22:04:40,20.0
2026-05-02 22:04:41,18.5
2026-05-02 22:04:42,17.0
2026-05-02 22:04:43,16.5
2026-05-02 22:04:44,16.0
2026-05-02 22:04:45,15.0
2026-05-02 22:04:46,15.0
2026-05-02 22:04:47,14.5
2026-05-02 22:04:48,14.0
2026-05-02 22:04:49,14.0
2026-05-02 22:04:50,14.0
2026-05-02 22:04:51,15.5
2026-05-02 22:04:52,16.5
2026-05-02 22:04:53,17.0
2026-05-02 22:04:54,17.5
2026-05-02 22:04:55,16.0
2026-05-02 22:04:56,14.5
2026-05-02 22:04:57,9.0
2026-05-02 22:04:58,8.375
2026-05-02 22:04:59,8.9375
2026-05-02 22:05:00,9.6875
2026-05-02 22:05:01,10.25
2026-05-02 22:05:02,10.8125
2026-05-02 22:05:03,14.0
2026-05-02 22:05:04,17.5
2026-05-02 22:05:05,19.5
2026-05-02 22:05:06,19.0
2026-05-02 22:05:07,19.0
2026-05-02 22:05:08,19.0
2026-05-02 22:05:09,18.5
2026-05-02 22:05:10,18.0
