log_time,heart_rate
2026-04-22 08:12:52,81.0
2026-04-22 08:12:53,87.5
2026-04-22 08:12:54,91.0
2026-04-22 08:12:55,95.0
2026-04-22 08:12:56,99.0
2026-04-22 08:12:57,101.0
2026-04-22 08:12:58,104.5
2026-04-22 08:12:59,109.0
2026-04-22 08:13:00,112.0
2026-04-22 08:13:01,115.0
2026-04-22 08:13:02,117.0
2026-04-22 08:13:03,118.0
2026-04-22 08:13:04,119.0
2026-04-22 08:13:05,120.5
2026-04-22 08:13:06,117.0
2026-04-22 08:13:07,110.0
2026-04-22 08:13:08,101.5
2026-04-22 08:13:09,94.0
2026-04-22 08:13:10,91.5
2026-04-22 08:13:11,90.5
2026-04-22 08:13:12,90.0
2026-04-22 08:13:13,89.5
2026-04-22 08:13:14,89.0
2026-04-22 08:13:15,88.5
2026-04-22 08:13:16,87.0
2026-04-22 08:13:17,90.0
2026-04-22 08:13:18,90.5
2026-04-22 08:13:19,89.0
2026-04-22 08:13:20,90.0
2026-04-22 08:13:21,93.0
2026-04-22 08:13:22,96.0
2026-04-22 08:13:23,99.0
2026-04-22 08:13:24,101.5
2026-04-22 08:13:25,103.0
2026-04-22 08:13:26,104.0
2026-04-22 08:13:27,105.0
2026-04-22 08:13:28,104.5
2026-04-22 08:13:29,99.0
2026-04-22 08:13:30,94.0
2026-04-22 08:13:31,90.0
2026-04-22 08:13:32,86.0
2026-04-22 08:13:33,83.0
2026-04-22 08:13:34,83.5
2026-04-22 08:13:35,87.0
2026-04-22 08:13:36,90.5
2026-04-22 08:13:37,95.5
2026-04-22 08:13:38,96.0
2026-04-22 08:13:39,95.5
2026-04-22 08:13:40,94.0
2026-04-22 08:13:41,93.0
2026-04-22 08:13:42,91.5
2026-04-22 08:13:43,90.0
2026-04-22 08:13:44,91.0
2026-04-22 08:13:45,92.5
2026-04-22 08:13:46,94.0
2026-04-22 08:13:47,94.5
2026-04-22 08:13:48,91.0
2026-04-22 08:13:49,86.5
2026-04-22 08:13:50,83.0
2026-04-22 08:13:51,80.5
2026-04-22 08:13:52,77.5
2026-04-22 08:13:53,76.0
2026-04-22 08:13:54,74.5
2026-04-22 08:13:55,73.5
2026-04-22 08:13:56,75.0
2026-04-22 08:13:57,78.5
2026-04-22 08:13:58,84.0
2026-04-22 08:13:59,85.0
2026-04-22 08:14:00,84.0
2026-04-22 08:14:01,84.0
2026-04-22 08:14:02,86.0
2026-04-22 08:14:03,85.0
2026-04-22 08:14:04,85.0
2026-04-22 08:14:05,84.0
2026-04-22 08:14:06,84.0
2026-04-22 08:14:07,83.5
2026-04-22 08:14:08,83.0
2026-04-22 08:14:09,82.0
2026-04-22 08:14:10,82.0
2026-04-22 08:14:11,85.0
2026-04-22 08:14:12,90.5
2026-04-22 08:14:13,96.0
2026-04-22 08:14:14,100.0
2026-04-22 08:14:15,103.0
2026-04-22 08:14:16,106.0
2026-04-22 08:14:17,109.0
2026-04-22 08:14:18,110.5
2026-04-22 08:14:19,112.0
2026-04-22 08:14:20,113.0
2026-04-22 08:14:21,115.0
2026-04-22 08:14:22,117.0
2026-04-22 08:14:23,116.5
2026-04-22 08:14:24,116.0
2026-04-22 08:14:25,113.5
2026-04-22 08:14:26,110.0
2026-04-22 08:14:27,107.0
2026-04-22 08:14:28,105.0
2026-04-22 08:14:29,105.5
2026-04-22 08:14:30,104.0
2026-04-22 08:14:31,99.0
2026-04-22 08:14:32,97.0
2026-04-22 08:14:33,97.0
2026-04-22 08:14:34,98.5
2026-04-22 08:14:35,102.0
2026-04-22 08:14:36,105.0
2026-04-22 08:14:37,105.0
2026-04-22 08:14:38,103.5
2026-04-22 08:14:39,104.0
2026-04-22 08:14:40,106.0
2026-04-22 08:14:41,108.0
2026-04-22 08:14:42,108.5
2026-04-22 08:14:43,110.0
2026-04-22 08:14:44,111.0
2026-04-22 08:14:45,112.5
2026-04-22 08:14:46,113.5
2026-04-22 08:14:47,112.0
2026-04-22 08:14:48,107.0
2026-04-22 08:14:49,102.0
2026-04-22 08:14:50,98.5
2026-04-22 08:14:51,93.5
2026-04-22 08:14:52,91.0
2026-04-22 08:14:53,88.0
2026-04-22 08:14:54,86.0
2026-04-22 08:14:55,84.5
2026-04-22 08:14:56,83.5
2026-04-22 08:14:57,84.0
2026-04-22 08:14:58,85.5
2026-04-22 08:14:59,87.0
2026-04-22 08:15:00,86.0
2026-04-22 08:15:01,82.0
2026-04-22 08:15:02,81.0
2026-04-22 08:15:03,84.0
2026-04-22 08:15:04,87.0
2026-04-22 08:15:05,89.0
2026-04-22 08:15:06,85.5
2026-04-22 08:15:07,82.0
2026-04-22 08:15:08,78.0
2026-04-22 08:15:09,75.0
2026-04-22 08:15:10,73.0
2026-04-22 08:15:11,69.0
2026-04-22 08:15:12,67.0
2026-04-22 08:15:13,65.5
2026-04-22 08:15:14,64.5
2026-04-22 08:15:15,65.0
2026-04-22 08:15:16,65.5
2026-04-22 08:15:17,70.0
2026-04-22 08:15:18,76.0
2026-04-22 08:15:19,84.0
2026-04-22 08:15:20,89.0
2026-04-22 08:15:21,92.5
2026-04-22 08:15:22,98.0
2026-04-22 08:15:23,100.0
2026-04-22 08:15:24,102.5
2026-04-22 08:15:25,105.0
2026-04-22 08:15:26,106.0
2026-04-22 08:15:27,107.5
2026-04-22 08:15:28,109.0
2026-04-22 08:15:29,107.0
2026-04-22 08:15:30,104.0
2026-04-22 08:15:31,100.0
2026-04-22 08:15:32,97.0
2026-04-22 08:15:33,94.0
2026-04-22 08:15:34,91.5
2026-04-22 08:15:35,89.5
2026-04-22 08:15:36,89.0
2026-04-22 08:15:37,91.0
2026-04-22 08:15:38,95.5
2026-04-22 08:15:39,99.0
2026-04-22 08:15:40,100.0
2026-04-22 08:15:41,99.0
2026-04-22 08:15:42,98.5
