log_time,heart_rate
2026-04-28 21:23:36,89.0
2026-04-28 21:23:37,89.5
2026-04-28 21:23:38,91.0
2026-04-28 21:23:39,96.0
2026-04-28 21:23:40,101.0
2026-04-28 21:23:41,104.0
2026-04-28 21:23:42,104.5
2026-04-28 21:23:43,107.0
2026-04-28 21:23:44,108.5
2026-04-28 21:23:45,110.0
2026-04-28 21:23:46,111.0
2026-04-28 21:23:47,112.0
2026-04-28 21:23:48,112.0
2026-04-28 21:23:49,113.5
2026-04-28 21:23:50,115.0
2026-04-28 21:23:51,116.5
2026-04-28 21:23:52,118.0
2026-04-28 21:23:53,114.5
2026-04-28 21:23:54,114.0
2026-04-28 21:23:55,114.0
2026-04-28 21:23:56,115.0
2026-04-28 21:23:57,115.0
2026-04-28 21:23:58,113.5
2026-04-28 21:23:59,113.0
2026-04-28 21:24:00,113.0
2026-04-28 21:24:01,111.5
2026-04-28 21:24:02,110.0
2026-04-28 21:24:03,107.0
2026-04-28 21:24:04,104.0
2026-04-28 21:24:05,102.0
2026-04-28 21:24:06,99.0
2026-04-28 21:24:07,96.0
2026-04-28 21:24:08,95.5
2026-04-28 21:24:09,95.0
2026-04-28 21:24:10,94.0
2026-04-28 21:24:11,97.5
2026-04-28 21:24:12,101.0
2026-04-28 21:24:13,103.5
2026-04-28 21:24:14,106.0
2026-04-28 21:24:15,109.0
2026-04-28 21:24:16,111.5
2026-04-28 21:24:17,110.0
2026-04-28 21:24:18,105.0
2026-04-28 21:24:19,100.0
2026-04-28 21:24:20,96.0
2026-04-28 21:24:21,91.0
2026-04-28 21:24:22,88.0
2026-04-28 21:24:23,88.0
2026-04-28 21:24:24,88.0
2026-04-28 21:24:25,89.5
2026-04-28 21:24:26,91.0
2026-04-28 21:24:27,91.0
2026-04-28 21:24:28,88.5
2026-04-28 21:24:29,86.0
2026-04-28 21:24:30,84.5
2026-04-28 21:24:31,88.5
2026-04-28 21:24:32,93.0
2026-04-28 21:24:33,96.5
2026-04-28 21:24:34,102.0
2026-04-28 21:24:35,106.0
2026-04-28 21:24:36,108.5
2026-04-28 21:24:37,111.0
2026-04-28 21:24:38,111.5
2026-04-28 21:24:39,108.0
2026-04-28 21:24:40,107.0
2026-04-28 21:24:41,107.5
2026-04-28 21:24:42,109.0
2026-04-28 21:24:43,109.0
2026-04-28 21:24:44,105.0
2026-04-28 21:24:45,105.0
2026-04-28 21:24:46,102.0
2026-04-28 21:24:47,97.0
2026-04-28 21:24:48,93.0
2026-04-28 21:24:49,87.0
2026-04-28 21:24:50,83.0
2026-04-28 21:24:51,79.0
2026-04-28 21:24:52,78.0
2026-04-28 21:24:53,76.5
2026-04-28 21:24:54,74.0
2026-04-28 21:24:55,72.0
2026-04-28 21:24:56,69.0
2026-04-28 21:24:57,66.5
2026-04-28 21:24:58,66.5
2026-04-28 21:24:59,70.0
2026-04-28 21:25:00,72.5
2026-04-28 21:25:01,77.0
2026-04-28 21:25:02,81.5
2026-04-28 21:25:03,83.0
2026-04-28 21:25:04,83.5
2026-04-28 21:25:05,82.0
2026-04-28 21:25:06,82.0
2026-04-28 21:25:07,81.5
2026-04-28 21:25:08,79.0
2026-04-28 21:25:09,77.0
