log_time,heart_rate
2026-04-24 08:16:28,74.5
2026-04-24 08:16:29,73.0
2026-04-24 08:16:30,71.5
2026-04-24 08:16:31,69.9375
2026-04-24 08:16:32,69.75
2026-04-24 08:16:33,69.5625
2026-04-24 08:16:34,69.375
2026-04-24 08:16:35,69.1875
2026-04-24 08:16:36,68.5
2026-04-24 08:16:37,71.0
2026-04-24 08:16:38,77.0
2026-04-24 08:16:39,81.0
2026-04-24 08:16:40,86.0
2026-04-24 08:16:41,92.5
2026-04-24 08:16:42,97.0
2026-04-24 08:16:43,99.5
2026-04-24 08:16:44,98.5
2026-04-24 08:16:45,96.0
2026-04-24 08:16:46,95.0
2026-04-24 08:16:47,94.0
2026-04-24 08:16:48,95.0
2026-04-24 08:16:49,95.5
2026-04-24 08:16:50,94.0
2026-04-24 08:16:51,94.0
2026-04-24 08:16:52,94.0
2026-04-24 08:16:53,95.0
2026-04-24 08:16:54,99.5
2026-04-24 08:16:55,102.0
2026-04-24 08:16:56,100.0
2026-04-24 08:16:57,95.0
2026-04-24 08:16:58,89.5
2026-04-24 08:16:59,84.5
2026-04-24 08:17:00,81.0
2026-04-24 08:17:01,78.5
2026-04-24 08:17:02,76.0
2026-04-24 08:17:03,73.0
2026-04-24 08:17:04,69.0
2026-04-24 08:17:05,67.0
2026-04-24 08:17:06,64.5
2026-04-24 08:17:07,65.0
2026-04-24 08:17:08,66.0
2026-04-24 08:17:09,69.5
2026-04-24 08:17:10,71.0
2026-04-24 08:17:11,75.0
2026-04-24 08:17:12,83.0
2026-04-24 08:17:13,89.0
2026-04-24 08:17:14,92.0
2026-04-24 08:17:15,93.0
2026-04-24 08:17:16,94.5
2026-04-24 08:17:17,97.0
2026-04-24 08:17:18,98.0
2026-04-24 08:17:19,99.0
2026-04-24 08:17:20,100.0
2026-04-24 08:17:21,102.0
2026-04-24 08:17:22,103.5
2026-04-24 08:17:23,104.0
2026-04-24 08:17:24,105.5
2026-04-24 08:17:25,107.5
2026-04-24 08:17:26,109.0
2026-04-24 08:17:27,109.0
2026-04-24 08:17:28,109.0
2026-04-24 08:17:29,108.5
2026-04-24 08:17:30,107.5
2026-04-24 08:17:31,105.0
2026-04-24 08:17:32,107.0
2026-04-24 08:17:33,108.5
2026-04-24 08:17:34,107.0
2026-04-24 08:17:35,106.5
2026-04-24 08:17:36,106.0
2026-04-24 08:17:37,103.0
2026-04-24 08:17:38,96.5
2026-04-24 08:17:39,94.0
2026-04-24 08:17:40,91.0
2026-04-24 08:17:41,88.0
2026-04-24 08:17:42,86.0
2026-04-24 08:17:43,87.0
2026-04-24 08:17:44,89.0
2026-04-24 08:17:45,90.5
2026-04-24 08:17:46,89.0
2026-04-24 08:17:47,92.0
2026-04-24 08:17:48,96.0
2026-04-24 08:17:49,96.0
2026-04-24 08:17:50,96.0
2026-04-24 08:17:51,96.0
2026-04-24 08:17:52,95.0
2026-04-24 08:17:53,93.5
2026-04-24 08:17:54,93.0
2026-04-24 08:17:55,92.5
2026-04-24 08:17:56,92.0
2026-04-24 08:17:57,92.0
2026-04-24 08:17:58,90.5
2026-04-24 08:17:59,89.0
2026-04-24 08:18:00,86.5
2026-04-24 08:18:01,82.5
2026-04-24 08:18:02,80.0
2026-04-24 08:18:03,77.0
2026-04-24 08:18:04,77.0
2026-04-24 08:18:05,77.5
2026-04-24 08:18:06,79.5
2026-04-24 08:18:07,80.0
2026-04-24 08:18:08,82.5
2026-04-24 08:18:09,86.0
2026-04-24 08:18:10,89.0
2026-04-24 08:18:11,91.5
2026-04-24 08:18:12,90.0
2026-04-24 08:18:13,87.0
2026-04-24 08:18:14,82.5
2026-04-24 08:18:15,80.0
2026-04-24 08:18:16,77.0
2026-04-24 08:18:17,74.0
2026-04-24 08:18:18,73.0
2026-04-24 08:18:19,70.5
2026-04-24 08:18:20,71.0
2026-04-24 08:18:21,72.5
2026-04-24 08:18:22,75.0
2026-04-24 08:18:23,78.5
2026-04-24 08:18:24,81.5
2026-04-24 08:18:25,83.0
2026-04-24 08:18:26,84.5
2026-04-24 08:18:27,85.0
2026-04-24 08:18:28,86.5
2026-04-24 08:18:29,86.5
2026-04-24 08:18:30,86.0
2026-04-24 08:18:31,88.0
2026-04-24 08:18:32,89.5
2026-04-24 08:18:33,87.0
2026-04-24 08:18:34,85.5
2026-04-24 08:18:35,84.0
2026-04-24 08:18:36,82.5
2026-04-24 08:18:37,80.5
2026-04-24 08:18:38,79.0
2026-04-24 08:18:39,77.5
2026-04-24 08:18:40,76.0
2026-04-24 08:18:41,74.5
2026-04-24 08:18:42,71.5
2026-04-24 08:18:43,70.0
2026-04-24 08:18:44,73.0
2026-04-24 08:18:45,76.0
2026-04-24 08:18:46,80.5
