log_time,breath_rate
2026-04-24 21:18:52,
2026-04-24 21:18:53,
2026-04-24 21:18:54,
2026-04-24 21:18:55,
2026-04-24 21:18:56,9.0
2026-04-24 21:18:57,9.0
2026-04-24 21:18:58,9.0
2026-04-24 21:18:59,9.0
2026-04-24 21:19:00,9.0
2026-04-24 21:19:01,9.0
2026-04-24 21:19:02,9.0
2026-04-24 21:19:03,10.0
2026-04-24 21:19:04,13.0
2026-04-24 21:19:05,12.0
2026-04-24 21:19:06,8.875
2026-04-24 21:19:07,8.375
2026-04-24 21:19:08,8.0
2026-04-24 21:19:09,10.5
2026-04-24 21:19:10,14.0
2026-04-24 21:19:11,16.0
2026-04-24 21:19:12,18.0
2026-04-24 21:19:13,18.0
2026-04-24 21:19:14,19.5
2026-04-24 21:19:15,21.0
2026-04-24 21:19:16,21.0
2026-04-24 21:19:17,17.0
2026-04-24 21:19:18,18.5
2026-04-24 21:19:19,17.0
2026-04-24 21:19:20,16.5
2026-04-24 21:19:21,16.0
2026-04-24 21:19:22,15.5
2026-04-24 21:19:23,15.0
2026-04-24 21:19:24,15.0
2026-04-24 21:19:25,14.5
2026-04-24 21:19:26,15.0
2026-04-24 21:19:27,18.5
2026-04-24 21:19:28,15.5
2026-04-24 21:19:29,15.0
2026-04-24 21:19:30,16.5
2026-04-24 21:19:31,11.5
2026-04-24 21:19:32,8.0
2026-04-24 21:19:33,9.5
2026-04-24 21:19:34,11.0
2026-04-24 21:19:35,9.0
2026-04-24 21:19:36,9.0
2026-04-24 21:19:37,9.0
2026-04-24 21:19:38,9.0
2026-04-24 21:19:39,9.0
2026-04-24 21:19:40,9.0
2026-04-24 21:19:41,9.0
2026-04-24 21:19:42,9.0
2026-04-24 21:19:43,9.0
2026-04-24 21:19:44,12.0
2026-04-24 21:19:45,14.5
2026-04-24 21:19:46,17.5
2026-04-24 21:19:47,19.0
2026-04-24 21:19:48,19.0
2026-04-24 21:19:49,19.0
2026-04-24 21:19:50,20.0
2026-04-24 21:19:51,21.0
2026-04-24 21:19:52,20.0
2026-04-24 21:19:53,18.5
2026-04-24 21:19:54,13.5
2026-04-24 21:19:55,14.0
2026-04-24 21:19:56,9.5
2026-04-24 21:19:57,8.071428571428571
