log_time,heart_rate
2026-05-01 06:18:45,83.0
2026-05-01 06:18:46,84.0
2026-05-01 06:18:47,85.0
2026-05-01 06:18:48,83.5
2026-05-01 06:18:49,80.0
2026-05-01 06:18:50,77.0
2026-05-01 06:18:51,76.0
2026-05-01 06:18:52,76.0
2026-05-01 06:18:53,79.5
2026-05-01 06:18:54,82.5
2026-05-01 06:18:55,85.0
2026-05-01 06:18:56,90.5
2026-05-01 06:18:57,95.0
2026-05-01 06:18:58,99.0
2026-05-01 06:18:59,103.5
2026-05-01 06:19:00,106.0
2026-05-01 06:19:01,107.5
2026-05-01 06:19:02,107.0
2026-05-01 06:19:03,106.5
2026-05-01 06:19:04,101.0
2026-05-01 06:19:05,95.0
2026-05-01 06:19:06,89.0
2026-05-01 06:19:07,84.0
2026-05-01 06:19:08,80.5
2026-05-01 06:19:09,75.5
2026-05-01 06:19:10,73.0
2026-05-01 06:19:11,70.0
2026-05-01 06:19:12,70.0
2026-05-01 06:19:13,69.0
2026-05-01 06:19:14,67.0
2026-05-01 06:19:15,66.0
2026-05-01 06:19:16,65.5
2026-05-01 06:19:17,65.86363636363636
2026-05-01 06:19:18,65.72727272727273
2026-05-01 06:19:19,65.5909090909091
2026-05-01 06:19:20,65.45454545454545
2026-05-01 06:19:21,65.31818181818181
2026-05-01 06:19:22,65.13636363636364
2026-05-01 06:19:23,65.0
2026-05-01 06:19:24,65.0
2026-05-01 06:19:25,65.0
2026-05-01 06:19:26,64.0
2026-05-01 06:19:27,62.5
2026-05-01 06:19:28,61.0
2026-05-01 06:19:29,59.5
2026-05-01 06:19:30,63.0
2026-05-01 06:19:31,67.0
2026-05-01 06:19:32,66.0
2026-05-01 06:19:33,67.0
2026-05-01 06:19:34,70.0
2026-05-01 06:19:35,73.5
2026-05-01 06:19:36,73.0
2026-05-01 06:19:37,74.0
2026-05-01 06:19:38,75.0
2026-05-01 06:19:39,75.5
2026-05-01 06:19:40,75.0
2026-05-01 06:19:41,75.0
