log_time,heart_rate
2026-05-03 07:12:05,92.0
2026-05-03 07:12:06,95.5
2026-05-03 07:12:07,97.0
2026-05-03 07:12:08,100.0
2026-05-03 07:12:09,99.0
2026-05-03 07:12:10,97.0
2026-05-03 07:12:11,93.0
2026-05-03 07:12:12,88.0
2026-05-03 07:12:13,85.0
2026-05-03 07:12:14,81.0
2026-05-03 07:12:15,80.0
2026-05-03 07:12:16,78.5
2026-05-03 07:12:17,79.5
2026-05-03 07:12:18,81.0
2026-05-03 07:12:19,81.5
2026-05-03 07:12:20,81.0
2026-05-03 07:12:21,79.5
2026-05-03 07:12:22,75.0
2026-05-03 07:12:23,72.0
2026-05-03 07:12:24,70.0
2026-05-03 07:12:25,67.0
2026-05-03 07:12:26,65.5
2026-05-03 07:12:27,64.0
2026-05-03 07:12:28,65.0
2026-05-03 07:12:29,67.0
2026-05-03 07:12:30,70.25
2026-05-03 07:12:31,74.5
2026-05-03 07:12:32,81.0
2026-05-03 07:12:33,85.0
2026-05-03 07:12:34,88.0
2026-05-03 07:12:35,90.0
2026-05-03 07:12:36,92.5
2026-05-03 07:12:37,95.5
2026-05-03 07:12:38,97.0
2026-05-03 07:12:39,97.5
2026-05-03 07:12:40,97.0
2026-05-03 07:12:41,97.0
2026-05-03 07:12:42,98.0
2026-05-03 07:12:43,99.0
2026-05-03 07:12:44,97.5
2026-05-03 07:12:45,94.5
2026-05-03 07:12:46,94.0
2026-05-03 07:12:47,91.5
2026-05-03 07:12:48,90.0
2026-05-03 07:12:49,89.0
2026-05-03 07:12:50,85.5
2026-05-03 07:12:51,83.0
2026-05-03 07:12:52,79.5
2026-05-03 07:12:53,77.0
2026-05-03 07:12:54,78.0
2026-05-03 07:12:55,80.5
2026-05-03 07:12:56,80.83333333333333
2026-05-03 07:12:57,80.58333333333334
2026-05-03 07:12:58,80.25
2026-05-03 07:12:59,80.0
2026-05-03 07:13:00,79.5
2026-05-03 07:13:01,79.0
2026-05-03 07:13:02,78.5
2026-05-03 07:13:03,76.5
2026-05-03 07:13:04,75.0
2026-05-03 07:13:05,74.0
2026-05-03 07:13:06,74.0
2026-05-03 07:13:07,73.0
2026-05-03 07:13:08,70.0
2026-05-03 07:13:09,68.0
2026-05-03 07:13:10,67.0
