log_time,breath_rate
2026-05-03 06:24:09,15.0
2026-05-03 06:24:10,17.0
2026-05-03 06:24:11,18.0
2026-05-03 06:24:12,17.0
2026-05-03 06:24:13,16.5
2026-05-03 06:24:14,19.0
2026-05-03 06:24:15,22.0
2026-05-03 06:24:16,24.5
2026-05-03 06:24:17,25.0
2026-05-03 06:24:18,25.0
2026-05-03 06:24:19,26.0
2026-05-03 06:24:20,25.0
2026-05-03 06:24:21,25.5
2026-05-03 06:24:22,27.0
2026-05-03 06:24:23,28.5
2026-05-03 06:24:24,28.0
2026-05-03 06:24:25,28.0
2026-05-03 06:24:26,28.0
2026-05-03 06:24:27,29.0
2026-05-03 06:24:28,26.5
2026-05-03 06:24:29,22.0
2026-05-03 06:24:30,20.0
2026-05-03 06:24:31,17.5
2026-05-03 06:24:32,17.0
2026-05-03 06:24:33,16.0
2026-05-03 06:24:34,15.0
2026-05-03 06:24:35,14.5
2026-05-03 06:24:36,11.0
2026-05-03 06:24:37,12.5
2026-05-03 06:24:38,8.666666666666668
2026-05-03 06:24:39,10.666666666666666
2026-05-03 06:24:40,14.5
2026-05-03 06:24:41,21.0
2026-05-03 06:24:42,24.5
2026-05-03 06:24:43,27.0
2026-05-03 06:24:44,27.916666666666664
2026-05-03 06:24:45,27.583333333333336
2026-05-03 06:24:46,27.33333333333333
2026-05-03 06:24:47,27.083333333333336
2026-05-03 06:24:48,27.0
2026-05-03 06:24:49,26.0
2026-05-03 06:24:50,25.0
2026-05-03 06:24:51,25.0
2026-05-03 06:24:52,23.5
2026-05-03 06:24:53,22.0
2026-05-03 06:24:54,23.5
2026-05-03 06:24:55,22.0
2026-05-03 06:24:56,20.5
2026-05-03 06:24:57,20.0
2026-05-03 06:24:58,20.0
2026-05-03 06:24:59,19.5
2026-05-03 06:25:00,18.5
2026-05-03 06:25:01,17.0
2026-05-03 06:25:02,15.5
2026-05-03 06:25:03,11.0
2026-05-03 06:25:04,9.5
2026-05-03 06:25:05,11.5
2026-05-03 06:25:06,14.0
2026-05-03 06:25:07,15.0
2026-05-03 06:25:08,16.0
2026-05-03 06:25:09,17.0
2026-05-03 06:25:10,18.0
2026-05-03 06:25:11,20.0
2026-05-03 06:25:12,21.5
2026-05-03 06:25:13,20.0
2026-05-03 06:25:14,17.5
2026-05-03 06:25:15,17.0
2026-05-03 06:25:16,16.0
2026-05-03 06:25:17,15.0
2026-05-03 06:25:18,15.0
2026-05-03 06:25:19,12.0
2026-05-03 06:25:20,12.0
2026-05-03 06:25:21,13.5
2026-05-03 06:25:22,15.0
2026-05-03 06:25:23,10.0
2026-05-03 06:25:24,8.0
2026-05-03 06:25:25,8.0
2026-05-03 06:25:26,8.0
2026-05-03 06:25:27,8.0
2026-05-03 06:25:28,8.0
2026-05-03 06:25:29,14.5
2026-05-03 06:25:30,18.0
2026-05-03 06:25:31,20.0
2026-05-03 06:25:32,21.0
2026-05-03 06:25:33,22.0
2026-05-03 06:25:34,22.5
2026-05-03 06:25:35,23.0
2026-05-03 06:25:36,23.0
2026-05-03 06:25:37,23.0
2026-05-03 06:25:38,24.0
2026-05-03 06:25:39,16.0
2026-05-03 06:25:40,11.0
2026-05-03 06:25:41,8.125
2026-05-03 06:25:42,8.5
2026-05-03 06:25:43,8.875
2026-05-03 06:25:44,15.5
2026-05-03 06:25:45,19.0
2026-05-03 06:25:46,22.0
2026-05-03 06:25:47,23.0
2026-05-03 06:25:48,23.5
2026-05-03 06:25:49,25.0
2026-05-03 06:25:50,25.5
2026-05-03 06:25:51,27.0
2026-05-03 06:25:52,27.0
2026-05-03 06:25:53,28.0
2026-05-03 06:25:54,27.0
2026-05-03 06:25:55,24.0
2026-05-03 06:25:56,22.0
2026-05-03 06:25:57,21.0
2026-05-03 06:25:58,16.0
2026-05-03 06:25:59,11.0
2026-05-03 06:26:00,9.04
2026-05-03 06:26:01,9.2
2026-05-03 06:26:02,9.32
2026-05-03 06:26:03,9.440000000000001
2026-05-03 06:26:04,9.56
2026-05-03 06:26:05,9.68
2026-05-03 06:26:06,9.8
2026-05-03 06:26:07,9.933333333333334
2026-05-03 06:26:08,10.066666666666666
2026-05-03 06:26:09,10.2
2026-05-03 06:26:10,10.32
2026-05-03 06:26:11,10.44
2026-05-03 06:26:12,10.559999999999999
2026-05-03 06:26:13,10.719999999999999
2026-05-03 06:26:14,10.84
2026-05-03 06:26:15,10.96
2026-05-03 06:26:16,14.5
2026-05-03 06:26:17,19.0
2026-05-03 06:26:18,21.0
2026-05-03 06:26:19,20.0
2026-05-03 06:26:20,22.5
2026-05-03 06:26:21,21.5
2026-05-03 06:26:22,22.0
2026-05-03 06:26:23,21.5
2026-05-03 06:26:24,19.0
2026-05-03 06:26:25,21.0
2026-05-03 06:26:26,22.5
2026-05-03 06:26:27,17.0
2026-05-03 06:26:28,11.5
2026-05-03 06:26:29,8.0
2026-05-03 06:26:30,8.0
2026-05-03 06:26:31,8.0
2026-05-03 06:26:32,8.0
2026-05-03 06:26:33,8.0
2026-05-03 06:26:34,8.0
2026-05-03 06:26:35,8.5
2026-05-03 06:26:36,12.0
2026-05-03 06:26:37,15.0
2026-05-03 06:26:38,17.5
2026-05-03 06:26:39,19.0
2026-05-03 06:26:40,20.5
2026-05-03 06:26:41,20.5
2026-05-03 06:26:42,23.0
2026-05-03 06:26:43,24.0
2026-05-03 06:26:44,25.0
2026-05-03 06:26:45,25.5
2026-05-03 06:26:46,25.0
2026-05-03 06:26:47,25.0
2026-05-03 06:26:48,25.5
2026-05-03 06:26:49,26.0
2026-05-03 06:26:50,23.0
2026-05-03 06:26:51,21.0
2026-05-03 06:26:52,20.5
2026-05-03 06:26:53,24.0
2026-05-03 06:26:54,19.0
2026-05-03 06:26:55,20.5
2026-05-03 06:26:56,21.0
2026-05-03 06:26:57,20.0
2026-05-03 06:26:58,17.5
2026-05-03 06:26:59,17.0
2026-05-03 06:27:00,11.5
2026-05-03 06:27:01,8.0
2026-05-03 06:27:02,10.0
2026-05-03 06:27:03,10.0
2026-05-03 06:27:04,16.0
2026-05-03 06:27:05,19.5
2026-05-03 06:27:06,18.5
2026-05-03 06:27:07,17.0
2026-05-03 06:27:08,17.5
2026-05-03 06:27:09,17.0
2026-05-03 06:27:10,16.0
2026-05-03 06:27:11,15.0
2026-05-03 06:27:12,15.0
2026-05-03 06:27:13,15.0
2026-05-03 06:27:14,14.0
2026-05-03 06:27:15,13.5
2026-05-03 06:27:16,13.0
2026-05-03 06:27:17,12.5
2026-05-03 06:27:18,12.5
2026-05-03 06:27:19,13.0
2026-05-03 06:27:20,9.5
2026-05-03 06:27:21,11.0
2026-05-03 06:27:22,14.5
2026-05-03 06:27:23,18.0
