log_time,heart_rate
2026-05-05 07:36:58,93.0
2026-05-05 07:36:59,90.0
2026-05-05 07:37:00,84.5
2026-05-05 07:37:01,80.0
2026-05-05 07:37:02,76.0
2026-05-05 07:37:03,72.5
2026-05-05 07:37:04,70.0
2026-05-05 07:37:05,67.5
2026-05-05 07:37:06,66.0
2026-05-05 07:37:07,67.0
2026-05-05 07:37:08,67.0
2026-05-05 07:37:09,66.0
2026-05-05 07:37:10,68.0
2026-05-05 07:37:11,70.0
2026-05-05 07:37:12,71.0
2026-05-05 07:37:13,72.0
2026-05-05 07:37:14,72.0
2026-05-05 07:37:15,76.0
2026-05-05 07:37:16,83.0
2026-05-05 07:37:17,88.5
2026-05-05 07:37:18,94.5
2026-05-05 07:37:19,98.0
2026-05-05 07:37:20,102.5
2026-05-05 07:37:21,104.0
2026-05-05 07:37:22,101.5
2026-05-05 07:37:23,96.0
2026-05-05 07:37:24,92.0
2026-05-05 07:37:25,87.5
2026-05-05 07:37:26,83.0
2026-05-05 07:37:27,80.0
2026-05-05 07:37:28,77.0
2026-05-05 07:37:29,74.0
2026-05-05 07:37:30,72.0
2026-05-05 07:37:31,70.0
2026-05-05 07:37:32,71.5
2026-05-05 07:37:33,79.5
2026-05-05 07:37:34,85.0
2026-05-05 07:37:35,90.0
2026-05-05 07:37:36,92.0
2026-05-05 07:37:37,96.0
2026-05-05 07:37:38,100.0
2026-05-05 07:37:39,103.0
2026-05-05 07:37:40,105.0
2026-05-05 07:37:41,108.0
2026-05-05 07:37:42,110.5
2026-05-05 07:37:43,112.5
2026-05-05 07:37:44,114.0
2026-05-05 07:37:45,115.5
2026-05-05 07:37:46,117.0
2026-05-05 07:37:47,118.0
2026-05-05 07:37:48,119.5
2026-05-05 07:37:49,118.0
2026-05-05 07:37:50,117.0
2026-05-05 07:37:51,117.0
2026-05-05 07:37:52,114.5
2026-05-05 07:37:53,109.0
2026-05-05 07:37:54,104.0
2026-05-05 07:37:55,98.0
2026-05-05 07:37:56,93.0
2026-05-05 07:37:57,89.0
2026-05-05 07:37:58,87.0
2026-05-05 07:37:59,85.5
2026-05-05 07:38:00,83.0
2026-05-05 07:38:01,82.0
2026-05-05 07:38:02,80.5
2026-05-05 07:38:03,77.0
2026-05-05 07:38:04,74.5
2026-05-05 07:38:05,72.0
2026-05-05 07:38:06,70.0
2026-05-05 07:38:07,70.0
2026-05-05 07:38:08,71.0
2026-05-05 07:38:09,71.0
2026-05-05 07:38:10,71.0
2026-05-05 07:38:11,70.5
2026-05-05 07:38:12,79.0
2026-05-05 07:38:13,84.0
2026-05-05 07:38:14,89.5
2026-05-05 07:38:15,92.0
2026-05-05 07:38:16,95.0
2026-05-05 07:38:17,96.5
2026-05-05 07:38:18,97.0
2026-05-05 07:38:19,97.0
2026-05-05 07:38:20,99.0
2026-05-05 07:38:21,99.5
2026-05-05 07:38:22,100.0
2026-05-05 07:38:23,100.0
2026-05-05 07:38:24,97.5
2026-05-05 07:38:25,96.0
2026-05-05 07:38:26,95.0
2026-05-05 07:38:27,93.5
2026-05-05 07:38:28,95.0
2026-05-05 07:38:29,96.5
2026-05-05 07:38:30,98.0
2026-05-05 07:38:31,99.0
2026-05-05 07:38:32,100.5
2026-05-05 07:38:33,101.0
2026-05-05 07:38:34,102.5
2026-05-05 07:38:35,102.0
2026-05-05 07:38:36,100.0
2026-05-05 07:38:37,98.0
2026-05-05 07:38:38,98.0
2026-05-05 07:38:39,98.0
2026-05-05 07:38:40,100.0
2026-05-05 07:38:41,99.5
2026-05-05 07:38:42,98.5
2026-05-05 07:38:43,98.0
2026-05-05 07:38:44,99.0
2026-05-05 07:38:45,101.5
2026-05-05 07:38:46,104.0
2026-05-05 07:38:47,105.5
2026-05-05 07:38:48,104.0
2026-05-05 07:38:49,102.5
2026-05-05 07:38:50,98.5
2026-05-05 07:38:51,99.0
2026-05-05 07:38:52,99.0
2026-05-05 07:38:53,96.5
2026-05-05 07:38:54,95.0
2026-05-05 07:38:55,94.0
2026-05-05 07:38:56,95.0
2026-05-05 07:38:57,94.5
2026-05-05 07:38:58,93.5
2026-05-05 07:38:59,92.0
2026-05-05 07:39:00,92.0
2026-05-05 07:39:01,92.0
2026-05-05 07:39:02,90.5
2026-05-05 07:39:03,88.92857142857143
2026-05-05 07:39:04,88.71428571428571
2026-05-05 07:39:05,88.5
2026-05-05 07:39:06,88.28571428571429
2026-05-05 07:39:07,88.07142857142857
2026-05-05 07:39:08,84.0
2026-05-05 07:39:09,80.0
2026-05-05 07:39:10,78.0
2026-05-05 07:39:11,76.0
2026-05-05 07:39:12,72.5
2026-05-05 07:39:13,72.0
2026-05-05 07:39:14,75.5
2026-05-05 07:39:15,80.5
2026-05-05 07:39:16,84.0
2026-05-05 07:39:17,87.0
2026-05-05 07:39:18,93.0
2026-05-05 07:39:19,97.5
2026-05-05 07:39:20,103.0
2026-05-05 07:39:21,107.0
2026-05-05 07:39:22,107.0
2026-05-05 07:39:23,105.0
2026-05-05 07:39:24,103.5
2026-05-05 07:39:25,102.0
2026-05-05 07:39:26,101.0
2026-05-05 07:39:27,99.5
2026-05-05 07:39:28,98.0
2026-05-05 07:39:29,98.5
2026-05-05 07:39:30,98.35714285714285
2026-05-05 07:39:31,97.71428571428572
2026-05-05 07:39:32,97.07142857142857
2026-05-05 07:39:33,96.42857142857144
2026-05-05 07:39:34,96.0
2026-05-05 07:39:35,97.5
2026-05-05 07:39:36,98.0
2026-05-05 07:39:37,100.5
2026-05-05 07:39:38,99.0
2026-05-05 07:39:39,96.0
2026-05-05 07:39:40,95.0
2026-05-05 07:39:41,94.0
2026-05-05 07:39:42,91.0
2026-05-05 07:39:43,88.0
2026-05-05 07:39:44,86.0
2026-05-05 07:39:45,85.0
2026-05-05 07:39:46,84.0
2026-05-05 07:39:47,82.5
2026-05-05 07:39:48,80.5
2026-05-05 07:39:49,77.5
2026-05-05 07:39:50,75.0
2026-05-05 07:39:51,72.5
2026-05-05 07:39:52,70.0
2026-05-05 07:39:53,70.5
2026-05-05 07:39:54,69.5
2026-05-05 07:39:55,68.0
2026-05-05 07:39:56,66.5
2026-05-05 07:39:57,65.0
2026-05-05 07:39:58,64.5
2026-05-05 07:39:59,65.5
2026-05-05 07:40:00,66.0
2026-05-05 07:40:01,67.5
2026-05-05 07:40:02,71.0
2026-05-05 07:40:03,76.0
2026-05-05 07:40:04,79.0
2026-05-05 07:40:05,80.0
2026-05-05 07:40:06,82.0
2026-05-05 07:40:07,83.0
2026-05-05 07:40:08,82.5
2026-05-05 07:40:09,82.5
2026-05-05 07:40:10,83.0
2026-05-05 07:40:11,82.0
2026-05-05 07:40:12,81.0
2026-05-05 07:40:13,80.0
2026-05-05 07:40:14,83.5
2026-05-05 07:40:15,86.0
2026-05-05 07:40:16,84.5
2026-05-05 07:40:17,83.0
2026-05-05 07:40:18,81.0
2026-05-05 07:40:19,77.5
2026-05-05 07:40:20,75.0
2026-05-05 07:40:21,72.5
2026-05-05 07:40:22,71.0
