log_time,breath_rate
2026-04-22 21:34:45,8.0
2026-04-22 21:34:46,8.0
2026-04-22 21:34:47,8.0
2026-04-22 21:34:48,10.5
2026-04-22 21:34:49,13.0
2026-04-22 21:34:50,15.0
2026-04-22 21:34:51,18.0
2026-04-22 21:34:52,19.5
2026-04-22 21:34:53,21.0
2026-04-22 21:34:54,22.0
2026-04-22 21:34:55,22.0
2026-04-22 21:34:56,16.0
2026-04-22 21:34:57,14.5
2026-04-22 21:34:58,9.0
2026-04-22 21:34:59,8.666666666666666
2026-04-22 21:35:00,9.666666666666668
2026-04-22 21:35:01,13.5
2026-04-22 21:35:02,16.0
2026-04-22 21:35:03,17.5
2026-04-22 21:35:04,19.0
2026-04-22 21:35:05,17.5
2026-04-22 21:35:06,16.5
2026-04-22 21:35:07,18.0
2026-04-22 21:35:08,14.0
2026-04-22 21:35:09,10.0
2026-04-22 21:35:10,9.5
2026-04-22 21:35:11,10.5
2026-04-22 21:35:12,16.0
2026-04-22 21:35:13,19.0
2026-04-22 21:35:14,21.0
2026-04-22 21:35:15,23.0
2026-04-22 21:35:16,24.5
2026-04-22 21:35:17,26.0
2026-04-22 21:35:18,25.0
2026-04-22 21:35:19,16.5
2026-04-22 21:35:20,11.0
2026-04-22 21:35:21,9.01388888888889
2026-04-22 21:35:22,9.069444444444445
2026-04-22 21:35:23,9.11111111111111
2026-04-22 21:35:24,9.152777777777779
2026-04-22 21:35:25,9.194444444444445
2026-04-22 21:35:26,9.23611111111111
2026-04-22 21:35:27,9.27777777777778
2026-04-22 21:35:28,9.327160493827163
2026-04-22 21:35:29,9.376543209876544
2026-04-22 21:35:30,
2026-04-22 21:35:31,
2026-04-22 21:35:32,
2026-04-22 21:35:33,
2026-04-22 21:35:34,
2026-04-22 21:35:35,
2026-04-22 21:35:36,9.72222222222222
2026-04-22 21:35:37,9.75
2026-04-22 21:35:38,9.791666666666668
2026-04-22 21:35:39,9.833333333333334
2026-04-22 21:35:40,9.875
2026-04-22 21:35:41,9.916666666666666
2026-04-22 21:35:42,9.958333333333332
2026-04-22 21:35:43,9.0
2026-04-22 21:35:44,10.0
2026-04-22 21:35:45,11.5
2026-04-22 21:35:46,12.5
2026-04-22 21:35:47,14.0
2026-04-22 21:35:48,16.5
2026-04-22 21:35:49,13.0
2026-04-22 21:35:50,9.0
2026-04-22 21:35:51,8.0
2026-04-22 21:35:52,8.0
2026-04-22 21:35:53,8.0
2026-04-22 21:35:54,8.0
2026-04-22 21:35:55,8.0
2026-04-22 21:35:56,8.0
2026-04-22 21:35:57,8.0
2026-04-22 21:35:58,8.0
2026-04-22 21:35:59,
2026-04-22 21:36:00,
2026-04-22 21:36:01,
2026-04-22 21:36:02,
2026-04-22 21:36:03,
2026-04-22 21:36:04,
2026-04-22 21:36:05,
2026-04-22 21:36:06,
2026-04-22 21:36:07,
2026-04-22 21:36:08,
2026-04-22 21:36:09,
2026-04-22 21:36:10,
2026-04-22 21:36:11,
2026-04-22 21:36:12,
2026-04-22 21:36:13,
2026-04-22 21:36:14,
2026-04-22 21:36:15,
2026-04-22 21:36:16,
2026-04-22 21:36:17,
2026-04-22 21:36:18,
2026-04-22 21:36:19,
2026-04-22 21:36:20,
2026-04-22 21:36:21,
2026-04-22 21:36:22,
2026-04-22 21:36:23,
2026-04-22 21:36:24,
2026-04-22 21:36:25,
2026-04-22 21:36:26,
2026-04-22 21:36:27,
2026-04-22 21:36:28,
2026-04-22 21:36:29,
2026-04-22 21:36:30,
2026-04-22 21:36:31,
2026-04-22 21:36:32,
2026-04-22 21:36:33,
2026-04-22 21:36:34,
2026-04-22 21:36:35,
2026-04-22 21:36:36,
2026-04-22 21:36:37,
2026-04-22 21:36:38,
2026-04-22 21:36:39,
2026-04-22 21:36:40,
2026-04-22 21:36:41,
2026-04-22 21:36:42,
2026-04-22 21:36:43,
2026-04-22 21:36:44,
2026-04-22 21:36:45,
2026-04-22 21:36:46,
2026-04-22 21:36:47,
2026-04-22 21:36:48,
2026-04-22 21:36:49,
