log_time,breath_rate
2026-04-28 21:23:36,8.0
2026-04-28 21:23:37,14.5
2026-04-28 21:23:38,17.0
2026-04-28 21:23:39,18.5
2026-04-28 21:23:40,20.0
2026-04-28 21:23:41,22.5
2026-04-28 21:23:42,18.0
2026-04-28 21:23:43,13.0
2026-04-28 21:23:44,9.0
2026-04-28 21:23:45,8.02
2026-04-28 21:23:46,8.05
2026-04-28 21:23:47,8.09
2026-04-28 21:23:48,8.12
2026-04-28 21:23:49,8.15
2026-04-28 21:23:50,8.18
2026-04-28 21:23:51,8.2
2026-04-28 21:23:52,8.233333333333333
2026-04-28 21:23:53,8.266666666666666
2026-04-28 21:23:54,
2026-04-28 21:23:55,
2026-04-28 21:23:56,
2026-04-28 21:23:57,
2026-04-28 21:23:58,
2026-04-28 21:23:59,
2026-04-28 21:24:00,
2026-04-28 21:24:01,
2026-04-28 21:24:02,
2026-04-28 21:24:03,
2026-04-28 21:24:04,
2026-04-28 21:24:05,
2026-04-28 21:24:06,
2026-04-28 21:24:07,
2026-04-28 21:24:08,
2026-04-28 21:24:09,8.8
2026-04-28 21:24:10,8.82
2026-04-28 21:24:11,8.85
2026-04-28 21:24:12,8.88
2026-04-28 21:24:13,8.91
2026-04-28 21:24:14,8.94
2026-04-28 21:24:15,8.97
2026-04-28 21:24:16,10.0
2026-04-28 21:24:17,13.0
2026-04-28 21:24:18,16.5
2026-04-28 21:24:19,19.0
2026-04-28 21:24:20,19.0
2026-04-28 21:24:21,20.0
2026-04-28 21:24:22,20.0
2026-04-28 21:24:23,20.0
2026-04-28 21:24:24,19.0
2026-04-28 21:24:25,19.5
2026-04-28 21:24:26,20.0
2026-04-28 21:24:27,20.0
2026-04-28 21:24:28,21.0
2026-04-28 21:24:29,22.0
2026-04-28 21:24:30,20.5
2026-04-28 21:24:31,17.5
2026-04-28 21:24:32,20.0
2026-04-28 21:24:33,20.5
2026-04-28 21:24:34,21.5
2026-04-28 21:24:35,22.0
2026-04-28 21:24:36,24.0
2026-04-28 21:24:37,24.0
2026-04-28 21:24:38,24.5
2026-04-28 21:24:39,24.0
2026-04-28 21:24:40,22.5
2026-04-28 21:24:41,19.5
2026-04-28 21:24:42,21.0
2026-04-28 21:24:43,23.0
2026-04-28 21:24:44,25.0
2026-04-28 21:24:45,25.5
2026-04-28 21:24:46,25.5
2026-04-28 21:24:47,25.0
2026-04-28 21:24:48,26.0
2026-04-28 21:24:49,27.0
2026-04-28 21:24:50,24.5
2026-04-28 21:24:51,15.0
