log_time,breath_rate
2026-05-02 09:18:04,13.0
2026-05-02 09:18:05,13.0
2026-05-02 09:18:06,14.0
2026-05-02 09:18:07,13.5
2026-05-02 09:18:08,12.0
2026-05-02 09:18:09,15.5
2026-05-02 09:18:10,17.0
2026-05-02 09:18:11,17.0
2026-05-02 09:18:12,19.0
2026-05-02 09:18:13,20.5
2026-05-02 09:18:14,21.0
2026-05-02 09:18:15,20.0
2026-05-02 09:18:16,21.0
2026-05-02 09:18:17,20.5
2026-05-02 09:18:18,20.0
2026-05-02 09:18:19,19.5
2026-05-02 09:18:20,20.0
2026-05-02 09:18:21,20.5
2026-05-02 09:18:22,20.0
2026-05-02 09:18:23,20.0
2026-05-02 09:18:24,18.5
2026-05-02 09:18:25,17.0
2026-05-02 09:18:26,16.5
2026-05-02 09:18:27,17.0
2026-05-02 09:18:28,18.0
2026-05-02 09:18:29,19.0
2026-05-02 09:18:30,18.5
2026-05-02 09:18:31,17.0
2026-05-02 09:18:32,11.5
2026-05-02 09:18:33,8.0
2026-05-02 09:18:34,9.5
2026-05-02 09:18:35,9.25
2026-05-02 09:18:36,10.0
2026-05-02 09:18:37,12.5
2026-05-02 09:18:38,16.0
2026-05-02 09:18:39,13.0
2026-05-02 09:18:40,12.5
2026-05-02 09:18:41,13.0
2026-05-02 09:18:42,13.0
2026-05-02 09:18:43,14.5
2026-05-02 09:18:44,14.0
2026-05-02 09:18:45,17.0
2026-05-02 09:18:46,19.0
2026-05-02 09:18:47,20.5
2026-05-02 09:18:48,21.0
2026-05-02 09:18:49,20.0
2026-05-02 09:18:50,19.75
2026-05-02 09:18:51,19.5
2026-05-02 09:18:52,19.25
2026-05-02 09:18:53,19.0
2026-05-02 09:18:54,19.0
2026-05-02 09:18:55,16.5
2026-05-02 09:18:56,16.0
2026-05-02 09:18:57,15.0
2026-05-02 09:18:58,15.0
2026-05-02 09:18:59,11.0
2026-05-02 09:19:00,9.033333333333333
2026-05-02 09:19:01,9.166666666666666
2026-05-02 09:19:02,9.266666666666667
2026-05-02 09:19:03,9.366666666666667
2026-05-02 09:19:04,9.466666666666669
2026-05-02 09:19:05,9.566666666666666
2026-05-02 09:19:06,9.7
2026-05-02 09:19:07,9.8
2026-05-02 09:19:08,9.9
2026-05-02 09:19:09,10.0
2026-05-02 09:19:10,16.5
2026-05-02 09:19:11,20.5
2026-05-02 09:19:12,23.0
2026-05-02 09:19:13,22.75
2026-05-02 09:19:14,22.416666666666664
2026-05-02 09:19:15,22.166666666666668
2026-05-02 09:19:16,19.5
2026-05-02 09:19:17,16.0
2026-05-02 09:19:18,15.5
2026-05-02 09:19:19,15.0
2026-05-02 09:19:20,15.0
2026-05-02 09:19:21,15.5
2026-05-02 09:19:22,15.0
2026-05-02 09:19:23,17.5
2026-05-02 09:19:24,19.5
2026-05-02 09:19:25,21.0
2026-05-02 09:19:26,14.0
2026-05-02 09:19:27,10.0
2026-05-02 09:19:28,10.0
2026-05-02 09:19:29,10.0
2026-05-02 09:19:30,10.0
2026-05-02 09:19:31,14.0
2026-05-02 09:19:32,17.0
2026-05-02 09:19:33,18.0
2026-05-02 09:19:34,18.0
2026-05-02 09:19:35,18.0
2026-05-02 09:19:36,17.0
2026-05-02 09:19:37,17.0
2026-05-02 09:19:38,18.0
2026-05-02 09:19:39,18.5
2026-05-02 09:19:40,19.0
2026-05-02 09:19:41,21.5
2026-05-02 09:19:42,25.5
2026-05-02 09:19:43,28.0
2026-05-02 09:19:44,26.5
2026-05-02 09:19:45,22.0
2026-05-02 09:19:46,20.0
2026-05-02 09:19:47,19.5
2026-05-02 09:19:48,20.0
2026-05-02 09:19:49,17.5
2026-05-02 09:19:50,13.5
2026-05-02 09:19:51,9.0
2026-05-02 09:19:52,9.0
2026-05-02 09:19:53,9.0
2026-05-02 09:19:54,9.0
2026-05-02 09:19:55,9.0
2026-05-02 09:19:56,9.0
2026-05-02 09:19:57,10.0
2026-05-02 09:19:58,13.0
2026-05-02 09:19:59,15.0
2026-05-02 09:20:00,17.5
2026-05-02 09:20:01,18.0
2026-05-02 09:20:02,18.0
2026-05-02 09:20:03,17.5
2026-05-02 09:20:04,13.0
2026-05-02 09:20:05,12.0
2026-05-02 09:20:06,13.0
2026-05-02 09:20:07,13.0
2026-05-02 09:20:08,14.5
2026-05-02 09:20:09,17.0
2026-05-02 09:20:10,17.5
2026-05-02 09:20:11,18.0
2026-05-02 09:20:12,18.5
2026-05-02 09:20:13,20.5
2026-05-02 09:20:14,16.0
2026-05-02 09:20:15,17.0
