log_time,breath_rate
2026-04-26 21:06:08,17.0
2026-04-26 21:06:09,15.0
2026-04-26 21:06:10,12.0
2026-04-26 21:06:11,11.0
2026-04-26 21:06:12,10.0
2026-04-26 21:06:13,8.9375
2026-04-26 21:06:14,8.75
2026-04-26 21:06:15,8.5625
2026-04-26 21:06:16,8.3125
2026-04-26 21:06:17,8.125
2026-04-26 21:06:18,9.5
2026-04-26 21:06:19,9.0
2026-04-26 21:06:20,10.5
2026-04-26 21:06:21,16.5
2026-04-26 21:06:22,19.0
2026-04-26 21:06:23,21.5
2026-04-26 21:06:24,24.0
2026-04-26 21:06:25,24.0
2026-04-26 21:06:26,24.5
2026-04-26 21:06:27,25.0
2026-04-26 21:06:28,24.0
2026-04-26 21:06:29,25.0
2026-04-26 21:06:30,25.0
2026-04-26 21:06:31,24.0
2026-04-26 21:06:32,24.5
2026-04-26 21:06:33,26.0
2026-04-26 21:06:34,26.5
2026-04-26 21:06:35,27.0
2026-04-26 21:06:36,26.0
2026-04-26 21:06:37,17.5
2026-04-26 21:06:38,12.0
2026-04-26 21:06:39,12.0
2026-04-26 21:06:40,13.0
2026-04-26 21:06:41,11.0
2026-04-26 21:06:42,9.863636363636363
2026-04-26 21:06:43,9.727272727272728
2026-04-26 21:06:44,9.59090909090909
2026-04-26 21:06:45,9.454545454545457
2026-04-26 21:06:46,9.318181818181817
2026-04-26 21:06:47,9.136363636363637
2026-04-26 21:06:48,9.0
2026-04-26 21:06:49,14.5
2026-04-26 21:06:50,19.0
2026-04-26 21:06:51,21.0
2026-04-26 21:06:52,22.0
2026-04-26 21:06:53,23.0
2026-04-26 21:06:54,24.5
2026-04-26 21:06:55,25.5
2026-04-26 21:06:56,25.0
2026-04-26 21:06:57,26.0
2026-04-26 21:06:58,24.0
2026-04-26 21:06:59,23.0
2026-04-26 21:07:00,23.5
2026-04-26 21:07:01,21.0
2026-04-26 21:07:02,18.0
2026-04-26 21:07:03,13.0
2026-04-26 21:07:04,9.0
2026-04-26 21:07:05,8.0
2026-04-26 21:07:06,8.0
2026-04-26 21:07:07,8.0
2026-04-26 21:07:08,8.0
