log_time,heart_rate
2026-04-27 07:21:45,71.0
2026-04-27 07:21:46,71.0
2026-04-27 07:21:47,72.5
2026-04-27 07:21:48,74.5
2026-04-27 07:21:49,77.0
2026-04-27 07:21:50,78.5
2026-04-27 07:21:51,82.0
2026-04-27 07:21:52,85.5
2026-04-27 07:21:53,89.0
2026-04-27 07:21:54,91.0
2026-04-27 07:21:55,94.0
2026-04-27 07:21:56,97.0
2026-04-27 07:21:57,101.0
2026-04-27 07:21:58,104.5
2026-04-27 07:21:59,106.0
2026-04-27 07:22:00,107.5
2026-04-27 07:22:01,108.5
2026-04-27 07:22:02,110.0
2026-04-27 07:22:03,106.5
2026-04-27 07:22:04,102.0
2026-04-27 07:22:05,96.0
2026-04-27 07:22:06,91.0
2026-04-27 07:22:07,87.0
2026-04-27 07:22:08,83.0
2026-04-27 07:22:09,83.0
2026-04-27 07:22:10,86.0
2026-04-27 07:22:11,90.0
2026-04-27 07:22:12,93.0
2026-04-27 07:22:13,95.5
2026-04-27 07:22:14,97.0
2026-04-27 07:22:15,97.0
2026-04-27 07:22:16,96.5
2026-04-27 07:22:17,97.0
2026-04-27 07:22:18,97.5
2026-04-27 07:22:19,98.5
2026-04-27 07:22:20,98.0
2026-04-27 07:22:21,96.5
2026-04-27 07:22:22,95.0
2026-04-27 07:22:23,93.5
2026-04-27 07:22:24,93.0
2026-04-27 07:22:25,93.0
2026-04-27 07:22:26,94.0
2026-04-27 07:22:27,94.0
2026-04-27 07:22:28,91.5
2026-04-27 07:22:29,89.5
2026-04-27 07:22:30,90.0
2026-04-27 07:22:31,91.5
2026-04-27 07:22:32,93.5
2026-04-27 07:22:33,95.0
2026-04-27 07:22:34,97.5
2026-04-27 07:22:35,100.0
2026-04-27 07:22:36,102.5
2026-04-27 07:22:37,103.5
2026-04-27 07:22:38,103.0
2026-04-27 07:22:39,100.5
2026-04-27 07:22:40,98.0
2026-04-27 07:22:41,96.0
2026-04-27 07:22:42,93.0
2026-04-27 07:22:43,91.0
2026-04-27 07:22:44,91.0
2026-04-27 07:22:45,90.0
2026-04-27 07:22:46,88.0
2026-04-27 07:22:47,86.0
2026-04-27 07:22:48,83.0
2026-04-27 07:22:49,82.5
2026-04-27 07:22:50,82.0
2026-04-27 07:22:51,81.0
2026-04-27 07:22:52,76.0
2026-04-27 07:22:53,77.0
2026-04-27 07:22:54,81.0
2026-04-27 07:22:55,85.0
2026-04-27 07:22:56,87.0
2026-04-27 07:22:57,91.0
2026-04-27 07:22:58,94.0
2026-04-27 07:22:59,96.0
2026-04-27 07:23:00,98.5
2026-04-27 07:23:01,99.0
2026-04-27 07:23:02,100.5
2026-04-27 07:23:03,97.0
2026-04-27 07:23:04,94.0
2026-04-27 07:23:05,91.0
2026-04-27 07:23:06,88.0
2026-04-27 07:23:07,85.0
2026-04-27 07:23:08,82.0
2026-04-27 07:23:09,81.0
2026-04-27 07:23:10,78.75
2026-04-27 07:23:11,77.0
2026-04-27 07:23:12,78.5
2026-04-27 07:23:13,82.0
2026-04-27 07:23:14,88.0
2026-04-27 07:23:15,95.5
2026-04-27 07:23:16,97.0
2026-04-27 07:23:17,92.5
2026-04-27 07:23:18,91.0
2026-04-27 07:23:19,87.0
2026-04-27 07:23:20,83.5
2026-04-27 07:23:21,79.0
2026-04-27 07:23:22,76.5
2026-04-27 07:23:23,80.5
2026-04-27 07:23:24,84.0
2026-04-27 07:23:25,86.0
2026-04-27 07:23:26,88.5
2026-04-27 07:23:27,91.0
2026-04-27 07:23:28,93.0
2026-04-27 07:23:29,96.5
2026-04-27 07:23:30,99.0
2026-04-27 07:23:31,99.0
2026-04-27 07:23:32,99.0
2026-04-27 07:23:33,99.0
2026-04-27 07:23:34,100.0
2026-04-27 07:23:35,99.0
2026-04-27 07:23:36,99.0
2026-04-27 07:23:37,98.5
2026-04-27 07:23:38,98.0
2026-04-27 07:23:39,97.5
2026-04-27 07:23:40,97.0
2026-04-27 07:23:41,95.5
2026-04-27 07:23:42,93.5
2026-04-27 07:23:43,93.0
2026-04-27 07:23:44,92.5
2026-04-27 07:23:45,91.0
2026-04-27 07:23:46,90.0
2026-04-27 07:23:47,87.5
2026-04-27 07:23:48,85.0
2026-04-27 07:23:49,81.5
2026-04-27 07:23:50,78.5
2026-04-27 07:23:51,79.0
2026-04-27 07:23:52,82.0
2026-04-27 07:23:53,85.0
2026-04-27 07:23:54,85.5
2026-04-27 07:23:55,90.5
2026-04-27 07:23:56,94.0
2026-04-27 07:23:57,98.0
2026-04-27 07:23:58,99.0
2026-04-27 07:23:59,97.5
2026-04-27 07:24:00,95.5
2026-04-27 07:24:01,93.0
2026-04-27 07:24:02,94.0
2026-04-27 07:24:03,98.0
2026-04-27 07:24:04,101.0
2026-04-27 07:24:05,104.5
2026-04-27 07:24:06,107.0
2026-04-27 07:24:07,111.0
2026-04-27 07:24:08,113.0
2026-04-27 07:24:09,116.0
2026-04-27 07:24:10,119.5
2026-04-27 07:24:11,121.0
2026-04-27 07:24:12,122.0
2026-04-27 07:24:13,123.0
2026-04-27 07:24:14,124.0
2026-04-27 07:24:15,118.5
2026-04-27 07:24:16,113.0
2026-04-27 07:24:17,108.0
2026-04-27 07:24:18,104.0
2026-04-27 07:24:19,101.5
2026-04-27 07:24:20,98.0
2026-04-27 07:24:21,95.0
2026-04-27 07:24:22,92.0
2026-04-27 07:24:23,91.0
2026-04-27 07:24:24,92.0
2026-04-27 07:24:25,93.5
2026-04-27 07:24:26,96.0
2026-04-27 07:24:27,97.5
2026-04-27 07:24:28,98.5
2026-04-27 07:24:29,99.0
2026-04-27 07:24:30,99.5
2026-04-27 07:24:31,100.5
2026-04-27 07:24:32,101.0
2026-04-27 07:24:33,101.5
2026-04-27 07:24:34,104.0
2026-04-27 07:24:35,104.5
2026-04-27 07:24:36,105.0
2026-04-27 07:24:37,105.0
2026-04-27 07:24:38,105.5
2026-04-27 07:24:39,106.0
2026-04-27 07:24:40,105.5
2026-04-27 07:24:41,105.5
2026-04-27 07:24:42,106.0
2026-04-27 07:24:43,106.0
2026-04-27 07:24:44,105.0
2026-04-27 07:24:45,105.0
2026-04-27 07:24:46,102.0
2026-04-27 07:24:47,98.0
2026-04-27 07:24:48,94.0
2026-04-27 07:24:49,89.0
2026-04-27 07:24:50,86.0
2026-04-27 07:24:51,84.0
2026-04-27 07:24:52,86.0
2026-04-27 07:24:53,86.5
2026-04-27 07:24:54,83.5
2026-04-27 07:24:55,83.0
2026-04-27 07:24:56,82.5
2026-04-27 07:24:57,80.0
2026-04-27 07:24:58,80.0
2026-04-27 07:24:59,80.0
2026-04-27 07:25:00,81.0
2026-04-27 07:25:01,80.0
2026-04-27 07:25:02,80.0
2026-04-27 07:25:03,83.0
2026-04-27 07:25:04,86.5
2026-04-27 07:25:05,88.0
2026-04-27 07:25:06,87.0
2026-04-27 07:25:07,82.5
2026-04-27 07:25:08,79.0
2026-04-27 07:25:09,76.0
2026-04-27 07:25:10,73.0
2026-04-27 07:25:11,70.0
2026-04-27 07:25:12,67.5
2026-04-27 07:25:13,66.0
2026-04-27 07:25:14,65.5
2026-04-27 07:25:15,65.1875
2026-04-27 07:25:16,65.375
2026-04-27 07:25:17,65.5625
2026-04-27 07:25:18,65.75
2026-04-27 07:25:19,65.9375
2026-04-27 07:25:20,65.72727272727272
2026-04-27 07:25:21,65.45454545454545
2026-04-27 07:25:22,65.18181818181819
2026-04-27 07:25:23,64.9090909090909
2026-04-27 07:25:24,64.63636363636364
2026-04-27 07:25:25,64.27272727272728
2026-04-27 07:25:26,64.0
2026-04-27 07:25:27,62.5
2026-04-27 07:25:28,62.0
2026-04-27 07:25:29,60.5
2026-04-27 07:25:30,62.5
2026-04-27 07:25:31,68.0
2026-04-27 07:25:32,70.5
2026-04-27 07:25:33,73.0
2026-04-27 07:25:34,77.0
2026-04-27 07:25:35,83.5
2026-04-27 07:25:36,86.0
2026-04-27 07:25:37,89.0
2026-04-27 07:25:38,90.0
2026-04-27 07:25:39,92.0
2026-04-27 07:25:40,95.0
2026-04-27 07:25:41,98.0
2026-04-27 07:25:42,102.0
2026-04-27 07:25:43,105.0
2026-04-27 07:25:44,108.0
2026-04-27 07:25:45,110.5
2026-04-27 07:25:46,112.0
2026-04-27 07:25:47,113.0
2026-04-27 07:25:48,109.5
2026-04-27 07:25:49,103.0
2026-04-27 07:25:50,97.5
2026-04-27 07:25:51,90.0
2026-04-27 07:25:52,85.0
2026-04-27 07:25:53,83.5
2026-04-27 07:25:54,82.0
2026-04-27 07:25:55,80.5
2026-04-27 07:25:56,79.0
2026-04-27 07:25:57,79.0
2026-04-27 07:25:58,79.0
2026-04-27 07:25:59,78.0
2026-04-27 07:26:00,76.5
2026-04-27 07:26:01,76.0
2026-04-27 07:26:02,78.0
2026-04-27 07:26:03,80.0
2026-04-27 07:26:04,80.0
2026-04-27 07:26:05,81.5
2026-04-27 07:26:06,84.5
2026-04-27 07:26:07,86.0
2026-04-27 07:26:08,84.0
2026-04-27 07:26:09,80.0
2026-04-27 07:26:10,77.0
2026-04-27 07:26:11,72.0
2026-04-27 07:26:12,70.0
2026-04-27 07:26:13,67.5
2026-04-27 07:26:14,67.0
2026-04-27 07:26:15,69.0
2026-04-27 07:26:16,72.0
2026-04-27 07:26:17,75.0
2026-04-27 07:26:18,77.5
2026-04-27 07:26:19,79.5
2026-04-27 07:26:20,80.0
2026-04-27 07:26:21,82.5
2026-04-27 07:26:22,85.0
2026-04-27 07:26:23,87.0
2026-04-27 07:26:24,86.5
2026-04-27 07:26:25,87.0
2026-04-27 07:26:26,86.5
2026-04-27 07:26:27,86.0
2026-04-27 07:26:28,85.0
2026-04-27 07:26:29,82.5
2026-04-27 07:26:30,82.31
2026-04-27 07:26:31,82.12
2026-04-27 07:26:32,
2026-04-27 07:26:33,
2026-04-27 07:26:34,
2026-04-27 07:26:35,
2026-04-27 07:26:36,
2026-04-27 07:26:37,
2026-04-27 07:26:38,
2026-04-27 07:26:39,80.6
2026-04-27 07:26:40,80.2
2026-04-27 07:26:41,80.0
2026-04-27 07:26:42,79.8
2026-04-27 07:26:43,79.6
2026-04-27 07:26:44,79.4
2026-04-27 07:26:45,79.2
2026-04-27 07:26:46,80.0
2026-04-27 07:26:47,83.5
2026-04-27 07:26:48,89.0
2026-04-27 07:26:49,95.0
