log_time,breath_rate
2026-05-03 06:24:09.976053,15.0
2026-05-03 06:24:10.574449,17.0
2026-05-03 06:24:11.179191,18.0
2026-05-03 06:24:11.876311,18.0
2026-05-03 06:24:12.474557,17.0
2026-05-03 06:24:13.075618,17.0
2026-05-03 06:24:13.775786,16.0
2026-05-03 06:24:14.374914,18.0
2026-05-03 06:24:14.975096,20.0
2026-05-03 06:24:15.574585,22.0
2026-05-03 06:24:16.274849,24.0
2026-05-03 06:24:16.874411,25.0
2026-05-03 06:24:17.474355,25.0
2026-05-03 06:24:18.174865,25.0
2026-05-03 06:24:18.774386,25.0
2026-05-03 06:24:19.374373,26.0
2026-05-03 06:24:19.974483,26.0
2026-05-03 06:24:20.675555,25.0
2026-05-03 06:24:21.275372,25.0
2026-05-03 06:24:21.874336,26.0
2026-05-03 06:24:22.576058,27.0
2026-05-03 06:24:23.175362,28.0
2026-05-03 06:24:23.774339,29.0
2026-05-03 06:24:24.474459,28.0
2026-05-03 06:24:25.075360,28.0
2026-05-03 06:24:25.675062,28.0
2026-05-03 06:24:26.275813,28.0
2026-05-03 06:24:26.974431,28.0
2026-05-03 06:24:27.574386,29.0
2026-05-03 06:24:28.177424,28.0
2026-05-03 06:24:28.774378,25.0
2026-05-03 06:24:29.477151,22.0
2026-05-03 06:24:30.076365,21.0
2026-05-03 06:24:30.674702,19.0
2026-05-03 06:24:31.374383,18.0
2026-05-03 06:24:31.976399,17.0
2026-05-03 06:24:32.575774,17.0
2026-05-03 06:24:33.275506,16.0
2026-05-03 06:24:33.876891,16.0
2026-05-03 06:24:34.475223,15.0
2026-05-03 06:24:35.175064,15.0
2026-05-03 06:24:35.774504,14.0
2026-05-03 06:24:36.375086,11.0
2026-05-03 06:24:37.074394,14.0
2026-05-03 06:24:37.674565,11.0
2026-05-03 06:24:38.274556,8.0
2026-05-03 06:24:38.974455,9.333333333333334
2026-05-03 06:24:39.574532,10.666666666666666
2026-05-03 06:24:40.174826,12.0
2026-05-03 06:24:40.776444,17.0
2026-05-03 06:24:41.474435,21.0
2026-05-03 06:24:42.074588,23.0
2026-05-03 06:24:42.674782,26.0
2026-05-03 06:24:43.374458,27.0
2026-05-03 06:24:44.076252,28.0
2026-05-03 06:24:44.674367,27.833333333333332
2026-05-03 06:24:45.375952,27.666666666666668
2026-05-03 06:24:45.977343,27.5
2026-05-03 06:24:46.576667,27.333333333333332
2026-05-03 06:24:47.176343,27.166666666666668
2026-05-03 06:24:47.875179,27.0
2026-05-03 06:24:48.474631,27.0
2026-05-03 06:24:49.076699,26.0
2026-05-03 06:24:49.776391,26.0
2026-05-03 06:24:50.374985,25.0
2026-05-03 06:24:50.974375,25.0
2026-05-03 06:24:51.576712,25.0
2026-05-03 06:24:52.274719,24.0
2026-05-03 06:24:52.874535,23.0
2026-05-03 06:24:53.474327,22.0
2026-05-03 06:24:54.174556,23.0
2026-05-03 06:24:54.775014,24.0
2026-05-03 06:24:55.374498,22.0
2026-05-03 06:24:56.074722,21.0
2026-05-03 06:24:56.674356,20.0
2026-05-03 06:24:57.275691,20.0
2026-05-03 06:24:57.874485,20.0
2026-05-03 06:24:58.474383,20.0
2026-05-03 06:24:59.174739,20.0
2026-05-03 06:24:59.775862,19.0
2026-05-03 06:25:00.374375,19.0
2026-05-03 06:25:00.975422,18.0
2026-05-03 06:25:01.675121,17.0
2026-05-03 06:25:02.274904,17.0
2026-05-03 06:25:02.876019,14.0
2026-05-03 06:25:03.476574,11.0
2026-05-03 06:25:04.175553,9.0
2026-05-03 06:25:04.774473,10.0
2026-05-03 06:25:05.376340,11.0
2026-05-03 06:25:05.975372,12.0
2026-05-03 06:25:06.678644,14.0
2026-05-03 06:25:07.276585,14.0
2026-05-03 06:25:07.875751,16.0
2026-05-03 06:25:08.474777,16.0
2026-05-03 06:25:09.077046,17.0
2026-05-03 06:25:09.775040,17.0
2026-05-03 06:25:10.374452,18.0
2026-05-03 06:25:10.974322,18.0
2026-05-03 06:25:11.574633,20.0
2026-05-03 06:25:12.275317,22.0
2026-05-03 06:25:12.874420,21.0
2026-05-03 06:25:13.474992,20.0
2026-05-03 06:25:14.174531,18.0
2026-05-03 06:25:14.774424,17.0
2026-05-03 06:25:15.375512,17.0
2026-05-03 06:25:16.075727,16.0
2026-05-03 06:25:16.674400,16.0
2026-05-03 06:25:17.274334,15.0
2026-05-03 06:25:17.874564,15.0
2026-05-03 06:25:18.575564,15.0
2026-05-03 06:25:19.174336,13.0
2026-05-03 06:25:19.775734,11.0
2026-05-03 06:25:20.374419,12.0
2026-05-03 06:25:21.074514,12.0
2026-05-03 06:25:21.675373,15.0
2026-05-03 06:25:22.274538,17.0
2026-05-03 06:25:22.875552,13.0
2026-05-03 06:25:23.575853,10.0
2026-05-03 06:25:24.275524,8.0
2026-05-03 06:25:24.874809,8.0
2026-05-03 06:25:25.474977,8.0
2026-05-03 06:25:26.176155,8.0
2026-05-03 06:25:26.774872,8.0
2026-05-03 06:25:27.377599,8.0
2026-05-03 06:25:27.974417,8.0
2026-05-03 06:25:28.678637,8.0
2026-05-03 06:25:29.275508,13.0
2026-05-03 06:25:29.874840,16.0
2026-05-03 06:25:30.574723,18.0
2026-05-03 06:25:31.175424,20.0
2026-05-03 06:25:31.774528,20.0
2026-05-03 06:25:32.475384,21.0
2026-05-03 06:25:33.074744,22.0
2026-05-03 06:25:33.674363,22.0
2026-05-03 06:25:34.274473,22.0
2026-05-03 06:25:34.974292,23.0
2026-05-03 06:25:35.575465,23.0
2026-05-03 06:25:36.174542,23.0
2026-05-03 06:25:36.874446,23.0
2026-05-03 06:25:37.474820,23.0
2026-05-03 06:25:38.075741,24.0
2026-05-03 06:25:38.774383,24.0
2026-05-03 06:25:39.374657,18.0
2026-05-03 06:25:39.974495,14.0
2026-05-03 06:25:40.574512,11.0
2026-05-03 06:25:41.274338,8.0
2026-05-03 06:25:41.875066,8.25
2026-05-03 06:25:42.474559,8.5
2026-05-03 06:25:43.074345,8.75
2026-05-03 06:25:43.775097,9.0
2026-05-03 06:25:44.374507,14.0
2026-05-03 06:25:44.974634,17.0
2026-05-03 06:25:45.677808,19.0
2026-05-03 06:25:46.274810,21.0
2026-05-03 06:25:46.874342,23.0
2026-05-03 06:25:47.475597,23.0
2026-05-03 06:25:48.174464,23.0
2026-05-03 06:25:48.774583,24.0
2026-05-03 06:25:49.375097,25.0
2026-05-03 06:25:50.074745,25.0
2026-05-03 06:25:50.674464,26.0
2026-05-03 06:25:51.275823,27.0
2026-05-03 06:25:51.876399,27.0
2026-05-03 06:25:52.576770,27.0
2026-05-03 06:25:53.174355,28.0
2026-05-03 06:25:53.774553,28.0
2026-05-03 06:25:54.474831,27.0
2026-05-03 06:25:55.075032,25.0
2026-05-03 06:25:55.674837,23.0
