log_time,breath_rate
2026-04-22 07:48:35.534900,17.0
2026-04-22 07:48:36.136419,16.0
2026-04-22 07:48:36.837363,16.0
2026-04-22 07:48:37.436040,15.0
2026-04-22 07:48:38.035909,18.0
2026-04-22 07:48:38.635425,15.0
2026-04-22 07:48:39.235816,11.0
2026-04-22 07:48:39.835138,13.0
2026-04-22 07:48:40.435515,14.0
2026-04-22 07:48:41.037515,15.0
2026-04-22 07:48:41.635365,17.0
2026-04-22 07:48:42.236226,18.0
2026-04-22 07:48:42.835086,20.0
2026-04-22 07:48:43.436342,20.0
2026-04-22 07:48:44.036096,20.0
2026-04-22 07:48:44.638327,20.0
2026-04-22 07:48:45.235377,19.0
2026-04-22 07:48:45.836361,20.0
2026-04-22 07:48:46.436802,20.0
2026-04-22 07:48:47.035136,20.0
2026-04-22 07:48:47.634842,20.0
2026-04-22 07:48:48.335118,19.0
2026-04-22 07:48:48.936333,17.0
2026-04-22 07:48:49.535671,13.0
2026-04-22 07:48:50.134950,10.0
2026-04-22 07:48:50.735020,8.0
2026-04-22 07:48:51.334918,8.0
2026-04-22 07:48:51.934953,8.0
2026-04-22 07:48:52.634889,8.0
2026-04-22 07:48:53.235696,8.0
2026-04-22 07:48:53.835015,8.0
2026-04-22 07:48:54.434773,8.0
2026-04-22 07:48:55.035833,8.0
2026-04-22 07:48:55.634912,8.0
2026-04-22 07:48:56.235337,8.0
2026-04-22 07:48:56.834916,8.0
2026-04-22 07:48:57.535897,
2026-04-22 07:48:58.134992,
2026-04-22 07:48:58.737919,
2026-04-22 07:48:59.334940,
2026-04-22 07:48:59.934823,
2026-04-22 07:49:00.534958,
2026-04-22 07:49:01.136076,
2026-04-22 07:49:01.735036,
2026-04-22 07:49:02.334972,
2026-04-22 07:49:02.934928,
2026-04-22 07:49:03.534985,
2026-04-22 07:49:04.135743,
2026-04-22 07:49:04.734988,
2026-04-22 07:49:05.335377,
2026-04-22 07:49:06.034756,
2026-04-22 07:49:06.635212,
2026-04-22 07:49:07.235023,
2026-04-22 07:49:07.834867,
2026-04-22 07:49:08.435229,
2026-04-22 07:49:09.034877,
2026-04-22 07:49:09.635813,
2026-04-22 07:49:10.336061,8.0
2026-04-22 07:49:10.935023,8.0
2026-04-22 07:49:11.535633,8.0
2026-04-22 07:49:12.135112,8.0
2026-04-22 07:49:12.735371,8.0
2026-04-22 07:49:13.334783,8.0
2026-04-22 07:49:13.935914,8.0
2026-04-22 07:49:14.634973,8.0
2026-04-22 07:49:15.234760,8.0
2026-04-22 07:49:15.836404,8.0
2026-04-22 07:49:16.535410,8.0
2026-04-22 07:49:17.135171,10.0
2026-04-22 07:49:17.734926,12.0
2026-04-22 07:49:18.434979,14.0
2026-04-22 07:49:19.035052,15.0
2026-04-22 07:49:19.634846,15.0
2026-04-22 07:49:20.234858,11.0
2026-04-22 07:49:20.834764,12.0
2026-04-22 07:49:21.536327,12.0
2026-04-22 07:49:22.137466,13.0
2026-04-22 07:49:22.736452,13.0
2026-04-22 07:49:23.334955,13.0
2026-04-22 07:49:23.935592,14.0
2026-04-22 07:49:24.535733,16.0
2026-04-22 07:49:25.234830,18.0
2026-04-22 07:49:25.834946,17.833333333333332
2026-04-22 07:49:26.434975,17.666666666666668
2026-04-22 07:49:27.035011,17.5
2026-04-22 07:49:27.635088,17.333333333333332
2026-04-22 07:49:28.335386,17.166666666666668
2026-04-22 07:49:28.934793,17.0
2026-04-22 07:49:29.534792,13.0
2026-04-22 07:49:30.134832,13.0
2026-04-22 07:49:30.734995,13.0
2026-04-22 07:49:31.334930,11.0
2026-04-22 07:49:32.034968,8.0
2026-04-22 07:49:32.635815,8.0625
2026-04-22 07:49:33.235084,8.125
2026-04-22 07:49:33.834965,8.1875
2026-04-22 07:49:34.434799,8.25
2026-04-22 07:49:35.034971,8.3125
2026-04-22 07:49:35.635174,8.375
2026-04-22 07:49:36.334912,8.4375
2026-04-22 07:49:36.934861,8.5
2026-04-22 07:49:37.534792,8.5625
2026-04-22 07:49:38.134807,8.625
2026-04-22 07:49:38.735112,
2026-04-22 07:49:39.334743,
2026-04-22 07:49:39.935234,
2026-04-22 07:49:40.635029,
2026-04-22 07:49:41.235680,
2026-04-22 07:49:41.835333,
2026-04-22 07:49:42.434855,
2026-04-22 07:49:43.035370,
2026-04-22 07:49:43.634923,
2026-04-22 07:49:44.235563,
2026-04-22 07:49:44.934926,
2026-04-22 07:49:45.535295,9.375
2026-04-22 07:49:46.135122,9.4375
2026-04-22 07:49:46.735013,9.5
2026-04-22 07:49:47.334823,9.5625
2026-04-22 07:49:47.935614,9.625
2026-04-22 07:49:48.534956,9.6875
2026-04-22 07:49:49.235754,9.75
2026-04-22 07:49:49.834842,9.8125
2026-04-22 07:49:50.434796,9.875
2026-04-22 07:49:51.035041,9.9375
2026-04-22 07:49:51.634792,10.0
2026-04-22 07:49:52.235020,14.0
2026-04-22 07:49:52.834832,17.0
2026-04-22 07:49:53.435023,18.0
2026-04-22 07:49:54.034752,19.0
2026-04-22 07:49:54.635733,19.0
2026-04-22 07:49:55.237580,18.0
2026-04-22 07:49:55.834904,17.0
2026-04-22 07:49:56.434863,16.0
2026-04-22 07:49:57.134830,17.0
2026-04-22 07:49:57.734852,16.0
2026-04-22 07:49:58.334920,12.0
2026-04-22 07:49:58.934874,10.0
2026-04-22 07:49:59.535042,9.928571428571429
2026-04-22 07:50:00.134850,9.857142857142858
2026-04-22 07:50:00.734982,9.785714285714286
2026-04-22 07:50:01.335396,9.714285714285714
2026-04-22 07:50:02.036291,9.642857142857142
2026-04-22 07:50:02.635263,9.571428571428571
2026-04-22 07:50:03.236588,9.5
2026-04-22 07:50:03.835464,9.428571428571429
2026-04-22 07:50:04.435181,9.357142857142858
2026-04-22 07:50:05.034799,9.285714285714286
2026-04-22 07:50:05.634860,
2026-04-22 07:50:06.234811,
2026-04-22 07:50:06.835090,
2026-04-22 07:50:07.435287,
2026-04-22 07:50:08.035026,
2026-04-22 07:50:08.634946,
2026-04-22 07:50:09.234822,
2026-04-22 07:50:09.836041,8.714285714285715
2026-04-22 07:50:10.434966,8.642857142857142
2026-04-22 07:50:11.035060,8.571428571428571
2026-04-22 07:50:11.734798,8.5
2026-04-22 07:50:12.334968,8.428571428571429
2026-04-22 07:50:12.935202,8.357142857142858
2026-04-22 07:50:13.535084,8.285714285714286
2026-04-22 07:50:14.135247,8.214285714285715
2026-04-22 07:50:14.735016,8.142857142857142
2026-04-22 07:50:15.335135,8.071428571428571
2026-04-22 07:50:16.035242,8.0
2026-04-22 07:50:16.634962,10.0
2026-04-22 07:50:17.237762,12.0
2026-04-22 07:50:17.835054,16.0
2026-04-22 07:50:18.434911,13.0
2026-04-22 07:50:19.034980,10.0
2026-04-22 07:50:19.635505,8.0
2026-04-22 07:50:20.234981,8.0
2026-04-22 07:50:20.836343,8.0
2026-04-22 07:50:21.434850,8.0
2026-04-22 07:50:22.035283,8.0
2026-04-22 07:50:22.635792,8.0
2026-04-22 07:50:23.234894,8.0
2026-04-22 07:50:23.835011,8.0
2026-04-22 07:50:24.435621,8.0
2026-04-22 07:50:25.035376,8.0
2026-04-22 07:50:25.634971,8.0
2026-04-22 07:50:26.234859,
2026-04-22 07:50:26.436305,
2026-04-22 07:50:26.538268,
2026-04-22 07:50:26.634919,
2026-04-22 07:50:26.735058,
2026-04-22 07:50:26.835232,
2026-04-22 07:50:26.935414,
2026-04-22 07:50:27.034842,
2026-04-22 07:50:27.234977,
2026-04-22 07:50:27.335295,
2026-04-22 07:50:27.434817,
2026-04-22 07:50:27.534919,
2026-04-22 07:50:27.634957,
2026-04-22 07:50:27.735642,
2026-04-22 07:50:27.935488,
2026-04-22 07:50:28.035069,
2026-04-22 07:50:28.135590,
2026-04-22 07:50:28.236195,
2026-04-22 07:50:28.336491,
2026-04-22 07:50:28.435309,
2026-04-22 07:50:28.634944,
2026-04-22 07:50:28.735976,
2026-04-22 07:50:28.836928,
2026-04-22 07:50:28.937290,
2026-04-22 07:50:29.035800,
2026-04-22 07:50:29.134906,
2026-04-22 07:50:29.235104,
2026-04-22 07:50:29.434870,
2026-04-22 07:50:29.535480,
2026-04-22 07:50:29.634843,
2026-04-22 07:50:29.734745,
2026-04-22 07:50:29.834831,
2026-04-22 07:50:29.935266,
2026-04-22 07:50:30.135234,
2026-04-22 07:50:30.234861,
2026-04-22 07:50:30.335046,
2026-04-22 07:50:30.435015,
2026-04-22 07:50:30.534872,
2026-04-22 07:50:30.634887,
2026-04-22 07:50:31.135694,
2026-04-22 07:50:31.735031,
2026-04-22 07:50:32.335179,
2026-04-22 07:50:32.935391,
2026-04-22 07:50:33.535108,
2026-04-22 07:50:34.135101,
2026-04-22 07:50:34.735393,8.0
2026-04-22 07:50:35.337930,8.0
2026-04-22 07:50:36.034858,8.0
2026-04-22 07:50:36.634980,8.0
2026-04-22 07:50:37.234999,8.0
2026-04-22 07:50:37.935030,8.0
2026-04-22 07:50:38.534911,8.0
2026-04-22 07:50:39.135036,8.0
2026-04-22 07:50:39.735876,8.0
2026-04-22 07:50:40.337239,8.0
2026-04-22 07:50:40.936284,8.0
2026-04-22 07:50:41.535007,10.0
2026-04-22 07:50:42.136264,9.0
2026-04-22 07:50:42.737768,8.5
2026-04-22 07:50:43.335032,8.0
2026-04-22 07:50:43.936161,10.0
2026-04-22 07:50:44.535677,11.0
2026-04-22 07:50:45.136323,12.0
2026-04-22 07:50:45.734810,13.0
2026-04-22 07:50:46.334942,15.0
2026-04-22 07:50:46.934855,15.0
2026-04-22 07:50:47.535834,11.0
2026-04-22 07:50:48.135086,10.0
2026-04-22 07:50:48.735193,12.0
2026-04-22 07:50:49.335390,12.0
2026-04-22 07:50:49.936269,16.0
2026-04-22 07:50:50.535422,12.0
2026-04-22 07:50:51.134919,11.0
2026-04-22 07:50:51.734831,11.0
2026-04-22 07:50:52.335255,12.0
2026-04-22 07:50:52.934861,13.0
2026-04-22 07:50:53.535042,14.0
2026-04-22 07:50:54.136350,15.0
2026-04-22 07:50:54.735044,16.0
2026-04-22 07:50:55.334893,16.0
2026-04-22 07:50:56.035917,17.0
2026-04-22 07:50:56.635862,17.0
2026-04-22 07:50:57.234828,18.0
2026-04-22 07:50:57.837919,18.0
2026-04-22 07:50:58.438339,18.0
2026-04-22 07:50:59.034979,18.0
2026-04-22 07:50:59.635524,14.0
2026-04-22 07:51:00.235919,13.0
2026-04-22 07:51:00.834837,14.0
2026-04-22 07:51:01.434877,15.0
2026-04-22 07:51:02.034924,16.0
2026-04-22 07:51:02.635393,15.0
2026-04-22 07:51:03.235921,15.0
2026-04-22 07:51:03.835578,15.0
2026-04-22 07:51:04.435519,15.0
2026-04-22 07:51:05.034951,15.0
2026-04-22 07:51:05.636725,14.0
2026-04-22 07:51:06.234945,16.0
2026-04-22 07:51:06.835325,17.0
2026-04-22 07:51:07.435837,13.0
2026-04-22 07:51:08.035073,10.0
2026-04-22 07:51:08.634874,8.0
2026-04-22 07:51:09.234897,11.0
2026-04-22 07:51:09.835284,15.0
2026-04-22 07:51:10.434995,17.0
2026-04-22 07:51:11.035442,18.0
2026-04-22 07:51:11.635238,20.0
2026-04-22 07:51:12.235265,20.0
2026-04-22 07:51:12.834821,21.0
2026-04-22 07:51:13.434763,20.0
2026-04-22 07:51:14.035841,21.0
2026-04-22 07:51:14.636368,21.0
2026-04-22 07:51:15.235873,22.0
2026-04-22 07:51:15.834898,22.0
2026-04-22 07:51:16.434838,23.0
2026-04-22 07:51:17.134878,23.0
2026-04-22 07:51:17.637390,23.0
2026-04-22 07:51:18.234779,23.0
2026-04-22 07:51:18.934987,24.0
2026-04-22 07:51:19.635025,20.0
2026-04-22 07:51:20.235286,19.0
2026-04-22 07:51:20.835105,19.0
2026-04-22 07:51:21.435016,21.0
2026-04-22 07:51:22.035232,24.0
2026-04-22 07:51:22.634815,18.0
2026-04-22 07:51:23.234999,16.0
2026-04-22 07:51:23.834931,20.0
2026-04-22 07:51:24.435339,22.0
2026-04-22 07:51:25.035123,23.0
2026-04-22 07:51:25.634837,24.0
2026-04-22 07:51:26.235372,25.0
2026-04-22 07:51:26.834887,25.0
2026-04-22 07:51:27.435273,24.0
2026-04-22 07:51:28.036098,24.0
2026-04-22 07:51:28.635023,25.0
2026-04-22 07:51:29.237362,23.0
2026-04-22 07:51:29.835106,21.0
2026-04-22 07:51:30.434893,19.0
2026-04-22 07:51:31.035147,18.0
2026-04-22 07:51:31.636636,17.0
2026-04-22 07:51:32.234908,16.0
2026-04-22 07:51:32.834875,12.0
2026-04-22 07:51:33.434849,11.0
2026-04-22 07:51:34.035059,12.0
2026-04-22 07:51:34.634988,12.0
2026-04-22 07:51:35.234868,13.0
2026-04-22 07:51:35.837414,13.0
2026-04-22 07:51:36.435053,11.0
2026-04-22 07:51:37.034810,9.0
2026-04-22 07:51:37.635565,9.012195121951219
2026-04-22 07:51:38.235962,9.024390243902438
2026-04-22 07:51:38.834827,9.036585365853659
2026-04-22 07:51:39.434973,9.048780487804878
2026-04-22 07:51:40.037362,9.060975609756097
2026-04-22 07:51:40.638312,9.073170731707316
2026-04-22 07:51:41.035275,9.085365853658537
2026-04-22 07:51:41.134780,9.097560975609756
2026-04-22 07:51:41.234838,9.109756097560975
2026-04-22 07:51:41.334805,9.121951219512194
2026-04-22 07:51:41.534803,
2026-04-22 07:51:41.635976,
2026-04-22 07:51:41.735281,
2026-04-22 07:51:41.834784,
2026-04-22 07:51:41.934782,
2026-04-22 07:51:42.035323,
2026-04-22 07:51:42.235881,
2026-04-22 07:51:42.335536,
2026-04-22 07:51:42.435301,
2026-04-22 07:51:42.535088,
2026-04-22 07:51:42.635289,
2026-04-22 07:51:42.734960,
2026-04-22 07:51:42.835751,
2026-04-22 07:51:43.034988,
2026-04-22 07:51:43.135348,
2026-04-22 07:51:43.234857,
2026-04-22 07:51:43.334861,
2026-04-22 07:51:43.434857,
2026-04-22 07:51:43.536162,
2026-04-22 07:51:43.735172,
2026-04-22 07:51:43.835154,
2026-04-22 07:51:43.934798,
2026-04-22 07:51:44.034821,
2026-04-22 07:51:44.136322,
2026-04-22 07:51:44.235126,
2026-04-22 07:51:44.434993,
2026-04-22 07:51:44.534921,
2026-04-22 07:51:44.634822,
2026-04-22 07:51:44.736249,
2026-04-22 07:51:44.835018,
2026-04-22 07:51:44.936891,
2026-04-22 07:51:45.135266,
2026-04-22 07:51:45.234873,
2026-04-22 07:51:45.334827,
2026-04-22 07:51:45.434964,
2026-04-22 07:51:45.535596,
2026-04-22 07:51:45.634893,
2026-04-22 07:51:45.835259,
2026-04-22 07:51:45.935220,
2026-04-22 07:51:46.034958,
2026-04-22 07:51:46.135829,
2026-04-22 07:51:46.235257,
2026-04-22 07:51:46.435220,
2026-04-22 07:51:46.535781,
2026-04-22 07:51:46.635407,
2026-04-22 07:51:46.735817,
2026-04-22 07:51:47.535212,
2026-04-22 07:51:47.736278,
2026-04-22 07:51:47.835826,
2026-04-22 07:51:47.935637,
2026-04-22 07:51:48.034821,
2026-04-22 07:51:48.135079,
2026-04-22 07:51:48.234980,
2026-04-22 07:51:48.434844,
2026-04-22 07:51:48.536062,
2026-04-22 07:51:48.634835,
2026-04-22 07:51:48.735229,
2026-04-22 07:51:48.835108,
2026-04-22 07:51:48.934902,
2026-04-22 07:51:49.135284,
2026-04-22 07:51:49.235146,
2026-04-22 07:51:49.336309,9.878048780487806
2026-04-22 07:51:49.435138,9.890243902439025
2026-04-22 07:51:49.535119,9.902439024390244
