log_time,heart_rate
2026-04-22 21:59:16.665582,94.0
2026-04-22 21:59:17.265681,95.0
2026-04-22 21:59:17.965649,96.0
2026-04-22 21:59:18.565776,97.0
2026-04-22 21:59:19.165643,98.0
2026-04-22 21:59:19.765673,96.0
2026-04-22 21:59:20.365807,97.0
2026-04-22 21:59:20.965678,95.0
2026-04-22 21:59:21.665717,93.0
2026-04-22 21:59:22.266077,90.0
2026-04-22 21:59:22.866765,87.0
2026-04-22 21:59:23.465798,85.0
2026-04-22 21:59:24.065809,83.0
2026-04-22 21:59:24.667477,82.0
2026-04-22 21:59:25.365990,80.0
2026-04-22 21:59:25.966572,79.0
2026-04-22 21:59:26.565727,78.0
2026-04-22 21:59:27.168242,77.0
2026-04-22 21:59:27.766449,76.0
2026-04-22 21:59:28.366368,75.0
2026-04-22 21:59:29.065660,74.0
2026-04-22 21:59:29.667253,73.0
2026-04-22 21:59:30.266354,73.0
2026-04-22 21:59:30.865736,71.0
2026-04-22 21:59:31.466013,69.0
2026-04-22 21:59:32.065952,67.0
2026-04-22 21:59:32.765742,65.0
2026-04-22 21:59:33.365664,64.0
2026-04-22 21:59:33.965722,63.0
2026-04-22 21:59:34.565777,62.0
2026-04-22 21:59:35.165679,63.0
2026-04-22 21:59:35.765908,65.0
2026-04-22 21:59:36.465863,66.0
2026-04-22 21:59:37.066324,69.0
2026-04-22 21:59:37.665656,73.0
2026-04-22 21:59:38.266142,77.0
2026-04-22 21:59:38.865680,81.0
2026-04-22 21:59:39.465655,85.0
2026-04-22 21:59:40.165712,88.0
2026-04-22 21:59:40.765834,91.0
2026-04-22 21:59:41.365741,94.0
2026-04-22 21:59:41.965611,96.0
2026-04-22 21:59:42.565642,99.0
2026-04-22 21:59:43.165768,102.0
2026-04-22 21:59:43.766277,104.0
2026-04-22 21:59:44.366016,106.0
2026-04-22 21:59:45.066297,108.0
2026-04-22 21:59:45.666643,109.0
2026-04-22 21:59:46.265848,110.0
2026-04-22 21:59:46.866071,111.0
2026-04-22 21:59:47.466840,112.0
2026-04-22 21:59:48.166115,111.0
2026-04-22 21:59:48.766352,112.0
2026-04-22 21:59:49.367120,114.0
2026-04-22 21:59:49.965990,115.0
2026-04-22 21:59:50.565745,116.0
2026-04-22 21:59:51.165975,116.0
2026-04-22 21:59:51.865967,116.0
2026-04-22 21:59:52.467491,116.0
2026-04-22 21:59:53.065668,116.0
2026-04-22 21:59:53.665811,117.0
2026-04-22 21:59:54.266286,118.0
2026-04-22 21:59:54.865731,118.0
2026-04-22 21:59:55.566215,118.0
2026-04-22 21:59:56.167294,116.0
2026-04-22 21:59:56.865926,113.0
2026-04-22 21:59:57.465898,111.0
2026-04-22 21:59:58.065735,108.0
2026-04-22 21:59:58.665863,105.0
2026-04-22 21:59:59.366700,102.0
2026-04-22 21:59:59.966806,101.875
2026-04-22 22:00:00.565702,101.75
2026-04-22 22:00:01.166017,101.625
2026-04-22 22:00:01.766783,101.5
2026-04-22 22:00:02.366299,101.375
2026-04-22 22:00:02.965999,101.25
2026-04-22 22:00:03.666027,101.125
2026-04-22 22:00:04.265772,101.0
2026-04-22 22:00:04.865802,100.0
2026-04-22 22:00:05.467628,99.0
2026-04-22 22:00:06.065736,100.0
2026-04-22 22:00:06.666898,101.0
2026-04-22 22:00:07.366179,103.0
2026-04-22 22:00:07.965861,104.0
2026-04-22 22:00:08.566800,106.0
2026-04-22 22:00:09.167214,107.0
2026-04-22 22:00:09.766493,109.0
2026-04-22 22:00:10.367247,110.0
2026-04-22 22:00:10.966661,112.0
2026-04-22 22:00:11.666156,114.0
2026-04-22 22:00:12.265641,115.0
2026-04-22 22:00:12.867848,116.0
2026-04-22 22:00:13.466568,117.0
2026-04-22 22:00:14.065772,114.0
2026-04-22 22:00:14.665781,111.0
2026-04-22 22:00:15.367293,108.0
2026-04-22 22:00:15.966109,108.0
2026-04-22 22:00:16.565755,107.0
2026-04-22 22:00:17.166285,106.0
2026-04-22 22:00:17.765763,104.0
2026-04-22 22:00:18.365654,102.0
2026-04-22 22:00:19.066972,101.0
2026-04-22 22:00:19.666901,100.0
2026-04-22 22:00:20.265902,99.0
2026-04-22 22:00:20.865705,99.0
2026-04-22 22:00:21.465653,98.0
2026-04-22 22:00:22.065607,98.0
2026-04-22 22:00:22.666506,98.0
2026-04-22 22:00:23.366879,98.0
2026-04-22 22:00:23.966019,97.0
2026-04-22 22:00:24.565778,96.0
2026-04-22 22:00:25.166404,97.0
2026-04-22 22:00:25.765979,99.0
2026-04-22 22:00:26.365717,101.0
2026-04-22 22:00:26.965713,103.0
