log_time,heart_rate
2026-04-22 21:34:45.865792,75.0
2026-04-22 21:34:46.465761,74.0
2026-04-22 21:34:47.065949,73.0
2026-04-22 21:34:47.665953,72.0
2026-04-22 21:34:48.365785,75.0
2026-04-22 21:34:48.965935,81.0
2026-04-22 21:34:49.565667,85.0
2026-04-22 21:34:50.169659,89.0
2026-04-22 21:34:50.765729,92.0
2026-04-22 21:34:51.365713,96.0
2026-04-22 21:34:52.065938,99.0
2026-04-22 21:34:52.665698,100.0
2026-04-22 21:34:53.265912,100.0
2026-04-22 21:34:53.865716,101.0
2026-04-22 21:34:54.465883,101.0
2026-04-22 21:34:55.065758,102.0
2026-04-22 21:34:55.765682,103.0
2026-04-22 21:34:56.365953,104.0
2026-04-22 21:34:57.065711,104.14285714285714
2026-04-22 21:34:57.665776,104.28571428571429
2026-04-22 21:34:58.266062,104.42857142857143
2026-04-22 21:34:58.968360,104.57142857142857
2026-04-22 21:34:59.567214,104.71428571428571
2026-04-22 21:35:00.166028,104.85714285714286
2026-04-22 21:35:00.765753,105.0
2026-04-22 21:35:01.366926,106.0
2026-04-22 21:35:01.968353,105.0
2026-04-22 21:35:02.667582,102.0
2026-04-22 21:35:03.265708,99.0
2026-04-22 21:35:03.868309,96.0
2026-04-22 21:35:04.465921,92.0
2026-04-22 21:35:05.065783,90.0
2026-04-22 21:35:05.665848,87.0
2026-04-22 21:35:06.367012,84.0
2026-04-22 21:35:06.965703,82.0
2026-04-22 21:35:07.566311,80.0
2026-04-22 21:35:08.167407,79.0
2026-04-22 21:35:08.765772,77.0
2026-04-22 21:35:09.365782,75.0
2026-04-22 21:35:10.065809,73.0
2026-04-22 21:35:10.665931,71.0
2026-04-22 21:35:11.265754,70.0
2026-04-22 21:35:11.865763,72.0
2026-04-22 21:35:12.465683,75.0
2026-04-22 21:35:13.165745,79.0
2026-04-22 21:35:13.765766,83.0
2026-04-22 21:35:14.365958,86.0
2026-04-22 21:35:14.966046,88.0
2026-04-22 21:35:15.567188,91.0
2026-04-22 21:35:16.167614,92.0
2026-04-22 21:35:16.866156,94.0
2026-04-22 21:35:17.465674,95.0
2026-04-22 21:35:18.065831,96.0
2026-04-22 21:35:18.666007,97.0
2026-04-22 21:35:19.265911,97.0
2026-04-22 21:35:19.867390,98.0
2026-04-22 21:35:20.565802,97.0
2026-04-22 21:35:21.166857,97.0
2026-04-22 21:35:21.766234,97.0
2026-04-22 21:35:22.366437,98.0
2026-04-22 21:35:22.966446,101.0
2026-04-22 21:35:23.567037,102.0
2026-04-22 21:35:24.266044,104.0
2026-04-22 21:35:24.865870,106.0
2026-04-22 21:35:25.465724,108.0
2026-04-22 21:35:26.065765,110.0
2026-04-22 21:35:26.665727,110.0
2026-04-22 21:35:27.265805,112.0
2026-04-22 21:35:27.866482,113.0
2026-04-22 21:35:28.465802,113.0
2026-04-22 21:35:29.066067,114.0
2026-04-22 21:35:29.665953,113.0
2026-04-22 21:35:30.266397,111.0
2026-04-22 21:35:30.868477,110.0
2026-04-22 21:35:31.465751,108.0
2026-04-22 21:35:32.065794,107.0
2026-04-22 21:35:32.666215,105.0
2026-04-22 21:35:33.265698,101.0
2026-04-22 21:35:33.865824,100.0
2026-04-22 21:35:34.465589,96.0
2026-04-22 21:35:35.166392,94.0
2026-04-22 21:35:35.765729,91.0
2026-04-22 21:35:36.365636,89.0
2026-04-22 21:35:36.966452,86.0
2026-04-22 21:35:37.665717,84.0
2026-04-22 21:35:38.266000,83.0
2026-04-22 21:35:38.965899,85.0
2026-04-22 21:35:39.566582,87.0
2026-04-22 21:35:40.166202,90.0
2026-04-22 21:35:40.766236,93.0
2026-04-22 21:35:41.366316,96.0
2026-04-22 21:35:42.066333,98.0
2026-04-22 21:35:42.665974,99.0
2026-04-22 21:35:43.267151,101.0
2026-04-22 21:35:43.866909,103.0
2026-04-22 21:35:44.468641,105.0
2026-04-22 21:35:45.066062,106.0
2026-04-22 21:35:45.765600,107.0
