log_time,breath_rate
2026-05-04 09:48:23.807586,25.0
2026-05-04 09:48:24.438580,23.0
2026-05-04 09:48:25.007695,23.0
2026-05-04 09:48:25.608204,24.0
2026-05-04 09:48:26.207689,23.0
2026-05-04 09:48:26.907635,23.0
2026-05-04 09:48:27.508046,23.0
2026-05-04 09:48:28.107800,23.0
2026-05-04 09:48:28.708229,23.0
2026-05-04 09:48:29.307865,22.0
2026-05-04 09:48:29.907794,22.0
2026-05-04 09:48:30.607672,22.0
2026-05-04 09:48:31.207565,23.0
2026-05-04 09:48:31.807541,22.0
2026-05-04 09:48:32.407830,19.0
2026-05-04 09:48:33.007560,14.0
2026-05-04 09:48:33.607898,11.0
2026-05-04 09:48:34.307689,9.0
2026-05-04 09:48:34.907753,8.5
2026-05-04 09:48:35.508156,8.0
2026-05-04 09:48:36.107599,10.0
2026-05-04 09:48:36.707736,12.0
2026-05-04 09:48:37.307570,13.0
2026-05-04 09:48:38.007782,15.0
2026-05-04 09:48:38.607697,15.0
2026-05-04 09:48:39.207704,16.0
2026-05-04 09:48:39.807599,17.0
2026-05-04 09:48:40.410210,17.0
2026-05-04 09:48:41.007732,19.0
2026-05-04 09:48:41.707908,20.0
2026-05-04 09:48:42.308374,21.0
2026-05-04 09:48:43.007745,21.0
2026-05-04 09:48:43.507878,22.0
2026-05-04 09:48:44.208064,22.0
2026-05-04 09:48:44.807564,23.0
2026-05-04 09:48:45.507640,24.0
2026-05-04 09:48:46.107670,25.0
2026-05-04 09:48:46.707681,25.0
2026-05-04 09:48:47.307589,26.0
2026-05-04 09:48:47.908591,26.0
2026-05-04 09:48:48.507644,27.0
2026-05-04 09:48:49.107733,28.0
2026-05-04 09:48:49.807825,24.0
2026-05-04 09:48:50.408973,24.0
2026-05-04 09:48:51.010130,24.0
2026-05-04 09:48:51.607794,24.0
2026-05-04 09:48:52.207942,18.0
2026-05-04 09:48:52.908277,15.0
2026-05-04 09:48:53.507575,14.0
2026-05-04 09:48:54.107615,17.0
2026-05-04 09:48:54.707658,18.0
2026-05-04 09:48:55.308002,17.0
2026-05-04 09:48:55.907627,16.0
2026-05-04 09:48:56.607693,17.0
2026-05-04 09:48:57.207933,17.0
2026-05-04 09:48:57.807669,18.0
2026-05-04 09:48:58.410795,17.0
2026-05-04 09:48:59.007638,16.0
2026-05-04 09:48:59.608703,16.0
2026-05-04 09:49:00.308420,17.0
2026-05-04 09:49:00.909629,17.0
2026-05-04 09:49:01.508973,18.0
2026-05-04 09:49:02.107949,19.0
2026-05-04 09:49:02.707751,20.0
2026-05-04 09:49:03.307795,16.0
2026-05-04 09:49:04.007575,16.0
2026-05-04 09:49:04.607619,16.0
2026-05-04 09:49:05.208006,18.0
2026-05-04 09:49:05.807910,19.0
2026-05-04 09:49:06.407618,20.0
2026-05-04 09:49:07.007585,16.0
2026-05-04 09:49:07.710175,16.0
2026-05-04 09:49:08.307660,18.0
2026-05-04 09:49:08.907646,19.0
2026-05-04 09:49:09.507982,20.0
2026-05-04 09:49:10.107645,20.0
2026-05-04 09:49:10.807546,20.0
2026-05-04 09:49:11.407553,21.0
2026-05-04 09:49:12.009392,21.0
2026-05-04 09:49:12.607743,22.0
2026-05-04 09:49:13.207852,21.0
2026-05-04 09:49:13.907963,21.0
2026-05-04 09:49:14.507776,20.0
2026-05-04 09:49:15.107922,20.0
2026-05-04 09:49:15.707708,20.0
2026-05-04 09:49:16.310431,19.0
2026-05-04 09:49:16.907903,18.0
2026-05-04 09:49:17.608403,17.0
2026-05-04 09:49:18.207499,16.0
2026-05-04 09:49:18.808170,16.0
2026-05-04 09:49:19.409339,15.0
2026-05-04 09:49:20.008503,16.0
2026-05-04 09:49:20.607833,13.0
2026-05-04 09:49:21.308340,11.0
2026-05-04 09:49:21.907734,12.0
