log_time,breath_rate
2026-04-29 06:00:04.676853,
2026-04-29 06:00:05.277850,
2026-04-29 06:00:05.877073,
2026-04-29 06:00:06.477043,
2026-04-29 06:00:07.078957,
2026-04-29 06:00:07.777994,
2026-04-29 06:00:08.376830,
2026-04-29 06:00:08.977520,8.0
2026-04-29 06:00:09.579226,8.0
2026-04-29 06:00:10.277966,8.0
2026-04-29 06:00:10.878135,8.0
2026-04-29 06:00:11.480601,8.0
2026-04-29 06:00:12.080508,8.0
2026-04-29 06:00:12.677219,8.0
2026-04-29 06:00:13.378385,8.0
2026-04-29 06:00:13.978300,8.0
2026-04-29 06:00:14.576857,8.0
2026-04-29 06:00:15.178509,8.0
2026-04-29 06:00:15.877828,11.0
2026-04-29 06:00:16.478286,14.0
2026-04-29 06:00:17.079044,15.0
2026-04-29 06:00:17.683150,16.0
2026-04-29 06:00:18.277827,16.0
2026-04-29 06:00:18.977445,17.0
2026-04-29 06:00:19.576897,19.0
2026-04-29 06:00:20.177119,20.0
2026-04-29 06:00:20.777231,21.0
2026-04-29 06:00:21.376892,21.0
2026-04-29 06:00:22.078437,22.0
2026-04-29 06:00:22.684183,20.0
2026-04-29 06:00:23.276958,22.0
2026-04-29 06:00:23.876809,20.0
2026-04-29 06:00:24.480000,16.0
2026-04-29 06:00:25.176968,16.0
2026-04-29 06:00:25.778978,17.0
2026-04-29 06:00:26.378905,18.0
2026-04-29 06:00:26.976979,19.0
2026-04-29 06:00:27.577483,20.0
2026-04-29 06:00:28.279026,20.0
2026-04-29 06:00:28.877529,20.0
2026-04-29 06:00:29.477266,18.0
2026-04-29 06:00:30.077311,16.0
2026-04-29 06:00:30.677003,16.0
2026-04-29 06:00:31.377775,12.0
2026-04-29 06:00:31.978251,9.0
2026-04-29 06:00:32.577391,9.333333333333334
2026-04-29 06:00:33.177893,9.666666666666666
2026-04-29 06:00:33.776806,10.0
2026-04-29 06:00:34.477287,11.0
2026-04-29 06:00:35.076946,12.0
2026-04-29 06:00:35.676989,13.0
2026-04-29 06:00:36.376918,14.0
2026-04-29 06:00:36.978028,15.0
2026-04-29 06:00:37.676897,16.0
2026-04-29 06:00:38.278139,16.0
2026-04-29 06:00:38.876869,15.0
2026-04-29 06:00:39.476842,15.0
2026-04-29 06:00:40.076870,15.0
2026-04-29 06:00:40.776882,15.0
2026-04-29 06:00:41.377423,12.0
2026-04-29 06:00:41.977585,9.0
2026-04-29 06:00:42.576838,9.5
2026-04-29 06:00:43.177520,10.0
2026-04-29 06:00:43.877571,10.5
2026-04-29 06:00:44.476888,11.0
2026-04-29 06:00:45.077575,11.5
2026-04-29 06:00:45.678533,12.0
2026-04-29 06:00:46.277872,12.5
2026-04-29 06:00:46.978248,13.0
2026-04-29 06:00:47.576946,14.0
2026-04-29 06:00:48.177078,17.0
2026-04-29 06:00:48.777040,20.0
2026-04-29 06:00:49.477216,22.0
2026-04-29 06:00:50.077359,21.0
2026-04-29 06:00:50.679001,22.0
2026-04-29 06:00:51.279029,23.0
2026-04-29 06:00:51.981170,21.0
2026-04-29 06:00:52.576882,16.0
2026-04-29 06:00:53.178210,14.0
2026-04-29 06:00:53.777128,11.0
2026-04-29 06:00:54.476855,8.0
2026-04-29 06:00:55.077498,8.0
2026-04-29 06:00:55.676904,8.0
2026-04-29 06:00:56.279284,8.0
2026-04-29 06:00:56.876943,8.0
2026-04-29 06:00:57.577823,11.0
2026-04-29 06:00:58.179095,15.0
2026-04-29 06:00:58.777442,18.0
2026-04-29 06:00:59.380710,20.0
2026-04-29 06:00:59.976886,21.0
2026-04-29 06:01:00.677082,21.0
2026-04-29 06:01:01.278056,22.0
2026-04-29 06:01:01.876989,22.0
2026-04-29 06:01:02.476868,22.0
2026-04-29 06:01:03.077005,23.0
2026-04-29 06:01:03.778267,23.0
2026-04-29 06:01:04.377929,22.0
2026-04-29 06:01:04.977407,21.0
2026-04-29 06:01:05.577457,21.0
2026-04-29 06:01:06.277299,20.0
2026-04-29 06:01:06.876818,20.0
2026-04-29 06:01:07.477373,20.0
2026-04-29 06:01:08.078099,19.0
2026-04-29 06:01:08.778819,19.166666666666668
2026-04-29 06:01:09.376869,19.333333333333332
2026-04-29 06:01:09.976844,19.5
2026-04-29 06:01:10.577537,19.666666666666668
2026-04-29 06:01:11.277018,19.833333333333332
2026-04-29 06:01:11.878231,20.0
2026-04-29 06:01:12.476849,22.0
2026-04-29 06:01:13.079793,23.0
2026-04-29 06:01:13.676864,24.0
2026-04-29 06:01:14.477343,25.0
2026-04-29 06:01:15.077331,26.0
2026-04-29 06:01:15.676864,26.0
2026-04-29 06:01:16.277624,20.0
2026-04-29 06:01:16.878527,16.0
2026-04-29 06:01:17.578380,16.0
2026-04-29 06:01:18.176792,19.0
2026-04-29 06:01:18.778208,19.0
2026-04-29 06:01:19.377266,20.0
2026-04-29 06:01:19.976938,21.0
2026-04-29 06:01:20.678407,23.0
2026-04-29 06:01:21.278248,22.0
2026-04-29 06:01:21.877056,20.0
2026-04-29 06:01:22.477884,20.0
2026-04-29 06:01:23.077739,22.0
2026-04-29 06:01:23.776862,25.0
2026-04-29 06:01:24.379986,24.0
2026-04-29 06:01:24.981167,22.0
2026-04-29 06:01:25.578289,20.0
2026-04-29 06:01:26.178605,17.0
2026-04-29 06:01:26.878584,14.0
2026-04-29 06:01:27.480573,11.0
2026-04-29 06:01:28.077098,8.0
2026-04-29 06:01:28.676931,8.08695652173913
2026-04-29 06:01:29.277722,8.173913043478262
2026-04-29 06:01:29.878338,8.26086956521739
2026-04-29 06:01:30.577772,8.347826086956522
2026-04-29 06:01:31.176988,8.434782608695652
2026-04-29 06:01:31.776924,8.521739130434783
2026-04-29 06:01:32.381082,8.608695652173914
2026-04-29 06:01:32.977344,8.695652173913043
2026-04-29 06:01:33.680530,8.782608695652174
2026-04-29 06:01:34.278102,8.869565217391305
2026-04-29 06:01:34.876881,
2026-04-29 06:01:35.476972,
2026-04-29 06:01:36.081031,9.130434782608695
2026-04-29 06:01:36.777056,9.217391304347826
2026-04-29 06:01:37.377000,9.304347826086957
2026-04-29 06:01:37.978809,9.391304347826086
2026-04-29 06:01:38.577653,9.478260869565217
2026-04-29 06:01:39.179186,9.565217391304348
2026-04-29 06:01:39.777942,9.652173913043478
2026-04-29 06:01:40.478362,9.73913043478261
2026-04-29 06:01:41.078336,9.826086956521738
2026-04-29 06:01:41.676911,9.91304347826087
2026-04-29 06:01:42.277521,10.0
2026-04-29 06:01:42.877126,12.0
2026-04-29 06:01:43.577078,15.0
2026-04-29 06:01:44.177103,17.0
2026-04-29 06:01:44.778977,19.0
2026-04-29 06:01:45.377022,18.833333333333332
2026-04-29 06:01:45.977422,18.666666666666668
2026-04-29 06:01:46.677384,18.5
2026-04-29 06:01:47.276919,18.333333333333332
2026-04-29 06:01:47.876866,18.166666666666668
2026-04-29 06:01:48.478396,18.0
2026-04-29 06:01:49.077199,18.0
2026-04-29 06:01:49.777238,18.0
2026-04-29 06:01:50.376893,18.0
2026-04-29 06:01:50.978058,19.0
2026-04-29 06:01:51.577568,20.0
2026-04-29 06:01:52.278250,21.0
2026-04-29 06:01:52.977145,22.0
2026-04-29 06:01:53.579410,22.0
2026-04-29 06:01:54.078007,22.0
2026-04-29 06:01:54.776894,23.0
2026-04-29 06:01:55.476999,23.0
2026-04-29 06:01:56.077590,22.0
2026-04-29 06:01:56.682597,22.0
2026-04-29 06:01:57.278532,22.0
2026-04-29 06:01:57.876979,22.0
2026-04-29 06:01:58.579257,23.0
2026-04-29 06:01:59.178100,22.0
2026-04-29 06:01:59.779973,19.0
2026-04-29 06:02:00.376979,19.0
2026-04-29 06:02:01.079714,19.0
2026-04-29 06:02:01.677126,19.0
2026-04-29 06:02:02.277592,18.0
2026-04-29 06:02:02.876894,17.0
2026-04-29 06:02:03.477211,17.0
2026-04-29 06:02:04.177208,16.0
2026-04-29 06:02:04.777602,16.0
2026-04-29 06:02:05.378657,15.0
2026-04-29 06:02:05.976959,16.0
2026-04-29 06:02:06.577293,16.0
2026-04-29 06:02:07.281530,12.0
2026-04-29 06:02:07.877970,11.0
2026-04-29 06:02:08.482195,12.0
2026-04-29 06:02:09.077098,12.0
2026-04-29 06:02:09.677023,13.0
2026-04-29 06:02:10.377707,14.0
2026-04-29 06:02:10.976804,15.0
2026-04-29 06:02:11.577002,16.0
2026-04-29 06:02:12.178594,17.0
2026-04-29 06:02:12.876947,18.0
2026-04-29 06:02:13.478531,17.0
2026-04-29 06:02:14.081328,17.0
2026-04-29 06:02:14.677577,17.0
2026-04-29 06:02:15.277086,18.0
2026-04-29 06:02:15.977571,20.0
2026-04-29 06:02:16.577089,19.0
2026-04-29 06:02:17.176852,15.0
2026-04-29 06:02:17.777052,12.0
2026-04-29 06:02:18.377945,9.0
2026-04-29 06:02:19.080488,8.666666666666666
2026-04-29 06:02:19.677906,8.333333333333334
2026-04-29 06:02:20.277224,8.0
2026-04-29 06:02:20.879658,12.0
2026-04-29 06:02:21.482163,13.0
2026-04-29 06:02:22.178858,10.0
2026-04-29 06:02:22.777977,8.0
2026-04-29 06:02:23.377222,8.107142857142858
2026-04-29 06:02:23.977337,8.214285714285714
2026-04-29 06:02:24.576964,8.321428571428571
2026-04-29 06:02:25.281611,8.428571428571429
2026-04-29 06:02:25.877182,8.535714285714286
2026-04-29 06:02:26.476817,8.642857142857142
2026-04-29 06:02:27.076830,8.75
2026-04-29 06:02:27.676996,8.857142857142858
2026-04-29 06:02:28.376941,8.964285714285714
2026-04-29 06:02:28.976947,9.071428571428571
2026-04-29 06:02:29.576822,
2026-04-29 06:02:30.177848,
2026-04-29 06:02:30.776808,
2026-04-29 06:02:31.478785,
2026-04-29 06:02:32.076770,
2026-04-29 06:02:32.778465,
2026-04-29 06:02:33.376790,
2026-04-29 06:02:33.977993,9.928571428571429
2026-04-29 06:02:34.676973,10.035714285714285
2026-04-29 06:02:35.279517,10.142857142857142
2026-04-29 06:02:35.880820,10.25
2026-04-29 06:02:36.478921,10.357142857142858
2026-04-29 06:02:37.079580,10.464285714285714
2026-04-29 06:02:37.680535,10.571428571428571
2026-04-29 06:02:38.380819,10.678571428571429
2026-04-29 06:02:38.977888,10.785714285714285
2026-04-29 06:02:39.577374,10.892857142857142
2026-04-29 06:02:40.177130,11.0
2026-04-29 06:02:40.778911,16.0
2026-04-29 06:02:41.478618,19.0
2026-04-29 06:02:42.078329,21.0
2026-04-29 06:02:42.677125,22.0
2026-04-29 06:02:43.276935,23.0
2026-04-29 06:02:43.876926,24.0
2026-04-29 06:02:44.576801,24.0
2026-04-29 06:02:45.178303,24.0
2026-04-29 06:02:45.776921,25.0
2026-04-29 06:02:46.379001,20.0
2026-04-29 06:02:47.077167,16.0
2026-04-29 06:02:47.679543,16.0
2026-04-29 06:02:48.276901,16.0
2026-04-29 06:02:48.877807,16.0
2026-04-29 06:02:49.478386,19.0
2026-04-29 06:02:50.178151,20.0
2026-04-29 06:02:50.776929,22.0
2026-04-29 06:02:51.376994,23.0
2026-04-29 06:02:51.977736,24.0
2026-04-29 06:02:52.678138,25.0
2026-04-29 06:02:53.277429,26.0
2026-04-29 06:02:53.877207,23.0
2026-04-29 06:02:54.478620,21.0
2026-04-29 06:02:55.076876,19.0
2026-04-29 06:02:55.777063,19.0
2026-04-29 06:02:56.379856,20.0
2026-04-29 06:02:56.980578,21.0
2026-04-29 06:02:57.577849,21.0
2026-04-29 06:02:58.276985,17.0
2026-04-29 06:02:58.878994,17.0
2026-04-29 06:02:59.478880,17.0
2026-04-29 06:03:00.080988,13.0
2026-04-29 06:03:00.677181,10.0
2026-04-29 06:03:01.377074,8.0
2026-04-29 06:03:01.977871,8.5
2026-04-29 06:03:02.579772,9.0
2026-04-29 06:03:03.176933,13.0
2026-04-29 06:03:03.778119,17.0
2026-04-29 06:03:04.478101,19.0
2026-04-29 06:03:05.076886,20.0
2026-04-29 06:03:05.678536,22.0
