log_time,heart_rate
2026-04-28 21:23:36.000755,89.0
2026-04-28 21:23:36.600959,89.0
2026-04-28 21:23:37.200771,90.0
2026-04-28 21:23:37.902674,89.0
2026-04-28 21:23:38.500813,91.0
2026-04-28 21:23:39.100837,94.0
2026-04-28 21:23:39.802154,98.0
2026-04-28 21:23:40.400734,101.0
2026-04-28 21:23:41.002148,104.0
2026-04-28 21:23:41.600836,104.0
2026-04-28 21:23:42.302099,104.0
2026-04-28 21:23:42.901541,105.0
2026-04-28 21:23:43.500583,107.0
2026-04-28 21:23:44.201975,108.0
2026-04-28 21:23:44.800656,109.0
2026-04-28 21:23:45.400637,110.0
2026-04-28 21:23:46.100739,110.0
2026-04-28 21:23:46.700728,112.0
2026-04-28 21:23:47.301477,112.0
2026-04-28 21:23:47.902291,112.0
2026-04-28 21:23:48.601332,112.0
2026-04-28 21:23:49.201237,113.0
2026-04-28 21:23:49.802155,114.0
2026-04-28 21:23:50.503037,115.0
2026-04-28 21:23:51.101742,116.0
2026-04-28 21:23:51.700950,117.0
2026-04-28 21:23:52.301114,118.0
2026-04-28 21:23:53.001719,115.0
2026-04-28 21:23:53.600811,114.0
2026-04-28 21:23:54.200789,114.0
2026-04-28 21:23:54.801475,114.0
2026-04-28 21:23:55.503381,114.0
2026-04-28 21:23:56.101113,115.0
2026-04-28 21:23:56.703597,115.0
2026-04-28 21:23:57.303731,115.0
2026-04-28 21:23:58.000743,114.0
2026-04-28 21:23:58.600770,113.0
2026-04-28 21:23:59.200858,113.0
2026-04-28 21:23:59.800659,113.0
2026-04-28 21:24:00.503334,113.0
2026-04-28 21:24:01.106392,112.0
2026-04-28 21:24:01.700629,111.0
2026-04-28 21:24:02.301768,110.0
2026-04-28 21:24:03.000720,108.0
2026-04-28 21:24:03.600587,106.0
2026-04-28 21:24:04.200738,104.0
2026-04-28 21:24:04.900629,104.0
2026-04-28 21:24:05.501133,102.0
2026-04-28 21:24:06.100988,99.0
2026-04-28 21:24:06.700678,99.0
2026-04-28 21:24:07.401291,96.0
2026-04-28 21:24:08.004343,96.0
2026-04-28 21:24:08.601855,95.0
2026-04-28 21:24:09.202120,96.0
2026-04-28 21:24:09.900552,94.0
2026-04-28 21:24:10.500576,94.0
2026-04-28 21:24:11.101491,96.0
2026-04-28 21:24:11.800758,99.0
2026-04-28 21:24:12.400698,101.0
2026-04-28 21:24:13.001303,103.0
2026-04-28 21:24:13.702634,104.0
2026-04-28 21:24:14.403110,106.0
