log_time,publish_time,data
2026-04-29 08:14:40.251334,2026-04-29 08:14:40.251334,118.40679168701172
2026-04-29 08:14:40.453560,2026-04-29 08:14:40.453560,118.5754623413086
2026-04-29 08:14:40.652278,2026-04-29 08:14:40.652278,118.71882629394533
2026-04-29 08:14:40.861885,2026-04-29 08:14:40.861885,118.84069061279295
2026-04-29 08:14:41.052637,2026-04-29 08:14:41.052637,118.94427490234376
2026-04-29 08:14:41.260200,2026-04-29 08:14:41.260200,119.03231811523438
2026-04-29 08:14:41.452509,2026-04-29 08:14:41.452509,119.10716247558594
2026-04-29 08:14:41.651441,2026-04-29 08:14:41.651441,119.1707763671875
2026-04-29 08:14:41.853095,2026-04-29 08:14:41.853095,119.22484588623048
2026-04-29 08:14:42.052323,2026-04-29 08:14:42.052323,119.27080535888672
2026-04-29 08:14:42.263780,2026-04-29 08:14:42.263780,119.30987548828124
2026-04-29 08:14:42.452623,2026-04-29 08:14:42.452623,119.34307861328124
2026-04-29 08:14:42.663633,2026-04-29 08:14:42.663633,119.37130737304688
2026-04-29 08:14:42.852138,2026-04-29 08:14:42.852138,119.39529418945312
2026-04-29 08:14:43.053929,2026-04-29 08:14:43.053929,119.41568756103516
2026-04-29 08:14:43.253607,2026-04-29 08:14:43.253607,119.43302154541016
2026-04-29 08:14:43.452079,2026-04-29 08:14:43.452079,119.44775390625
2026-04-29 08:14:43.651580,2026-04-29 08:14:43.651580,119.46028137207033
2026-04-29 08:14:43.852010,2026-04-29 08:14:43.852010,119.4709243774414
2026-04-29 08:14:44.051669,2026-04-29 08:14:44.051669,119.47997283935548
2026-04-29 08:14:44.253816,2026-04-29 08:14:44.253816,119.48766326904295
2026-04-29 08:14:44.462217,2026-04-29 08:14:44.462217,119.49420166015624
2026-04-29 08:14:44.651740,2026-04-29 08:14:44.651740,119.49976348876952
2026-04-29 08:14:44.851518,2026-04-29 08:14:44.851518,119.50448608398438
2026-04-29 08:14:45.066157,2026-04-29 08:14:45.066157,119.5084991455078
2026-04-29 08:14:45.256753,2026-04-29 08:14:45.256753,119.51190948486328
2026-04-29 08:14:45.466043,2026-04-29 08:14:45.466043,119.51481628417967
2026-04-29 08:14:45.653288,2026-04-29 08:14:45.653288,119.51728057861328
2026-04-29 08:14:45.863354,2026-04-29 08:14:45.863354,119.51937103271484
