log_time,publish_time,data
2026-05-02 09:18:04.401335,2026-05-02 09:18:04.401335,12.12161350250244
2026-05-02 09:18:04.600380,2026-05-02 09:18:04.600380,12.06118392944336
2026-05-02 09:18:04.800793,2026-05-02 09:18:04.800793,11.83403778076172
2026-05-02 09:18:05.005270,2026-05-02 09:18:05.005270,11.816744804382324
2026-05-02 09:18:05.200550,2026-05-02 09:18:05.200550,11.802045822143556
2026-05-02 09:18:05.400274,2026-05-02 09:18:05.400274,11.61376953125
2026-05-02 09:18:05.602231,2026-05-02 09:18:05.602231,11.4537353515625
2026-05-02 09:18:05.801401,2026-05-02 09:18:05.801401,11.493487358093262
2026-05-02 09:18:06.002809,2026-05-02 09:18:06.002809,11.351495742797852
2026-05-02 09:18:06.200321,2026-05-02 09:18:06.200321,11.230802536010742
2026-05-02 09:18:06.400700,2026-05-02 09:18:06.400700,11.303995132446287
2026-05-02 09:18:06.600345,2026-05-02 09:18:06.600345,11.36620807647705
2026-05-02 09:18:06.800774,2026-05-02 09:18:06.800774,11.419089317321776
2026-05-02 09:18:07.005113,2026-05-02 09:18:07.005113,11.464038848876951
2026-05-02 09:18:07.201581,2026-05-02 09:18:07.201581,13.08427619934082
2026-05-02 09:18:07.404026,2026-05-02 09:18:07.404026,12.87944793701172
2026-05-02 09:18:07.601013,2026-05-02 09:18:07.601013,14.28737449645996
2026-05-02 09:18:07.810388,2026-05-02 09:18:07.810388,15.659893035888672
2026-05-02 09:18:08.005210,2026-05-02 09:18:08.005210,16.826534271240234
2026-05-02 09:18:08.201992,2026-05-02 09:18:08.201992,17.818178176879883
2026-05-02 09:18:08.401091,2026-05-02 09:18:08.401091,18.83685874938965
2026-05-02 09:18:08.604168,2026-05-02 09:18:08.604168,19.702735900878903
2026-05-02 09:18:08.811698,2026-05-02 09:18:08.811698,20.4387321472168
2026-05-02 09:18:09.002657,2026-05-02 09:18:09.002657,21.064329147338867
2026-05-02 09:18:09.206297,2026-05-02 09:18:09.206297,21.59608459472656
2026-05-02 09:18:09.405038,2026-05-02 09:18:09.405038,22.048078536987305
2026-05-02 09:18:09.612760,2026-05-02 09:18:09.612760,22.432273864746094
2026-05-02 09:18:09.801946,2026-05-02 09:18:09.801946,22.758838653564453
2026-05-02 09:18:10.003486,2026-05-02 09:18:10.003486,23.03641891479492
2026-05-02 09:18:10.203107,2026-05-02 09:18:10.203107,23.272361755371094
2026-05-02 09:18:10.403384,2026-05-02 09:18:10.403384,23.47291374206543
2026-05-02 09:18:10.602228,2026-05-02 09:18:10.602228,23.643383026123047
2026-05-02 09:18:10.801420,2026-05-02 09:18:10.801420,23.78828239440918
2026-05-02 09:18:11.002542,2026-05-02 09:18:11.002542,23.91144561767578
2026-05-02 09:18:11.203718,2026-05-02 09:18:11.203718,24.016136169433597
2026-05-02 09:18:11.404602,2026-05-02 09:18:11.404602,24.105121612548828
2026-05-02 09:18:11.610423,2026-05-02 09:18:11.610423,24.00497817993164
2026-05-02 09:18:11.801909,2026-05-02 09:18:11.801909,24.095638275146484
2026-05-02 09:18:12.000212,2026-05-02 09:18:12.000212,24.17269897460937
2026-05-02 09:18:12.201785,2026-05-02 09:18:12.201785,24.23819923400879
2026-05-02 09:18:12.400920,2026-05-02 09:18:12.400920,24.11809539794922
2026-05-02 09:18:12.604917,2026-05-02 09:18:12.604917,24.01600646972656
2026-05-02 09:18:12.802176,2026-05-02 09:18:12.802176,23.929229736328125
2026-05-02 09:18:13.001580,2026-05-02 09:18:13.001580,23.855470657348636
2026-05-02 09:18:13.201761,2026-05-02 09:18:13.201761,23.792774200439453
2026-05-02 09:18:13.403738,2026-05-02 09:18:13.403738,23.563701629638672
2026-05-02 09:18:13.607146,2026-05-02 09:18:13.607146,23.368989944458008
2026-05-02 09:18:13.802132,2026-05-02 09:18:13.802132,23.0277042388916
2026-05-02 09:18:14.001619,2026-05-02 09:18:14.001619,22.737611770629883
2026-05-02 09:18:14.204726,2026-05-02 09:18:14.204726,22.49103164672852
2026-05-02 09:18:14.404154,2026-05-02 09:18:14.404154,22.28144073486328
2026-05-02 09:18:14.611907,2026-05-02 09:18:14.611907,21.927505493164062
2026-05-02 09:18:14.800293,2026-05-02 09:18:14.800293,21.62666130065918
2026-05-02 09:18:15.005085,2026-05-02 09:18:15.005085,21.370943069458008
2026-05-02 09:18:15.201478,2026-05-02 09:18:15.201478,21.153583526611328
2026-05-02 09:18:15.406201,2026-05-02 09:18:15.406201,20.968826293945312
2026-05-02 09:18:15.601989,2026-05-02 09:18:15.601989,20.811782836914062
2026-05-02 09:18:15.800292,2026-05-02 09:18:15.800292,20.67829704284668
2026-05-02 09:18:16.011492,2026-05-02 09:18:16.011492,20.56483459472656
2026-05-02 09:18:16.200410,2026-05-02 09:18:16.200410,20.2926082611084
2026-05-02 09:18:16.401766,2026-05-02 09:18:16.401766,20.06121826171875
2026-05-02 09:18:16.611963,2026-05-02 09:18:16.611963,19.86453437805176
2026-05-02 09:18:16.802746,2026-05-02 09:18:16.802746,19.697355270385746
2026-05-02 09:18:17.000586,2026-05-02 09:18:17.000586,19.555252075195312
2026-05-02 09:18:17.200566,2026-05-02 09:18:17.200566,19.43446350097656
2026-05-02 09:18:17.400930,2026-05-02 09:18:17.400930,19.33179473876953
2026-05-02 09:18:17.602794,2026-05-02 09:18:17.602794,19.420307159423828
2026-05-02 09:18:17.800652,2026-05-02 09:18:17.800652,19.31976127624512
2026-05-02 09:18:18.011461,2026-05-02 09:18:18.011461,19.23429679870605
2026-05-02 09:18:18.201520,2026-05-02 09:18:18.201520,19.161651611328125
2026-05-02 09:18:18.408395,2026-05-02 09:18:18.408395,19.09990501403809
2026-05-02 09:18:18.604328,2026-05-02 09:18:18.604328,19.04741859436035
2026-05-02 09:18:18.800520,2026-05-02 09:18:18.800520,19.002805709838867
2026-05-02 09:18:19.001091,2026-05-02 09:18:19.001091,18.96488571166992
2026-05-02 09:18:19.200845,2026-05-02 09:18:19.200845,18.93265151977539
2026-05-02 09:18:19.401491,2026-05-02 09:18:19.401491,18.905254364013672
2026-05-02 09:18:19.600933,2026-05-02 09:18:19.600933,18.88196563720703
2026-05-02 09:18:19.801728,2026-05-02 09:18:19.801728,18.862171173095703
2026-05-02 09:18:20.002308,2026-05-02 09:18:20.002308,18.845346450805664
2026-05-02 09:18:20.201551,2026-05-02 09:18:20.201551,18.831043243408203
2026-05-02 09:18:20.412303,2026-05-02 09:18:20.412303,18.81888771057129
2026-05-02 09:18:20.602637,2026-05-02 09:18:20.602637,18.80855369567871
2026-05-02 09:18:33.702504,2026-05-02 09:18:33.702504,18.79977035522461
2026-05-02 09:18:33.903581,2026-05-02 09:18:33.903581,18.79230499267578
2026-05-02 09:18:34.105639,2026-05-02 09:18:34.105639,18.78595924377441
2026-05-02 09:18:34.304072,2026-05-02 09:18:34.304072,18.78056526184082
2026-05-02 09:18:34.501891,2026-05-02 09:18:34.501891,18.77597999572754
2026-05-02 09:18:34.700706,2026-05-02 09:18:34.700706,18.772083282470703
2026-05-02 09:18:34.904584,2026-05-02 09:18:34.904584,18.768770217895508
2026-05-02 09:18:35.101689,2026-05-02 09:18:35.101689,18.76595497131348
2026-05-02 09:18:35.302691,2026-05-02 09:18:35.302691,18.763561248779297
