log_time,breath_rate
2026-05-05 07:08:40.551354,16.0
2026-05-05 07:08:40.551377,16.0
2026-05-05 07:08:40.651059,12.0
2026-05-05 07:08:41.250983,10.0
2026-05-05 07:08:41.850939,9.0
2026-05-05 07:08:42.451050,8.0
2026-05-05 07:08:43.151088,8.0
2026-05-05 07:08:43.751173,8.0
2026-05-05 07:08:44.351249,8.0
2026-05-05 07:08:44.951055,10.0
2026-05-05 07:08:45.551058,13.0
2026-05-05 07:08:46.151046,16.0
2026-05-05 07:08:46.851306,18.0
2026-05-05 07:08:47.451188,19.0
2026-05-05 07:08:48.051418,20.0
2026-05-05 07:08:48.652855,22.0
2026-05-05 07:08:49.251203,24.0
2026-05-05 07:08:49.851191,25.0
2026-05-05 07:08:50.551112,23.0
2026-05-05 07:08:51.151299,22.0
2026-05-05 07:08:51.752592,21.0
2026-05-05 07:08:52.351400,21.0
2026-05-05 07:08:52.953230,21.0
2026-05-05 07:08:53.551161,21.0
2026-05-05 07:08:54.250980,21.0
2026-05-05 07:08:54.851213,20.0
2026-05-05 07:08:55.453194,20.0
2026-05-05 07:08:56.051246,20.0
2026-05-05 07:08:56.651054,21.0
2026-05-05 07:08:57.252871,21.0
2026-05-05 07:08:57.951647,17.0
2026-05-05 07:08:58.551395,13.0
2026-05-05 07:08:59.152009,10.0
2026-05-05 07:08:59.751949,8.0
2026-05-05 07:09:00.352311,8.285714285714286
2026-05-05 07:09:00.951729,8.571428571428571
2026-05-05 07:09:01.651010,8.857142857142858
2026-05-05 07:09:02.251925,9.142857142857142
2026-05-05 07:09:02.851059,9.428571428571429
2026-05-05 07:09:03.451219,9.714285714285714
2026-05-05 07:09:04.051321,10.0
2026-05-05 07:09:04.651402,8.0
2026-05-05 07:09:05.251176,9.0
2026-05-05 07:09:05.951175,10.0
2026-05-05 07:09:06.551156,11.0
2026-05-05 07:09:07.251783,14.0
2026-05-05 07:09:07.851315,11.0
2026-05-05 07:09:08.452976,9.0
2026-05-05 07:09:09.051002,14.0
2026-05-05 07:09:09.651047,11.0
2026-05-05 07:09:10.351027,8.0
2026-05-05 07:09:10.951260,8.6
2026-05-05 07:09:11.551011,9.2
2026-05-05 07:09:12.151076,9.8
2026-05-05 07:09:12.751276,10.4
2026-05-05 07:09:13.351035,11.0
2026-05-05 07:09:13.951795,9.0
2026-05-05 07:09:14.651177,8.0
2026-05-05 07:09:15.251205,11.0
2026-05-05 07:09:15.852926,13.0
2026-05-05 07:09:16.451043,16.0
2026-05-05 07:09:17.055884,17.0
2026-05-05 07:09:17.652556,19.0
2026-05-05 07:09:18.351856,19.0
2026-05-05 07:09:18.951064,19.0
2026-05-05 07:09:19.551619,20.0
2026-05-05 07:09:20.150943,20.0
2026-05-05 07:09:20.751095,20.0
2026-05-05 07:09:21.450925,19.0
2026-05-05 07:09:22.050911,19.0
2026-05-05 07:09:22.651021,19.0
2026-05-05 07:09:23.251241,19.0
2026-05-05 07:09:23.851175,19.0
2026-05-05 07:09:24.550941,18.0
2026-05-05 07:09:25.150999,15.0
2026-05-05 07:09:25.751056,12.0
2026-05-05 07:09:26.351331,9.0
2026-05-05 07:09:26.951075,8.75
2026-05-05 07:09:27.550960,8.5
2026-05-05 07:09:28.250954,8.25
2026-05-05 07:09:28.851098,8.0
2026-05-05 07:09:29.451049,10.0
2026-05-05 07:09:30.050998,9.0
2026-05-05 07:09:30.650970,8.75
2026-05-05 07:09:31.250967,8.5
2026-05-05 07:09:31.950960,8.25
2026-05-05 07:09:32.550979,8.0
2026-05-05 07:09:33.151021,11.0
2026-05-05 07:09:33.750978,14.0
2026-05-05 07:09:34.351058,16.0
2026-05-05 07:09:34.950970,19.0
2026-05-05 07:09:35.650931,19.0
2026-05-05 07:09:36.251112,20.0
2026-05-05 07:09:36.850943,21.0
2026-05-05 07:09:37.450932,23.0
2026-05-05 07:09:38.050954,19.0
2026-05-05 07:09:38.752329,17.0
2026-05-05 07:09:39.352778,16.0
2026-05-05 07:09:39.951180,13.0
2026-05-05 07:09:40.550949,10.0
2026-05-05 07:09:41.150938,8.0
2026-05-05 07:09:41.751040,8.16
2026-05-05 07:09:42.451230,8.32
2026-05-05 07:09:43.050932,8.48
2026-05-05 07:09:43.650954,8.64
2026-05-05 07:09:44.250929,8.8
2026-05-05 07:09:44.851017,8.96
2026-05-05 07:09:45.550923,9.120000000000001
2026-05-05 07:09:46.151012,9.28
2026-05-05 07:09:46.751024,9.44
2026-05-05 07:09:47.451055,9.6
2026-05-05 07:09:48.051036,
2026-05-05 07:09:48.651070,
2026-05-05 07:09:49.351072,
2026-05-05 07:09:49.951137,
2026-05-05 07:09:50.551046,10.4
2026-05-05 07:09:51.151105,10.56
2026-05-05 07:09:51.751097,10.72
2026-05-05 07:09:52.351135,10.879999999999999
2026-05-05 07:09:53.051113,11.04
2026-05-05 07:09:53.651203,11.2
2026-05-05 07:09:54.251204,11.36
2026-05-05 07:09:54.851212,11.52
2026-05-05 07:09:55.451220,11.68
2026-05-05 07:09:56.151105,11.84
2026-05-05 07:09:56.751105,12.0
2026-05-05 07:09:57.351066,15.0
2026-05-05 07:09:57.951534,17.0
2026-05-05 07:09:58.551096,18.0
2026-05-05 07:09:59.150978,19.0
2026-05-05 07:09:59.851085,19.0
2026-05-05 07:10:00.451072,19.0
2026-05-05 07:10:01.050929,19.0
2026-05-05 07:10:01.650944,20.0
2026-05-05 07:10:02.250937,20.0
2026-05-05 07:10:02.951271,21.0
2026-05-05 07:10:03.550945,17.0
2026-05-05 07:10:04.150969,13.0
2026-05-05 07:10:04.750950,10.0
2026-05-05 07:10:05.350929,9.0
2026-05-05 07:10:05.950984,10.0
2026-05-05 07:10:06.650916,11.0
2026-05-05 07:10:07.250955,13.0
2026-05-05 07:10:07.850969,14.0
2026-05-05 07:10:08.451010,16.0
2026-05-05 07:10:09.051023,17.0
2026-05-05 07:10:09.650977,19.0
2026-05-05 07:10:10.351048,20.0
2026-05-05 07:10:10.950984,21.0
2026-05-05 07:10:11.550938,21.0
2026-05-05 07:10:12.150986,21.0
2026-05-05 07:10:12.750956,21.0
2026-05-05 07:10:13.350980,20.0
2026-05-05 07:10:13.950915,19.0
2026-05-05 07:10:14.650959,18.0
2026-05-05 07:10:15.250933,17.0
2026-05-05 07:10:15.850998,16.0
2026-05-05 07:10:16.451079,16.0
2026-05-05 07:10:17.050951,12.0
