log_time,heart_rate
2026-05-05 07:08:40.551354,79.0
2026-05-05 07:08:40.551377,78.0
2026-05-05 07:08:40.651059,77.0
2026-05-05 07:08:41.250983,76.0
2026-05-05 07:08:41.850939,75.0
2026-05-05 07:08:42.451050,74.0
2026-05-05 07:08:43.151088,73.0
2026-05-05 07:08:43.751173,71.0
2026-05-05 07:08:44.351249,70.0
2026-05-05 07:08:44.951055,70.0
2026-05-05 07:08:45.551058,69.0
2026-05-05 07:08:46.151046,68.0
2026-05-05 07:08:46.851306,67.0
2026-05-05 07:08:47.451188,66.0
2026-05-05 07:08:48.051418,65.0
2026-05-05 07:08:48.652855,65.0
2026-05-05 07:08:49.251203,64.0
2026-05-05 07:08:49.851191,63.0
2026-05-05 07:08:50.551112,62.0
2026-05-05 07:08:51.151299,62.0
2026-05-05 07:08:51.752592,62.0
2026-05-05 07:08:52.351400,65.0
2026-05-05 07:08:52.953230,70.0
2026-05-05 07:08:53.551161,74.0
2026-05-05 07:08:54.250980,76.0
2026-05-05 07:08:54.851213,79.0
2026-05-05 07:08:55.453194,81.0
2026-05-05 07:08:56.051246,84.0
2026-05-05 07:08:56.651054,85.0
2026-05-05 07:08:57.252871,84.0
2026-05-05 07:08:57.951647,83.0
2026-05-05 07:08:58.551395,81.0
2026-05-05 07:08:59.152009,81.0
2026-05-05 07:08:59.751949,80.0
2026-05-05 07:09:00.352311,79.0
2026-05-05 07:09:00.951729,78.0
2026-05-05 07:09:01.651010,79.0
2026-05-05 07:09:02.251925,78.0
2026-05-05 07:09:02.851059,78.0
2026-05-05 07:09:03.451219,78.0
2026-05-05 07:09:04.051321,78.0
2026-05-05 07:09:04.651402,78.0
2026-05-05 07:09:05.251176,77.0
2026-05-05 07:09:05.951175,76.0
2026-05-05 07:09:06.551156,75.0
2026-05-05 07:09:07.251783,75.28571428571429
2026-05-05 07:09:07.851315,75.57142857142857
2026-05-05 07:09:08.452976,75.85714285714286
2026-05-05 07:09:09.051002,76.14285714285714
2026-05-05 07:09:09.651047,76.42857142857143
2026-05-05 07:09:10.351027,76.71428571428571
2026-05-05 07:09:10.951260,77.0
2026-05-05 07:09:11.551011,77.0
2026-05-05 07:09:12.151076,76.0
2026-05-05 07:09:12.751276,76.0
2026-05-05 07:09:13.351035,76.0
2026-05-05 07:09:13.951795,76.0
2026-05-05 07:09:14.651177,77.0
2026-05-05 07:09:15.251205,78.0
2026-05-05 07:09:15.852926,79.0
2026-05-05 07:09:16.451043,80.0
2026-05-05 07:09:17.055884,79.0
2026-05-05 07:09:17.652556,78.0
2026-05-05 07:09:18.351856,76.0
2026-05-05 07:09:18.951064,74.0
2026-05-05 07:09:19.551619,72.0
2026-05-05 07:09:20.150943,71.0
2026-05-05 07:09:20.751095,70.0
2026-05-05 07:09:21.450925,73.0
2026-05-05 07:09:22.050911,76.0
2026-05-05 07:09:22.651021,80.0
2026-05-05 07:09:23.251241,84.0
2026-05-05 07:09:23.851175,87.0
2026-05-05 07:09:24.550941,90.0
2026-05-05 07:09:25.150999,92.0
2026-05-05 07:09:25.751056,95.0
2026-05-05 07:09:26.351331,97.0
2026-05-05 07:09:26.951075,99.0
2026-05-05 07:09:27.550960,97.0
2026-05-05 07:09:28.250954,95.0
2026-05-05 07:09:28.851098,91.0
2026-05-05 07:09:29.451049,89.0
2026-05-05 07:09:30.050998,87.0
2026-05-05 07:09:30.650970,86.0
2026-05-05 07:09:31.250967,86.0
2026-05-05 07:09:31.950960,85.0
2026-05-05 07:09:32.550979,84.0
2026-05-05 07:09:33.151021,83.0
2026-05-05 07:09:33.750978,84.0
2026-05-05 07:09:34.351058,84.0
2026-05-05 07:09:34.950970,84.0
2026-05-05 07:09:35.650931,85.0
2026-05-05 07:09:36.251112,84.0
2026-05-05 07:09:36.850943,84.0
2026-05-05 07:09:37.450932,84.0
2026-05-05 07:09:38.050954,84.0
