log_time,breath_rate
2026-04-26 08:17:54.707731,17.0
2026-04-26 08:17:55.307581,18.0
2026-04-26 08:17:55.907565,18.0
2026-04-26 08:17:56.507742,18.0
2026-04-26 08:17:57.107723,18.0
2026-04-26 08:17:57.807815,19.0
2026-04-26 08:17:58.410331,20.0
2026-04-26 08:17:59.007646,20.0
2026-04-26 08:17:59.607601,20.0
2026-04-26 08:18:00.208717,20.0
2026-04-26 08:18:00.809030,20.0
2026-04-26 08:18:01.508316,19.0
2026-04-26 08:18:02.108879,19.0
2026-04-26 08:18:02.707805,19.0
2026-04-26 08:18:03.307594,19.0
2026-04-26 08:18:03.907920,19.0
2026-04-26 08:18:04.607780,20.0
2026-04-26 08:18:05.207673,21.0
2026-04-26 08:18:05.808184,22.0
2026-04-26 08:18:06.407865,23.0
2026-04-26 08:18:07.009255,24.0
2026-04-26 08:18:07.607870,25.0
2026-04-26 08:18:08.308890,26.0
2026-04-26 08:18:08.907873,26.0
2026-04-26 08:18:09.508539,27.0
2026-04-26 08:18:10.107811,27.0
2026-04-26 08:18:10.707850,27.0
2026-04-26 08:18:11.308181,28.0
2026-04-26 08:18:12.008186,29.0
2026-04-26 08:18:12.608161,30.0
2026-04-26 08:18:13.207750,29.0
2026-04-26 08:18:13.807740,28.0
2026-04-26 08:18:14.407626,25.0
2026-04-26 08:18:15.008107,21.0
2026-04-26 08:18:15.707864,17.0
2026-04-26 08:18:16.308874,17.0
2026-04-26 08:18:16.907577,16.0
2026-04-26 08:18:17.507565,17.0
2026-04-26 08:18:18.107631,17.0
2026-04-26 08:18:18.707674,18.0
2026-04-26 08:18:19.407806,19.0
2026-04-26 08:18:20.007590,20.0
2026-04-26 08:18:20.607700,21.0
2026-04-26 08:18:21.207603,22.0
2026-04-26 08:18:21.807539,22.0
2026-04-26 08:18:22.507847,22.0
2026-04-26 08:18:23.107522,21.0
2026-04-26 08:18:23.707745,21.0
2026-04-26 08:18:24.308252,19.0
2026-04-26 08:18:24.907539,18.0
2026-04-26 08:18:25.507680,18.0
