log_time,heart_rate
2026-04-26 07:51:33.207724,112.0
2026-04-26 07:51:33.808079,110.0
2026-04-26 07:51:34.507843,110.0
2026-04-26 07:51:35.108168,110.0
2026-04-26 07:51:35.707822,112.0
2026-04-26 07:51:36.308395,113.0
2026-04-26 07:51:36.908166,112.0
2026-04-26 07:51:37.607696,109.0
2026-04-26 07:51:38.207795,105.0
2026-04-26 07:51:38.807701,100.0
2026-04-26 07:51:39.408528,96.0
2026-04-26 07:51:40.007668,93.0
2026-04-26 07:51:40.608373,89.0
2026-04-26 07:51:41.307742,85.0
2026-04-26 07:51:41.908207,83.0
2026-04-26 07:51:42.512533,80.0
2026-04-26 07:51:43.107953,77.0
2026-04-26 07:51:43.708175,74.0
2026-04-26 07:51:44.407538,73.0
2026-04-26 07:51:45.007507,71.0
2026-04-26 07:51:45.607646,72.0
2026-04-26 07:51:46.207723,76.0
2026-04-26 07:51:46.807591,79.0
2026-04-26 07:51:47.407723,84.0
2026-04-26 07:51:48.107612,87.0
2026-04-26 07:51:48.708632,91.0
2026-04-26 07:51:49.307506,93.0
2026-04-26 07:51:49.909608,96.0
2026-04-26 07:51:50.507594,97.0
2026-04-26 07:51:51.307842,97.0
2026-04-26 07:51:51.907873,98.0
2026-04-26 07:51:52.507754,98.0
2026-04-26 07:51:53.107723,98.0
2026-04-26 07:51:53.707983,98.0
2026-04-26 07:51:54.407662,96.0
2026-04-26 07:51:55.008644,95.0
2026-04-26 07:51:55.607993,96.0
2026-04-26 07:51:56.208239,96.0
2026-04-26 07:51:56.908509,96.0
2026-04-26 07:51:57.508113,96.0
2026-04-26 07:51:58.108479,93.0
2026-04-26 07:51:58.711884,92.0
2026-04-26 07:51:59.408775,91.0
2026-04-26 07:52:00.007660,92.0
2026-04-26 07:52:00.610448,93.0
2026-04-26 07:52:01.209724,94.0
2026-04-26 07:52:01.907751,95.0
2026-04-26 07:52:02.507579,96.0
2026-04-26 07:52:03.108633,97.0
2026-04-26 07:52:03.707941,98.0
2026-04-26 07:52:04.407650,99.0
2026-04-26 07:52:05.007586,100.0
2026-04-26 07:52:05.608656,101.0
2026-04-26 07:52:06.207701,100.0
2026-04-26 07:52:06.807655,100.0
2026-04-26 07:52:07.508892,98.0
2026-04-26 07:52:08.107624,96.0
2026-04-26 07:52:08.708154,94.0
2026-04-26 07:52:09.307589,91.0
2026-04-26 07:52:09.907746,88.0
2026-04-26 07:52:10.608755,86.0
2026-04-26 07:52:11.207688,86.0
2026-04-26 07:52:11.807882,85.0
2026-04-26 07:52:12.409624,84.0
2026-04-26 07:52:13.007643,83.0
2026-04-26 07:52:13.607780,85.0
2026-04-26 07:52:14.307704,88.0
2026-04-26 07:52:14.908002,92.0
2026-04-26 07:52:15.508016,94.0
2026-04-26 07:52:16.107723,96.0
2026-04-26 07:52:16.708385,98.0
2026-04-26 07:52:17.407642,101.0
2026-04-26 07:52:18.007612,103.0
2026-04-26 07:52:18.607821,105.0
2026-04-26 07:52:19.208586,106.0
2026-04-26 07:52:19.908350,107.0
2026-04-26 07:52:20.510507,108.0
2026-04-26 07:52:21.108132,109.0
2026-04-26 07:52:21.707665,110.0
2026-04-26 07:52:22.407860,111.0
2026-04-26 07:52:23.008805,112.0
2026-04-26 07:52:23.608433,112.0
2026-04-26 07:52:24.207536,112.0
2026-04-26 07:52:24.907801,110.0
2026-04-26 07:52:25.508501,109.0
2026-04-26 07:52:26.107616,108.0
2026-04-26 07:52:26.707592,108.0
2026-04-26 07:52:27.407677,107.0
2026-04-26 07:52:28.007819,106.0
2026-04-26 07:52:28.608514,105.0
2026-04-26 07:52:29.208597,104.0
2026-04-26 07:52:29.907732,103.0
2026-04-26 07:52:30.507679,103.15384615384616
2026-04-26 07:52:31.207751,103.3076923076923
2026-04-26 07:52:31.807768,103.46153846153847
2026-04-26 07:52:32.507673,103.61538461538461
2026-04-26 07:52:33.108420,103.76923076923077
2026-04-26 07:52:33.707562,103.92307692307692
2026-04-26 07:52:34.407699,104.07692307692308
2026-04-26 07:52:35.007730,104.23076923076923
2026-04-26 07:52:35.607584,104.38461538461539
2026-04-26 07:52:36.208749,104.53846153846153
2026-04-26 07:52:36.907584,104.6923076923077
2026-04-26 07:52:37.508013,104.84615384615384
2026-04-26 07:52:38.107907,105.0
2026-04-26 07:52:38.707804,106.0
2026-04-26 07:52:39.410330,106.0
2026-04-26 07:52:40.007682,107.0
2026-04-26 07:52:40.608000,105.0
2026-04-26 07:52:41.208938,104.0
2026-04-26 07:52:41.807768,105.0
2026-04-26 07:52:42.507855,104.0
2026-04-26 07:52:43.109725,103.0
2026-04-26 07:52:43.707625,102.0
2026-04-26 07:52:44.307665,101.0
2026-04-26 07:52:45.008947,100.0
2026-04-26 07:52:45.607615,99.0
2026-04-26 07:52:46.207777,98.0
2026-04-26 07:52:46.807668,100.0
2026-04-26 07:52:47.407697,101.0
2026-04-26 07:52:48.108096,101.0
2026-04-26 07:52:48.707565,99.0
2026-04-26 07:52:49.307982,98.0
2026-04-26 07:52:49.907636,95.0
2026-04-26 07:52:50.508806,93.0
2026-04-26 07:52:51.207854,90.0
2026-04-26 07:52:51.807800,87.0
2026-04-26 07:52:52.407609,84.0
2026-04-26 07:52:53.007702,82.0
2026-04-26 07:52:53.607670,79.0
2026-04-26 07:52:54.207608,77.0
2026-04-26 07:52:54.907896,75.0
2026-04-26 07:52:55.507752,74.0
2026-04-26 07:52:56.109118,72.0
2026-04-26 07:52:56.709754,70.0
2026-04-26 07:52:57.307677,68.0
2026-04-26 07:52:57.907979,68.0
2026-04-26 07:52:58.608520,66.0
2026-04-26 07:52:59.207774,66.0
2026-04-26 07:52:59.808066,65.0
2026-04-26 07:53:00.408535,64.0
2026-04-26 07:53:01.009723,63.0
2026-04-26 07:53:01.709455,62.0
2026-04-26 07:53:02.307481,66.0
2026-04-26 07:53:02.908012,70.0
2026-04-26 07:53:03.509168,75.0
2026-04-26 07:53:04.108233,78.0
2026-04-26 07:53:04.807487,82.0
2026-04-26 07:53:05.408471,84.0
2026-04-26 07:53:06.007692,86.0
2026-04-26 07:53:06.607727,87.0
2026-04-26 07:53:07.207682,89.0
2026-04-26 07:53:07.907983,92.0
2026-04-26 07:53:08.507647,93.0
2026-04-26 07:53:09.107724,94.0
2026-04-26 07:53:09.707825,96.0
2026-04-26 07:53:10.407515,96.0
2026-04-26 07:53:11.007560,95.0
2026-04-26 07:53:11.607734,95.0
2026-04-26 07:53:12.207553,96.0
2026-04-26 07:53:13.007574,98.0
2026-04-26 07:53:13.608402,100.0
2026-04-26 07:53:14.207828,102.0
2026-04-26 07:53:14.807749,104.0
2026-04-26 07:53:15.407891,104.0
2026-04-26 07:53:16.109614,103.0
2026-04-26 07:53:16.708333,103.0
2026-04-26 07:53:17.309393,103.0
2026-04-26 07:53:17.908874,102.0
2026-04-26 07:53:18.507964,101.0
2026-04-26 07:53:19.207875,102.0
2026-04-26 07:53:19.809703,101.75
2026-04-26 07:53:20.411218,101.5
2026-04-26 07:53:21.007558,101.25
2026-04-26 07:53:21.607793,101.0
2026-04-26 07:53:22.310510,100.75
2026-04-26 07:53:22.907591,100.5
2026-04-26 07:53:23.508172,100.25
2026-04-26 07:53:24.108614,100.0
2026-04-26 07:53:24.707813,100.0
2026-04-26 07:53:25.307597,102.0
2026-04-26 07:53:26.007574,100.0
2026-04-26 07:53:26.607715,97.0
2026-04-26 07:53:27.207784,93.0
2026-04-26 07:53:27.807762,91.0
2026-04-26 07:53:28.507626,90.0
2026-04-26 07:53:29.107546,90.0
2026-04-26 07:53:29.707996,89.0
2026-04-26 07:53:30.307745,90.0
2026-04-26 07:53:30.907560,91.0
2026-04-26 07:53:31.607525,93.0
2026-04-26 07:53:32.208100,95.0
2026-04-26 07:53:32.807512,97.0
2026-04-26 07:53:33.408116,98.0
2026-04-26 07:53:34.107881,100.0
2026-04-26 07:53:34.707862,100.0
2026-04-26 07:53:35.307644,101.0
2026-04-26 07:53:35.907764,102.0
2026-04-26 07:53:36.607650,103.0
2026-04-26 07:53:37.207654,104.0
2026-04-26 07:53:37.808113,104.0
2026-04-26 07:53:38.407746,104.0
2026-04-26 07:53:39.107569,104.0
2026-04-26 07:53:39.709174,101.0
2026-04-26 07:53:40.308143,99.0
2026-04-26 07:53:40.908105,98.0
2026-04-26 07:53:41.608135,96.0
2026-04-26 07:53:42.208726,94.0
2026-04-26 07:53:42.807574,92.0
2026-04-26 07:53:43.408075,91.0
2026-04-26 07:53:44.007828,90.0
2026-04-26 07:53:44.707784,89.0
2026-04-26 07:53:45.307647,88.0
2026-04-26 07:53:45.908357,88.0
2026-04-26 07:53:46.509763,87.0
2026-04-26 07:53:47.107840,86.0
2026-04-26 07:53:47.807873,87.0
2026-04-26 07:53:48.408001,89.0
2026-04-26 07:53:49.007646,90.0
2026-04-26 07:53:49.608191,90.0
2026-04-26 07:53:50.307765,91.0
2026-04-26 07:53:50.907537,92.0
2026-04-26 07:53:51.507807,93.0
2026-04-26 07:53:52.107737,94.0
2026-04-26 07:53:52.709180,97.0
2026-04-26 07:53:53.507622,99.0
2026-04-26 07:53:54.108615,101.0
2026-04-26 07:53:54.707905,103.0
2026-04-26 07:53:55.307809,104.0
2026-04-26 07:53:55.907609,105.0
2026-04-26 07:53:56.608232,106.0
2026-04-26 07:53:57.209963,107.0
2026-04-26 07:53:57.808133,108.0
2026-04-26 07:53:58.408901,105.0
2026-04-26 07:53:59.007723,101.0
2026-04-26 07:53:59.708461,97.0
2026-04-26 07:54:00.309788,95.0
2026-04-26 07:54:00.908319,92.0
2026-04-26 07:54:01.508484,89.0
2026-04-26 07:54:02.107987,86.0
2026-04-26 07:54:02.808688,84.0
2026-04-26 07:54:03.409650,83.0
2026-04-26 07:54:04.011898,84.0
2026-04-26 07:54:04.607877,85.0
2026-04-26 07:54:05.207604,84.0
2026-04-26 07:54:05.907746,85.0
2026-04-26 07:54:06.508675,87.0
2026-04-26 07:54:07.109878,88.0
2026-04-26 07:54:07.707999,90.0
2026-04-26 07:54:08.307553,91.0
2026-04-26 07:54:09.007865,90.0
2026-04-26 07:54:09.607600,88.0
2026-04-26 07:54:10.207642,89.0
2026-04-26 07:54:10.807734,91.0
2026-04-26 07:54:11.408227,93.0
2026-04-26 07:54:12.107560,96.0
2026-04-26 07:54:12.707713,99.0
2026-04-26 07:54:13.307596,100.0
2026-04-26 07:54:13.908641,103.0
2026-04-26 07:54:14.507573,105.0
2026-04-26 07:54:15.208061,107.0
2026-04-26 07:54:15.807591,108.0
2026-04-26 07:54:16.408655,109.0
2026-04-26 07:54:17.007581,110.0
2026-04-26 07:54:17.707949,111.0
2026-04-26 07:54:18.307566,112.0
2026-04-26 07:54:18.908011,113.0
2026-04-26 07:54:19.507810,114.0
2026-04-26 07:54:20.208256,114.0
2026-04-26 07:54:20.807917,114.0
2026-04-26 07:54:21.408561,114.0
2026-04-26 07:54:22.107897,114.0
2026-04-26 07:54:22.707887,111.0
2026-04-26 07:54:23.307925,108.0
2026-04-26 07:54:23.908185,105.0
2026-04-26 07:54:24.607713,102.0
2026-04-26 07:54:25.207642,99.0
2026-04-26 07:54:25.808524,97.0
2026-04-26 07:54:26.407888,94.0
2026-04-26 07:54:27.108850,93.0
2026-04-26 07:54:27.707951,91.0
2026-04-26 07:54:28.307541,91.0
2026-04-26 07:54:28.907712,91.0
2026-04-26 07:54:29.608359,91.0
