log_time,heart_rate
2026-04-28 07:34:05.771019,99.0
2026-04-28 07:34:06.373864,95.0
2026-04-28 07:34:06.971407,92.0
2026-04-28 07:34:07.570953,88.0
2026-04-28 07:34:08.171882,85.0
2026-04-28 07:34:08.872683,83.0
2026-04-28 07:34:09.472088,80.0
2026-04-28 07:34:10.071174,77.0
2026-04-28 07:34:10.673917,76.0
2026-04-28 07:34:11.271444,76.0
2026-04-28 07:34:11.873951,75.0
2026-04-28 07:34:12.570928,76.0
2026-04-28 07:34:13.172477,78.0
2026-04-28 07:34:13.772474,80.0
2026-04-28 07:34:14.373144,83.0
2026-04-28 07:34:15.071239,86.0
2026-04-28 07:34:15.672351,88.0
2026-04-28 07:34:16.371965,88.0
2026-04-28 07:34:16.971376,88.0
2026-04-28 07:34:17.571573,87.0
2026-04-28 07:34:18.173360,87.0
2026-04-28 07:34:18.771154,87.0
2026-04-28 07:34:19.371265,89.0
2026-04-28 07:34:20.071204,89.0
2026-04-28 07:34:20.671250,90.0
2026-04-28 07:34:21.271967,90.0
2026-04-28 07:34:21.872975,90.0
2026-04-28 07:34:22.470993,92.0
2026-04-28 07:34:23.071208,94.0
2026-04-28 07:34:23.771848,96.0
2026-04-28 07:34:24.371003,96.0
2026-04-28 07:34:24.971412,95.0
2026-04-28 07:34:25.571833,93.0
2026-04-28 07:34:26.171036,92.0
2026-04-28 07:34:26.871083,91.0
2026-04-28 07:34:27.471949,90.0
2026-04-28 07:34:28.071874,89.0
2026-04-28 07:34:28.671120,89.0
2026-04-28 07:34:29.272821,89.0
2026-04-28 07:34:29.971550,89.0
2026-04-28 07:34:30.572690,92.0
2026-04-28 07:34:31.170957,94.0
2026-04-28 07:34:31.772913,96.0
2026-04-28 07:34:32.371156,99.0
2026-04-28 07:34:33.074135,99.0
2026-04-28 07:34:33.671542,98.0
2026-04-28 07:34:34.271536,97.0
2026-04-28 07:34:34.875163,96.0
2026-04-28 07:34:35.472315,95.0
2026-04-28 07:34:36.071615,94.0
2026-04-28 07:34:36.773438,91.0
2026-04-28 07:34:37.374263,89.0
2026-04-28 07:34:37.974270,87.0
2026-04-28 07:34:38.574475,88.0
2026-04-28 07:34:39.173666,88.0
2026-04-28 07:34:39.771034,86.0
2026-04-28 07:34:40.471214,85.0
2026-04-28 07:34:41.072927,86.0
2026-04-28 07:34:41.671503,88.0
2026-04-28 07:34:42.271293,91.0
2026-04-28 07:34:42.870954,93.0
2026-04-28 07:34:43.471645,95.0
2026-04-28 07:34:44.172605,96.0
2026-04-28 07:34:44.771764,98.0
2026-04-28 07:34:45.372597,100.0
2026-04-28 07:34:45.973504,101.0
2026-04-28 07:34:46.570997,100.0
2026-04-28 07:34:47.172479,100.0
2026-04-28 07:34:47.771630,97.0
2026-04-28 07:34:48.473340,95.0
2026-04-28 07:34:49.072107,93.0
2026-04-28 07:34:49.670971,93.0
2026-04-28 07:34:50.272458,96.0
2026-04-28 07:34:50.871135,98.0
2026-04-28 07:34:51.471057,101.0
2026-04-28 07:34:52.171360,104.0
2026-04-28 07:34:52.772833,107.0
2026-04-28 07:34:53.473640,108.0
2026-04-28 07:34:53.973819,109.0
2026-04-28 07:34:54.572513,108.0
2026-04-28 07:34:55.272524,108.0
2026-04-28 07:34:55.871461,109.0
2026-04-28 07:34:56.573497,111.0
2026-04-28 07:34:57.176620,113.0
2026-04-28 07:34:57.771259,112.0
2026-04-28 07:34:58.371060,108.0
2026-04-28 07:34:58.975500,105.0
2026-04-28 07:34:59.571258,102.0
2026-04-28 07:35:00.270983,99.0
2026-04-28 07:35:00.871217,98.0
2026-04-28 07:35:01.472179,96.0
2026-04-28 07:35:02.071716,95.0
2026-04-28 07:35:02.673741,96.0
2026-04-28 07:35:03.372593,96.0
2026-04-28 07:35:03.971041,96.0
2026-04-28 07:35:04.571218,94.0
2026-04-28 07:35:05.171023,93.0
2026-04-28 07:35:05.771184,91.0
2026-04-28 07:35:06.371143,89.0
2026-04-28 07:35:06.971262,88.0
2026-04-28 07:35:07.671017,87.0
2026-04-28 07:35:08.271045,86.0
2026-04-28 07:35:08.871253,86.0
2026-04-28 07:35:09.471077,86.0
2026-04-28 07:35:10.071282,86.0
2026-04-28 07:35:10.671423,87.0
2026-04-28 07:35:11.370946,89.0
2026-04-28 07:35:11.971144,91.0
2026-04-28 07:35:12.571081,94.0
2026-04-28 07:35:13.171093,97.0
2026-04-28 07:35:13.771005,100.0
2026-04-28 07:35:14.373464,103.0
2026-04-28 07:35:15.074505,106.0
2026-04-28 07:35:15.673777,108.0
2026-04-28 07:35:16.271110,110.0
2026-04-28 07:35:16.871885,109.0
2026-04-28 07:35:17.471516,107.0
2026-04-28 07:35:18.071868,104.0
2026-04-28 07:35:18.771147,102.0
2026-04-28 07:35:19.372319,99.0
2026-04-28 07:35:19.971508,96.0
2026-04-28 07:35:20.574287,92.0
2026-04-28 07:35:21.172042,89.0
2026-04-28 07:35:21.773858,87.0
2026-04-28 07:35:22.475704,84.0
2026-04-28 07:35:23.072762,81.0
2026-04-28 07:35:23.672605,79.0
2026-04-28 07:35:24.272235,79.0
2026-04-28 07:35:24.872578,78.0
2026-04-28 07:35:25.472190,77.0
2026-04-28 07:35:26.173726,77.0
2026-04-28 07:35:26.771215,76.0
2026-04-28 07:35:27.371025,75.0
2026-04-28 07:35:27.972856,76.0
2026-04-28 07:35:28.571140,76.0
2026-04-28 07:35:29.271214,76.0
2026-04-28 07:35:29.871329,76.0
2026-04-28 07:35:30.471327,74.0
2026-04-28 07:35:31.073256,73.0
2026-04-28 07:35:31.671080,72.0
2026-04-28 07:35:32.270946,73.0
2026-04-28 07:35:32.971518,73.0
2026-04-28 07:35:33.573092,75.0
2026-04-28 07:35:34.176561,75.0
2026-04-28 07:35:34.870979,76.0
2026-04-28 07:35:35.471408,77.0
2026-04-28 07:35:36.172871,78.0
2026-04-28 07:35:36.772827,80.0
2026-04-28 07:35:37.372606,82.0
2026-04-28 07:35:37.975556,84.0
2026-04-28 07:35:38.572124,87.0
2026-04-28 07:35:39.171685,89.0
2026-04-28 07:35:39.771564,91.0
2026-04-28 07:35:40.471869,93.0
2026-04-28 07:35:41.071031,93.0
2026-04-28 07:35:41.671100,95.0
2026-04-28 07:35:42.271435,94.0
2026-04-28 07:35:42.872462,92.0
2026-04-28 07:35:43.473649,91.0
2026-04-28 07:35:44.171158,90.0
2026-04-28 07:35:44.771129,88.0
2026-04-28 07:35:45.371065,87.0
2026-04-28 07:35:45.973094,86.0
2026-04-28 07:35:46.571148,85.0
2026-04-28 07:35:47.270953,83.0
2026-04-28 07:35:47.871166,82.0
2026-04-28 07:35:48.471278,80.0
2026-04-28 07:35:49.071171,81.0
2026-04-28 07:35:49.670941,83.0
2026-04-28 07:35:50.271332,87.0
2026-04-28 07:35:50.971494,90.0
2026-04-28 07:35:51.571587,93.0
2026-04-28 07:35:52.170966,95.0
2026-04-28 07:35:52.771085,99.0
2026-04-28 07:35:53.371607,101.0
2026-04-28 07:35:54.072021,104.0
2026-04-28 07:35:54.671146,107.0
2026-04-28 07:35:55.273973,109.0
2026-04-28 07:35:55.872212,107.0
2026-04-28 07:35:56.471069,105.0
2026-04-28 07:35:57.072181,101.0
2026-04-28 07:35:57.772722,97.0
2026-04-28 07:35:58.372080,93.0
2026-04-28 07:35:58.973944,90.0
2026-04-28 07:35:59.572496,88.0
2026-04-28 07:36:00.174708,85.0
2026-04-28 07:36:00.873599,82.0
2026-04-28 07:36:01.471241,79.0
2026-04-28 07:36:02.072688,77.0
2026-04-28 07:36:02.671641,74.0
2026-04-28 07:36:03.271168,74.0
2026-04-28 07:36:03.976002,74.0
2026-04-28 07:36:04.571197,74.0
2026-04-28 07:36:05.172622,73.0
2026-04-28 07:36:05.771354,74.0
2026-04-28 07:36:06.371187,75.0
2026-04-28 07:36:07.071148,77.0
2026-04-28 07:36:07.671745,80.0
2026-04-28 07:36:08.274459,85.0
2026-04-28 07:36:08.870993,87.0
2026-04-28 07:36:09.472813,89.0
2026-04-28 07:36:10.072653,87.0
2026-04-28 07:36:10.771510,85.0
