log_time,publish_time,data
2026-04-22 08:38:50.742277,2026-04-22 08:38:50.742277,56.02606201171875
2026-04-22 08:38:50.942597,2026-04-22 08:38:50.942597,56.05965042114258
2026-04-22 08:38:51.142962,2026-04-22 08:38:51.142962,56.08820343017578
2026-04-22 08:38:51.587421,2026-04-22 08:38:51.587421,56.11247253417969
2026-04-22 08:38:51.587746,2026-04-22 08:38:51.587746,56.13310241699219
2026-04-22 08:38:51.744126,2026-04-22 08:38:51.744126,56.150638580322266
2026-04-22 08:38:51.942202,2026-04-22 08:38:51.942202,56.16554260253906
2026-04-22 08:38:52.142316,2026-04-22 08:38:52.142316,56.1782112121582
2026-04-22 08:38:52.342185,2026-04-22 08:38:52.342185,56.18898010253906
2026-04-22 08:38:52.542309,2026-04-22 08:38:52.542309,56.1981315612793
2026-04-22 08:38:52.744128,2026-04-22 08:38:52.744128,56.20591354370117
2026-04-22 08:38:52.942949,2026-04-22 08:38:52.942949,56.2125244140625
2026-04-22 08:38:53.142232,2026-04-22 08:38:53.142232,56.21814727783203
2026-04-22 08:38:53.343837,2026-04-22 08:38:53.343837,56.222923278808594
2026-04-22 08:38:53.542344,2026-04-22 08:38:53.542344,56.40276718139648
2026-04-22 08:38:53.742768,2026-04-22 08:38:53.742768,56.55563354492188
2026-04-22 08:38:53.942940,2026-04-22 08:38:53.942940,56.6855697631836
2026-04-22 08:38:54.142653,2026-04-22 08:38:54.142653,56.796016693115234
2026-04-22 08:38:54.343138,2026-04-22 08:38:54.343138,56.889892578125
2026-04-22 08:38:54.542298,2026-04-22 08:38:54.542298,56.96969223022461
2026-04-22 08:38:54.742441,2026-04-22 08:38:54.742441,57.03751754760742
2026-04-22 08:38:54.942319,2026-04-22 08:38:54.942319,57.09517288208008
2026-04-22 08:38:55.144003,2026-04-22 08:38:55.144003,57.1441764831543
2026-04-22 08:38:55.343046,2026-04-22 08:38:55.343046,57.18583297729492
2026-04-22 08:38:55.542926,2026-04-22 08:38:55.542926,57.22123718261719
2026-04-22 08:38:55.742707,2026-04-22 08:38:55.742707,57.42711639404297
