log_time,breath_rate
2026-04-22 22:35:55.265814,
2026-04-22 22:35:56.065583,11.0
2026-04-22 22:35:56.667109,11.0
2026-04-22 22:35:57.266222,11.0
2026-04-22 22:35:57.866791,11.0
2026-04-22 22:35:58.465674,11.0
2026-04-22 22:35:59.067275,11.0
2026-04-22 22:35:59.766995,11.0
2026-04-22 22:36:00.370355,11.0
2026-04-22 22:36:00.965763,11.0
2026-04-22 22:36:01.565840,11.0
2026-04-22 22:36:02.165824,11.0
2026-04-22 22:36:02.767083,13.0
2026-04-22 22:36:03.465915,13.0
2026-04-22 22:36:04.065907,15.0
2026-04-22 22:36:04.665671,16.0
2026-04-22 22:36:05.265589,18.0
2026-04-22 22:36:05.865637,18.0
2026-04-22 22:36:06.565622,19.0
2026-04-22 22:36:07.165762,20.0
2026-04-22 22:36:07.765644,20.0
2026-04-22 22:36:08.365724,21.0
2026-04-22 22:36:08.965669,23.0
2026-04-22 22:36:09.568593,24.0
2026-04-22 22:36:10.265786,25.0
2026-04-22 22:36:10.865750,26.0
2026-04-22 22:36:11.465781,26.0
2026-04-22 22:36:12.067301,27.0
2026-04-22 22:36:12.665795,28.0
2026-04-22 22:36:13.265900,25.0
2026-04-22 22:36:13.969437,19.0
2026-04-22 22:36:14.565643,17.0
2026-04-22 22:36:15.166301,16.0
2026-04-22 22:36:15.765980,16.0
2026-04-22 22:36:16.368403,15.0
2026-04-22 22:36:16.965604,15.0
2026-04-22 22:36:17.665622,16.0
2026-04-22 22:36:18.267017,17.0
2026-04-22 22:36:18.866508,17.0
2026-04-22 22:36:19.465662,19.0
2026-04-22 22:36:20.067148,20.0
2026-04-22 22:36:20.665723,21.0
2026-04-22 22:36:21.365680,21.0
2026-04-22 22:36:21.967727,22.0
2026-04-22 22:36:22.565861,23.0
2026-04-22 22:36:23.165703,23.0
2026-04-22 22:36:23.766154,22.0
2026-04-22 22:36:24.365634,21.0
2026-04-22 22:36:25.065797,20.0
2026-04-22 22:36:25.665877,19.0
2026-04-22 22:36:26.265582,18.0
2026-04-22 22:36:26.865619,16.0
2026-04-22 22:36:27.465843,12.0
2026-04-22 22:36:28.067083,9.0
2026-04-22 22:36:28.765852,12.0
2026-04-22 22:36:29.368256,14.0
2026-04-22 22:36:29.965719,17.0
2026-04-22 22:36:30.565691,19.0
2026-04-22 22:36:31.165631,16.0
2026-04-22 22:36:31.865734,12.0
2026-04-22 22:36:32.465772,10.0
2026-04-22 22:36:33.065991,11.0
2026-04-22 22:36:33.666271,9.0
2026-04-22 22:36:34.266925,8.9
2026-04-22 22:36:34.865872,8.8
2026-04-22 22:36:35.565929,8.7
2026-04-22 22:36:36.267437,8.6
2026-04-22 22:36:36.867742,8.5
2026-04-22 22:36:37.468758,8.4
2026-04-22 22:36:38.068935,8.3
2026-04-22 22:36:38.765730,8.2
2026-04-22 22:36:39.366050,8.1
2026-04-22 22:36:39.967925,8.0
2026-04-22 22:36:40.566147,9.0
2026-04-22 22:36:41.165669,10.0
2026-04-22 22:36:41.767530,11.0
2026-04-22 22:36:42.466075,13.0
2026-04-22 22:36:43.065798,13.0
2026-04-22 22:36:43.665773,14.0
2026-04-22 22:36:44.266360,14.0
2026-04-22 22:36:44.865787,14.0
2026-04-22 22:36:45.465744,14.0
2026-04-22 22:36:46.165978,11.0
2026-04-22 22:36:46.765681,9.0
2026-04-22 22:36:47.365793,11.0
2026-04-22 22:36:47.967295,14.0
2026-04-22 22:36:48.565810,18.0
2026-04-22 22:36:49.265697,20.0
2026-04-22 22:36:49.866041,22.0
2026-04-22 22:36:50.467191,23.0
2026-04-22 22:36:51.066288,23.0
2026-04-22 22:36:51.666008,23.0
2026-04-22 22:36:52.265691,25.0
2026-04-22 22:36:52.966025,23.0
2026-04-22 22:36:53.565650,22.0
2026-04-22 22:36:54.167399,22.0
2026-04-22 22:36:54.766373,21.0
2026-04-22 22:36:55.365854,20.0
2026-04-22 22:36:55.966019,19.0
2026-04-22 22:36:56.667044,18.0
2026-04-22 22:36:57.267693,17.0
2026-04-22 22:36:57.866178,16.0
2026-04-22 22:36:58.466735,16.0
2026-04-22 22:36:59.065608,17.0
2026-04-22 22:36:59.766773,17.0
2026-04-22 22:37:00.366447,18.0
2026-04-22 22:37:00.966006,18.0
2026-04-22 22:37:01.566227,17.0
2026-04-22 22:37:02.166149,16.0
2026-04-22 22:37:02.866224,16.0
2026-04-22 22:37:03.465660,17.0
2026-04-22 22:37:04.066831,17.0
2026-04-22 22:37:04.665730,18.0
2026-04-22 22:37:05.265777,17.0
2026-04-22 22:37:05.865778,17.0
2026-04-22 22:37:06.565664,17.0
2026-04-22 22:37:07.165856,18.0
2026-04-22 22:37:07.765639,18.0
2026-04-22 22:37:08.365619,19.0
2026-04-22 22:37:08.965613,20.0
2026-04-22 22:37:09.565982,21.0
2026-04-22 22:37:10.265615,21.0
2026-04-22 22:37:10.865750,20.0
2026-04-22 22:37:11.466270,20.0
2026-04-22 22:37:12.065712,19.0
2026-04-22 22:37:12.665699,18.0
2026-04-22 22:37:13.266232,17.0
2026-04-22 22:37:13.965681,16.0
2026-04-22 22:37:14.566382,16.0
2026-04-22 22:37:15.165618,15.0
2026-04-22 22:37:15.767790,16.0
2026-04-22 22:37:16.466688,17.0
2026-04-22 22:37:17.066130,17.0
2026-04-22 22:37:17.766191,17.0
2026-04-22 22:37:18.365670,18.0
2026-04-22 22:37:18.965780,18.0
2026-04-22 22:37:19.565620,17.0
2026-04-22 22:37:20.166471,16.0
2026-04-22 22:37:20.765829,16.0
2026-04-22 22:37:21.367419,19.0
2026-04-22 22:37:21.965624,21.0
2026-04-22 22:37:22.566997,23.0
2026-04-22 22:37:23.267342,24.0
2026-04-22 22:37:23.868963,25.0
2026-04-22 22:37:24.465650,25.0
2026-04-22 22:37:25.066271,24.0
2026-04-22 22:37:25.668662,24.0
2026-04-22 22:37:26.265592,25.0
2026-04-22 22:37:26.865625,25.0
2026-04-22 22:37:27.465851,22.0
2026-04-22 22:37:28.065928,21.0
2026-04-22 22:37:28.665656,17.0
2026-04-22 22:37:29.265753,13.0
2026-04-22 22:37:29.866136,12.0
2026-04-22 22:37:30.465823,9.0
2026-04-22 22:37:31.065654,10.0
2026-04-22 22:37:31.665730,15.0
2026-04-22 22:37:32.265778,18.0
2026-04-22 22:37:32.866025,20.0
2026-04-22 22:37:33.465728,20.0
2026-04-22 22:37:34.066046,21.0
2026-04-22 22:37:34.668051,22.0
2026-04-22 22:37:35.265787,22.0
2026-04-22 22:37:35.866467,22.0
2026-04-22 22:37:36.465760,23.0
2026-04-22 22:37:37.067582,23.0
2026-04-22 22:37:37.667358,23.0
2026-04-22 22:37:38.269202,23.0
2026-04-22 22:37:38.865708,23.0
2026-04-22 22:37:39.567409,24.0
2026-04-22 22:37:40.165648,24.0
2026-04-22 22:37:40.766127,24.0
2026-04-22 22:37:41.366325,24.0
2026-04-22 22:37:41.965662,24.0
2026-04-22 22:37:42.566111,19.0
2026-04-22 22:37:43.166410,19.0
2026-04-22 22:37:43.765627,16.0
2026-04-22 22:37:44.365956,15.0
2026-04-22 22:37:44.968011,16.0
2026-04-22 22:37:45.566844,15.0
2026-04-22 22:37:46.165818,12.0
2026-04-22 22:37:46.765635,10.0
2026-04-22 22:37:47.368284,13.0
2026-04-22 22:37:47.965666,16.0
2026-04-22 22:37:48.565607,19.0
2026-04-22 22:37:49.165707,17.0
2026-04-22 22:37:49.766436,17.0
2026-04-22 22:37:50.367031,19.0
2026-04-22 22:37:50.965704,21.0
2026-04-22 22:37:51.565666,22.0
2026-04-22 22:37:52.166021,23.0
2026-04-22 22:37:52.765703,23.142857142857142
2026-04-22 22:37:53.366223,23.285714285714285
2026-04-22 22:37:54.066514,23.428571428571427
2026-04-22 22:37:54.665717,23.571428571428573
2026-04-22 22:37:55.265820,23.714285714285715
2026-04-22 22:37:55.965645,23.857142857142858
2026-04-22 22:37:56.565949,24.0
2026-04-22 22:37:57.268322,25.0
2026-04-22 22:37:57.867552,24.0
2026-04-22 22:37:58.468510,18.0
2026-04-22 22:37:59.068888,20.0
2026-04-22 22:37:59.666147,20.0
2026-04-22 22:38:00.366453,19.0
2026-04-22 22:38:00.965767,18.0
2026-04-22 22:38:01.565797,18.0
2026-04-22 22:38:02.165649,18.0
2026-04-22 22:38:02.866359,18.0
2026-04-22 22:38:03.465767,18.0
2026-04-22 22:38:04.068264,15.0
2026-04-22 22:38:04.669622,11.0
2026-04-22 22:38:05.269795,9.0
2026-04-22 22:38:05.965665,9.0
2026-04-22 22:38:06.565658,9.0
2026-04-22 22:38:07.166428,9.0
2026-04-22 22:38:07.766136,9.0
2026-04-22 22:38:08.366428,9.0
2026-04-22 22:38:09.065740,9.0
2026-04-22 22:38:09.666722,11.0
2026-04-22 22:38:10.265704,11.0
2026-04-22 22:38:10.865997,11.0
2026-04-22 22:38:11.465652,12.0
2026-04-22 22:38:12.166088,13.0
2026-04-22 22:38:12.765604,17.0
2026-04-22 22:38:13.366921,19.0
2026-04-22 22:38:13.965732,19.0
2026-04-22 22:38:14.565681,19.0
2026-04-22 22:38:15.165709,16.0
2026-04-22 22:38:15.865988,15.0
2026-04-22 22:38:16.467408,15.0
2026-04-22 22:38:17.067551,15.0
2026-04-22 22:38:17.666401,15.0
2026-04-22 22:38:18.267850,15.0
2026-04-22 22:38:18.967499,14.0
2026-04-22 22:38:19.565691,12.0
2026-04-22 22:38:20.165745,9.0
2026-04-22 22:38:20.765657,10.0
2026-04-22 22:38:21.366132,11.0
2026-04-22 22:38:22.065658,12.0
2026-04-22 22:38:22.665718,13.0
2026-04-22 22:38:23.267034,18.0
2026-04-22 22:38:23.865629,19.0
2026-04-22 22:38:24.465593,20.0
2026-04-22 22:38:25.065624,21.0
2026-04-22 22:38:25.765811,21.0
2026-04-22 22:38:26.365695,21.0
2026-04-22 22:38:26.966010,20.0
2026-04-22 22:38:27.565611,20.0
2026-04-22 22:38:28.165621,20.0
2026-04-22 22:38:28.765803,19.0
2026-04-22 22:38:29.465674,19.0
2026-04-22 22:38:30.065743,19.0
2026-04-22 22:38:30.665583,19.0
2026-04-22 22:38:31.266288,20.0
2026-04-22 22:38:31.867318,21.0
2026-04-22 22:38:32.465742,21.0
2026-04-22 22:38:33.165772,22.0
2026-04-22 22:38:33.765765,22.0
2026-04-22 22:38:34.465776,23.0
2026-04-22 22:38:35.065915,23.0
2026-04-22 22:38:35.666158,22.0
2026-04-22 22:38:36.265643,21.0
2026-04-22 22:38:36.967424,19.0
2026-04-22 22:38:37.566119,18.0
2026-04-22 22:38:38.167288,17.0
2026-04-22 22:38:38.766188,17.0
2026-04-22 22:38:39.365814,17.0
2026-04-22 22:38:40.066257,17.0
2026-04-22 22:38:40.666506,20.0
2026-04-22 22:38:41.265714,20.0
2026-04-22 22:38:41.865799,20.0
2026-04-22 22:38:42.466494,21.0
2026-04-22 22:38:43.065671,21.0
2026-04-22 22:38:43.768949,22.0
2026-04-22 22:38:44.366537,21.0
2026-04-22 22:38:44.966273,21.0
2026-04-22 22:38:45.565841,20.0
2026-04-22 22:38:46.165941,20.0
2026-04-22 22:38:46.867327,20.0
2026-04-22 22:38:47.465971,19.0
2026-04-22 22:38:48.065640,18.0
2026-04-22 22:38:48.665777,19.0
2026-04-22 22:38:49.265930,20.0
2026-04-22 22:38:49.866246,16.0
2026-04-22 22:38:50.565880,16.0
2026-04-22 22:38:51.165631,18.0
2026-04-22 22:38:51.765607,19.0
2026-04-22 22:38:52.366669,20.0
2026-04-22 22:38:53.065729,21.0
2026-04-22 22:38:53.665711,21.0
2026-04-22 22:38:54.265843,21.0
2026-04-22 22:38:54.865747,20.0
2026-04-22 22:38:55.466882,21.0
2026-04-22 22:38:56.165687,22.0
2026-04-22 22:38:56.766326,22.0
2026-04-22 22:38:57.365764,23.0
2026-04-22 22:38:57.966480,21.0
2026-04-22 22:38:58.565891,16.0
2026-04-22 22:38:59.265832,18.0
2026-04-22 22:38:59.866684,18.0
2026-04-22 22:39:00.465794,17.0
