log_time,publish_time,data
2026-04-22 22:35:59.221766,2026-04-22 22:35:59.221766,19.78458595275879
2026-04-22 22:35:59.421452,2026-04-22 22:35:59.421452,20.332523345947266
2026-04-22 22:35:59.621412,2026-04-22 22:35:59.621412,20.798269271850582
2026-04-22 22:35:59.822302,2026-04-22 22:35:59.822302,21.018373489379883
2026-04-22 22:36:00.013550,2026-04-22 22:36:00.013550,21.205461502075195
2026-04-22 22:36:00.223271,2026-04-22 22:36:00.223271,21.364484786987305
2026-04-22 22:36:00.422771,2026-04-22 22:36:00.422771,21.499656677246094
2026-04-22 22:36:00.621633,2026-04-22 22:36:00.621633,21.614551544189453
2026-04-22 22:36:00.821540,2026-04-22 22:36:00.821540,21.71221351623535
2026-04-22 22:36:01.021538,2026-04-22 22:36:01.021538,21.795225143432617
2026-04-22 22:36:01.222566,2026-04-22 22:36:01.222566,21.865785598754883
2026-04-22 22:36:01.421645,2026-04-22 22:36:01.421645,21.92576026916504
2026-04-22 22:36:01.623629,2026-04-22 22:36:01.623629,22.15252113342285
2026-04-22 22:36:01.821678,2026-04-22 22:36:01.821678,22.16948699951172
2026-04-22 22:36:02.022983,2026-04-22 22:36:02.022983,22.18390846252441
2026-04-22 22:36:02.222088,2026-04-22 22:36:02.222088,22.196165084838867
2026-04-22 22:36:02.422054,2026-04-22 22:36:02.422054,22.20658493041992
2026-04-22 22:36:02.624760,2026-04-22 22:36:02.624760,22.21544075012207
2026-04-22 22:36:02.822224,2026-04-22 22:36:02.822224,22.22296905517578
2026-04-22 22:36:03.022407,2026-04-22 22:36:03.022407,22.229366302490234
2026-04-22 22:36:03.222808,2026-04-22 22:36:03.222808,22.234806060791016
2026-04-22 22:36:03.427345,2026-04-22 22:36:03.427345,22.23942756652832
2026-04-22 22:36:03.621814,2026-04-22 22:36:03.621814,22.243358612060547
2026-04-22 22:36:03.822477,2026-04-22 22:36:03.822477,22.2466983795166
2026-04-22 22:36:04.023116,2026-04-22 22:36:04.023116,22.249536514282227
2026-04-22 22:36:04.223993,2026-04-22 22:36:04.223993,22.07616806030273
2026-04-22 22:36:04.422463,2026-04-22 22:36:04.422463,22.10458755493164
2026-04-22 22:36:04.624505,2026-04-22 22:36:04.624505,22.128742218017575
2026-04-22 22:36:04.823728,2026-04-22 22:36:04.823728,22.149274826049805
2026-04-22 22:36:05.023091,2026-04-22 22:36:05.023091,22.16672706604004
2026-04-22 22:36:05.223773,2026-04-22 22:36:05.223773,22.18156242370605
2026-04-22 22:36:05.422073,2026-04-22 22:36:05.422073,22.194171905517575
2026-04-22 22:36:05.622144,2026-04-22 22:36:05.622144,22.20488929748535
2026-04-22 22:36:05.824545,2026-04-22 22:36:05.824545,22.214000701904297
2026-04-22 22:36:06.022932,2026-04-22 22:36:06.022932,22.22174453735352
2026-04-22 22:36:06.222962,2026-04-22 22:36:06.222962,22.40410804748535
2026-04-22 22:36:06.422259,2026-04-22 22:36:06.422259,22.55911636352539
2026-04-22 22:36:06.623064,2026-04-22 22:36:06.623064,22.690874099731445
2026-04-22 22:36:06.822727,2026-04-22 22:36:06.822727,22.627086639404297
2026-04-22 22:36:07.022084,2026-04-22 22:36:07.022084,22.748647689819336
2026-04-22 22:36:07.221932,2026-04-22 22:36:07.221932,22.85197639465332
2026-04-22 22:36:07.422360,2026-04-22 22:36:07.422360,22.93980407714844
2026-04-22 22:36:07.621702,2026-04-22 22:36:07.621702,23.01445960998535
2026-04-22 22:36:07.812613,2026-04-22 22:36:07.812613,23.25369644165039
2026-04-22 22:36:08.022120,2026-04-22 22:36:08.022120,23.63282966613769
2026-04-22 22:36:08.221971,2026-04-22 22:36:08.221971,24.306655883789062
