log_time,breath_rate
2026-04-29 07:50:48.577837,22.0
2026-04-29 07:50:49.177741,22.0
2026-04-29 07:50:49.777041,23.0
2026-04-29 07:50:50.377577,23.0
2026-04-29 07:50:50.978957,22.0
2026-04-29 07:50:51.677020,21.0
2026-04-29 07:50:52.276888,21.0
2026-04-29 07:50:52.878216,21.0
2026-04-29 07:50:53.477002,22.0
2026-04-29 07:50:54.077055,21.0
2026-04-29 07:50:54.677036,20.0
2026-04-29 07:50:55.376894,18.0
2026-04-29 07:50:55.976854,17.0
2026-04-29 07:50:56.577202,19.0
2026-04-29 07:50:57.177058,14.0
2026-04-29 07:50:57.776867,11.0
2026-04-29 07:50:58.376817,9.0
2026-04-29 07:50:59.079500,8.5
2026-04-29 07:50:59.677004,8.0
2026-04-29 07:51:00.278550,8.0
2026-04-29 07:51:00.877136,10.0
2026-04-29 07:51:01.477404,12.0
2026-04-29 07:51:02.077570,13.0
2026-04-29 07:51:02.778997,10.0
2026-04-29 07:51:03.377577,8.0
2026-04-29 07:51:03.979102,8.11111111111111
2026-04-29 07:51:04.577597,8.222222222222221
2026-04-29 07:51:05.177012,8.333333333333334
2026-04-29 07:51:05.879657,8.444444444444445
2026-04-29 07:51:06.576925,8.555555555555555
2026-04-29 07:51:07.177096,8.666666666666666
2026-04-29 07:51:07.779238,8.777777777777779
2026-04-29 07:51:08.379642,8.88888888888889
2026-04-29 07:51:08.979306,9.0
2026-04-29 07:51:09.682775,11.0
2026-04-29 07:51:10.276927,13.0
2026-04-29 07:51:10.877001,14.0
2026-04-29 07:51:11.477393,15.0
2026-04-29 07:51:12.078732,16.0
2026-04-29 07:51:12.677316,17.0
2026-04-29 07:51:13.378162,17.0
2026-04-29 07:51:13.976845,18.0
2026-04-29 07:51:14.580992,17.0
2026-04-29 07:51:15.178818,17.0
2026-04-29 07:51:15.780810,19.0
2026-04-29 07:51:16.479474,20.0
2026-04-29 07:51:17.078372,22.0
2026-04-29 07:51:17.677665,23.0
2026-04-29 07:51:18.277086,24.0
2026-04-29 07:51:18.876815,25.0
2026-04-29 07:51:19.476945,26.0
2026-04-29 07:51:20.177330,26.0
2026-04-29 07:51:20.777919,25.0
2026-04-29 07:51:21.376966,25.0
2026-04-29 07:51:21.978413,25.0
2026-04-29 07:51:22.576896,26.0
2026-04-29 07:51:23.177212,25.0
2026-04-29 07:51:23.877944,25.0
2026-04-29 07:51:24.477868,21.0
2026-04-29 07:51:25.076828,17.0
2026-04-29 07:51:25.676927,14.0
2026-04-29 07:51:26.277635,14.0
2026-04-29 07:51:26.977888,11.0
2026-04-29 07:51:27.577149,8.0
2026-04-29 07:51:28.176810,8.666666666666666
2026-04-29 07:51:28.779307,9.333333333333334
2026-04-29 07:51:29.377162,10.0
2026-04-29 07:51:29.976944,13.0
2026-04-29 07:51:30.678026,15.0
2026-04-29 07:51:31.277039,17.0
2026-04-29 07:51:31.878408,17.0
2026-04-29 07:51:32.476820,17.0
2026-04-29 07:51:33.079383,17.0
2026-04-29 07:51:33.776955,17.0
2026-04-29 07:51:34.377997,18.0
2026-04-29 07:51:34.977736,17.0
2026-04-29 07:51:35.578721,14.0
2026-04-29 07:51:36.177018,11.0
2026-04-29 07:51:36.778268,8.0
2026-04-29 07:51:37.476929,8.0
2026-04-29 07:51:38.078473,8.0
2026-04-29 07:51:38.676997,8.0
2026-04-29 07:51:39.276973,8.0
2026-04-29 07:51:39.878570,8.0
2026-04-29 07:51:40.578731,12.0
2026-04-29 07:51:41.176832,14.0
2026-04-29 07:51:41.778327,15.0
2026-04-29 07:51:42.376910,16.0
2026-04-29 07:51:42.977221,16.0
2026-04-29 07:51:43.576899,18.0
2026-04-29 07:51:44.276828,17.0
2026-04-29 07:51:44.879206,16.0
2026-04-29 07:51:45.476844,14.0
2026-04-29 07:51:46.078809,11.0
2026-04-29 07:51:46.776897,8.0
2026-04-29 07:51:47.376804,8.0
2026-04-29 07:51:48.078091,10.0
2026-04-29 07:51:48.679643,11.0
2026-04-29 07:51:49.278449,13.0
2026-04-29 07:51:49.878233,14.0
2026-04-29 07:51:50.477538,15.0
2026-04-29 07:51:51.080159,16.0
2026-04-29 07:51:51.777619,17.0
2026-04-29 07:51:52.376955,17.0
2026-04-29 07:51:52.976915,16.0
2026-04-29 07:51:53.577037,16.0
2026-04-29 07:51:54.178652,15.0
2026-04-29 07:51:54.777091,15.0
2026-04-29 07:51:55.476847,14.0
2026-04-29 07:51:56.078622,11.0
2026-04-29 07:51:56.677182,10.0
2026-04-29 07:51:57.276999,11.0
2026-04-29 07:51:57.877096,12.0
2026-04-29 07:51:58.578103,12.0
2026-04-29 07:51:59.177087,13.0
2026-04-29 07:51:59.778941,14.0
2026-04-29 07:52:00.377170,16.0
2026-04-29 07:52:00.976922,18.0
2026-04-29 07:52:01.577059,19.0
2026-04-29 07:52:02.279717,20.0
2026-04-29 07:52:02.876944,22.0
2026-04-29 07:52:03.476841,24.0
2026-04-29 07:52:04.077038,25.0
2026-04-29 07:52:04.677190,25.0
2026-04-29 07:52:05.377227,26.0
2026-04-29 07:52:05.977027,26.0
2026-04-29 07:52:06.578700,26.0
2026-04-29 07:52:07.177610,27.0
2026-04-29 07:52:07.778393,27.0
2026-04-29 07:52:08.378388,27.0
2026-04-29 07:52:09.078535,27.0
2026-04-29 07:52:09.680484,28.0
2026-04-29 07:52:10.281407,28.0
2026-04-29 07:52:10.877571,28.0
2026-04-29 07:52:11.477428,28.0
2026-04-29 07:52:12.177620,26.0
2026-04-29 07:52:12.778964,25.0
2026-04-29 07:52:13.377047,24.0
2026-04-29 07:52:13.977806,23.0
2026-04-29 07:52:14.578893,22.0
2026-04-29 07:52:15.177153,21.0
2026-04-29 07:52:15.878883,19.0
2026-04-29 07:52:16.478402,18.0
2026-04-29 07:52:17.077361,17.0
2026-04-29 07:52:17.677028,16.0
2026-04-29 07:52:18.277611,16.0
2026-04-29 07:52:18.881741,15.0
2026-04-29 07:52:19.580406,15.0
2026-04-29 07:52:20.177328,15.0
2026-04-29 07:52:20.776890,16.0
2026-04-29 07:52:21.376918,16.0
2026-04-29 07:52:21.978199,17.0
2026-04-29 07:52:22.676862,17.0
2026-04-29 07:52:23.277842,18.0
2026-04-29 07:52:23.877909,18.166666666666668
2026-04-29 07:52:24.477103,18.333333333333332
2026-04-29 07:52:25.077028,18.5
2026-04-29 07:52:25.677505,18.666666666666668
2026-04-29 07:52:26.381022,18.833333333333332
2026-04-29 07:52:27.078985,19.0
2026-04-29 07:52:27.677077,20.0
2026-04-29 07:52:28.277058,21.0
2026-04-29 07:52:28.879113,23.0
2026-04-29 07:52:29.477315,22.666666666666668
2026-04-29 07:52:30.177720,22.333333333333332
2026-04-29 07:52:30.777850,22.0
2026-04-29 07:52:31.378727,21.666666666666668
2026-04-29 07:52:31.977091,21.333333333333332
2026-04-29 07:52:32.577705,21.0
2026-04-29 07:52:33.276955,16.0
2026-04-29 07:52:33.877295,12.0
2026-04-29 07:52:34.476868,10.0
2026-04-29 07:52:35.078395,9.75
2026-04-29 07:52:35.677509,9.5
2026-04-29 07:52:36.277803,9.25
2026-04-29 07:52:36.976854,9.0
2026-04-29 07:52:37.579012,8.75
2026-04-29 07:52:38.177129,8.5
2026-04-29 07:52:38.776885,8.25
2026-04-29 07:52:39.377754,8.0
2026-04-29 07:52:39.977216,11.0
2026-04-29 07:52:40.677341,12.0
2026-04-29 07:52:41.278801,16.0
2026-04-29 07:52:41.878327,16.0
2026-04-29 07:52:42.477050,16.0
2026-04-29 07:52:43.078902,15.0
