log_time,publish_time,data
2026-04-26 09:41:37.955497,2026-04-26 09:41:37.955497,142.3965606689453
2026-04-26 09:41:38.157779,2026-04-26 09:41:38.157779,142.48239135742188
2026-04-26 09:41:38.366737,2026-04-26 09:41:38.366737,142.5553436279297
2026-04-26 09:41:38.556192,2026-04-26 09:41:38.556192,142.6173553466797
2026-04-26 09:41:38.757327,2026-04-26 09:41:38.757327,142.67005920410156
2026-04-26 09:41:38.957529,2026-04-26 09:41:38.957529,142.71485900878906
2026-04-26 09:41:39.156904,2026-04-26 09:41:39.156904,142.75294494628906
2026-04-26 09:41:39.355653,2026-04-26 09:41:39.355653,142.7853240966797
2026-04-26 09:41:39.556102,2026-04-26 09:41:39.556102,142.81283569335938
2026-04-26 09:41:39.757468,2026-04-26 09:41:39.757468,142.8362274169922
2026-04-26 09:41:39.956131,2026-04-26 09:41:39.956131,142.85609436035156
2026-04-26 09:41:40.156584,2026-04-26 09:41:40.156584,142.8730010986328
2026-04-26 09:41:40.355648,2026-04-26 09:41:40.355648,142.71157836914062
2026-04-26 09:41:40.558957,2026-04-26 09:41:40.558957,142.57437133789062
2026-04-26 09:41:40.756043,2026-04-26 09:41:40.756043,142.45774841308594
2026-04-26 09:41:40.956089,2026-04-26 09:41:40.956089,142.35861206054688
2026-04-26 09:41:41.156006,2026-04-26 09:41:41.156006,142.27435302734375
2026-04-26 09:41:41.355611,2026-04-26 09:41:41.355611,142.20272827148438
2026-04-26 09:41:41.555653,2026-04-26 09:41:41.555653,142.14186096191406
2026-04-26 09:41:41.756097,2026-04-26 09:41:41.756097,141.91432189941406
2026-04-26 09:41:41.957140,2026-04-26 09:41:41.957140,141.72093200683594
2026-04-26 09:41:42.159751,2026-04-26 09:41:42.159751,141.55653381347656
2026-04-26 09:41:42.356793,2026-04-26 09:41:42.356793,141.41680908203125
2026-04-26 09:41:42.555642,2026-04-26 09:41:42.555642,141.12225341796875
2026-04-26 09:41:42.755778,2026-04-26 09:41:42.755778,140.87188720703125
2026-04-26 09:41:42.967071,2026-04-26 09:41:42.967071,140.65907287597656
2026-04-26 09:41:43.159688,2026-04-26 09:41:43.159688,140.47817993164062
2026-04-26 09:41:43.356064,2026-04-26 09:41:43.356064,140.3244171142578
2026-04-26 09:41:43.566144,2026-04-26 09:41:43.566144,140.0179443359375
2026-04-26 09:41:43.757072,2026-04-26 09:41:43.757072,139.7574462890625
2026-04-26 09:41:43.956625,2026-04-26 09:41:43.956625,139.5360107421875
2026-04-26 09:41:44.156757,2026-04-26 09:41:44.156757,139.34779357910156
2026-04-26 09:41:44.366035,2026-04-26 09:41:44.366035,139.1878204345703
2026-04-26 09:41:44.556334,2026-04-26 09:41:44.556334,139.0518341064453
2026-04-26 09:41:44.766105,2026-04-26 09:41:44.766105,138.93624877929688
2026-04-26 09:41:44.958702,2026-04-26 09:41:44.958702,138.83799743652344
2026-04-26 09:41:45.157699,2026-04-26 09:41:45.157699,138.57870483398438
2026-04-26 09:41:45.355813,2026-04-26 09:41:45.355813,138.35830688476562
2026-04-26 09:41:45.556203,2026-04-26 09:41:45.556203,138.17095947265625
2026-04-26 09:41:45.759667,2026-04-26 09:41:45.759667,138.01171875
2026-04-26 09:41:45.957304,2026-04-26 09:41:45.957304,137.87637329101562
2026-04-26 09:41:46.157137,2026-04-26 09:41:46.157137,137.76132202148438
2026-04-26 09:41:46.356088,2026-04-26 09:41:46.356088,137.6635284423828
2026-04-26 09:41:46.555952,2026-04-26 09:41:46.555952,137.58041381835938
2026-04-26 09:41:46.756675,2026-04-26 09:41:46.756675,137.50975036621094
2026-04-26 09:41:46.956713,2026-04-26 09:41:46.956713,137.27391052246094
2026-04-26 09:41:47.165941,2026-04-26 09:41:47.165941,137.07345581054688
2026-04-26 09:41:47.358434,2026-04-26 09:41:47.358434,131.80540466308594
2026-04-26 09:41:47.556182,2026-04-26 09:41:47.556182,127.32756042480467
2026-04-26 09:41:47.758267,2026-04-26 09:41:47.758267,123.52139282226562
2026-04-26 09:41:47.956335,2026-04-26 09:41:47.956335,120.2861557006836
2026-04-26 09:41:48.168190,2026-04-26 09:41:48.168190,117.53620147705078
2026-04-26 09:41:48.366278,2026-04-26 09:41:48.366278,115.19873809814452
2026-04-26 09:41:48.557687,2026-04-26 09:41:48.557687,113.21189880371094
2026-04-26 09:41:48.755602,2026-04-26 09:41:48.755602,111.52307891845705
2026-04-26 09:41:48.956286,2026-04-26 09:41:48.956286,110.08758544921876
2026-04-26 09:41:49.160491,2026-04-26 09:41:49.160491,108.86741638183594
2026-04-26 09:41:49.357414,2026-04-26 09:41:49.357414,107.8302764892578
2026-04-26 09:41:49.557253,2026-04-26 09:41:49.557253,106.94869995117188
2026-04-26 09:41:49.756436,2026-04-26 09:41:49.756436,106.1993637084961
2026-04-26 09:41:49.956870,2026-04-26 09:41:49.956870,105.56243133544922
2026-04-26 09:41:50.167608,2026-04-26 09:41:50.167608,105.02103424072266
2026-04-26 09:41:50.356412,2026-04-26 09:41:50.356412,104.56084442138672
2026-04-26 09:41:50.557882,2026-04-26 09:41:50.557882,104.16968536376952
2026-04-26 09:41:50.755621,2026-04-26 09:41:50.755621,103.8372039794922
2026-04-26 09:41:50.956783,2026-04-26 09:41:50.956783,103.73037719726562
2026-04-26 09:41:51.167324,2026-04-26 09:41:51.167324,103.63956451416016
2026-04-26 09:41:51.358320,2026-04-26 09:41:51.358320,103.56238555908205
2026-04-26 09:41:51.567047,2026-04-26 09:41:51.567047,103.49677276611328
2026-04-26 09:41:51.757663,2026-04-26 09:41:51.757663,103.44100952148438
2026-04-26 09:41:51.966296,2026-04-26 09:41:51.966296,103.39360809326172
2026-04-26 09:41:52.156201,2026-04-26 09:41:52.156201,103.3533172607422
2026-04-26 09:41:52.356193,2026-04-26 09:41:52.356193,103.3190689086914
2026-04-26 09:41:52.556884,2026-04-26 09:41:52.556884,103.28995513916016
2026-04-26 09:41:52.758500,2026-04-26 09:41:52.758500,103.26521301269533
2026-04-26 09:41:52.955721,2026-04-26 09:41:52.955721,103.2441864013672
2026-04-26 09:41:53.157427,2026-04-26 09:41:53.157427,103.22630310058594
2026-04-26 09:41:53.368413,2026-04-26 09:41:53.368413,103.21111297607422
2026-04-26 09:41:53.556160,2026-04-26 09:41:53.556160,103.1981964111328
2026-04-26 09:41:53.756453,2026-04-26 09:41:53.756453,103.18721771240234
2026-04-26 09:41:53.966590,2026-04-26 09:41:53.966590,103.1778793334961
2026-04-26 09:41:54.156217,2026-04-26 09:41:54.156217,103.16995239257812
2026-04-26 09:41:54.366596,2026-04-26 09:41:54.366596,103.1632080078125
2026-04-26 09:41:54.557655,2026-04-26 09:41:54.557655,103.15747833251952
2026-04-26 09:41:54.755975,2026-04-26 09:41:54.755975,103.15260314941406
2026-04-26 09:41:54.956980,2026-04-26 09:41:54.956980,103.1484603881836
2026-04-26 09:41:55.166597,2026-04-26 09:41:55.166597,103.14494323730467
2026-04-26 09:41:55.355789,2026-04-26 09:41:55.355789,103.14195251464844
2026-04-26 09:41:55.556527,2026-04-26 09:41:55.556527,103.13941192626952
2026-04-26 09:41:55.757098,2026-04-26 09:41:55.757098,103.13724517822266
2026-04-26 09:41:55.968805,2026-04-26 09:41:55.968805,103.13541412353516
2026-04-26 09:41:56.156022,2026-04-26 09:41:56.156022,103.13385009765624
2026-04-26 09:41:56.366415,2026-04-26 09:41:56.366415,103.3083038330078
2026-04-26 09:41:56.566085,2026-04-26 09:41:56.566085,103.4565887451172
2026-04-26 09:41:56.759962,2026-04-26 09:41:56.759962,103.58263397216795
2026-04-26 09:41:56.956909,2026-04-26 09:41:56.956909,103.68976593017578
2026-04-26 09:41:57.159978,2026-04-26 09:41:57.159978,103.78083801269533
2026-04-26 09:41:57.367158,2026-04-26 09:41:57.367158,103.85823822021484
2026-04-26 09:41:57.556055,2026-04-26 09:41:57.556055,98.82637786865234
2026-04-26 09:41:57.757581,2026-04-26 09:41:57.757581,94.54930114746094
2026-04-26 09:41:57.969677,2026-04-26 09:41:57.969677,90.91378021240234
2026-04-26 09:41:58.158776,2026-04-26 09:41:58.158776,87.8235855102539
2026-04-26 09:41:58.356893,2026-04-26 09:41:58.356893,85.1969223022461
2026-04-26 09:41:58.557246,2026-04-26 09:41:58.557246,82.9642562866211
2026-04-26 09:41:58.755726,2026-04-26 09:41:58.755726,81.06649780273438
2026-04-26 09:41:58.966414,2026-04-26 09:41:58.966414,79.45339965820312
2026-04-26 09:41:59.157295,2026-04-26 09:41:59.157295,78.08226013183594
2026-04-26 09:41:59.366688,2026-04-26 09:41:59.366688,76.91680145263672
2026-04-26 09:41:59.566150,2026-04-26 09:41:59.566150,75.92615509033203
2026-04-26 09:41:59.766907,2026-04-26 09:41:59.766907,75.0841064453125
2026-04-26 09:41:59.966568,2026-04-26 09:41:59.966568,74.36836242675781
