log_time,heart_rate
2026-04-26 10:08:42.738645,89.0
2026-04-26 10:08:43.338794,89.0
2026-04-26 10:08:43.938594,92.0
2026-04-26 10:08:44.538594,96.0
2026-04-26 10:08:45.138618,96.0
2026-04-26 10:08:45.838672,96.0
2026-04-26 10:08:46.438774,96.0
2026-04-26 10:08:47.038436,95.0
2026-04-26 10:08:47.639572,94.0
2026-04-26 10:08:48.238809,93.0
2026-04-26 10:08:48.838421,92.0
2026-04-26 10:08:49.439282,91.0
2026-04-26 10:08:50.139065,90.0
2026-04-26 10:08:50.738478,88.0
2026-04-26 10:08:51.338771,86.0
2026-04-26 10:08:51.939049,86.0
2026-04-26 10:08:52.539637,89.0
2026-04-26 10:08:53.138595,91.0
2026-04-26 10:08:53.838739,93.0
2026-04-26 10:08:54.441003,92.0
2026-04-26 10:08:55.038755,94.0
2026-04-26 10:08:55.638610,95.0
2026-04-26 10:08:56.242653,98.0
2026-04-26 10:08:56.939118,97.0
2026-04-26 10:08:57.538517,95.0
2026-04-26 10:08:58.138667,92.0
2026-04-26 10:08:58.740427,89.0
2026-04-26 10:08:59.342731,86.0
2026-04-26 10:08:59.938538,85.0
2026-04-26 10:09:00.539748,83.0
2026-04-26 10:09:01.238412,81.0
2026-04-26 10:09:01.838599,80.0
2026-04-26 10:09:02.438380,79.0
2026-04-26 10:09:03.038677,78.0
2026-04-26 10:09:03.639186,76.0
2026-04-26 10:09:04.239868,75.0
2026-04-26 10:09:04.938489,74.0
2026-04-26 10:09:05.538802,73.0
2026-04-26 10:09:06.138819,74.0
2026-04-26 10:09:06.738623,74.125
2026-04-26 10:09:07.340656,74.25
2026-04-26 10:09:07.938626,74.375
2026-04-26 10:09:08.539960,74.5
2026-04-26 10:09:09.238643,74.625
2026-04-26 10:09:09.939673,74.75
2026-04-26 10:09:10.539328,74.875
2026-04-26 10:09:11.138848,75.0
2026-04-26 10:09:11.740297,76.0
2026-04-26 10:09:12.339007,77.0
2026-04-26 10:09:12.938902,77.0
2026-04-26 10:09:13.640072,77.0
2026-04-26 10:09:14.238457,77.0
2026-04-26 10:09:14.839149,78.0
2026-04-26 10:09:15.438750,81.0
2026-04-26 10:09:16.038374,83.0
2026-04-26 10:09:16.638778,85.0
2026-04-26 10:09:17.338387,86.0
2026-04-26 10:09:17.938442,87.0
2026-04-26 10:09:18.539676,85.0
2026-04-26 10:09:19.138818,86.0
2026-04-26 10:09:19.739202,85.0
2026-04-26 10:09:20.339009,85.0
2026-04-26 10:09:20.938864,83.0
2026-04-26 10:09:21.638517,83.0
2026-04-26 10:09:22.238424,84.0
2026-04-26 10:09:22.838777,83.0
2026-04-26 10:09:23.438395,83.0
2026-04-26 10:09:24.038436,84.0
2026-04-26 10:09:24.638529,84.0
2026-04-26 10:09:25.338536,83.0
2026-04-26 10:09:25.938552,85.0
2026-04-26 10:09:26.542233,88.0
2026-04-26 10:09:27.138426,90.0
2026-04-26 10:09:27.738694,93.0
2026-04-26 10:09:28.338593,95.0
2026-04-26 10:09:29.038843,97.0
2026-04-26 10:09:29.639033,99.0
2026-04-26 10:09:30.239375,100.0
2026-04-26 10:09:30.840531,102.0
2026-04-26 10:09:31.438495,104.0
2026-04-26 10:09:32.039435,106.0
2026-04-26 10:09:32.738852,108.0
2026-04-26 10:09:33.339255,110.0
2026-04-26 10:09:33.939454,109.0
2026-04-26 10:09:34.538591,108.0
2026-04-26 10:09:35.139701,109.0
2026-04-26 10:09:35.738509,110.0
2026-04-26 10:09:36.438574,111.0
2026-04-26 10:09:37.039435,112.0
2026-04-26 10:09:37.639210,113.0
2026-04-26 10:09:38.238652,114.0
2026-04-26 10:09:38.838807,113.0
2026-04-26 10:09:39.438692,113.0
2026-04-26 10:09:40.138647,113.0
2026-04-26 10:09:40.738814,115.0
2026-04-26 10:09:41.338697,116.0
2026-04-26 10:09:41.938445,117.0
2026-04-26 10:09:42.539488,119.0
2026-04-26 10:09:43.239221,120.0
2026-04-26 10:09:43.838856,121.0
2026-04-26 10:09:44.438633,119.0
2026-04-26 10:09:45.038737,117.0
2026-04-26 10:09:45.638900,115.0
2026-04-26 10:09:46.238599,113.0
2026-04-26 10:09:46.939067,111.0
2026-04-26 10:09:47.538470,110.91666666666667
2026-04-26 10:09:48.138566,110.83333333333333
2026-04-26 10:09:48.738414,110.75
2026-04-26 10:09:49.439724,110.66666666666667
2026-04-26 10:09:50.038453,110.58333333333333
2026-04-26 10:09:50.738821,110.5
2026-04-26 10:09:51.339045,110.41666666666667
2026-04-26 10:09:51.939473,110.33333333333333
2026-04-26 10:09:52.538625,110.25
2026-04-26 10:09:53.138797,110.16666666666667
2026-04-26 10:09:53.739128,110.08333333333333
2026-04-26 10:09:54.438894,110.0
2026-04-26 10:09:55.038416,110.0
2026-04-26 10:09:55.639842,111.0
2026-04-26 10:09:56.238503,111.0
2026-04-26 10:09:56.838578,111.0
2026-04-26 10:09:57.438630,111.0
2026-04-26 10:09:58.139352,108.0
2026-04-26 10:09:58.738392,104.0
2026-04-26 10:09:59.339148,100.0
2026-04-26 10:09:59.938529,97.0
2026-04-26 10:10:00.540020,95.0
2026-04-26 10:10:01.138954,96.0
2026-04-26 10:10:01.739085,98.0
2026-04-26 10:10:02.438733,97.0
2026-04-26 10:10:03.038445,97.0
2026-04-26 10:10:03.638513,97.0
2026-04-26 10:10:04.238515,98.0
2026-04-26 10:10:04.838626,99.0
2026-04-26 10:10:05.438613,100.0
2026-04-26 10:10:06.138385,101.0
2026-04-26 10:10:06.738539,102.0
2026-04-26 10:10:08.439240,103.0
2026-04-26 10:10:09.039702,104.0
2026-04-26 10:10:09.638638,106.0
2026-04-26 10:10:10.238427,108.0
2026-04-26 10:10:10.838508,110.0
2026-04-26 10:10:11.540536,111.0
2026-04-26 10:10:12.140553,113.0
2026-04-26 10:10:12.738641,114.0
2026-04-26 10:10:13.339031,115.0
2026-04-26 10:10:13.938820,116.0
2026-04-26 10:10:14.539176,117.0
2026-04-26 10:10:15.138618,118.0
2026-04-26 10:10:15.838416,118.0
2026-04-26 10:10:16.438624,119.0
2026-04-26 10:10:17.039655,117.0
2026-04-26 10:10:17.638758,115.0
2026-04-26 10:10:18.238765,111.0
2026-04-26 10:10:18.838496,109.0
2026-04-26 10:10:19.438635,106.0
2026-04-26 10:10:20.138842,105.0
2026-04-26 10:10:20.738623,105.0
2026-04-26 10:10:21.338489,103.0
2026-04-26 10:10:21.938752,101.0
2026-04-26 10:10:22.539915,99.0
2026-04-26 10:10:23.138574,98.0
2026-04-26 10:10:23.739669,96.0
2026-04-26 10:10:24.439705,94.0
2026-04-26 10:10:25.040815,92.0
2026-04-26 10:10:25.638464,91.0
2026-04-26 10:10:26.238442,93.0
2026-04-26 10:10:26.838536,96.0
2026-04-26 10:10:27.438471,98.0
2026-04-26 10:10:28.138653,98.0
2026-04-26 10:10:28.738466,99.0
2026-04-26 10:10:29.440989,100.0
2026-04-26 10:10:30.038870,101.0
2026-04-26 10:10:30.638733,102.0
2026-04-26 10:10:31.238592,103.0
2026-04-26 10:10:31.938743,104.0
2026-04-26 10:10:32.539496,105.0
2026-04-26 10:10:33.138914,106.0
2026-04-26 10:10:33.739363,104.0
2026-04-26 10:10:34.340147,101.0
2026-04-26 10:10:35.038420,97.0
2026-04-26 10:10:35.638552,92.0
2026-04-26 10:10:36.238696,89.0
2026-04-26 10:10:36.839050,85.0
2026-04-26 10:10:37.439994,81.0
2026-04-26 10:10:38.040084,79.0
2026-04-26 10:10:38.738400,76.0
2026-04-26 10:10:39.338661,73.0
2026-04-26 10:10:39.938724,73.0
2026-04-26 10:10:40.538609,74.0
2026-04-26 10:10:41.138645,76.0
2026-04-26 10:10:41.738600,77.0
2026-04-26 10:10:42.340404,79.0
2026-04-26 10:10:43.039272,78.0
2026-04-26 10:10:43.639036,76.0
2026-04-26 10:10:44.240388,74.0
2026-04-26 10:10:44.838624,72.0
2026-04-26 10:10:45.438519,70.0
2026-04-26 10:10:46.038609,68.0
2026-04-26 10:10:46.640739,66.0
2026-04-26 10:10:47.338654,64.0
2026-04-26 10:10:47.939658,65.0
2026-04-26 10:10:48.538479,65.0
2026-04-26 10:10:49.140815,63.0
2026-04-26 10:10:49.741191,63.0
2026-04-26 10:10:50.338680,64.0
2026-04-26 10:10:50.938477,65.0
2026-04-26 10:10:51.538500,66.0
2026-04-26 10:10:52.239660,66.0
2026-04-26 10:10:52.840019,68.0
2026-04-26 10:10:53.438922,69.0
2026-04-26 10:10:54.038524,70.0
2026-04-26 10:10:54.639432,73.0
2026-04-26 10:10:55.238725,75.0
2026-04-26 10:10:55.938721,77.0
2026-04-26 10:10:56.538469,80.0
2026-04-26 10:10:57.138482,83.0
2026-04-26 10:10:57.738419,87.0
2026-04-26 10:10:58.338670,91.0
2026-04-26 10:10:58.938549,94.0
2026-04-26 10:10:59.641982,96.0
2026-04-26 10:11:00.240121,99.0
2026-04-26 10:11:00.839892,102.0
2026-04-26 10:11:01.438960,104.0
2026-04-26 10:11:02.038454,105.0
2026-04-26 10:11:02.639138,105.0
2026-04-26 10:11:03.338635,105.0
2026-04-26 10:11:03.940391,104.0
2026-04-26 10:11:04.539086,104.0
2026-04-26 10:11:05.139270,103.0
2026-04-26 10:11:05.739392,102.0
2026-04-26 10:11:06.339792,100.0
2026-04-26 10:11:07.039425,97.0
2026-04-26 10:11:07.638685,96.0
2026-04-26 10:11:08.238905,95.0
2026-04-26 10:11:08.838742,96.0
2026-04-26 10:11:09.538538,96.0
2026-04-26 10:11:10.138757,96.0
2026-04-26 10:11:10.842704,96.0
2026-04-26 10:11:11.343234,96.0
2026-04-26 10:11:12.039638,95.0
2026-04-26 10:11:12.639837,94.0
2026-04-26 10:11:13.238942,95.0
2026-04-26 10:11:13.839052,95.0
2026-04-26 10:11:14.538698,96.0
2026-04-26 10:11:15.138501,98.0
2026-04-26 10:11:15.738777,99.0
2026-04-26 10:11:16.340670,97.0
2026-04-26 10:11:16.940110,97.0
2026-04-26 10:11:17.638552,96.0
2026-04-26 10:11:18.238428,95.0
2026-04-26 10:11:18.838566,92.0
2026-04-26 10:11:19.438906,91.0
2026-04-26 10:11:20.138610,91.0
2026-04-26 10:11:20.738417,94.0
2026-04-26 10:11:21.338900,96.0
2026-04-26 10:11:21.940604,98.0
2026-04-26 10:11:22.638689,100.0
2026-04-26 10:11:23.238438,101.0
2026-04-26 10:11:23.838724,104.0
2026-04-26 10:11:24.438650,106.0
2026-04-26 10:11:25.138627,108.0
2026-04-26 10:11:25.738984,109.0
2026-04-26 10:11:26.339871,111.0
2026-04-26 10:11:26.938540,113.0
2026-04-26 10:11:27.538643,114.0
2026-04-26 10:11:28.240621,115.0
2026-04-26 10:11:28.838656,116.0
2026-04-26 10:11:29.439657,117.0
2026-04-26 10:11:30.038629,118.0
2026-04-26 10:11:30.638439,118.0
2026-04-26 10:11:31.338650,118.0
2026-04-26 10:11:31.938855,118.0
2026-04-26 10:11:32.538447,116.0
2026-04-26 10:11:33.141245,114.0
2026-04-26 10:11:33.739038,111.0
2026-04-26 10:11:34.439046,109.0
2026-04-26 10:11:35.040034,106.0
2026-04-26 10:11:35.640025,104.0
2026-04-26 10:11:36.239327,101.0
2026-04-26 10:11:36.838529,99.0
2026-04-26 10:11:37.439628,97.0
2026-04-26 10:11:38.138681,96.0
2026-04-26 10:11:38.739587,94.0
2026-04-26 10:11:39.338792,93.0
2026-04-26 10:11:39.938696,93.0
2026-04-26 10:11:40.539062,90.0
2026-04-26 10:11:41.138401,88.0
2026-04-26 10:11:41.838625,85.0
2026-04-26 10:11:42.439790,82.0
2026-04-26 10:11:43.038452,79.0
2026-04-26 10:11:43.638696,76.0
2026-04-26 10:11:44.238486,76.0
2026-04-26 10:11:44.838735,77.0
2026-04-26 10:11:45.538444,79.0
2026-04-26 10:11:46.139075,80.0
2026-04-26 10:11:46.738470,81.0
2026-04-26 10:11:47.338654,83.0
2026-04-26 10:11:47.938588,84.0
2026-04-26 10:11:48.538910,85.0
2026-04-26 10:11:49.238553,88.0
2026-04-26 10:11:49.938607,91.0
2026-04-26 10:11:50.540490,92.0
2026-04-26 10:11:51.138709,92.0
2026-04-26 10:11:51.738430,92.0
2026-04-26 10:11:52.338479,92.0
2026-04-26 10:11:53.040410,92.0
2026-04-26 10:11:53.638581,90.0
2026-04-26 10:11:54.239821,89.0
2026-04-26 10:11:54.839575,88.0
2026-04-26 10:11:55.438429,87.0
2026-04-26 10:11:56.038594,87.0
2026-04-26 10:11:56.738704,87.0
2026-04-26 10:11:57.338639,86.0
2026-04-26 10:11:57.938632,85.0
2026-04-26 10:11:58.538741,84.0
2026-04-26 10:11:59.138440,83.0
2026-04-26 10:11:59.738664,80.0
2026-04-26 10:12:00.340657,79.0
2026-04-26 10:12:01.038903,77.0
2026-04-26 10:12:01.638587,75.0
2026-04-26 10:12:02.239931,74.0
2026-04-26 10:12:02.839638,73.0
2026-04-26 10:12:03.438524,72.0
2026-04-26 10:12:04.038725,71.0
2026-04-26 10:12:04.738703,70.0
2026-04-26 10:12:05.338780,71.0
2026-04-26 10:12:05.938865,71.0
2026-04-26 10:12:06.538525,73.0
2026-04-26 10:12:07.138738,74.0
2026-04-26 10:12:07.738586,76.0
2026-04-26 10:12:08.438513,78.0
2026-04-26 10:12:09.038524,79.0
2026-04-26 10:12:09.639867,77.0
2026-04-26 10:12:10.238653,76.0
2026-04-26 10:12:10.838947,74.0
2026-04-26 10:12:11.439512,72.0
2026-04-26 10:12:12.138418,73.0
2026-04-26 10:12:12.738667,75.0
2026-04-26 10:12:13.338578,77.0
2026-04-26 10:12:13.938752,79.0
2026-04-26 10:12:14.538603,82.0
2026-04-26 10:12:15.138457,86.0
2026-04-26 10:12:15.738519,89.0
2026-04-26 10:12:16.438629,91.0
2026-04-26 10:12:17.038631,94.0
2026-04-26 10:12:17.638443,97.0
2026-04-26 10:12:18.238805,99.0
2026-04-26 10:12:18.838462,100.0
2026-04-26 10:12:19.440239,102.0
2026-04-26 10:12:20.038419,104.0
2026-04-26 10:12:20.740080,106.0
2026-04-26 10:12:21.340292,109.0
2026-04-26 10:12:21.939459,111.0
2026-04-26 10:12:22.538661,113.0
2026-04-26 10:12:23.138717,114.0
2026-04-26 10:12:23.839054,116.0
2026-04-26 10:12:24.438592,116.0
2026-04-26 10:12:25.039153,116.0
2026-04-26 10:12:25.638521,113.0
2026-04-26 10:12:26.238456,110.0
2026-04-26 10:12:26.940963,110.0
2026-04-26 10:12:27.538672,108.0
2026-04-26 10:12:28.139083,107.0
2026-04-26 10:12:28.738796,106.0
2026-04-26 10:12:29.339781,105.0
2026-04-26 10:12:30.038866,104.0
2026-04-26 10:12:30.639253,103.0
2026-04-26 10:12:31.338632,102.0
2026-04-26 10:12:31.939726,102.0
2026-04-26 10:12:32.538435,101.0
2026-04-26 10:12:33.138960,100.0
2026-04-26 10:12:33.738482,100.0
2026-04-26 10:12:34.340252,101.0
2026-04-26 10:12:35.039114,102.0
2026-04-26 10:12:35.638721,100.0
2026-04-26 10:12:36.238720,97.0
2026-04-26 10:12:36.839055,95.0
2026-04-26 10:12:37.438916,91.0
2026-04-26 10:12:38.038471,88.0
2026-04-26 10:12:38.739211,86.0
2026-04-26 10:12:39.338379,83.0
2026-04-26 10:12:39.938838,81.0
2026-04-26 10:12:40.538519,79.0
2026-04-26 10:12:41.139042,78.0
2026-04-26 10:12:41.738773,76.0
2026-04-26 10:12:42.438456,74.0
2026-04-26 10:12:43.038510,73.0
2026-04-26 10:12:43.638756,75.0
2026-04-26 10:12:44.238685,76.0
2026-04-26 10:12:44.838576,75.0
2026-04-26 10:12:45.438865,73.0
2026-04-26 10:12:46.139049,72.0
2026-04-26 10:12:46.738800,71.0
2026-04-26 10:12:47.339114,69.0
2026-04-26 10:12:47.941844,68.0
2026-04-26 10:12:48.539258,67.0
2026-04-26 10:12:49.138608,66.0
2026-04-26 10:12:49.838682,65.0
2026-04-26 10:12:50.438750,65.0
2026-04-26 10:12:51.039929,64.0
2026-04-26 10:12:51.641207,63.0
