log_time,publish_time,data
2026-05-04 09:14:34.985516,2026-05-04 09:14:34.985516,15.821468353271484
2026-05-04 09:14:35.185233,2026-05-04 09:14:35.185233,15.733404159545898
2026-05-04 09:14:35.384505,2026-05-04 09:14:35.384505,15.658550262451172
2026-05-04 09:14:35.585629,2026-05-04 09:14:35.585629,15.594923973083496
2026-05-04 09:14:35.786101,2026-05-04 09:14:35.786101,15.540841102600098
2026-05-04 09:14:35.984740,2026-05-04 09:14:35.984740,15.494871139526367
2026-05-04 09:14:36.185636,2026-05-04 09:14:36.185636,15.45579719543457
2026-05-04 09:14:36.386448,2026-05-04 09:14:36.386448,15.42258358001709
2026-05-04 09:14:36.584715,2026-05-04 09:14:36.584715,15.394352912902832
2026-05-04 09:14:36.785654,2026-05-04 09:14:36.785654,15.194574356079102
2026-05-04 09:14:36.984979,2026-05-04 09:14:36.984979,15.024763107299805
2026-05-04 09:14:37.186491,2026-05-04 09:14:37.186491,14.880423545837402
2026-05-04 09:14:37.385214,2026-05-04 09:14:37.385214,14.757735252380373
2026-05-04 09:14:37.585391,2026-05-04 09:14:37.585391,14.477668762207031
2026-05-04 09:14:37.786127,2026-05-04 09:14:37.786127,14.239612579345703
2026-05-04 09:14:37.985267,2026-05-04 09:14:37.985267,14.037263870239258
2026-05-04 09:14:38.185622,2026-05-04 09:14:38.185622,13.86526870727539
2026-05-04 09:14:38.387204,2026-05-04 09:14:38.387204,13.719071388244627
2026-05-04 09:14:38.586192,2026-05-04 09:14:38.586192,13.594804763793944
2026-05-04 09:14:38.787556,2026-05-04 09:14:38.787556,13.489177703857422
2026-05-04 09:14:38.984973,2026-05-04 09:14:38.984973,13.575176239013672
2026-05-04 09:14:39.187071,2026-05-04 09:14:39.187071,13.648274421691896
2026-05-04 09:14:39.385889,2026-05-04 09:14:39.385889,13.710408210754396
2026-05-04 09:14:39.589523,2026-05-04 09:14:39.589523,13.763222694396973
2026-05-04 09:14:39.785381,2026-05-04 09:14:39.785381,13.808114051818848
2026-05-04 09:14:39.987669,2026-05-04 09:14:39.987669,13.670490264892578
2026-05-04 09:14:40.188431,2026-05-04 09:14:40.188431,13.729291915893556
2026-05-04 09:14:40.385437,2026-05-04 09:14:40.385437,13.77927303314209
2026-05-04 09:14:40.588484,2026-05-04 09:14:40.588484,13.821757316589355
2026-05-04 09:14:40.786318,2026-05-04 09:14:40.786318,13.857868194580078
2026-05-04 09:14:40.986237,2026-05-04 09:14:40.986237,13.88856315612793
2026-05-04 09:14:41.186604,2026-05-04 09:14:41.186604,14.090435028076172
2026-05-04 09:14:41.384866,2026-05-04 09:14:41.384866,14.262025833129885
2026-05-04 09:14:41.586375,2026-05-04 09:14:41.586375,14.407878875732422
2026-05-04 09:14:41.784834,2026-05-04 09:14:41.784834,14.531852722167969
2026-05-04 09:14:41.985934,2026-05-04 09:14:41.985934,14.63723087310791
2026-05-04 09:14:42.187475,2026-05-04 09:14:42.187475,14.726802825927734
2026-05-04 09:14:42.384784,2026-05-04 09:14:42.384784,14.627157211303713
2026-05-04 09:14:42.588227,2026-05-04 09:14:42.588227,14.718239784240724
2026-05-04 09:14:42.788417,2026-05-04 09:14:42.788417,14.795660018920898
2026-05-04 09:14:42.985858,2026-05-04 09:14:42.985858,14.861467361450195
2026-05-04 09:14:43.187371,2026-05-04 09:14:43.187371,14.917403221130373
2026-05-04 09:14:43.384529,2026-05-04 09:14:43.384529,14.96494960784912
2026-05-04 09:14:43.585356,2026-05-04 09:14:43.585356,15.005363464355469
2026-05-04 09:14:43.789177,2026-05-04 09:14:43.789177,15.039714813232422
2026-05-04 09:14:43.984944,2026-05-04 09:14:43.984944,15.068914413452148
