log_time,publish_time,data
2026-04-25 06:27:06.816636,2026-04-25 06:27:06.816636,116.03240966796876
2026-04-25 06:27:07.014580,2026-04-25 06:27:07.014580,116.02989196777344
2026-04-25 06:27:07.216252,2026-04-25 06:27:07.216252,116.02774810791016
2026-04-25 06:27:07.415628,2026-04-25 06:27:07.415628,116.02593231201172
2026-04-25 06:27:07.615641,2026-04-25 06:27:07.615641,116.02438354492188
2026-04-25 06:27:07.824651,2026-04-25 06:27:07.824651,116.0230712890625
2026-04-25 06:27:08.016999,2026-04-25 06:27:08.016999,116.02195739746094
2026-04-25 06:27:08.214429,2026-04-25 06:27:08.214429,116.02100372314452
2026-04-25 06:27:08.424232,2026-04-25 06:27:08.424232,116.02019500732422
2026-04-25 06:27:08.615024,2026-04-25 06:27:08.615024,116.0195083618164
2026-04-25 06:27:08.819941,2026-04-25 06:27:08.819941,116.01892852783205
2026-04-25 06:27:09.015214,2026-04-25 06:27:09.015214,116.0184326171875
2026-04-25 06:27:09.215739,2026-04-25 06:27:09.215739,116.01801300048828
2026-04-25 06:27:09.416776,2026-04-25 06:27:09.416776,116.01765441894533
2026-04-25 06:27:09.616374,2026-04-25 06:27:09.616374,116.01734924316406
2026-04-25 06:27:09.814890,2026-04-25 06:27:09.814890,116.01708984375
2026-04-25 06:27:10.015191,2026-04-25 06:27:10.015191,116.0168685913086
2026-04-25 06:27:10.215337,2026-04-25 06:27:10.215337,116.01668548583984
2026-04-25 06:27:10.416341,2026-04-25 06:27:10.416341,116.19230651855467
2026-04-25 06:27:10.614641,2026-04-25 06:27:10.614641,116.34158325195312
2026-04-25 06:27:10.814615,2026-04-25 06:27:10.814615,116.46847534179688
2026-04-25 06:27:11.018294,2026-04-25 06:27:11.018294,116.57632446289062
2026-04-25 06:27:11.216620,2026-04-25 06:27:11.216620,116.66799926757812
2026-04-25 06:27:11.416615,2026-04-25 06:27:11.416615,116.74592590332033
2026-04-25 06:27:11.614946,2026-04-25 06:27:11.614946,116.98794555664062
2026-04-25 06:27:11.814802,2026-04-25 06:27:11.814802,117.19365692138672
2026-04-25 06:27:12.016916,2026-04-25 06:27:12.016916,117.36851501464844
2026-04-25 06:27:12.217512,2026-04-25 06:27:12.217512,117.51714324951172
2026-04-25 06:27:12.415314,2026-04-25 06:27:12.415314,117.81925964355467
2026-04-25 06:27:12.614964,2026-04-25 06:27:12.614964,118.07605743408205
2026-04-25 06:27:12.814301,2026-04-25 06:27:12.814301,118.2943344116211
2026-04-25 06:27:13.014119,2026-04-25 06:27:13.014119,118.47987365722656
2026-04-25 06:27:13.215315,2026-04-25 06:27:13.215315,118.63758087158205
2026-04-25 06:27:13.415848,2026-04-25 06:27:13.415848,118.7716293334961
2026-04-25 06:27:13.624516,2026-04-25 06:27:13.624516,119.06135559082033
2026-04-25 06:27:26.715283,2026-04-25 06:27:26.715283,119.3076171875
2026-04-25 06:27:26.915501,2026-04-25 06:27:26.915501,119.5169448852539
2026-04-25 06:27:27.115844,2026-04-25 06:27:27.115844,119.6948699951172
2026-04-25 06:27:27.316324,2026-04-25 06:27:27.316324,119.84610748291016
2026-04-25 06:27:27.514837,2026-04-25 06:27:27.514837,119.97466278076172
2026-04-25 06:27:27.716974,2026-04-25 06:27:27.716974,120.08393096923828
2026-04-25 06:27:27.915814,2026-04-25 06:27:27.915814,120.35259246826172
2026-04-25 06:27:28.115240,2026-04-25 06:27:28.115240,120.5809555053711
2026-04-25 06:27:28.314879,2026-04-25 06:27:28.314879,120.77506256103516
2026-04-25 06:27:28.515363,2026-04-25 06:27:28.515363,120.94004821777344
2026-04-25 06:27:28.717416,2026-04-25 06:27:28.717416,121.08029174804688
2026-04-25 06:27:28.917519,2026-04-25 06:27:28.917519,121.19950103759766
2026-04-25 06:27:29.118909,2026-04-25 06:27:29.118909,121.3008270263672
2026-04-25 06:27:29.316104,2026-04-25 06:27:29.316104,121.38694763183594
2026-04-25 06:27:29.517075,2026-04-25 06:27:29.517075,121.4601593017578
2026-04-25 06:27:29.717283,2026-04-25 06:27:29.717283,121.52238464355467
2026-04-25 06:27:29.916720,2026-04-25 06:27:29.916720,121.57527923583984
2026-04-25 06:27:30.117449,2026-04-25 06:27:30.117449,121.62023162841795
2026-04-25 06:27:30.314491,2026-04-25 06:27:30.314491,121.658447265625
2026-04-25 06:27:30.514196,2026-04-25 06:27:30.514196,121.69093322753906
2026-04-25 06:27:30.716532,2026-04-25 06:27:30.716532,121.71854400634766
2026-04-25 06:27:30.914729,2026-04-25 06:27:30.914729,121.74201202392578
2026-04-25 06:27:31.116063,2026-04-25 06:27:31.116063,121.761962890625
2026-04-25 06:27:31.314697,2026-04-25 06:27:31.314697,121.77891540527344
2026-04-25 06:27:31.514708,2026-04-25 06:27:31.514708,121.79332733154295
2026-04-25 06:27:31.715451,2026-04-25 06:27:31.715451,121.80558013916016
2026-04-25 06:27:31.914775,2026-04-25 06:27:31.914775,121.81599426269533
2026-04-25 06:27:32.114991,2026-04-25 06:27:32.114991,121.82484436035156
2026-04-25 06:27:32.314607,2026-04-25 06:27:32.314607,121.83236694335938
2026-04-25 06:27:32.514745,2026-04-25 06:27:32.514745,121.83876037597656
2026-04-25 06:27:32.714288,2026-04-25 06:27:32.714288,121.84420013427734
2026-04-25 06:27:32.914797,2026-04-25 06:27:32.914797,121.84881591796876
2026-04-25 06:27:33.124453,2026-04-25 06:27:33.124453,121.85274505615234
2026-04-25 06:27:33.314531,2026-04-25 06:27:33.314531,121.85608673095705
2026-04-25 06:27:33.515045,2026-04-25 06:27:33.515045,121.85891723632812
2026-04-25 06:27:33.716308,2026-04-25 06:27:33.716308,121.86133575439452
2026-04-25 06:27:33.915380,2026-04-25 06:27:33.915380,121.8633804321289
2026-04-25 06:27:34.114702,2026-04-25 06:27:34.114702,121.86512756347656
2026-04-25 06:27:34.316406,2026-04-25 06:27:34.316406,121.69082641601562
2026-04-25 06:27:34.515981,2026-04-25 06:27:34.515981,121.54267120361328
2026-04-25 06:27:34.715008,2026-04-25 06:27:34.715008,121.41674041748048
2026-04-25 06:27:34.914907,2026-04-25 06:27:34.914907,121.30970001220705
2026-04-25 06:27:35.115067,2026-04-25 06:27:35.115067,121.04293060302734
2026-04-25 06:27:35.315376,2026-04-25 06:27:35.315376,120.81617736816406
2026-04-25 06:27:35.514278,2026-04-25 06:27:35.514278,120.6234359741211
2026-04-25 06:27:35.714445,2026-04-25 06:27:35.714445,120.45960998535156
2026-04-25 06:27:35.914660,2026-04-25 06:27:35.914660,120.3203582763672
2026-04-25 06:27:36.127340,2026-04-25 06:27:36.127340,120.02620697021484
2026-04-25 06:27:36.314250,2026-04-25 06:27:36.314250,119.77618408203124
2026-04-25 06:27:36.515199,2026-04-25 06:27:36.515199,119.56365966796876
2026-04-25 06:27:36.715338,2026-04-25 06:27:36.715338,119.38301849365234
2026-04-25 06:27:36.914332,2026-04-25 06:27:36.914332,119.2294692993164
2026-04-25 06:27:37.114841,2026-04-25 06:27:37.114841,119.09896087646484
2026-04-25 06:27:37.314831,2026-04-25 06:27:37.314831,118.98802185058594
2026-04-25 06:27:37.515066,2026-04-25 06:27:37.515066,118.89372253417967
2026-04-25 06:27:37.714541,2026-04-25 06:27:37.714541,118.81356811523438
2026-04-25 06:27:37.915185,2026-04-25 06:27:37.915185,118.74544525146484
2026-04-25 06:27:38.114658,2026-04-25 06:27:38.114658,118.68753051757812
2026-04-25 06:27:38.316820,2026-04-25 06:27:38.316820,118.6383056640625
