log_time,heart_rate
2026-04-24 08:16:28.287820,75.0
2026-04-24 08:16:28.869233,74.0
2026-04-24 08:16:29.469367,73.0
2026-04-24 08:16:30.169403,72.0
2026-04-24 08:16:30.769487,71.0
2026-04-24 08:16:31.369622,70.0
2026-04-24 08:16:31.969411,69.875
2026-04-24 08:16:32.569380,69.75
2026-04-24 08:16:33.270164,69.625
2026-04-24 08:16:33.869593,69.5
2026-04-24 08:16:34.469918,69.375
2026-04-24 08:16:35.069238,69.25
2026-04-24 08:16:35.669566,69.125
2026-04-24 08:16:36.369435,69.0
2026-04-24 08:16:36.969419,68.0
2026-04-24 08:16:37.569350,71.0
2026-04-24 08:16:38.169396,75.0
2026-04-24 08:16:38.769291,79.0
2026-04-24 08:16:39.369754,81.0
2026-04-24 08:16:40.069840,84.0
2026-04-24 08:16:40.669932,88.0
2026-04-24 08:16:41.269477,91.0
2026-04-24 08:16:41.869500,94.0
2026-04-24 08:16:42.569413,97.0
2026-04-24 08:16:43.169308,99.0
2026-04-24 08:16:43.769800,100.0
2026-04-24 08:16:44.370312,99.0
2026-04-24 08:16:44.971012,98.0
2026-04-24 08:16:45.669490,96.0
2026-04-24 08:16:46.269974,95.0
2026-04-24 08:16:46.869390,95.0
2026-04-24 08:16:47.470089,94.0
2026-04-24 08:16:48.070227,94.0
2026-04-24 08:16:48.769562,96.0
2026-04-24 08:16:49.369405,96.0
2026-04-24 08:16:49.969347,95.0
2026-04-24 08:16:50.571164,94.0
2026-04-24 08:16:51.169273,94.0
2026-04-24 08:16:51.869531,94.0
2026-04-24 08:16:52.470064,94.0
2026-04-24 08:16:53.069548,94.0
2026-04-24 08:16:53.670469,96.0
2026-04-24 08:16:54.269257,98.0
2026-04-24 08:16:54.969434,101.0
2026-04-24 08:16:55.569576,102.0
2026-04-24 08:16:56.169561,101.0
2026-04-24 08:16:56.769481,99.0
2026-04-24 08:16:57.370666,95.0
2026-04-24 08:16:58.069280,91.0
2026-04-24 08:16:58.669688,88.0
2026-04-24 08:16:59.270197,86.0
2026-04-24 08:16:59.869683,83.0
2026-04-24 08:17:00.469284,81.0
2026-04-24 08:17:01.269747,79.0
2026-04-24 08:17:01.870460,78.0
2026-04-24 08:17:02.469267,76.0
2026-04-24 08:17:03.071061,74.0
2026-04-24 08:17:03.670561,72.0
2026-04-24 08:17:04.270281,70.0
2026-04-24 08:17:04.969548,68.0
2026-04-24 08:17:05.570268,67.0
2026-04-24 08:17:06.169293,65.0
2026-04-24 08:17:06.769634,64.0
2026-04-24 08:17:07.369570,65.0
2026-04-24 08:17:07.969812,65.0
2026-04-24 08:17:08.670397,66.0
2026-04-24 08:17:09.269429,69.0
2026-04-24 08:17:09.869419,70.0
2026-04-24 08:17:10.469415,71.0
2026-04-24 08:17:11.072148,73.0
2026-04-24 08:17:11.769483,77.0
2026-04-24 08:17:12.369905,81.0
2026-04-24 08:17:12.969231,85.0
2026-04-24 08:17:13.571894,89.0
2026-04-24 08:17:14.172012,91.0
2026-04-24 08:17:14.772271,93.0
2026-04-24 08:17:15.469361,93.0
