log_time,breath_rate
2026-05-04 10:29:36.308349,22.0
2026-05-04 10:29:36.907947,23.0
2026-05-04 10:29:37.507544,21.0
2026-05-04 10:29:38.107867,19.0
2026-05-04 10:29:38.709443,18.0
2026-05-04 10:29:39.307867,20.0
2026-05-04 10:29:40.008540,20.0
2026-05-04 10:29:40.609251,15.0
2026-05-04 10:29:41.209238,12.0
2026-05-04 10:29:41.808989,9.0
2026-05-04 10:29:42.407689,9.0
2026-05-04 10:29:43.008777,9.0
2026-05-04 10:29:43.707625,9.0
2026-05-04 10:29:44.308503,9.0
2026-05-04 10:29:44.908635,10.0
2026-05-04 10:29:45.507677,11.0
2026-05-04 10:29:46.108166,12.0
2026-05-04 10:29:46.707700,12.0
2026-05-04 10:29:47.407555,13.0
2026-05-04 10:29:48.007658,13.0
2026-05-04 10:29:48.607501,14.0
2026-05-04 10:29:49.207750,14.0
2026-05-04 10:29:49.808750,15.0
2026-05-04 10:29:50.507894,17.0
2026-05-04 10:29:51.107619,18.0
2026-05-04 10:29:51.708478,14.0
2026-05-04 10:29:52.308018,11.0
2026-05-04 10:29:52.909127,8.0
2026-05-04 10:29:53.510610,8.0
2026-05-04 10:29:54.108083,8.0
2026-05-04 10:29:54.807587,8.0
2026-05-04 10:29:55.407761,9.0
2026-05-04 10:29:56.008170,10.0
2026-05-04 10:29:56.609447,12.0
2026-05-04 10:29:57.208176,14.0
2026-05-04 10:29:57.909256,16.0
2026-05-04 10:29:58.510141,18.0
2026-05-04 10:29:59.107531,15.0
2026-05-04 10:29:59.707911,11.0
2026-05-04 10:30:00.308321,13.0
2026-05-04 10:30:00.909000,15.0
2026-05-04 10:30:01.607821,14.0
2026-05-04 10:30:02.208240,14.0
2026-05-04 10:30:02.808113,14.0
2026-05-04 10:30:03.409663,15.0
2026-05-04 10:30:04.011087,16.0
2026-05-04 10:30:04.707598,16.0
2026-05-04 10:30:05.307623,12.0
2026-05-04 10:30:05.907780,9.0
2026-05-04 10:30:06.507554,8.0
2026-05-04 10:30:07.107694,8.666666666666666
2026-05-04 10:30:07.707780,9.333333333333334
2026-05-04 10:30:08.407661,10.0
2026-05-04 10:30:09.107895,15.0
2026-05-04 10:30:09.709459,17.0
2026-05-04 10:30:10.307719,19.0
2026-05-04 10:30:10.909056,21.0
2026-05-04 10:30:11.608003,23.0
2026-05-04 10:30:12.207913,22.0
2026-05-04 10:30:12.807602,23.0
2026-05-04 10:30:13.408284,23.0
2026-05-04 10:30:14.009647,22.0
2026-05-04 10:30:14.707584,21.0
2026-05-04 10:30:15.307551,20.0
2026-05-04 10:30:15.907720,21.0
2026-05-04 10:30:16.507701,23.0
2026-05-04 10:30:17.107594,18.0
2026-05-04 10:30:17.708278,14.0
2026-05-04 10:30:18.407854,11.0
2026-05-04 10:30:19.007880,8.0
2026-05-04 10:30:19.608528,8.0
2026-05-04 10:30:20.210611,8.0
2026-05-04 10:30:20.809124,9.0
2026-05-04 10:30:21.507812,10.0
2026-05-04 10:30:22.107810,11.0
2026-05-04 10:30:22.707736,13.0
2026-05-04 10:30:23.312279,15.0
2026-05-04 10:30:23.907890,16.0
2026-05-04 10:30:24.508373,16.0
2026-05-04 10:30:25.207792,15.0
2026-05-04 10:30:25.808042,17.0
2026-05-04 10:30:26.407697,18.0
2026-05-04 10:30:27.007669,19.0
2026-05-04 10:30:27.607752,20.0
2026-05-04 10:30:28.207663,21.0
2026-05-04 10:30:28.908133,21.0
2026-05-04 10:30:29.507641,22.0
2026-05-04 10:30:30.107633,22.0
2026-05-04 10:30:30.707752,22.0
2026-05-04 10:30:31.307725,23.0
2026-05-04 10:30:31.907571,23.0
2026-05-04 10:30:32.607588,23.0
2026-05-04 10:30:33.208040,22.0
2026-05-04 10:30:33.807908,23.0
2026-05-04 10:30:34.407884,25.0
2026-05-04 10:30:35.007645,23.0
2026-05-04 10:30:35.708169,21.0
2026-05-04 10:30:36.307758,20.0
2026-05-04 10:30:36.908732,20.0
2026-05-04 10:30:37.507853,20.0
2026-05-04 10:30:38.107701,20.0
2026-05-04 10:30:38.707832,18.0
2026-05-04 10:30:39.408369,17.0
2026-05-04 10:30:40.007940,16.0
2026-05-04 10:30:40.608021,16.0
2026-05-04 10:30:41.208570,15.0
2026-05-04 10:30:41.808415,16.0
2026-05-04 10:30:42.508487,19.0
2026-05-04 10:30:43.107991,16.0
2026-05-04 10:30:43.707923,13.0
2026-05-04 10:30:44.308575,10.0
2026-05-04 10:30:44.907773,8.0
2026-05-04 10:30:45.607771,11.0
2026-05-04 10:30:46.207576,15.0
2026-05-04 10:30:46.807942,14.833333333333334
2026-05-04 10:30:47.409609,14.666666666666666
2026-05-04 10:30:48.007784,14.5
2026-05-04 10:30:48.707656,14.333333333333334
2026-05-04 10:30:49.407584,14.166666666666666
2026-05-04 10:30:50.007660,14.0
2026-05-04 10:30:50.607669,14.0
2026-05-04 10:30:51.207690,14.0
2026-05-04 10:30:51.807692,14.0
2026-05-04 10:30:52.507769,13.0
2026-05-04 10:30:53.107535,10.0
2026-05-04 10:30:53.707674,9.0
2026-05-04 10:30:54.307511,8.0
2026-05-04 10:30:54.907607,8.0
2026-05-04 10:30:55.507644,8.0
2026-05-04 10:30:56.208650,10.0
2026-05-04 10:30:56.807746,12.0
2026-05-04 10:30:57.407781,13.0
2026-05-04 10:30:58.008415,15.0
2026-05-04 10:30:58.607897,14.0
2026-05-04 10:30:59.209429,14.0
2026-05-04 10:30:59.909191,14.0
2026-05-04 10:31:00.507893,14.0
2026-05-04 10:31:01.108223,14.0
2026-05-04 10:31:01.709048,11.0
2026-05-04 10:31:02.308467,9.0
2026-05-04 10:31:02.910112,9.0
2026-05-04 10:31:03.608145,9.0
2026-05-04 10:31:04.208219,9.0
2026-05-04 10:31:04.809438,9.0
2026-05-04 10:31:05.408323,9.0
2026-05-04 10:31:06.109391,9.0
2026-05-04 10:31:06.707933,9.0
2026-05-04 10:31:07.307653,11.0
2026-05-04 10:31:07.908118,13.0
2026-05-04 10:31:08.507952,13.0
2026-05-04 10:31:09.107560,10.0
2026-05-04 10:31:09.807827,11.0
2026-05-04 10:31:10.407624,12.0
2026-05-04 10:31:11.007563,12.0
2026-05-04 10:31:11.607640,13.0
2026-05-04 10:31:12.207752,15.0
2026-05-04 10:31:12.907895,17.0
2026-05-04 10:31:13.507654,18.0
2026-05-04 10:31:14.107781,19.0
2026-05-04 10:31:14.707755,20.0
2026-05-04 10:31:15.312292,21.0
2026-05-04 10:31:15.907893,22.0
2026-05-04 10:31:16.607640,23.0
2026-05-04 10:31:17.208048,24.0
2026-05-04 10:31:17.808015,26.0
2026-05-04 10:31:18.407647,25.0
2026-05-04 10:31:19.007647,26.0
2026-05-04 10:31:19.708071,26.0
2026-05-04 10:31:20.307822,28.0
2026-05-04 10:31:20.909333,28.0
2026-05-04 10:31:21.507822,28.0
2026-05-04 10:31:22.111091,28.0
2026-05-04 10:31:22.710229,28.0
2026-05-04 10:31:23.409434,27.0
2026-05-04 10:31:24.008728,27.0
2026-05-04 10:31:24.609193,27.0
2026-05-04 10:31:25.207831,27.0
2026-05-04 10:31:25.807838,25.0
2026-05-04 10:31:26.407515,26.0
2026-05-04 10:31:27.108114,26.0
2026-05-04 10:31:27.707759,27.0
2026-05-04 10:31:28.307681,25.0
2026-05-04 10:31:29.007782,25.0
2026-05-04 10:31:29.607608,25.0
2026-05-04 10:31:30.208675,23.0
2026-05-04 10:31:30.907615,21.0
2026-05-04 10:31:31.507562,19.0
2026-05-04 10:31:32.107625,21.0
2026-05-04 10:31:32.708775,23.0
2026-05-04 10:31:33.307792,20.0
2026-05-04 10:31:33.907589,16.0
2026-05-04 10:31:34.607908,12.0
2026-05-04 10:31:35.207605,9.0
2026-05-04 10:31:35.807776,8.5
2026-05-04 10:31:36.408177,8.0
2026-05-04 10:31:37.008443,10.0
2026-05-04 10:31:37.607924,11.0
2026-05-04 10:31:38.210037,12.0
2026-05-04 10:31:38.907713,11.0
2026-05-04 10:31:39.507873,9.0
2026-05-04 10:31:40.107509,9.0
2026-05-04 10:31:40.707778,9.0
2026-05-04 10:31:41.308564,9.0
2026-05-04 10:31:41.908228,9.0
2026-05-04 10:31:42.609695,9.0
2026-05-04 10:31:43.207785,9.0
2026-05-04 10:31:43.808912,9.0
2026-05-04 10:31:44.409326,9.0
2026-05-04 10:31:45.007496,9.0
2026-05-04 10:31:45.608188,9.0
2026-05-04 10:31:46.307773,11.0
2026-05-04 10:31:46.907790,13.0
2026-05-04 10:31:47.507575,14.0
2026-05-04 10:31:48.107710,15.0
2026-05-04 10:31:48.708249,14.0
2026-05-04 10:31:49.307648,15.0
2026-05-04 10:31:50.007785,16.0
2026-05-04 10:31:50.607748,16.0
2026-05-04 10:31:51.209957,17.0
2026-05-04 10:31:51.809864,18.0
2026-05-04 10:31:52.409244,18.0
2026-05-04 10:31:53.010060,18.0
2026-05-04 10:31:53.708113,18.0
2026-05-04 10:31:54.307729,19.0
2026-05-04 10:31:54.908568,20.0
2026-05-04 10:31:55.508305,22.0
2026-05-04 10:31:56.107824,18.0
2026-05-04 10:31:56.708952,16.0
2026-05-04 10:31:57.408688,16.0
2026-05-04 10:31:58.007613,15.0
2026-05-04 10:31:58.607826,15.0
2026-05-04 10:31:59.208510,16.0
2026-05-04 10:31:59.807599,17.0
2026-05-04 10:32:00.408567,18.0
2026-05-04 10:32:01.108805,20.0
2026-05-04 10:32:01.707972,20.0
2026-05-04 10:32:02.310274,21.0
2026-05-04 10:32:02.908568,22.0
2026-05-04 10:32:03.508363,22.0
2026-05-04 10:32:04.108076,22.0
2026-05-04 10:32:04.809394,24.0
2026-05-04 10:32:05.408014,23.0
2026-05-04 10:32:06.007678,23.0
2026-05-04 10:32:06.607545,21.0
2026-05-04 10:32:07.207976,16.0
2026-05-04 10:32:07.808012,12.0
2026-05-04 10:32:08.507612,10.0
2026-05-04 10:32:09.207571,12.0
2026-05-04 10:32:09.807671,14.0
2026-05-04 10:32:10.407762,17.0
2026-05-04 10:32:11.007632,18.0
2026-05-04 10:32:11.607798,19.0
2026-05-04 10:32:12.307764,20.0
2026-05-04 10:32:12.908673,21.0
2026-05-04 10:32:13.507623,21.0
2026-05-04 10:32:14.107773,20.0
2026-05-04 10:32:14.707993,20.0
2026-05-04 10:32:15.408882,20.0
2026-05-04 10:32:16.007718,20.0
2026-05-04 10:32:16.607867,19.0
