log_time,heart_rate
2026-04-22 09:12:07.935099,
2026-04-22 09:12:08.034838,
2026-04-22 09:12:08.134830,
2026-04-22 09:12:08.234889,
2026-04-22 09:12:08.334885,
2026-04-22 09:12:08.436093,
2026-04-22 09:12:08.634977,
2026-04-22 09:12:08.735230,
2026-04-22 09:12:08.835863,
2026-04-22 09:12:08.935074,
2026-04-22 09:12:09.035368,
2026-04-22 09:12:09.137658,
2026-04-22 09:12:09.335110,
2026-04-22 09:12:09.434859,
2026-04-22 09:12:09.534822,
2026-04-22 09:12:09.635065,
2026-04-22 09:12:09.734900,
2026-04-22 09:12:09.835868,
2026-04-22 09:12:10.035080,
2026-04-22 09:12:10.134985,
2026-04-22 09:12:10.241176,
2026-04-22 09:12:10.334898,
2026-04-22 09:12:10.437088,
2026-04-22 09:12:10.534813,
2026-04-22 09:12:10.635021,
2026-04-22 09:12:10.836373,
2026-04-22 09:12:10.935004,
2026-04-22 09:12:11.035508,
2026-04-22 09:12:11.137531,
2026-04-22 09:12:11.234824,
2026-04-22 09:12:11.337180,
2026-04-22 09:12:11.534993,
2026-04-22 09:12:11.635885,
2026-04-22 09:12:11.734983,
2026-04-22 09:12:11.835007,
2026-04-22 09:12:11.935202,
2026-04-22 09:12:12.036138,
2026-04-22 09:12:12.235474,
2026-04-22 09:12:12.335165,
2026-04-22 09:12:12.436731,
2026-04-22 09:12:12.534934,
2026-04-22 09:12:12.636043,
2026-04-22 09:12:12.735133,
2026-04-22 09:12:12.934973,
2026-04-22 09:12:13.036470,
2026-04-22 09:12:13.134862,
2026-04-22 09:12:13.235312,
2026-04-22 09:12:13.335489,
2026-04-22 09:12:13.434862,
2026-04-22 09:12:13.635311,
2026-04-22 09:12:13.736462,
2026-04-22 09:12:13.834924,
2026-04-22 09:12:13.935799,
2026-04-22 09:12:14.036077,
2026-04-22 09:12:14.134820,
2026-04-22 09:12:14.337460,
2026-04-22 09:12:14.436989,
2026-04-22 09:12:14.535882,
2026-04-22 09:12:14.634947,
2026-04-22 09:12:14.736592,
2026-04-22 09:12:14.835052,
2026-04-22 09:12:14.935217,
2026-04-22 09:12:15.134869,
2026-04-22 09:12:15.236100,
2026-04-22 09:12:15.338700,
2026-04-22 09:12:15.435334,
2026-04-22 09:12:15.536938,
2026-04-22 09:12:15.636852,
2026-04-22 09:12:15.834870,
2026-04-22 09:12:15.934866,
2026-04-22 09:12:16.035959,
2026-04-22 09:12:16.134888,
2026-04-22 09:12:16.234992,
2026-04-22 09:12:16.335306,
2026-04-22 09:12:16.534913,
2026-04-22 09:12:16.636298,
2026-04-22 09:12:16.735313,
2026-04-22 09:12:16.835066,
2026-04-22 09:12:16.935001,
2026-04-22 09:12:17.034867,
2026-04-22 09:12:17.234888,
2026-04-22 09:12:17.334795,
2026-04-22 09:12:17.434801,
2026-04-22 09:12:17.536653,
2026-04-22 09:12:17.636440,
2026-04-22 09:12:17.738046,
2026-04-22 09:12:17.934881,
2026-04-22 09:12:18.036298,
2026-04-22 09:12:18.134959,
2026-04-22 09:12:18.235278,
2026-04-22 09:12:18.335061,
2026-04-22 09:12:18.434778,
2026-04-22 09:12:18.635064,
2026-04-22 09:12:18.735609,
2026-04-22 09:12:18.837047,
2026-04-22 09:12:18.937277,
2026-04-22 09:12:19.034985,
2026-04-22 09:12:19.137089,
2026-04-22 09:12:19.335067,
2026-04-22 09:12:19.434861,
2026-04-22 09:12:19.534912,
2026-04-22 09:12:19.636538,
2026-04-22 09:12:19.735009,
2026-04-22 09:12:19.835142,
2026-04-22 09:12:20.034829,
2026-04-22 09:12:20.135305,
2026-04-22 09:12:20.234836,
2026-04-22 09:12:20.335543,
2026-04-22 09:12:20.435350,
2026-04-22 09:12:20.534790,
