log_time,breath_rate
2026-04-30 09:28:56.839139,10.0
2026-04-30 09:28:57.539170,12.0
2026-04-30 09:28:58.139079,14.0
2026-04-30 09:28:58.738997,15.0
2026-04-30 09:28:59.338963,17.0
2026-04-30 09:28:59.938986,18.0
2026-04-30 09:29:00.641414,20.0
2026-04-30 09:29:01.239025,21.0
2026-04-30 09:29:01.838921,23.0
2026-04-30 09:29:02.440186,24.0
2026-04-30 09:29:03.039545,25.0
2026-04-30 09:29:03.738921,26.0
2026-04-30 09:29:04.339432,21.0
2026-04-30 09:29:04.939039,16.0
2026-04-30 09:29:05.539280,13.0
2026-04-30 09:29:06.239152,10.0
2026-04-30 09:29:06.840162,8.0
2026-04-30 09:29:07.438932,8.0
2026-04-30 09:29:08.040424,8.0
2026-04-30 09:29:08.638926,8.0
2026-04-30 09:29:09.341601,8.0
2026-04-30 09:29:09.939291,8.0
2026-04-30 09:29:10.538902,8.0
2026-04-30 09:29:11.139163,8.0
2026-04-30 09:29:11.838886,8.0
2026-04-30 09:29:12.441979,8.0
2026-04-30 09:29:13.039004,8.0
2026-04-30 09:29:13.639135,8.0
2026-04-30 09:29:14.239319,8.0
2026-04-30 09:29:14.838978,8.0
2026-04-30 09:29:15.538959,9.0
2026-04-30 09:29:16.139059,10.0
2026-04-30 09:29:16.738977,11.0
2026-04-30 09:29:17.338997,12.0
2026-04-30 09:29:18.039187,12.0
2026-04-30 09:29:18.639443,13.0
2026-04-30 09:29:19.240625,13.0
2026-04-30 09:29:19.840625,13.0
2026-04-30 09:29:20.440033,13.0
2026-04-30 09:29:21.139054,14.0
2026-04-30 09:29:21.738982,15.0
2026-04-30 09:29:22.339727,16.0
2026-04-30 09:29:22.939065,16.0
2026-04-30 09:29:23.639002,15.0
2026-04-30 09:29:24.240992,15.0
2026-04-30 09:29:24.839645,16.0
2026-04-30 09:29:25.439292,17.0
2026-04-30 09:29:26.039609,18.0
2026-04-30 09:29:26.740700,20.0
2026-04-30 09:29:27.341910,22.0
2026-04-30 09:29:27.939210,23.0
2026-04-30 09:29:28.539395,23.0
2026-04-30 09:29:29.239003,22.0
2026-04-30 09:29:29.840261,24.0
2026-04-30 09:29:30.440694,25.0
2026-04-30 09:29:31.039054,25.0
