log_time,heart_rate
2026-04-30 23:09:22.821219,114.0
2026-04-30 23:09:23.421213,113.0
2026-04-30 23:09:24.021013,111.0
2026-04-30 23:09:24.621058,109.0
2026-04-30 23:09:25.321476,106.0
2026-04-30 23:09:25.921093,104.0
2026-04-30 23:09:26.521209,104.0
2026-04-30 23:09:27.123770,103.0
2026-04-30 23:09:27.721576,103.0
2026-04-30 23:09:28.421063,103.0
2026-04-30 23:09:29.021089,101.0
2026-04-30 23:09:29.621379,98.0
2026-04-30 23:09:30.220976,94.0
2026-04-30 23:09:30.820992,92.0
2026-04-30 23:09:31.521183,93.0
2026-04-30 23:09:32.120971,95.0
2026-04-30 23:09:32.721203,95.0
2026-04-30 23:09:33.320958,94.0
2026-04-30 23:09:33.920976,93.0
2026-04-30 23:09:34.521188,91.0
2026-04-30 23:09:35.221225,91.0
2026-04-30 23:09:35.821368,92.0
2026-04-30 23:09:36.421011,91.0
2026-04-30 23:09:37.021690,91.0
2026-04-30 23:09:37.620971,89.0
2026-04-30 23:09:38.321498,89.0
2026-04-30 23:09:38.921805,87.0
2026-04-30 23:09:39.523376,86.0
2026-04-30 23:09:40.121485,86.0
2026-04-30 23:09:40.721797,86.0
2026-04-30 23:09:41.421337,88.0
2026-04-30 23:09:42.021113,89.0
2026-04-30 23:09:42.623045,90.0
2026-04-30 23:09:43.221161,91.0
2026-04-30 23:09:43.821311,91.0
2026-04-30 23:09:44.521108,93.0
2026-04-30 23:09:45.221770,94.0
2026-04-30 23:09:45.821251,95.0
2026-04-30 23:09:46.421149,96.0
2026-04-30 23:09:47.026432,96.0
2026-04-30 23:09:47.621013,98.0
2026-04-30 23:09:48.321534,98.0
2026-04-30 23:09:48.921043,99.0
2026-04-30 23:09:49.523616,97.0
2026-04-30 23:09:50.121090,97.0
2026-04-30 23:09:50.721133,98.0
2026-04-30 23:09:51.421421,98.0
2026-04-30 23:09:52.022829,98.0
2026-04-30 23:09:52.622731,98.0
2026-04-30 23:09:53.220977,98.0
2026-04-30 23:09:53.821034,96.0
2026-04-30 23:09:54.422194,95.0
2026-04-30 23:09:55.121201,95.0
2026-04-30 23:09:55.721014,95.0
2026-04-30 23:09:56.321007,93.0
2026-04-30 23:09:56.921466,91.0
2026-04-30 23:09:57.521195,89.0
2026-04-30 23:09:58.221387,88.0
2026-04-30 23:09:58.821026,86.0
2026-04-30 23:09:59.422694,84.0
2026-04-30 23:10:00.021409,82.0
2026-04-30 23:10:00.623366,80.0
2026-04-30 23:10:01.322593,78.0
2026-04-30 23:10:01.921047,77.0
2026-04-30 23:10:02.521180,78.0
2026-04-30 23:10:03.121342,80.0
2026-04-30 23:10:03.721055,83.0
2026-04-30 23:10:04.321822,86.0
2026-04-30 23:10:04.921110,88.0
2026-04-30 23:10:05.620965,90.0
2026-04-30 23:10:06.221149,91.0
2026-04-30 23:10:06.820966,93.0
2026-04-30 23:10:07.421289,95.0
2026-04-30 23:10:08.022388,96.0
2026-04-30 23:10:08.720924,95.0
2026-04-30 23:10:09.321099,95.0
2026-04-30 23:10:09.921049,93.0
2026-04-30 23:10:10.521161,92.0
2026-04-30 23:10:11.120919,91.0
2026-04-30 23:10:11.820954,89.0
2026-04-30 23:10:12.420950,87.0
2026-04-30 23:10:13.023460,86.0
2026-04-30 23:10:13.621218,85.0
2026-04-30 23:10:14.221675,85.0
2026-04-30 23:10:14.821075,84.0
2026-04-30 23:10:15.521319,82.0
2026-04-30 23:10:16.123164,80.0
2026-04-30 23:10:16.721396,78.0
2026-04-30 23:10:17.321130,76.0
2026-04-30 23:10:18.021831,76.0
2026-04-30 23:10:18.620995,75.0
2026-04-30 23:10:19.221550,74.0
2026-04-30 23:10:19.822361,72.0
2026-04-30 23:10:20.422172,73.0
2026-04-30 23:10:21.021188,75.0
2026-04-30 23:10:21.721386,77.0
2026-04-30 23:10:22.322189,78.0
2026-04-30 23:10:22.921720,77.0
2026-04-30 23:10:23.521086,77.0
2026-04-30 23:10:24.222022,76.0
2026-04-30 23:10:24.821062,75.0
2026-04-30 23:10:25.521533,74.0
2026-04-30 23:10:26.120973,74.0
2026-04-30 23:10:26.721048,74.0
2026-04-30 23:10:27.323466,74.0
2026-04-30 23:10:27.922331,74.0
2026-04-30 23:10:28.621083,76.0
2026-04-30 23:10:29.221219,80.0
2026-04-30 23:10:29.820965,83.0
2026-04-30 23:10:30.421227,85.0
2026-04-30 23:10:31.021338,87.0
2026-04-30 23:10:31.623303,90.0
2026-04-30 23:10:32.321365,93.0
2026-04-30 23:10:32.921206,96.0
2026-04-30 23:10:33.522434,95.0
2026-04-30 23:10:34.121037,97.0
2026-04-30 23:10:34.720993,98.0
2026-04-30 23:10:35.421801,99.0
2026-04-30 23:10:36.021485,100.0
2026-04-30 23:10:36.621168,99.0
2026-04-30 23:10:37.221086,99.0
2026-04-30 23:10:37.820958,98.0
2026-04-30 23:10:38.421094,97.0
2026-04-30 23:10:39.121815,97.0
2026-04-30 23:10:39.721467,97.0
2026-04-30 23:10:40.322570,98.0
2026-04-30 23:10:40.922346,98.16666666666667
2026-04-30 23:10:41.521535,98.33333333333333
2026-04-30 23:10:42.120906,98.5
2026-04-30 23:10:42.821016,98.66666666666667
2026-04-30 23:10:43.421212,98.83333333333333
2026-04-30 23:10:44.021330,99.0
2026-04-30 23:10:44.620973,99.0
2026-04-30 23:10:45.220948,100.0
2026-04-30 23:10:45.921310,101.0
2026-04-30 23:10:46.521122,102.0
2026-04-30 23:10:47.121202,105.0
2026-04-30 23:10:47.720911,104.0
