log_time,breath_rate
2026-04-30 22:13:20.121968,
2026-04-30 22:13:20.721431,
2026-04-30 22:13:21.421233,
2026-04-30 22:13:22.020963,
2026-04-30 22:13:22.620988,
2026-04-30 22:13:23.221256,
2026-04-30 22:13:23.921014,
2026-04-30 22:13:24.521146,
2026-04-30 22:13:25.121005,
2026-04-30 22:13:25.721220,
2026-04-30 22:13:26.320976,
2026-04-30 22:13:27.021085,
2026-04-30 22:13:27.622645,
2026-04-30 22:13:28.221010,
2026-04-30 22:13:28.821088,
2026-04-30 22:13:29.521070,
2026-04-30 22:13:30.122495,
2026-04-30 22:13:30.721132,
2026-04-30 22:13:31.321033,
2026-04-30 22:13:31.921166,
2026-04-30 22:13:32.624655,
2026-04-30 22:13:33.224577,
2026-04-30 22:13:33.823628,
2026-04-30 22:13:34.420979,
2026-04-30 22:13:35.122695,
2026-04-30 22:13:35.722669,
2026-04-30 22:13:36.321380,
2026-04-30 22:13:36.920999,
2026-04-30 22:13:37.621207,
2026-04-30 22:13:38.221147,8.0
2026-04-30 22:13:38.921231,8.0
2026-04-30 22:13:39.521312,8.0
2026-04-30 22:13:40.121214,8.0
2026-04-30 22:13:40.723475,8.0
2026-04-30 22:13:41.321105,8.0
2026-04-30 22:13:42.021032,8.0
2026-04-30 22:13:42.621623,8.0
2026-04-30 22:13:43.220904,8.0
2026-04-30 22:13:43.822451,8.0
2026-04-30 22:13:44.522180,8.0
2026-04-30 22:13:45.122209,11.0
2026-04-30 22:13:45.720998,14.0
2026-04-30 22:13:46.321499,15.0
2026-04-30 22:13:46.921219,17.0
2026-04-30 22:13:47.622849,20.0
2026-04-30 22:13:48.221069,21.0
2026-04-30 22:13:48.821113,22.0
2026-04-30 22:13:49.421106,23.0
2026-04-30 22:13:50.021085,24.0
2026-04-30 22:13:50.721065,25.0
2026-04-30 22:13:51.321081,26.0
2026-04-30 22:13:51.921134,27.0
2026-04-30 22:13:52.521153,28.0
2026-04-30 22:13:53.121106,23.0
2026-04-30 22:13:53.822864,22.0
2026-04-30 22:13:54.422166,25.0
2026-04-30 22:13:55.023403,25.0
2026-04-30 22:13:55.621447,24.0
2026-04-30 22:13:56.221337,20.0
2026-04-30 22:13:56.922106,16.0
2026-04-30 22:13:57.521481,14.0
2026-04-30 22:13:58.121132,17.0
2026-04-30 22:13:58.720986,20.0
2026-04-30 22:13:59.320991,22.0
2026-04-30 22:14:00.021061,22.0
2026-04-30 22:14:00.620918,22.0
2026-04-30 22:14:01.221131,23.0
2026-04-30 22:14:01.821031,21.0
2026-04-30 22:14:02.420972,18.0
2026-04-30 22:14:03.121175,18.0
2026-04-30 22:14:03.721677,18.0
2026-04-30 22:14:04.323362,19.0
2026-04-30 22:14:04.921037,19.0
2026-04-30 22:14:05.621501,19.0
2026-04-30 22:14:06.220944,19.0
2026-04-30 22:14:06.820921,20.0
2026-04-30 22:14:07.421081,21.0
2026-04-30 22:14:08.021634,21.0
2026-04-30 22:14:08.721117,22.0
2026-04-30 22:14:09.320948,22.0
2026-04-30 22:14:09.925151,22.0
2026-04-30 22:14:10.521051,22.0
2026-04-30 22:14:11.222101,21.0
2026-04-30 22:14:11.821194,22.0
2026-04-30 22:14:12.421442,21.0
2026-04-30 22:14:13.021053,20.0
