log_time,heart_rate
2026-04-30 22:13:20.121968,103.0
2026-04-30 22:13:20.721431,104.0
2026-04-30 22:13:21.421233,104.0
2026-04-30 22:13:22.020963,106.0
2026-04-30 22:13:22.620988,107.0
2026-04-30 22:13:23.221256,108.0
2026-04-30 22:13:23.921014,109.0
2026-04-30 22:13:24.521146,108.0
2026-04-30 22:13:25.121005,106.0
2026-04-30 22:13:25.721220,107.0
2026-04-30 22:13:26.320976,108.0
2026-04-30 22:13:27.021085,109.0
2026-04-30 22:13:27.622645,111.0
2026-04-30 22:13:28.221010,113.0
2026-04-30 22:13:28.821088,115.0
2026-04-30 22:13:29.521070,117.0
2026-04-30 22:13:30.122495,117.0
2026-04-30 22:13:30.721132,114.0
2026-04-30 22:13:31.321033,113.0
2026-04-30 22:13:31.921166,109.0
2026-04-30 22:13:32.624655,105.0
2026-04-30 22:13:33.224577,103.0
2026-04-30 22:13:33.823628,100.0
2026-04-30 22:13:34.420979,98.0
2026-04-30 22:13:35.122695,96.0
2026-04-30 22:13:35.722669,93.0
2026-04-30 22:13:36.321380,92.0
2026-04-30 22:13:36.920999,90.0
2026-04-30 22:13:37.621207,87.0
2026-04-30 22:13:38.221147,86.0
2026-04-30 22:13:38.921231,87.0
2026-04-30 22:13:39.521312,90.0
2026-04-30 22:13:40.121214,89.0
2026-04-30 22:13:40.723475,90.0
2026-04-30 22:13:41.321105,91.0
2026-04-30 22:13:42.021032,94.0
2026-04-30 22:13:42.621623,96.0
2026-04-30 22:13:43.220904,98.0
2026-04-30 22:13:43.822451,98.0
2026-04-30 22:13:44.522180,98.0
2026-04-30 22:13:45.122209,98.0
2026-04-30 22:13:45.720998,96.0
2026-04-30 22:13:46.321499,95.0
2026-04-30 22:13:46.921219,94.0
2026-04-30 22:13:47.622849,94.0
2026-04-30 22:13:48.221069,94.0
2026-04-30 22:13:48.821113,91.0
2026-04-30 22:13:49.421106,89.0
2026-04-30 22:13:50.021085,87.0
2026-04-30 22:13:50.721065,86.0
2026-04-30 22:13:51.321081,84.0
2026-04-30 22:13:51.921134,81.0
2026-04-30 22:13:52.521153,79.0
2026-04-30 22:13:53.121106,77.0
