log_time,breath_rate
2026-05-01 07:08:36.322890,20.0
2026-05-01 07:08:36.921080,15.0
2026-05-01 07:08:37.520943,12.0
2026-05-01 07:08:38.121204,9.0
2026-05-01 07:08:38.821156,10.0
2026-05-01 07:08:39.422082,11.0
2026-05-01 07:08:40.021083,12.0
2026-05-01 07:08:40.621188,9.0
2026-05-01 07:08:41.221335,9.0
2026-05-01 07:08:41.820939,9.0
2026-05-01 07:08:42.523116,9.0
2026-05-01 07:08:43.120987,9.0
2026-05-01 07:08:43.726411,9.0
2026-05-01 07:08:44.321431,13.0
2026-05-01 07:08:44.921309,16.0
2026-05-01 07:08:45.621230,18.0
2026-05-01 07:08:46.222599,19.0
2026-05-01 07:08:46.821186,20.0
2026-05-01 07:08:47.421140,20.0
2026-05-01 07:08:48.021913,20.0
2026-05-01 07:08:48.621286,21.0
2026-05-01 07:08:49.321144,21.0
2026-05-01 07:08:49.920965,22.0
2026-05-01 07:08:50.521531,22.0
2026-05-01 07:08:51.121130,19.0
2026-05-01 07:08:51.721089,14.0
2026-05-01 07:08:52.421036,13.0
2026-05-01 07:08:53.021186,16.0
2026-05-01 07:08:53.620908,15.0
2026-05-01 07:08:54.221078,11.0
2026-05-01 07:08:54.820985,9.0
2026-05-01 07:08:55.421168,9.0
2026-05-01 07:08:56.120959,9.0
2026-05-01 07:08:56.721027,9.0
2026-05-01 07:08:57.321527,9.0
2026-05-01 07:08:57.920924,9.0
2026-05-01 07:08:58.521144,14.0
2026-05-01 07:08:59.221077,14.0
2026-05-01 07:08:59.820929,11.0
2026-05-01 07:09:00.421406,8.0
2026-05-01 07:09:01.022923,8.071428571428571
2026-05-01 07:09:01.620943,8.142857142857142
2026-05-01 07:09:02.321140,8.214285714285714
2026-05-01 07:09:02.921055,8.285714285714286
2026-05-01 07:09:03.621053,8.357142857142858
2026-05-01 07:09:04.220934,8.428571428571429
2026-05-01 07:09:04.820915,8.5
2026-05-01 07:09:05.422897,8.571428571428571
2026-05-01 07:09:06.021492,8.642857142857142
2026-05-01 07:09:06.721781,8.714285714285714
2026-05-01 07:09:07.321342,8.785714285714286
2026-05-01 07:09:07.921775,8.857142857142858
2026-05-01 07:09:08.521060,8.928571428571429
2026-05-01 07:09:09.122424,9.0
2026-05-01 07:09:09.822244,13.0
2026-05-01 07:09:10.420985,17.0
2026-05-01 07:09:11.022115,19.0
2026-05-01 07:09:11.622485,20.0
2026-05-01 07:09:12.221233,20.0
2026-05-01 07:09:12.920983,20.0
2026-05-01 07:09:13.520981,20.0
2026-05-01 07:09:14.120989,21.0
2026-05-01 07:09:14.721165,22.0
2026-05-01 07:09:15.321421,22.0
2026-05-01 07:09:15.920995,20.0
2026-05-01 07:09:16.621296,19.0
2026-05-01 07:09:17.221291,17.0
2026-05-01 07:09:17.820961,19.0
2026-05-01 07:09:18.421207,20.0
2026-05-01 07:09:19.020898,19.0
2026-05-01 07:09:19.721004,19.0
2026-05-01 07:09:20.320922,19.0
2026-05-01 07:09:20.921505,20.0
2026-05-01 07:09:21.520979,21.0
2026-05-01 07:09:22.121513,21.0
2026-05-01 07:09:22.820950,22.0
2026-05-01 07:09:23.422361,22.0
2026-05-01 07:09:24.020950,22.0
2026-05-01 07:09:24.620970,23.0
2026-05-01 07:09:25.222446,23.0
2026-05-01 07:09:25.922986,23.0
2026-05-01 07:09:26.521147,23.0
2026-05-01 07:09:27.122412,23.0
2026-05-01 07:09:27.721055,24.0
2026-05-01 07:09:28.321128,25.0
2026-05-01 07:09:29.020958,25.0
2026-05-01 07:09:29.621519,26.0
2026-05-01 07:09:30.221486,25.0
2026-05-01 07:09:30.820978,25.0
2026-05-01 07:09:31.422089,24.0
2026-05-01 07:09:32.022575,23.166666666666668
2026-05-01 07:09:32.721184,22.333333333333332
2026-05-01 07:09:33.321718,21.5
2026-05-01 07:09:33.920883,20.666666666666668
2026-05-01 07:09:34.520917,19.833333333333332
2026-05-01 07:09:35.221020,19.0
2026-05-01 07:09:35.822479,15.0
2026-05-01 07:09:36.421338,12.0
2026-05-01 07:09:37.020901,9.0
2026-05-01 07:09:37.621171,8.666666666666666
2026-05-01 07:09:38.320939,8.333333333333334
2026-05-01 07:09:38.921454,8.0
2026-05-01 07:09:39.521035,10.0
2026-05-01 07:09:40.120905,12.0
2026-05-01 07:09:40.721276,15.0
2026-05-01 07:09:41.321155,16.0
2026-05-01 07:09:42.020939,12.0
2026-05-01 07:09:42.620952,9.0
2026-05-01 07:09:43.221167,9.0
2026-05-01 07:09:43.921264,9.0
2026-05-01 07:09:44.521708,9.0
2026-05-01 07:09:45.221455,9.0
2026-05-01 07:09:45.820960,9.0
2026-05-01 07:09:46.421089,12.0
2026-05-01 07:09:47.022171,13.0
2026-05-01 07:09:47.622122,13.0
2026-05-01 07:09:48.221778,15.0
2026-05-01 07:09:48.925718,17.0
2026-05-01 07:09:49.521300,18.0
2026-05-01 07:09:50.125431,20.0
2026-05-01 07:09:50.721125,21.0
2026-05-01 07:09:51.321199,22.0
2026-05-01 07:09:52.021284,22.0
2026-05-01 07:09:52.621139,22.0
2026-05-01 07:09:53.221115,23.0
2026-05-01 07:09:53.821071,23.0
2026-05-01 07:09:54.421163,22.0
2026-05-01 07:09:55.121152,21.0
2026-05-01 07:09:55.721030,21.0
2026-05-01 07:09:56.321494,20.0
2026-05-01 07:09:56.921078,20.0
2026-05-01 07:09:57.522159,20.0
2026-05-01 07:09:58.121206,19.0
2026-05-01 07:09:58.821011,18.6
2026-05-01 07:09:59.422199,18.2
2026-05-01 07:10:00.020903,17.8
2026-05-01 07:10:00.620948,17.4
2026-05-01 07:10:01.320984,17.0
2026-05-01 07:10:01.921174,16.6
2026-05-01 07:10:02.521309,16.2
2026-05-01 07:10:03.121362,15.8
2026-05-01 07:10:03.821374,15.4
2026-05-01 07:10:04.421080,15.0
2026-05-01 07:10:05.021537,11.0
2026-05-01 07:10:05.620910,9.0
2026-05-01 07:10:06.221605,9.0
2026-05-01 07:10:06.921190,9.0
2026-05-01 07:10:07.520982,10.0
2026-05-01 07:10:08.122853,11.0
2026-05-01 07:10:08.721643,12.0
2026-05-01 07:10:09.320969,12.0
2026-05-01 07:10:10.021179,13.0
2026-05-01 07:10:10.621203,13.0
2026-05-01 07:10:11.220922,13.0
2026-05-01 07:10:11.821117,13.0
2026-05-01 07:10:12.421492,14.0
2026-05-01 07:10:13.021038,14.0
2026-05-01 07:10:13.722077,14.0
2026-05-01 07:10:14.320946,14.0
2026-05-01 07:10:14.921724,17.0
2026-05-01 07:10:15.521200,19.0
2026-05-01 07:10:16.121585,21.0
2026-05-01 07:10:16.821100,22.0
2026-05-01 07:10:17.421094,22.0
2026-05-01 07:10:18.021169,24.0
2026-05-01 07:10:18.622424,25.0
2026-05-01 07:10:19.221050,25.0
2026-05-01 07:10:19.924245,26.0
2026-05-01 07:10:20.521254,25.0
2026-05-01 07:10:21.121123,26.0
2026-05-01 07:10:21.721048,27.0
2026-05-01 07:10:22.322146,27.0
2026-05-01 07:10:22.921626,23.0
2026-05-01 07:10:23.721179,24.0
2026-05-01 07:10:24.320957,26.0
2026-05-01 07:10:24.921483,26.0
2026-05-01 07:10:25.521077,23.0
2026-05-01 07:10:26.122595,21.0
2026-05-01 07:10:26.823082,20.0
2026-05-01 07:10:27.421111,19.0
2026-05-01 07:10:28.021279,15.0
2026-05-01 07:10:28.622194,12.0
2026-05-01 07:10:29.221588,9.0
2026-05-01 07:10:29.923213,9.0
2026-05-01 07:10:30.521712,9.0
2026-05-01 07:10:31.121053,9.0
2026-05-01 07:10:31.721018,9.0
2026-05-01 07:10:32.321378,9.0
2026-05-01 07:10:33.021136,9.0
2026-05-01 07:10:33.620924,9.0
2026-05-01 07:10:34.221028,14.0
2026-05-01 07:10:34.821100,18.0
2026-05-01 07:10:35.520975,21.0
2026-05-01 07:10:36.121782,22.0
2026-05-01 07:10:36.720946,24.0
2026-05-01 07:10:37.321236,25.0
2026-05-01 07:10:37.920964,25.0
2026-05-01 07:10:38.620952,26.0
2026-05-01 07:10:39.221340,27.0
2026-05-01 07:10:39.821016,27.0
2026-05-01 07:10:40.420948,26.0
2026-05-01 07:10:41.021166,25.0
2026-05-01 07:10:41.720958,25.0
2026-05-01 07:10:42.321017,24.0
2026-05-01 07:10:42.921160,23.0
2026-05-01 07:10:43.521149,22.0
2026-05-01 07:10:44.121001,21.0
2026-05-01 07:10:44.820958,21.0
2026-05-01 07:10:45.420973,17.0
2026-05-01 07:10:46.020976,13.0
2026-05-01 07:10:46.622326,10.0
2026-05-01 07:10:47.222009,13.0
2026-05-01 07:10:47.921094,16.0
2026-05-01 07:10:48.522184,19.0
2026-05-01 07:10:49.120994,22.0
2026-05-01 07:10:49.722620,23.0
2026-05-01 07:10:50.321282,18.0
2026-05-01 07:10:51.021361,14.0
2026-05-01 07:10:51.622303,17.0
2026-05-01 07:10:52.221131,13.0
2026-05-01 07:10:52.821312,10.0
2026-05-01 07:10:53.421095,8.0
2026-05-01 07:10:54.121133,8.136363636363637
2026-05-01 07:10:54.720941,8.272727272727273
2026-05-01 07:10:55.320996,8.409090909090908
2026-05-01 07:10:55.921018,8.545454545454545
2026-05-01 07:10:56.521797,8.681818181818182
2026-05-01 07:10:57.221146,8.818181818181818
2026-05-01 07:10:57.821077,8.954545454545455
2026-05-01 07:10:58.421096,9.09090909090909
2026-05-01 07:10:59.021143,9.227272727272727
2026-05-01 07:10:59.720972,9.363636363636363
2026-05-01 07:11:00.321000,
2026-05-01 07:11:00.921067,9.636363636363637
2026-05-01 07:11:01.521136,9.772727272727273
2026-05-01 07:11:02.121848,9.909090909090908
2026-05-01 07:11:02.720979,10.045454545454545
2026-05-01 07:11:03.421084,10.181818181818182
2026-05-01 07:11:04.121184,10.318181818181818
2026-05-01 07:11:04.720970,10.454545454545453
2026-05-01 07:11:05.324157,10.59090909090909
2026-05-01 07:11:05.921359,10.727272727272727
2026-05-01 07:11:06.621143,10.863636363636363
2026-05-01 07:11:07.221699,11.0
2026-05-01 07:11:07.821581,16.0
2026-05-01 07:11:08.421419,20.0
2026-05-01 07:11:09.021069,23.0
2026-05-01 07:11:09.622588,25.0
2026-05-01 07:11:10.321090,26.0
2026-05-01 07:11:10.923088,27.0
2026-05-01 07:11:11.521248,27.0
2026-05-01 07:11:12.121042,27.0
2026-05-01 07:11:12.721243,23.0
2026-05-01 07:11:13.421419,22.0
2026-05-01 07:11:14.021134,23.0
2026-05-01 07:11:14.620996,22.0
2026-05-01 07:11:15.221040,20.0
2026-05-01 07:11:15.821011,20.0
2026-05-01 07:11:16.521358,20.0
2026-05-01 07:11:17.121984,21.0
2026-05-01 07:11:17.721097,19.0
2026-05-01 07:11:18.321106,15.0
2026-05-01 07:11:18.921268,12.0
2026-05-01 07:11:19.620946,9.0
2026-05-01 07:11:20.221176,12.0
2026-05-01 07:11:20.821430,15.0
2026-05-01 07:11:21.423276,17.0
2026-05-01 07:11:22.021153,18.0
2026-05-01 07:11:22.621857,19.0
2026-05-01 07:11:23.321031,20.0
2026-05-01 07:11:23.920976,21.0
2026-05-01 07:11:24.522089,22.0
2026-05-01 07:11:25.120981,24.0
2026-05-01 07:11:25.821027,26.0
2026-05-01 07:11:26.420977,28.0
2026-05-01 07:11:27.020940,29.0
2026-05-01 07:11:27.621639,30.0
2026-05-01 07:11:28.221249,27.0
2026-05-01 07:11:28.822106,24.0
2026-05-01 07:11:29.521279,23.0
2026-05-01 07:11:30.122604,22.0
2026-05-01 07:11:30.723785,22.0
2026-05-01 07:11:31.321048,23.0
2026-05-01 07:11:31.921004,23.0
2026-05-01 07:11:32.621008,23.0
2026-05-01 07:11:33.221898,23.0
2026-05-01 07:11:33.821114,23.0
2026-05-01 07:11:34.420937,22.0
2026-05-01 07:11:35.021284,21.0
2026-05-01 07:11:35.621141,21.0
2026-05-01 07:11:36.321252,20.0
2026-05-01 07:11:36.921137,20.0
2026-05-01 07:11:37.521425,20.0
2026-05-01 07:11:38.120995,19.0
2026-05-01 07:11:38.720998,20.0
2026-05-01 07:11:39.321586,21.0
2026-05-01 07:11:40.021161,21.0
2026-05-01 07:11:40.622033,22.0
2026-05-01 07:11:41.221011,22.0
2026-05-01 07:11:41.821279,23.0
2026-05-01 07:11:42.421195,19.0
2026-05-01 07:11:43.120995,18.0
2026-05-01 07:11:43.721244,18.0
2026-05-01 07:11:44.421364,18.0
2026-05-01 07:11:45.021340,18.0
2026-05-01 07:11:45.622801,19.0
2026-05-01 07:11:46.222779,19.066666666666666
2026-05-01 07:11:46.921023,19.133333333333333
2026-05-01 07:11:47.521009,19.2
2026-05-01 07:11:48.121611,19.266666666666666
2026-05-01 07:11:48.721053,19.333333333333332
2026-05-01 07:11:49.321330,19.4
2026-05-01 07:11:49.921244,19.466666666666665
2026-05-01 07:11:50.620957,19.533333333333335
2026-05-01 07:11:51.221170,19.6
2026-05-01 07:11:51.820975,19.666666666666668
2026-05-01 07:11:52.421378,19.733333333333334
2026-05-01 07:11:53.021543,19.8
2026-05-01 07:11:53.721281,19.866666666666667
2026-05-01 07:11:54.321033,19.933333333333334
2026-05-01 07:11:54.921051,20.0
2026-05-01 07:11:55.521411,21.0
2026-05-01 07:11:56.121491,21.0
2026-05-01 07:11:56.820901,22.0
2026-05-01 07:11:57.422394,24.0
2026-05-01 07:11:58.021200,25.0
2026-05-01 07:11:58.621290,25.0
2026-05-01 07:11:59.220939,26.0
2026-05-01 07:11:59.921479,26.0
2026-05-01 07:12:00.520967,28.0
2026-05-01 07:12:01.121106,26.0
2026-05-01 07:12:01.721146,26.0
2026-05-01 07:12:02.421072,27.0
2026-05-01 07:12:03.020951,28.0
2026-05-01 07:12:03.622428,27.0
2026-05-01 07:12:04.220985,25.0
2026-05-01 07:12:04.821394,24.0
2026-05-01 07:12:05.522103,23.0
2026-05-01 07:12:06.122004,22.0
2026-05-01 07:12:06.722976,21.0
2026-05-01 07:12:07.322406,19.0
2026-05-01 07:12:07.921660,18.0
2026-05-01 07:12:08.623471,17.0
2026-05-01 07:12:09.222072,17.0
2026-05-01 07:12:09.821027,16.0
2026-05-01 07:12:10.421685,15.0
2026-05-01 07:12:11.021097,12.0
2026-05-01 07:12:11.721190,9.0
2026-05-01 07:12:12.322126,8.916666666666666
2026-05-01 07:12:12.921261,8.833333333333334
2026-05-01 07:12:13.523573,8.75
2026-05-01 07:12:14.121240,8.666666666666666
2026-05-01 07:12:14.721150,8.583333333333334
2026-05-01 07:12:15.421273,8.5
2026-05-01 07:12:16.021031,8.416666666666666
2026-05-01 07:12:16.620918,8.333333333333334
2026-05-01 07:12:17.221165,8.25
2026-05-01 07:12:17.821092,8.166666666666666
2026-05-01 07:12:18.520971,8.083333333333334
2026-05-01 07:12:19.121168,8.0
2026-05-01 07:12:19.721202,8.125
2026-05-01 07:12:20.324278,8.25
2026-05-01 07:12:20.922984,8.375
2026-05-01 07:12:21.621226,8.5
2026-05-01 07:12:22.220987,8.625
2026-05-01 07:12:22.821563,8.75
2026-05-01 07:12:23.421546,8.875
2026-05-01 07:12:24.121248,9.0
2026-05-01 07:12:24.821032,9.0
2026-05-01 07:12:25.421150,9.0
2026-05-01 07:12:26.021014,9.0
2026-05-01 07:12:26.621181,9.0
2026-05-01 07:12:27.221526,9.0
2026-05-01 07:12:27.921294,9.428571428571429
2026-05-01 07:12:28.521003,9.857142857142858
2026-05-01 07:12:29.121151,10.285714285714285
2026-05-01 07:12:29.722248,10.714285714285714
2026-05-01 07:12:30.322398,11.142857142857142
2026-05-01 07:12:31.021380,11.571428571428571
2026-05-01 07:12:31.620993,12.0
2026-05-01 07:12:32.221133,12.0
2026-05-01 07:12:32.821128,16.0
2026-05-01 07:12:33.421094,17.0
2026-05-01 07:12:34.021109,17.0
2026-05-01 07:12:34.721175,18.0
2026-05-01 07:12:35.321040,20.0
2026-05-01 07:12:35.922186,20.0
2026-05-01 07:12:36.520954,21.0
2026-05-01 07:12:37.121016,22.0
2026-05-01 07:12:37.822016,22.0
2026-05-01 07:12:38.421053,22.0
2026-05-01 07:12:39.021185,23.0
2026-05-01 07:12:39.620991,22.916666666666668
2026-05-01 07:12:40.221960,22.833333333333332
2026-05-01 07:12:40.821110,22.75
2026-05-01 07:12:41.521094,22.666666666666668
2026-05-01 07:12:42.121212,22.583333333333332
2026-05-01 07:12:42.721068,22.5
2026-05-01 07:12:43.320981,22.416666666666668
2026-05-01 07:12:44.020959,22.333333333333332
2026-05-01 07:12:44.621085,22.25
2026-05-01 07:12:45.220900,22.166666666666668
2026-05-01 07:12:45.821078,22.083333333333332
2026-05-01 07:12:46.421056,22.0
2026-05-01 07:12:47.122066,22.0
2026-05-01 07:12:47.722413,22.0
2026-05-01 07:12:48.321752,23.0
2026-05-01 07:12:48.921861,22.857142857142858
2026-05-01 07:12:49.621227,22.714285714285715
2026-05-01 07:12:50.221188,22.571428571428573
