log_time,heart_rate
2026-05-01 07:08:36.322890,104.0
2026-05-01 07:08:36.921080,102.0
2026-05-01 07:08:37.520943,99.0
2026-05-01 07:08:38.121204,98.0
2026-05-01 07:08:38.821156,97.0
2026-05-01 07:08:39.422082,98.0
2026-05-01 07:08:40.021083,98.0
2026-05-01 07:08:40.621188,99.0
2026-05-01 07:08:41.221335,102.0
2026-05-01 07:08:41.820939,102.0
2026-05-01 07:08:42.523116,102.0
2026-05-01 07:08:43.120987,102.0
2026-05-01 07:08:43.726411,102.0
2026-05-01 07:08:44.321431,101.0
2026-05-01 07:08:44.921309,100.0
2026-05-01 07:08:45.621230,99.0
2026-05-01 07:08:46.222599,98.0
2026-05-01 07:08:46.821186,97.0
2026-05-01 07:08:47.421140,96.0
2026-05-01 07:08:48.021913,95.0
2026-05-01 07:08:48.621286,94.0
2026-05-01 07:08:49.321144,93.0
2026-05-01 07:08:49.920965,92.0
2026-05-01 07:08:50.521531,89.0
2026-05-01 07:08:51.121130,90.0
2026-05-01 07:08:51.721089,92.0
2026-05-01 07:08:52.421036,96.0
2026-05-01 07:08:53.021186,98.0
2026-05-01 07:08:53.620908,102.0
2026-05-01 07:08:54.221078,104.0
2026-05-01 07:08:54.820985,107.0
2026-05-01 07:08:55.421168,110.0
2026-05-01 07:08:56.120959,112.0
2026-05-01 07:08:56.721027,113.0
2026-05-01 07:08:57.321527,113.0
2026-05-01 07:08:57.920924,114.0
2026-05-01 07:08:58.521144,116.0
2026-05-01 07:08:59.221077,116.0
2026-05-01 07:08:59.820929,115.0
2026-05-01 07:09:00.421406,115.0
2026-05-01 07:09:01.022923,115.0
2026-05-01 07:09:01.620943,116.0
2026-05-01 07:09:02.321140,116.0
2026-05-01 07:09:02.921055,117.0
2026-05-01 07:09:03.621053,117.0
2026-05-01 07:09:04.220934,117.0
2026-05-01 07:09:04.820915,113.0
2026-05-01 07:09:05.422897,113.0
2026-05-01 07:09:06.021492,113.0
2026-05-01 07:09:06.721781,115.0
2026-05-01 07:09:07.321342,114.0
2026-05-01 07:09:07.921775,111.0
2026-05-01 07:09:08.521060,109.0
2026-05-01 07:09:09.122424,106.0
2026-05-01 07:09:09.822244,103.0
2026-05-01 07:09:10.420985,101.0
2026-05-01 07:09:11.022115,99.0
2026-05-01 07:09:11.622485,96.0
2026-05-01 07:09:12.221233,93.0
2026-05-01 07:09:12.920983,91.0
2026-05-01 07:09:13.520981,90.0
2026-05-01 07:09:14.120989,88.0
2026-05-01 07:09:14.721165,87.0
2026-05-01 07:09:15.321421,86.0
2026-05-01 07:09:15.920995,85.0
2026-05-01 07:09:16.621296,84.0
2026-05-01 07:09:17.221291,84.0
2026-05-01 07:09:17.820961,83.0
2026-05-01 07:09:18.421207,83.0
2026-05-01 07:09:19.020898,83.0
2026-05-01 07:09:19.721004,82.0
2026-05-01 07:09:20.320922,81.0
2026-05-01 07:09:20.921505,80.0
2026-05-01 07:09:21.520979,79.0
2026-05-01 07:09:22.121513,78.0
2026-05-01 07:09:22.820950,78.0
2026-05-01 07:09:23.422361,78.0
2026-05-01 07:09:24.020950,78.0
2026-05-01 07:09:24.620970,77.0
2026-05-01 07:09:25.222446,76.0
2026-05-01 07:09:25.922986,76.0
2026-05-01 07:09:26.521147,76.0
2026-05-01 07:09:27.122412,76.0
2026-05-01 07:09:27.721055,77.0
2026-05-01 07:09:28.321128,80.0
2026-05-01 07:09:29.020958,82.0
2026-05-01 07:09:29.621519,85.0
2026-05-01 07:09:30.221486,89.0
2026-05-01 07:09:30.820978,91.0
2026-05-01 07:09:31.422089,93.0
2026-05-01 07:09:32.022575,93.0
2026-05-01 07:09:32.721184,94.0
2026-05-01 07:09:33.321718,93.0
2026-05-01 07:09:33.920883,93.0
2026-05-01 07:09:34.520917,95.0
2026-05-01 07:09:35.221020,96.0
2026-05-01 07:09:35.822479,97.0
2026-05-01 07:09:36.421338,98.0
2026-05-01 07:09:37.020901,97.0
2026-05-01 07:09:37.621171,97.0
2026-05-01 07:09:38.320939,96.0
2026-05-01 07:09:38.921454,95.0
2026-05-01 07:09:39.521035,96.0
2026-05-01 07:09:40.120905,97.0
2026-05-01 07:09:40.721276,99.0
2026-05-01 07:09:41.321155,102.0
2026-05-01 07:09:42.020939,102.0
2026-05-01 07:09:42.620952,101.0
2026-05-01 07:09:43.221167,99.0
2026-05-01 07:09:43.921264,97.0
2026-05-01 07:09:44.521708,93.0
2026-05-01 07:09:45.221455,90.0
2026-05-01 07:09:45.820960,88.0
2026-05-01 07:09:46.421089,84.0
2026-05-01 07:09:47.022171,82.0
2026-05-01 07:09:47.622122,79.0
2026-05-01 07:09:48.221778,80.0
2026-05-01 07:09:48.925718,82.0
2026-05-01 07:09:49.521300,86.0
2026-05-01 07:09:50.125431,90.0
2026-05-01 07:09:50.721125,94.0
2026-05-01 07:09:51.321199,98.0
2026-05-01 07:09:52.021284,102.0
2026-05-01 07:09:52.621139,104.0
2026-05-01 07:09:53.221115,107.0
2026-05-01 07:09:53.821071,110.0
2026-05-01 07:09:54.421163,111.0
2026-05-01 07:09:55.121152,113.0
2026-05-01 07:09:55.721030,112.0
2026-05-01 07:09:56.321494,110.0
2026-05-01 07:09:56.921078,108.0
2026-05-01 07:09:57.522159,104.0
2026-05-01 07:09:58.121206,102.0
2026-05-01 07:09:58.821011,99.0
2026-05-01 07:09:59.422199,97.0
2026-05-01 07:10:00.020903,95.0
2026-05-01 07:10:00.620948,93.0
2026-05-01 07:10:01.320984,91.0
2026-05-01 07:10:01.921174,89.0
2026-05-01 07:10:02.521309,88.0
2026-05-01 07:10:03.121362,85.0
2026-05-01 07:10:03.821374,84.0
2026-05-01 07:10:04.421080,84.0
2026-05-01 07:10:05.021537,84.0
2026-05-01 07:10:05.620910,85.0
2026-05-01 07:10:06.221605,84.83333333333333
2026-05-01 07:10:06.921190,84.66666666666667
2026-05-01 07:10:07.520982,84.5
2026-05-01 07:10:08.122853,84.33333333333333
2026-05-01 07:10:08.721643,84.16666666666667
2026-05-01 07:10:09.320969,84.0
2026-05-01 07:10:10.021179,83.0
2026-05-01 07:10:10.621203,82.0
2026-05-01 07:10:11.220922,82.33333333333333
2026-05-01 07:10:11.821117,82.66666666666667
2026-05-01 07:10:12.421492,83.0
2026-05-01 07:10:13.021038,83.33333333333333
2026-05-01 07:10:13.722077,83.66666666666667
2026-05-01 07:10:14.320946,84.0
2026-05-01 07:10:14.921724,87.0
2026-05-01 07:10:15.521200,89.0
2026-05-01 07:10:16.121585,92.0
2026-05-01 07:10:16.821100,95.0
2026-05-01 07:10:17.421094,98.0
2026-05-01 07:10:18.021169,101.0
