log_time,breath_rate
2026-04-30 08:02:51.239931,
2026-04-30 08:02:51.938936,8.0
2026-04-30 08:02:52.539055,8.0
2026-04-30 08:02:53.139168,8.0
2026-04-30 08:02:53.739012,8.0
2026-04-30 08:02:54.339149,8.0
2026-04-30 08:02:55.039653,8.0
2026-04-30 08:02:55.640975,8.0
2026-04-30 08:02:56.239184,8.0
2026-04-30 08:02:56.839106,8.0
2026-04-30 08:02:57.439180,8.0
2026-04-30 08:02:58.139027,8.0
2026-04-30 08:02:58.739833,10.0
2026-04-30 08:02:59.339227,11.0
2026-04-30 08:02:59.939134,11.0
2026-04-30 08:03:00.539090,15.0
2026-04-30 08:03:01.239252,15.166666666666666
2026-04-30 08:03:01.839210,15.333333333333334
2026-04-30 08:03:02.439224,15.5
2026-04-30 08:03:03.039009,15.666666666666666
2026-04-30 08:03:03.641694,15.833333333333334
2026-04-30 08:03:04.239527,16.0
2026-04-30 08:03:05.039380,16.0
2026-04-30 08:03:05.639163,18.0
2026-04-30 08:03:06.239442,20.0
2026-04-30 08:03:06.839360,20.0
2026-04-30 08:03:07.439213,18.0
2026-04-30 08:03:08.039330,21.0
2026-04-30 08:03:08.739176,23.0
2026-04-30 08:03:09.339284,25.0
2026-04-30 08:03:09.939457,25.0
2026-04-30 08:03:10.539053,25.0
2026-04-30 08:03:11.140079,26.0
2026-04-30 08:03:11.839741,26.0
2026-04-30 08:03:12.439321,25.0
2026-04-30 08:03:13.040333,26.0
2026-04-30 08:03:13.642419,27.0
2026-04-30 08:03:14.240392,28.0
2026-04-30 08:03:14.840620,25.0
2026-04-30 08:03:15.539333,24.0
2026-04-30 08:03:16.139331,26.0
2026-04-30 08:03:16.740889,27.0
2026-04-30 08:03:17.339002,21.0
2026-04-30 08:03:17.939607,18.0
2026-04-30 08:03:18.539093,14.0
2026-04-30 08:03:19.239549,11.0
2026-04-30 08:03:19.839163,12.0
2026-04-30 08:03:20.439088,12.0
2026-04-30 08:03:21.039646,13.0
2026-04-30 08:03:21.639539,13.0
2026-04-30 08:03:22.339270,14.0
2026-04-30 08:03:22.939013,14.0
2026-04-30 08:03:23.539097,14.0
2026-04-30 08:03:24.138978,14.0
2026-04-30 08:03:24.738982,14.0
2026-04-30 08:03:25.339991,15.0
2026-04-30 08:03:26.039865,16.0
2026-04-30 08:03:26.639320,16.0
2026-04-30 08:03:27.239088,17.0
2026-04-30 08:03:27.839023,18.0
2026-04-30 08:03:28.439093,19.0
2026-04-30 08:03:29.139473,18.0
2026-04-30 08:03:29.741811,19.0
2026-04-30 08:03:30.339875,20.0
2026-04-30 08:03:30.939139,20.0
2026-04-30 08:03:31.539825,22.0
2026-04-30 08:03:32.139271,24.0
2026-04-30 08:03:32.839568,25.0
2026-04-30 08:03:33.441819,25.0
2026-04-30 08:03:34.039042,26.0
2026-04-30 08:03:34.638981,26.0
2026-04-30 08:03:35.238983,26.0
2026-04-30 08:03:35.839884,25.0
2026-04-30 08:03:36.539041,26.0
2026-04-30 08:03:37.139014,26.0
2026-04-30 08:03:37.739123,27.0
2026-04-30 08:03:38.339570,26.0
2026-04-30 08:03:38.939303,25.0
2026-04-30 08:03:39.640979,26.0
2026-04-30 08:03:40.239074,26.0
2026-04-30 08:03:40.839421,27.0
2026-04-30 08:03:41.439986,26.0
2026-04-30 08:03:42.039033,27.0
2026-04-30 08:03:42.639534,27.0
2026-04-30 08:03:43.338982,27.0
2026-04-30 08:03:43.939664,27.0
2026-04-30 08:03:44.539034,27.0
2026-04-30 08:03:45.239457,26.0
2026-04-30 08:03:45.838979,25.0
2026-04-30 08:03:46.539300,24.0
2026-04-30 08:03:47.139951,23.0
2026-04-30 08:03:47.739042,22.0
2026-04-30 08:03:48.338985,21.0
2026-04-30 08:03:48.939118,19.0
2026-04-30 08:03:49.540029,19.0
2026-04-30 08:03:50.240137,18.0
2026-04-30 08:03:50.840670,14.0
2026-04-30 08:03:51.439787,14.0
2026-04-30 08:03:52.040123,15.0
2026-04-30 08:03:52.639196,12.0
2026-04-30 08:03:53.239281,9.0
2026-04-30 08:03:53.939344,10.0
2026-04-30 08:03:54.539108,9.0
2026-04-30 08:03:55.139014,10.0
2026-04-30 08:03:55.738947,11.0
2026-04-30 08:03:56.339027,12.0
2026-04-30 08:03:56.939258,12.0
2026-04-30 08:03:57.639045,14.0
2026-04-30 08:03:58.239354,15.0
2026-04-30 08:03:58.839103,16.0
2026-04-30 08:03:59.438992,16.0
2026-04-30 08:04:00.039019,17.0
2026-04-30 08:04:00.639511,16.0
2026-04-30 08:04:01.339211,16.0
2026-04-30 08:04:01.939156,15.0
2026-04-30 08:04:02.539306,15.0
2026-04-30 08:04:03.139115,16.0
2026-04-30 08:04:03.738990,17.0
2026-04-30 08:04:04.439715,18.0
2026-04-30 08:04:05.038979,21.0
2026-04-30 08:04:05.639081,21.0
2026-04-30 08:04:06.239056,22.0
2026-04-30 08:04:06.839046,22.0
2026-04-30 08:04:07.439006,22.0
2026-04-30 08:04:08.138957,23.0
2026-04-30 08:04:08.739131,21.0
2026-04-30 08:04:09.338928,20.0
2026-04-30 08:04:09.939163,18.0
2026-04-30 08:04:10.539033,17.0
2026-04-30 08:04:11.139329,17.0
2026-04-30 08:04:11.840354,13.0
2026-04-30 08:04:12.439692,10.0
2026-04-30 08:04:12.739502,9.0
2026-04-30 08:04:14.239368,9.125
2026-04-30 08:04:15.039348,9.25
2026-04-30 08:04:15.640006,9.375
2026-04-30 08:04:16.239155,9.5
2026-04-30 08:04:16.839745,9.625
2026-04-30 08:04:17.438898,9.75
2026-04-30 08:04:18.039114,9.875
2026-04-30 08:04:18.738949,10.0
2026-04-30 08:04:19.339395,12.0
2026-04-30 08:04:19.939058,13.0
2026-04-30 08:04:20.538905,16.0
2026-04-30 08:04:21.138900,15.0
2026-04-30 08:04:21.739015,15.0
2026-04-30 08:04:22.439327,15.0
2026-04-30 08:04:23.039321,16.0
2026-04-30 08:04:23.639151,15.0
2026-04-30 08:04:24.239320,13.0
2026-04-30 08:04:24.839094,10.0
2026-04-30 08:04:25.639044,8.0
2026-04-30 08:04:26.239602,8.0
2026-04-30 08:04:26.839082,8.0
2026-04-30 08:04:27.439123,8.0
2026-04-30 08:04:28.039082,8.0
2026-04-30 08:04:28.642738,8.0
