log_time,heart_rate
2026-04-30 08:02:51.239931,102.0
2026-04-30 08:02:51.938936,103.0
2026-04-30 08:02:52.539055,104.0
2026-04-30 08:02:53.139168,104.0
2026-04-30 08:02:53.739012,105.0
2026-04-30 08:02:54.339149,104.0
2026-04-30 08:02:55.039653,105.0
2026-04-30 08:02:55.640975,104.71428571428571
2026-04-30 08:02:56.239184,104.42857142857143
2026-04-30 08:02:56.839106,104.14285714285714
2026-04-30 08:02:57.439180,103.85714285714286
2026-04-30 08:02:58.139027,103.57142857142857
2026-04-30 08:02:58.739833,103.28571428571429
2026-04-30 08:02:59.339227,103.0
2026-04-30 08:02:59.939134,104.0
2026-04-30 08:03:00.539090,105.0
2026-04-30 08:03:01.239252,106.0
2026-04-30 08:03:01.839210,106.0
2026-04-30 08:03:02.439224,105.0
2026-04-30 08:03:03.039009,102.0
2026-04-30 08:03:03.641694,98.0
2026-04-30 08:03:04.239527,94.0
2026-04-30 08:03:05.039380,90.0
2026-04-30 08:03:05.639163,90.0
2026-04-30 08:03:06.239442,91.0
2026-04-30 08:03:06.839360,94.0
2026-04-30 08:03:07.439213,96.0
2026-04-30 08:03:08.039330,98.0
2026-04-30 08:03:08.739176,100.0
2026-04-30 08:03:09.339284,102.0
2026-04-30 08:03:09.939457,104.0
2026-04-30 08:03:10.539053,105.0
2026-04-30 08:03:11.140079,107.0
2026-04-30 08:03:11.839741,109.0
2026-04-30 08:03:12.439321,110.0
2026-04-30 08:03:13.040333,111.0
2026-04-30 08:03:13.642419,112.0
2026-04-30 08:03:14.240392,111.0
2026-04-30 08:03:14.840620,109.0
2026-04-30 08:03:15.539333,107.0
2026-04-30 08:03:16.139331,105.0
2026-04-30 08:03:16.740889,104.0
2026-04-30 08:03:17.339002,104.0
2026-04-30 08:03:17.939607,105.0
2026-04-30 08:03:18.539093,106.0
2026-04-30 08:03:19.239549,108.0
2026-04-30 08:03:19.839163,108.0
2026-04-30 08:03:20.439088,109.0
2026-04-30 08:03:21.039646,109.0
2026-04-30 08:03:21.639539,109.0
2026-04-30 08:03:22.339270,109.0
2026-04-30 08:03:22.939013,109.0
2026-04-30 08:03:23.539097,110.0
2026-04-30 08:03:24.138978,109.0
2026-04-30 08:03:24.738982,108.0
2026-04-30 08:03:25.339991,106.0
2026-04-30 08:03:26.039865,103.0
2026-04-30 08:03:26.639320,101.0
2026-04-30 08:03:27.239088,98.0
2026-04-30 08:03:27.839023,97.0
2026-04-30 08:03:28.439093,97.0
2026-04-30 08:03:29.139473,97.0
2026-04-30 08:03:29.741811,96.0
2026-04-30 08:03:30.339875,94.0
2026-04-30 08:03:30.939139,92.0
2026-04-30 08:03:31.539825,90.0
2026-04-30 08:03:32.139271,88.0
2026-04-30 08:03:32.839568,86.0
2026-04-30 08:03:33.441819,84.0
2026-04-30 08:03:34.039042,83.0
2026-04-30 08:03:34.638981,84.0
2026-04-30 08:03:35.238983,83.0
2026-04-30 08:03:35.839884,81.0
2026-04-30 08:03:36.539041,80.0
2026-04-30 08:03:37.139014,78.0
2026-04-30 08:03:37.739123,76.0
2026-04-30 08:03:38.339570,74.0
2026-04-30 08:03:38.939303,74.0
2026-04-30 08:03:39.640979,73.0
2026-04-30 08:03:40.239074,72.0
2026-04-30 08:03:40.839421,74.0
2026-04-30 08:03:41.439986,75.0
2026-04-30 08:03:42.039033,76.0
2026-04-30 08:03:42.639534,77.0
2026-04-30 08:03:43.338982,78.0
2026-04-30 08:03:43.939664,79.0
2026-04-30 08:03:44.539034,81.0
2026-04-30 08:03:45.239457,82.0
2026-04-30 08:03:45.838979,83.0
2026-04-30 08:03:46.539300,84.0
2026-04-30 08:03:47.139951,85.0
2026-04-30 08:03:47.739042,85.0
2026-04-30 08:03:48.338985,86.0
2026-04-30 08:03:48.939118,87.0
2026-04-30 08:03:49.540029,89.0
2026-04-30 08:03:50.240137,89.0
2026-04-30 08:03:50.840670,90.0
2026-04-30 08:03:51.439787,91.0
2026-04-30 08:03:52.040123,94.0
2026-04-30 08:03:52.639196,93.83333333333333
2026-04-30 08:03:53.239281,93.66666666666667
2026-04-30 08:03:53.939344,93.5
2026-04-30 08:03:54.539108,93.33333333333333
2026-04-30 08:03:55.139014,93.16666666666667
2026-04-30 08:03:55.738947,93.0
2026-04-30 08:03:56.339027,93.0
2026-04-30 08:03:56.939258,93.0
2026-04-30 08:03:57.639045,93.0
2026-04-30 08:03:58.239354,92.0
2026-04-30 08:03:58.839103,89.0
2026-04-30 08:03:59.438992,88.0
2026-04-30 08:04:00.039019,88.0
2026-04-30 08:04:00.639511,86.0
2026-04-30 08:04:01.339211,83.0
2026-04-30 08:04:01.939156,81.0
2026-04-30 08:04:02.539306,78.0
2026-04-30 08:04:03.139115,75.0
2026-04-30 08:04:03.738990,74.0
2026-04-30 08:04:04.439715,72.0
2026-04-30 08:04:05.038979,70.0
2026-04-30 08:04:05.639081,68.0
2026-04-30 08:04:06.239056,71.0
2026-04-30 08:04:06.839046,77.0
2026-04-30 08:04:07.439006,82.0
2026-04-30 08:04:08.138957,86.0
2026-04-30 08:04:08.739131,91.0
2026-04-30 08:04:09.338928,94.0
2026-04-30 08:04:09.939163,98.0
2026-04-30 08:04:10.539033,100.0
2026-04-30 08:04:11.139329,103.0
2026-04-30 08:04:11.840354,104.0
2026-04-30 08:04:12.439692,106.0
2026-04-30 08:04:12.739502,105.66666666666667
2026-04-30 08:04:14.239368,105.33333333333333
2026-04-30 08:04:15.039348,105.0
2026-04-30 08:04:15.640006,104.0
2026-04-30 08:04:16.239155,103.0
2026-04-30 08:04:16.839745,101.0
2026-04-30 08:04:17.438898,99.0
2026-04-30 08:04:18.039114,97.0
2026-04-30 08:04:18.738949,94.0
2026-04-30 08:04:19.339395,91.0
2026-04-30 08:04:19.939058,89.0
2026-04-30 08:04:20.538905,88.0
2026-04-30 08:04:21.138900,85.0
2026-04-30 08:04:21.739015,83.0
2026-04-30 08:04:22.439327,82.0
2026-04-30 08:04:23.039321,80.0
2026-04-30 08:04:23.639151,77.0
2026-04-30 08:04:24.239320,77.0
2026-04-30 08:04:24.839094,77.0
2026-04-30 08:04:25.639044,78.0
2026-04-30 08:04:26.239602,80.0
2026-04-30 08:04:26.839082,82.0
2026-04-30 08:04:27.439123,84.0
2026-04-30 08:04:28.039082,84.0
2026-04-30 08:04:28.642738,83.0
2026-04-30 08:04:29.339184,82.0
2026-04-30 08:04:29.941361,81.0
2026-04-30 08:04:30.542016,80.0
2026-04-30 08:04:31.138844,79.0
2026-04-30 08:04:31.739110,77.0
2026-04-30 08:04:32.339058,75.0
2026-04-30 08:04:33.039119,73.0
2026-04-30 08:04:33.639669,71.0
2026-04-30 08:04:34.239503,69.0
2026-04-30 08:04:34.838904,68.0
2026-04-30 08:04:35.439066,68.0
2026-04-30 08:04:36.039996,66.0
2026-04-30 08:04:36.738907,66.0
2026-04-30 08:04:37.339151,65.0
2026-04-30 08:04:37.939623,65.0
2026-04-30 08:04:38.540145,65.0
2026-04-30 08:04:39.139128,67.0
2026-04-30 08:04:39.738976,68.0
2026-04-30 08:04:40.439153,69.0
2026-04-30 08:04:41.038904,71.0
2026-04-30 08:04:41.638926,72.0
2026-04-30 08:04:42.238873,72.0
2026-04-30 08:04:42.839246,72.0
2026-04-30 08:04:43.439109,74.0
2026-04-30 08:04:44.139078,73.0
2026-04-30 08:04:44.738849,74.0
2026-04-30 08:04:45.339037,74.0
2026-04-30 08:04:45.938873,76.0
2026-04-30 08:04:46.539094,79.0
2026-04-30 08:04:47.239032,80.0
2026-04-30 08:04:47.838864,80.0
2026-04-30 08:04:48.439191,81.0
2026-04-30 08:04:49.040594,81.0
2026-04-30 08:04:49.641077,80.0
2026-04-30 08:04:50.339231,80.0
2026-04-30 08:04:50.939481,81.0
2026-04-30 08:04:51.539460,81.0
2026-04-30 08:04:52.140022,80.0
2026-04-30 08:04:52.741648,79.0
2026-04-30 08:04:53.340145,77.0
2026-04-30 08:04:54.038903,76.0
2026-04-30 08:04:54.638925,76.0
2026-04-30 08:04:55.240341,76.0
2026-04-30 08:04:55.839475,75.0
2026-04-30 08:04:56.438987,74.0
2026-04-30 08:04:57.039246,74.0
2026-04-30 08:04:57.738885,74.0
2026-04-30 08:04:58.340141,74.0
2026-04-30 08:04:58.938974,75.0
2026-04-30 08:04:59.538878,77.0
2026-04-30 08:05:00.238858,80.0
2026-04-30 08:05:00.839023,83.0
2026-04-30 08:05:01.438864,86.0
2026-04-30 08:05:02.038965,87.0
2026-04-30 08:05:02.639015,90.0
2026-04-30 08:05:03.339006,92.0
2026-04-30 08:05:03.938955,93.0
2026-04-30 08:05:04.538878,95.0
2026-04-30 08:05:05.138975,95.0
2026-04-30 08:05:05.839017,96.0
2026-04-30 08:05:06.538959,96.0
2026-04-30 08:05:07.139086,96.0
2026-04-30 08:05:07.738994,96.0
2026-04-30 08:05:08.339642,97.0
2026-04-30 08:05:08.938878,98.0
2026-04-30 08:05:09.638929,99.0
2026-04-30 08:05:10.238904,98.0
2026-04-30 08:05:10.839066,98.0
2026-04-30 08:05:11.439058,98.0
2026-04-30 08:05:12.039037,99.0
2026-04-30 08:05:12.739250,100.0
2026-04-30 08:05:13.339634,100.0
2026-04-30 08:05:13.939202,98.0
2026-04-30 08:05:14.539078,98.0
2026-04-30 08:05:15.139039,99.0
2026-04-30 08:05:15.739049,99.0
2026-04-30 08:05:16.438896,97.0
2026-04-30 08:05:17.039573,96.0
2026-04-30 08:05:17.638959,93.0
2026-04-30 08:05:18.238983,91.0
2026-04-30 08:05:18.838856,89.0
2026-04-30 08:05:19.538866,86.0
2026-04-30 08:05:20.138905,84.0
2026-04-30 08:05:20.738870,81.0
2026-04-30 08:05:21.338884,80.0
2026-04-30 08:05:21.938851,82.0
2026-04-30 08:05:22.638950,83.0
2026-04-30 08:05:23.238851,84.0
2026-04-30 08:05:23.838853,85.0
2026-04-30 08:05:24.438936,86.0
2026-04-30 08:05:25.038874,87.0
2026-04-30 08:05:25.738845,88.0
2026-04-30 08:05:26.338836,89.0
2026-04-30 08:05:26.938921,90.0
2026-04-30 08:05:27.538910,90.25
2026-04-30 08:05:28.138908,90.5
2026-04-30 08:05:28.838856,90.75
2026-04-30 08:05:29.438896,91.0
2026-04-30 08:05:30.038875,91.25
2026-04-30 08:05:30.638923,91.5
2026-04-30 08:05:31.238990,91.75
2026-04-30 08:05:31.839000,92.0
2026-04-30 08:05:32.538962,93.0
2026-04-30 08:05:33.138991,93.0
2026-04-30 08:05:33.738851,94.0
2026-04-30 08:05:34.338982,94.0
2026-04-30 08:05:34.938845,94.0
2026-04-30 08:05:35.538887,95.0
2026-04-30 08:05:36.138901,95.14285714285714
2026-04-30 08:05:36.838853,95.28571428571429
2026-04-30 08:05:37.438868,95.42857142857143
2026-04-30 08:05:38.038872,95.57142857142857
2026-04-30 08:05:38.638887,95.71428571428571
2026-04-30 08:05:39.238975,95.85714285714286
2026-04-30 08:05:39.839053,96.0
2026-04-30 08:05:40.538924,98.0
2026-04-30 08:05:41.138928,97.0
2026-04-30 08:05:41.738867,97.0
2026-04-30 08:05:42.338918,96.0
2026-04-30 08:05:42.938935,93.0
2026-04-30 08:05:43.538928,93.0
2026-04-30 08:05:44.238864,92.0
2026-04-30 08:05:44.838850,93.0
2026-04-30 08:05:45.538903,93.0
2026-04-30 08:05:46.138901,93.0
2026-04-30 08:05:46.738910,92.0
2026-04-30 08:05:47.338901,92.0
2026-04-30 08:05:48.038845,92.0
2026-04-30 08:05:48.638890,91.0
2026-04-30 08:05:49.238968,91.0
2026-04-30 08:05:49.838837,91.0
2026-04-30 08:05:50.438835,91.0
2026-04-30 08:05:51.038906,93.0
2026-04-30 08:05:51.638837,96.0
2026-04-30 08:05:52.338878,97.0
2026-04-30 08:05:52.938835,96.0
2026-04-30 08:05:53.539055,96.0
2026-04-30 08:05:54.138917,98.0
2026-04-30 08:05:54.738844,99.0
2026-04-30 08:05:55.339034,98.0
2026-04-30 08:05:55.938942,98.0
2026-04-30 08:05:56.538853,98.0
2026-04-30 08:05:57.138873,100.0
2026-04-30 08:05:57.738955,100.0
2026-04-30 08:05:58.338946,99.0
2026-04-30 08:05:58.938950,100.0
2026-04-30 08:05:59.538979,101.0
2026-04-30 08:06:00.138891,100.0
2026-04-30 08:06:00.738842,100.0
2026-04-30 08:06:01.338831,101.0
2026-04-30 08:06:01.938926,102.0
2026-04-30 08:06:02.638840,103.0
2026-04-30 08:06:03.238890,105.0
2026-04-30 08:06:03.839005,107.0
