log_time,breath_rate
2026-04-30 22:42:40.921018,17.0
2026-04-30 22:42:41.521319,16.0
2026-04-30 22:42:42.121074,13.0
2026-04-30 22:42:42.821938,11.0
2026-04-30 22:42:43.421280,8.0
2026-04-30 22:42:44.021136,8.4
2026-04-30 22:42:44.621022,8.8
2026-04-30 22:42:45.221718,9.2
2026-04-30 22:42:45.921483,9.6
2026-04-30 22:42:46.521817,10.0
2026-04-30 22:42:47.122085,12.0
2026-04-30 22:42:47.722010,14.0
2026-04-30 22:42:48.322108,14.0
2026-04-30 22:42:48.921413,11.0
2026-04-30 22:42:49.621157,11.0
2026-04-30 22:42:50.221559,13.0
2026-04-30 22:42:50.821044,12.0
2026-04-30 22:42:51.423737,9.0
2026-04-30 22:42:52.021067,9.057142857142857
2026-04-30 22:42:52.621072,9.114285714285714
2026-04-30 22:42:53.321204,9.17142857142857
2026-04-30 22:42:53.921157,9.228571428571428
2026-04-30 22:42:54.522669,9.285714285714286
2026-04-30 22:42:55.121049,9.342857142857143
2026-04-30 22:42:55.720937,9.4
2026-04-30 22:42:56.321062,9.457142857142857
2026-04-30 22:42:56.921091,9.514285714285714
2026-04-30 22:42:57.621386,9.571428571428571
2026-04-30 22:42:58.221177,
2026-04-30 22:42:58.821073,
2026-04-30 22:42:59.421122,
2026-04-30 22:43:00.021089,
2026-04-30 22:43:00.620978,
2026-04-30 22:43:02.221210,
2026-04-30 22:43:03.720931,
2026-04-30 22:43:05.221500,
2026-04-30 22:43:06.021303,
2026-04-30 22:43:06.622137,
2026-04-30 22:43:07.321092,
2026-04-30 22:43:07.921055,
2026-04-30 22:43:08.521026,
2026-04-30 22:43:09.121016,
2026-04-30 22:43:09.721023,10.428571428571429
2026-04-30 22:43:10.321479,10.485714285714286
2026-04-30 22:43:10.921842,10.542857142857143
2026-04-30 22:43:11.621053,10.6
2026-04-30 22:43:12.221121,10.657142857142857
2026-04-30 22:43:12.821446,10.714285714285714
2026-04-30 22:43:13.421007,10.771428571428572
2026-04-30 22:43:14.020959,10.82857142857143
2026-04-30 22:43:14.721242,10.885714285714286
2026-04-30 22:43:15.320948,10.942857142857143
2026-04-30 22:43:15.921089,11.0
2026-04-30 22:43:16.521080,14.0
2026-04-30 22:43:17.120986,15.0
2026-04-30 22:43:17.721021,16.0
2026-04-30 22:43:18.421081,18.0
2026-04-30 22:43:19.021523,19.0
2026-04-30 22:43:19.621152,20.0
2026-04-30 22:43:20.220905,22.0
2026-04-30 22:43:20.821116,23.0
2026-04-30 22:43:21.521059,23.0
2026-04-30 22:43:22.120941,23.0
2026-04-30 22:43:22.721163,22.0
2026-04-30 22:43:23.321144,23.0
2026-04-30 22:43:23.922289,23.0
2026-04-30 22:43:24.622223,23.0
2026-04-30 22:43:25.221791,24.0
2026-04-30 22:43:25.821072,25.0
2026-04-30 22:43:26.422142,24.0
2026-04-30 22:43:27.122380,19.0
2026-04-30 22:43:27.721976,16.0
2026-04-30 22:43:28.321217,12.0
2026-04-30 22:43:28.922199,10.0
2026-04-30 22:43:29.521132,9.8
2026-04-30 22:43:30.121194,9.6
2026-04-30 22:43:30.821117,9.4
2026-04-30 22:43:31.420987,9.2
2026-04-30 22:43:32.021552,9.0
2026-04-30 22:43:32.621086,8.8
2026-04-30 22:43:33.221088,8.6
2026-04-30 22:43:33.821204,8.4
2026-04-30 22:43:34.521137,8.2
2026-04-30 22:43:35.121084,8.0
2026-04-30 22:43:35.723547,9.0
2026-04-30 22:43:36.321227,11.0
2026-04-30 22:43:36.921236,13.0
2026-04-30 22:43:37.521124,15.0
2026-04-30 22:43:38.221067,14.0
2026-04-30 22:43:38.821789,11.0
2026-04-30 22:43:39.420977,9.0
2026-04-30 22:43:40.022022,11.0
2026-04-30 22:43:40.621237,11.0
2026-04-30 22:43:41.321472,9.0
2026-04-30 22:43:41.922428,9.0
2026-04-30 22:43:42.620918,9.0
2026-04-30 22:43:43.221245,9.0
2026-04-30 22:43:43.820895,9.0
2026-04-30 22:43:44.421016,9.0
2026-04-30 22:43:45.121380,11.0
2026-04-30 22:43:45.723318,14.0
2026-04-30 22:43:46.321741,11.0
2026-04-30 22:43:46.923452,8.0
2026-04-30 22:43:47.522085,8.0625
2026-04-30 22:43:48.122300,8.125
2026-04-30 22:43:48.821114,8.1875
2026-04-30 22:43:49.420892,8.25
2026-04-30 22:43:50.021409,8.3125
2026-04-30 22:43:50.620938,8.375
2026-04-30 22:43:51.221330,8.4375
2026-04-30 22:43:51.921801,8.5
2026-04-30 22:43:52.521349,8.5625
2026-04-30 22:43:53.121254,8.625
2026-04-30 22:43:53.721066,8.6875
2026-04-30 22:43:54.321131,8.75
2026-04-30 22:43:54.920869,8.8125
2026-04-30 22:43:55.620963,8.875
2026-04-30 22:43:56.221568,8.9375
2026-04-30 22:43:56.821054,9.0
2026-04-30 22:43:57.420912,12.0
2026-04-30 22:43:58.020916,10.0
2026-04-30 22:43:58.620956,9.0
2026-04-30 22:43:59.321989,8.0
2026-04-30 22:43:59.920924,9.0
2026-04-30 22:44:00.523479,9.0
2026-04-30 22:44:01.120891,9.0
2026-04-30 22:44:01.720891,9.0
2026-04-30 22:44:02.320989,9.0
2026-04-30 22:44:03.022046,9.0
2026-04-30 22:44:03.621237,9.0
2026-04-30 22:44:04.224601,9.0
2026-04-30 22:44:04.820939,9.0
2026-04-30 22:44:05.422397,9.0
2026-04-30 22:44:06.021773,9.0
2026-04-30 22:44:06.721123,9.0
2026-04-30 22:44:07.321263,9.0
2026-04-30 22:44:07.922531,12.0
2026-04-30 22:44:08.520933,14.0
2026-04-30 22:44:09.121214,16.0
2026-04-30 22:44:09.721059,19.0
2026-04-30 22:44:10.423576,18.0
2026-04-30 22:44:11.021106,19.0
2026-04-30 22:44:11.621466,18.0
2026-04-30 22:44:12.221074,18.0
2026-04-30 22:44:12.821021,18.0
2026-04-30 22:44:13.421459,17.0
2026-04-30 22:44:14.121670,16.0
2026-04-30 22:44:14.721024,16.0
2026-04-30 22:44:15.321131,15.0
2026-04-30 22:44:15.921194,15.0
2026-04-30 22:44:16.525659,12.0
2026-04-30 22:44:17.220999,9.0
2026-04-30 22:44:17.820964,8.5
2026-04-30 22:44:18.420888,8.0
2026-04-30 22:44:19.021165,8.0
2026-04-30 22:44:19.620923,9.0
2026-04-30 22:44:20.221817,10.0
2026-04-30 22:44:20.821048,11.0
2026-04-30 22:44:21.521097,13.0
2026-04-30 22:44:22.220900,12.0
2026-04-30 22:44:22.824788,10.0
2026-04-30 22:44:23.421262,13.0
2026-04-30 22:44:24.021422,13.0
2026-04-30 22:44:24.720918,13.0
2026-04-30 22:44:25.322726,14.0
2026-04-30 22:44:25.921931,15.0
2026-04-30 22:44:26.521348,16.0
2026-04-30 22:44:27.120924,17.0
2026-04-30 22:44:27.724844,17.0
2026-04-30 22:44:28.421200,18.0
2026-04-30 22:44:29.021211,18.0
2026-04-30 22:44:29.622392,18.0
2026-04-30 22:44:30.220938,18.0
2026-04-30 22:44:30.821658,19.0
2026-04-30 22:44:31.521849,21.0
2026-04-30 22:44:32.120950,20.0
2026-04-30 22:44:32.724477,19.0
2026-04-30 22:44:33.321114,21.0
2026-04-30 22:44:33.921152,22.0
2026-04-30 22:44:34.521075,25.0
2026-04-30 22:44:35.221173,24.0
2026-04-30 22:44:35.821009,25.0
2026-04-30 22:44:36.421004,25.0
2026-04-30 22:44:37.020926,22.0
2026-04-30 22:44:37.620994,21.0
2026-04-30 22:44:38.221298,22.0
2026-04-30 22:44:38.924316,22.0
2026-04-30 22:44:39.520925,21.0
2026-04-30 22:44:40.120934,17.0
2026-04-30 22:44:40.721190,19.0
2026-04-30 22:44:41.321058,20.0
2026-04-30 22:44:41.921179,17.0
2026-04-30 22:44:42.621053,13.0
2026-04-30 22:44:43.221174,13.0
2026-04-30 22:44:43.822201,13.0
2026-04-30 22:44:44.422508,14.0
2026-04-30 22:44:45.020899,15.0
2026-04-30 22:44:45.622026,16.0
2026-04-30 22:44:46.321975,16.0
2026-04-30 22:44:46.922596,16.0
2026-04-30 22:44:47.522771,15.0
2026-04-30 22:44:48.121442,15.0
2026-04-30 22:44:48.722173,16.0
2026-04-30 22:44:49.421100,18.0
2026-04-30 22:44:50.020930,19.0
2026-04-30 22:44:50.620956,20.0
2026-04-30 22:44:51.221056,15.0
2026-04-30 22:44:51.821135,12.0
2026-04-30 22:44:52.421132,9.0
2026-04-30 22:44:53.122050,9.0
2026-04-30 22:44:53.721390,9.0
2026-04-30 22:44:54.321166,9.0
2026-04-30 22:44:54.921061,9.0
2026-04-30 22:44:55.520923,9.0
2026-04-30 22:44:56.220896,9.0
2026-04-30 22:44:56.820908,9.0
2026-04-30 22:44:57.420929,10.0
2026-04-30 22:44:58.021638,8.0
2026-04-30 22:44:58.620910,8.333333333333334
2026-04-30 22:44:59.221084,8.666666666666666
2026-04-30 22:44:59.922540,9.0
2026-04-30 22:45:00.520964,11.0
2026-04-30 22:45:01.121091,8.0
2026-04-30 22:45:01.721140,8.0
2026-04-30 22:45:02.420950,8.0
2026-04-30 22:45:03.121104,8.0
2026-04-30 22:45:03.720955,8.0
2026-04-30 22:45:04.322591,8.0
2026-04-30 22:45:04.922425,8.0
2026-04-30 22:45:05.521418,8.0
2026-04-30 22:45:06.222043,8.0
2026-04-30 22:45:06.822168,8.0
2026-04-30 22:45:07.421962,8.0
2026-04-30 22:45:08.024484,8.0
2026-04-30 22:45:08.620921,8.0
2026-04-30 22:45:09.221049,8.0
2026-04-30 22:45:09.921094,8.0
2026-04-30 22:45:10.522025,8.0
2026-04-30 22:45:11.122620,8.0
2026-04-30 22:45:11.721452,9.0
2026-04-30 22:45:12.321255,10.0
2026-04-30 22:45:13.021151,11.0
2026-04-30 22:45:13.620971,12.0
2026-04-30 22:45:14.221121,10.0
2026-04-30 22:45:14.823085,8.0
2026-04-30 22:45:15.420886,8.0
2026-04-30 22:45:16.020920,8.0
2026-04-30 22:45:16.721012,9.0
2026-04-30 22:45:17.320920,10.0
2026-04-30 22:45:17.920923,9.5
2026-04-30 22:45:18.521788,9.0
2026-04-30 22:45:19.123488,11.0
2026-04-30 22:45:19.722135,13.0
2026-04-30 22:45:20.422442,13.0
2026-04-30 22:45:21.021147,13.0
2026-04-30 22:45:21.621028,14.0
2026-04-30 22:45:22.221086,15.0
2026-04-30 22:45:22.822121,16.0
2026-04-30 22:45:23.421028,16.0
2026-04-30 22:45:24.121003,13.0
2026-04-30 22:45:24.722347,11.0
2026-04-30 22:45:25.321084,12.0
2026-04-30 22:45:25.920943,12.0
2026-04-30 22:45:26.520942,13.0
2026-04-30 22:45:27.121245,14.0
2026-04-30 22:45:27.822703,15.0
2026-04-30 22:45:28.424868,15.0
2026-04-30 22:45:29.021425,13.0
2026-04-30 22:45:29.620945,13.0
2026-04-30 22:45:30.222979,13.0
2026-04-30 22:45:30.823630,13.0
2026-04-30 22:45:31.520968,14.0
2026-04-30 22:45:32.121060,15.0
2026-04-30 22:45:32.721629,14.0
2026-04-30 22:45:33.321019,10.0
2026-04-30 22:45:33.921450,8.0
2026-04-30 22:45:34.521088,8.2
2026-04-30 22:45:35.121048,8.4
2026-04-30 22:45:35.820985,8.6
2026-04-30 22:45:36.420968,8.8
2026-04-30 22:45:37.021883,9.0
2026-04-30 22:45:37.621047,10.0
2026-04-30 22:45:38.221079,13.0
2026-04-30 22:45:38.920969,16.0
2026-04-30 22:45:39.521188,18.0
2026-04-30 22:45:40.120932,20.0
2026-04-30 22:45:40.721095,21.0
2026-04-30 22:45:41.320992,21.0
2026-04-30 22:45:41.921009,22.0
2026-04-30 22:45:42.720934,22.0
2026-04-30 22:45:43.321176,20.0
2026-04-30 22:45:43.921264,20.0
2026-04-30 22:45:44.520937,20.0
2026-04-30 22:45:45.122801,19.0
2026-04-30 22:45:45.821352,19.0
2026-04-30 22:45:46.421120,19.0
2026-04-30 22:45:47.021684,19.0
2026-04-30 22:45:47.621045,19.0
2026-04-30 22:45:48.221201,20.0
2026-04-30 22:45:48.922193,21.0
2026-04-30 22:45:49.521791,21.0
2026-04-30 22:45:50.120922,22.0
2026-04-30 22:45:50.722028,23.0
2026-04-30 22:45:51.321101,23.0
2026-04-30 22:45:51.921777,24.0
2026-04-30 22:45:52.521222,25.0
2026-04-30 22:45:53.221251,26.0
2026-04-30 22:45:53.821018,23.0
2026-04-30 22:45:54.421133,24.0
2026-04-30 22:45:55.021164,24.0
2026-04-30 22:45:55.620998,21.0
2026-04-30 22:45:56.221956,22.0
2026-04-30 22:45:56.921149,22.0
2026-04-30 22:45:57.522221,23.0
2026-04-30 22:45:58.123914,22.90909090909091
2026-04-30 22:45:58.721508,22.818181818181817
2026-04-30 22:45:59.323447,22.727272727272727
2026-04-30 22:46:00.021975,22.636363636363637
2026-04-30 22:46:00.620949,22.545454545454547
2026-04-30 22:46:01.220974,22.454545454545453
2026-04-30 22:46:01.821400,22.363636363636363
2026-04-30 22:46:02.421010,22.272727272727273
2026-04-30 22:46:03.021161,22.181818181818183
2026-04-30 22:46:03.720928,22.09090909090909
2026-04-30 22:46:04.321187,22.0
2026-04-30 22:46:04.922044,19.0
2026-04-30 22:46:05.521128,19.0
2026-04-30 22:46:06.121284,19.0
2026-04-30 22:46:06.821203,21.0
2026-04-30 22:46:07.421715,18.0
2026-04-30 22:46:08.022943,18.0
2026-04-30 22:46:08.622434,16.0
2026-04-30 22:46:09.222005,12.0
2026-04-30 22:46:09.821471,15.0
2026-04-30 22:46:10.524368,17.0
2026-04-30 22:46:11.120962,20.0
2026-04-30 22:46:11.720951,19.0
2026-04-30 22:46:12.321214,15.0
2026-04-30 22:46:12.923494,12.0
2026-04-30 22:46:13.621119,9.0
2026-04-30 22:46:14.220919,9.0
2026-04-30 22:46:14.820967,9.0
2026-04-30 22:46:15.421202,9.0
2026-04-30 22:46:16.021103,9.0
2026-04-30 22:46:16.720964,9.0
2026-04-30 22:46:17.321195,9.0
2026-04-30 22:46:17.921135,9.0
2026-04-30 22:46:18.524711,9.0
2026-04-30 22:46:19.120962,9.0
2026-04-30 22:46:19.722072,9.0
2026-04-30 22:46:20.421160,
2026-04-30 22:46:21.020950,
2026-04-30 22:46:21.622230,
2026-04-30 22:46:22.221170,
2026-04-30 22:46:22.920928,
2026-04-30 22:46:23.621044,
2026-04-30 22:46:24.220959,
2026-04-30 22:46:24.821029,9.0
2026-04-30 22:46:25.422405,9.0
2026-04-30 22:46:26.021010,9.0
2026-04-30 22:46:26.621114,9.0
2026-04-30 22:46:27.221276,9.0
2026-04-30 22:46:27.922120,9.0
2026-04-30 22:46:28.522527,9.0
2026-04-30 22:46:29.121376,9.0
2026-04-30 22:46:29.721240,9.0
2026-04-30 22:46:30.323422,9.0
2026-04-30 22:46:30.921023,9.0
2026-04-30 22:46:31.622090,11.0
2026-04-30 22:46:32.221191,14.0
2026-04-30 22:46:32.821642,16.0
2026-04-30 22:46:33.421089,18.0
2026-04-30 22:46:34.121031,19.0
2026-04-30 22:46:34.720992,20.0
2026-04-30 22:46:35.321594,21.0
2026-04-30 22:46:35.921165,21.0
2026-04-30 22:46:36.521699,22.0
2026-04-30 22:46:37.221130,24.0
2026-04-30 22:46:37.821734,24.0
2026-04-30 22:46:38.421977,24.0
2026-04-30 22:46:39.023759,24.0
2026-04-30 22:46:39.624938,23.0
2026-04-30 22:46:40.221124,18.0
2026-04-30 22:46:40.921066,14.0
2026-04-30 22:46:41.520984,11.0
2026-04-30 22:46:42.121680,9.0
2026-04-30 22:46:42.722432,9.0
2026-04-30 22:46:43.320960,9.0
2026-04-30 22:46:44.022440,9.0
2026-04-30 22:46:44.621015,9.0
2026-04-30 22:46:45.223112,9.0
2026-04-30 22:46:45.821736,9.0
2026-04-30 22:46:46.421322,9.0
2026-04-30 22:46:47.021328,9.0
2026-04-30 22:46:47.720974,9.0
2026-04-30 22:46:48.321208,9.0
2026-04-30 22:46:48.921180,9.0
2026-04-30 22:46:49.520950,9.0
2026-04-30 22:46:50.121188,9.0
2026-04-30 22:46:50.821540,9.0
2026-04-30 22:46:51.421107,9.0
2026-04-30 22:46:52.021217,8.8
2026-04-30 22:46:52.621225,8.6
2026-04-30 22:46:53.221072,8.4
2026-04-30 22:46:53.921236,8.2
2026-04-30 22:46:54.520988,8.0
2026-04-30 22:46:55.121478,9.0
2026-04-30 22:46:55.720976,11.0
2026-04-30 22:46:56.321238,13.0
2026-04-30 22:46:56.922018,15.0
2026-04-30 22:46:57.523757,17.0
2026-04-30 22:46:58.220962,19.0
2026-04-30 22:46:58.821318,19.0
2026-04-30 22:46:59.421108,17.0
2026-04-30 22:47:00.021078,19.0
2026-04-30 22:47:00.621152,21.0
2026-04-30 22:47:01.320954,23.0
2026-04-30 22:47:01.921000,25.0
2026-04-30 22:47:02.624467,25.0
2026-04-30 22:47:03.221440,24.0
2026-04-30 22:47:03.821287,22.0
2026-04-30 22:47:04.420989,20.0
2026-04-30 22:47:05.120957,16.0
2026-04-30 22:47:05.720903,13.0
2026-04-30 22:47:06.321201,15.0
2026-04-30 22:47:06.921202,12.0
2026-04-30 22:47:07.521779,9.0
2026-04-30 22:47:08.122771,8.666666666666666
2026-04-30 22:47:08.823111,8.333333333333334
2026-04-30 22:47:09.421455,8.0
2026-04-30 22:47:10.020965,9.0
2026-04-30 22:47:10.621616,10.0
2026-04-30 22:47:11.220969,12.0
2026-04-30 22:47:11.920972,14.0
2026-04-30 22:47:12.520939,15.0
2026-04-30 22:47:13.121266,15.0
2026-04-30 22:47:13.722839,15.0
2026-04-30 22:47:14.321597,15.0
2026-04-30 22:47:14.921481,14.0
2026-04-30 22:47:15.621811,14.0
2026-04-30 22:47:16.220983,15.0
2026-04-30 22:47:16.821147,15.0
2026-04-30 22:47:17.420974,11.0
2026-04-30 22:47:18.121217,9.0
2026-04-30 22:47:18.721437,8.96875
2026-04-30 22:47:19.321199,8.9375
2026-04-30 22:47:19.920962,8.90625
2026-04-30 22:47:20.520951,8.875
2026-04-30 22:47:21.120942,8.84375
2026-04-30 22:47:21.824564,8.8125
2026-04-30 22:47:22.420930,8.78125
2026-04-30 22:47:23.021882,8.75
2026-04-30 22:47:23.620954,8.71875
2026-04-30 22:47:24.221519,8.6875
2026-04-30 22:47:24.921128,
2026-04-30 22:47:25.521132,
2026-04-30 22:47:26.121821,
2026-04-30 22:47:26.724068,
2026-04-30 22:47:27.323937,
2026-04-30 22:47:27.921434,
2026-04-30 22:47:28.621057,
2026-04-30 22:47:29.221574,
2026-04-30 22:47:29.822191,
2026-04-30 22:47:30.421368,
2026-04-30 22:47:31.021981,
2026-04-30 22:47:31.721749,8.3125
2026-04-30 22:47:32.322225,8.28125
2026-04-30 22:47:32.921152,8.25
2026-04-30 22:47:33.521409,8.21875
2026-04-30 22:47:34.121017,8.1875
2026-04-30 22:47:34.721543,8.15625
2026-04-30 22:47:35.421438,8.125
2026-04-30 22:47:36.021561,8.09375
2026-04-30 22:47:36.621019,8.0625
2026-04-30 22:47:37.221230,8.03125
2026-04-30 22:47:37.822699,8.0
2026-04-30 22:47:38.521016,8.066666666666666
2026-04-30 22:47:39.121084,8.133333333333333
2026-04-30 22:47:39.721011,8.2
2026-04-30 22:47:40.321258,8.266666666666667
2026-04-30 22:47:40.920966,8.333333333333334
2026-04-30 22:47:41.523475,8.4
2026-04-30 22:47:42.221296,8.466666666666667
2026-04-30 22:47:42.921029,8.533333333333333
2026-04-30 22:47:43.520952,8.6
2026-04-30 22:47:44.121684,8.666666666666666
2026-04-30 22:47:44.721027,8.733333333333333
2026-04-30 22:47:45.321746,8.8
2026-04-30 22:47:46.020973,8.866666666666667
2026-04-30 22:47:46.622426,8.933333333333334
2026-04-30 22:47:47.221580,9.0
2026-04-30 22:47:47.821137,13.0
2026-04-30 22:47:48.422390,15.0
2026-04-30 22:47:49.121969,17.0
2026-04-30 22:47:49.721619,18.0
2026-04-30 22:47:50.322454,19.0
2026-04-30 22:47:50.921557,20.0
2026-04-30 22:47:51.520949,21.0
2026-04-30 22:47:52.222187,22.0
2026-04-30 22:47:52.820956,22.0
2026-04-30 22:47:53.421015,22.0
2026-04-30 22:47:54.023469,23.0
2026-04-30 22:47:54.721172,24.0
2026-04-30 22:47:55.321002,23.0
2026-04-30 22:47:55.922831,23.0
2026-04-30 22:47:56.520987,23.0
2026-04-30 22:47:57.121008,22.0
2026-04-30 22:47:57.720959,17.0
2026-04-30 22:47:58.422039,13.0
2026-04-30 22:47:59.027466,10.0
2026-04-30 22:47:59.620977,8.0
2026-04-30 22:48:00.221004,8.0
2026-04-30 22:48:00.821184,8.0
2026-04-30 22:48:01.521750,8.0
2026-04-30 22:48:02.121004,8.0
2026-04-30 22:48:02.721011,8.0
2026-04-30 22:48:03.320985,8.0
2026-04-30 22:48:03.921836,8.0
2026-04-30 22:48:04.521405,8.0
2026-04-30 22:48:05.225495,8.0
2026-04-30 22:48:05.821388,8.0
2026-04-30 22:48:06.422477,
2026-04-30 22:48:07.021045,
2026-04-30 22:48:08.122014,
2026-04-30 22:48:09.622382,
2026-04-30 22:48:10.621024,
2026-04-30 22:48:11.222501,
2026-04-30 22:48:11.821049,
2026-04-30 22:48:12.421212,
2026-04-30 22:48:13.121061,
2026-04-30 22:48:13.721390,
2026-04-30 22:48:14.321090,
2026-04-30 22:48:14.920911,
2026-04-30 22:48:15.521111,
2026-04-30 22:48:16.121043,
2026-04-30 22:48:16.821010,
2026-04-30 22:48:17.421410,
2026-04-30 22:48:18.020995,
2026-04-30 22:48:18.623419,
2026-04-30 22:48:19.220996,
2026-04-30 22:48:20.020961,
2026-04-30 22:48:21.421062,
2026-04-30 22:48:22.821909,
2026-04-30 22:48:23.421024,
2026-04-30 22:48:24.020920,
2026-04-30 22:48:24.621650,
2026-04-30 22:48:25.221138,
2026-04-30 22:48:25.921726,
2026-04-30 22:48:26.521004,
2026-04-30 22:48:27.123729,
2026-04-30 22:48:27.724228,
2026-04-30 22:48:28.322546,
2026-04-30 22:48:29.021139,
2026-04-30 22:48:29.622426,
2026-04-30 22:48:30.222075,
2026-04-30 22:48:30.821042,
2026-04-30 22:48:31.421057,
2026-04-30 22:48:32.021057,
2026-04-30 22:48:32.721600,8.0
