log_time,breath_rate
2026-04-24 07:02:54.869193,
2026-04-24 07:02:55.469190,
2026-04-24 07:02:56.071262,
2026-04-24 07:02:56.769987,
2026-04-24 07:02:57.369205,
2026-04-24 07:02:57.969240,11.0
2026-04-24 07:02:58.569195,11.0
2026-04-24 07:02:59.170461,11.0
2026-04-24 07:02:59.870379,11.0
2026-04-24 07:03:00.470340,11.0
2026-04-24 07:03:01.070202,11.0
2026-04-24 07:03:01.669449,11.0
2026-04-24 07:03:02.270983,11.0
2026-04-24 07:03:02.969590,11.0
2026-04-24 07:03:03.570738,11.0
2026-04-24 07:03:04.169393,11.0
2026-04-24 07:03:04.771052,14.0
2026-04-24 07:03:05.369340,16.0
2026-04-24 07:03:06.070521,18.0
2026-04-24 07:03:06.670985,19.0
2026-04-24 07:03:07.271782,19.0
2026-04-24 07:03:07.870045,19.0
2026-04-24 07:03:08.571272,20.0
2026-04-24 07:03:09.169905,21.0
2026-04-24 07:03:09.769607,21.0
2026-04-24 07:03:10.369622,22.0
2026-04-24 07:03:11.069233,22.0
2026-04-24 07:03:11.669387,22.0
2026-04-24 07:03:12.269370,23.0
2026-04-24 07:03:12.869824,23.0
2026-04-24 07:03:13.470388,23.0
2026-04-24 07:03:14.170853,22.0
2026-04-24 07:03:14.769431,23.0
2026-04-24 07:03:15.369281,23.083333333333332
2026-04-24 07:03:15.971473,23.166666666666668
2026-04-24 07:03:16.569595,23.25
2026-04-24 07:03:17.269247,23.333333333333332
2026-04-24 07:03:17.869259,23.416666666666668
2026-04-24 07:03:18.469325,23.5
2026-04-24 07:03:19.070549,23.583333333333332
2026-04-24 07:03:19.769363,23.666666666666668
2026-04-24 07:03:20.369200,23.75
2026-04-24 07:03:20.970585,23.833333333333332
2026-04-24 07:03:21.569363,23.916666666666668
2026-04-24 07:03:22.170931,24.0
2026-04-24 07:03:22.870112,25.0
2026-04-24 07:03:23.470397,26.0
2026-04-24 07:03:24.169299,26.0
2026-04-24 07:03:24.770682,27.0
2026-04-24 07:03:25.369166,26.0
2026-04-24 07:03:26.070495,25.0
2026-04-24 07:03:26.669364,24.0
2026-04-24 07:03:27.269542,24.0
2026-04-24 07:03:27.869251,24.0
2026-04-24 07:03:28.469215,23.0
