log_time,publish_time,data
2026-04-24 07:02:54.902548,2026-04-24 07:02:54.902548,138.2683868408203
2026-04-24 07:02:55.102594,2026-04-24 07:02:55.102594,138.2703094482422
2026-04-24 07:02:55.305108,2026-04-24 07:02:55.305108,138.27195739746094
2026-04-24 07:02:55.503021,2026-04-24 07:02:55.503021,138.27334594726562
2026-04-24 07:02:55.702568,2026-04-24 07:02:55.702568,138.2745361328125
2026-04-24 07:02:55.903637,2026-04-24 07:02:55.903637,138.27554321289062
2026-04-24 07:02:56.105031,2026-04-24 07:02:56.105031,138.27639770507812
2026-04-24 07:02:56.304043,2026-04-24 07:02:56.304043,138.27713012695312
2026-04-24 07:02:56.502855,2026-04-24 07:02:56.502855,130.54336547851562
2026-04-24 07:02:56.703880,2026-04-24 07:02:56.703880,123.96967315673828
2026-04-24 07:02:56.906447,2026-04-24 07:02:56.906447,118.3820343017578
2026-04-24 07:02:57.103947,2026-04-24 07:02:57.103947,113.6325454711914
2026-04-24 07:02:57.303206,2026-04-24 07:02:57.303206,109.59547424316406
2026-04-24 07:02:57.504644,2026-04-24 07:02:57.504644,106.1639633178711
2026-04-24 07:02:57.702583,2026-04-24 07:02:57.702583,103.24718475341795
2026-04-24 07:02:57.903495,2026-04-24 07:02:57.903495,100.7679214477539
2026-04-24 07:02:58.103198,2026-04-24 07:02:58.103198,98.6605453491211
2026-04-24 07:02:58.302704,2026-04-24 07:02:58.302704,96.86927795410156
2026-04-24 07:02:58.504336,2026-04-24 07:02:58.504336,95.34669494628906
2026-04-24 07:02:58.704330,2026-04-24 07:02:58.704330,94.05250549316406
2026-04-24 07:02:58.904836,2026-04-24 07:02:58.904836,92.9524383544922
2026-04-24 07:02:59.104438,2026-04-24 07:02:59.104438,92.01738739013672
2026-04-24 07:02:59.303100,2026-04-24 07:02:59.303100,91.22259521484376
2026-04-24 07:03:12.403039,2026-04-24 07:03:12.403039,90.54701232910156
2026-04-24 07:03:12.603926,2026-04-24 07:03:12.603926,89.9727783203125
2026-04-24 07:03:12.804053,2026-04-24 07:03:12.804053,89.48467254638672
2026-04-24 07:03:13.003771,2026-04-24 07:03:13.003771,89.06978607177734
2026-04-24 07:03:13.202865,2026-04-24 07:03:13.202865,88.71712493896484
2026-04-24 07:03:13.405600,2026-04-24 07:03:13.405600,88.41737365722656
2026-04-24 07:03:13.603284,2026-04-24 07:03:13.603284,88.1625747680664
2026-04-24 07:03:13.805193,2026-04-24 07:03:13.805193,87.94600677490234
2026-04-24 07:03:14.005580,2026-04-24 07:03:14.005580,87.76191711425781
2026-04-24 07:03:14.202888,2026-04-24 07:03:14.202888,87.60543823242188
2026-04-24 07:03:14.403209,2026-04-24 07:03:14.403209,87.4724349975586
2026-04-24 07:03:14.603606,2026-04-24 07:03:14.603606,87.35938262939453
2026-04-24 07:03:14.803072,2026-04-24 07:03:14.803072,87.26329040527344
2026-04-24 07:03:15.002915,2026-04-24 07:03:15.002915,87.18161010742188
2026-04-24 07:03:15.202679,2026-04-24 07:03:15.202679,87.1121826171875
2026-04-24 07:03:15.402761,2026-04-24 07:03:15.402761,87.05316162109375
2026-04-24 07:03:15.605435,2026-04-24 07:03:15.605435,87.00300598144531
2026-04-24 07:03:15.796412,2026-04-24 07:03:15.796412,86.96036529541016
2026-04-24 07:03:16.006483,2026-04-24 07:03:16.006483,86.92412567138672
2026-04-24 07:03:16.202815,2026-04-24 07:03:16.202815,86.89331817626953
2026-04-24 07:03:16.402942,2026-04-24 07:03:16.402942,86.86713409423828
2026-04-24 07:03:16.604592,2026-04-24 07:03:16.604592,86.8448715209961
2026-04-24 07:03:16.804626,2026-04-24 07:03:16.804626,86.82595825195312
2026-04-24 07:03:17.003345,2026-04-24 07:03:17.003345,86.80987548828125
2026-04-24 07:03:17.202771,2026-04-24 07:03:17.202771,86.79620361328125
2026-04-24 07:03:17.407658,2026-04-24 07:03:17.407658,86.78458404541016
2026-04-24 07:03:17.603515,2026-04-24 07:03:17.603515,86.77471160888672
2026-04-24 07:03:17.802710,2026-04-24 07:03:17.802710,86.76631927490234
2026-04-24 07:03:18.003212,2026-04-24 07:03:18.003212,86.75918579101562
2026-04-24 07:03:18.203089,2026-04-24 07:03:18.203089,86.75312042236328
